speed_um_per_s,scanner_travel_bin_center_nm,curve_count,endpoint_delta_V_q25,endpoint_delta_V_median,endpoint_delta_V_q75,dynamic_baseline_delta_V_q25,dynamic_baseline_delta_V_median,dynamic_baseline_delta_V_q75,dynamic_baseline_delta_nN_prior_D3_scale_median
0.1,2.5,512,-0.005032237022439434,-0.001739737637908384,0.00022540103327048366,-0.00810791006159889,-0.0035036176144688236,-0.00014200275524983708,-0.07646847309819439
0.1,7.5,512,-0.0001779305098244255,0.001297156370014596,0.0026837167063710476,-0.0020713979167497343,-0.0005314915969695244,0.001017829289326394,-0.011600110330802228
0.1,12.5,512,-0.0009409171268824901,0.0012574790580057171,0.003377488426024696,-0.0019404581983798186,-0.0006439546810320541,0.0008714860024499893,-0.014054681937778046
0.1,17.5,512,-0.0006020845071378622,0.0016030084582452642,0.003489479425997033,-0.001589774112656095,-0.00023869795259767734,0.0010016546733146725,-0.005209720344888965
0.1,22.5,512,-0.0007278897026718467,0.0012971174352442438,0.003631136635160539,-0.0014878018634028878,-0.00031888828364962096,0.000981996785886648,-0.006959920522972759
0.1,27.5,512,-0.000825078537286225,0.0014316746109346856,0.003090824922186791,-0.0019046048370274238,-0.0004281656691835778,0.0008266866823531394,-0.009344962424073965
0.1,32.5,512,-0.00045327581498362524,0.0013871276715811676,0.003547036836010431,-0.001626956123045642,-4.1715825340404855e-05,0.0010410705661511865,-0.0009104719232596237
0.1,37.5,512,-0.0005505480812486446,0.0014453838216689774,0.003816436245531296,-0.0016549669092341956,-0.0002634799339050198,0.0012161386750934033,-0.005750601365436001
0.1,42.5,512,-0.0007292440764680164,0.0013429005535552374,0.0034757382331299935,-0.0015850317185786417,-0.0002606168377590756,0.0009837391168582288,-0.005688112642434514
0.1,47.5,512,-0.0005371510439405869,0.001547228837655068,0.0037049875512882025,-0.0015340369031550116,-0.00023435672570727446,0.0010875315666242363,-0.005114970566742225
0.1,52.5,512,-0.0003018571026904282,0.0017631582927820216,0.0038080242493514493,-0.0014501248252188625,-0.00013662210904474836,0.0013134630861401236,-0.0029818562468012975
0.1,57.5,512,-0.0004913338577055004,0.0016305687135200753,0.0038406647968890553,-0.001212907089157042,-9.645255029683275e-05,0.0011185973417549774,-0.002105132482827694
0.1,62.5,512,-0.0003399130596211386,0.0016306521451707745,0.003950516470285492,-0.00134118811892507,-0.00010578577095315955,0.0012128730212327687,-0.002308835401128623
0.1,67.5,512,-0.000549409934480577,0.0017665775999324562,0.0037813685322226846,-0.0013018139419137577,-0.00018901023303466435,0.001193569023056812,-0.004125257237093188
0.1,72.5,512,-0.0004764044590798433,0.0017437729487462805,0.003992514572710618,-0.0016439546266077687,-0.00021928201695681215,0.001185072204698684,-0.004785956362741367
0.1,77.5,512,-0.0008032695037982606,0.0014787689966890283,0.0038603873438462248,-0.001605179071690388,-0.0002921275816937241,0.0010189709124133611,-0.006375852784201118
0.1,82.5,512,-0.0005450680123262885,0.001693808514208528,0.0037594503423251657,-0.0013697808408771467,-9.864819323743279e-05,0.0011702895067255553,-0.002153053655059262
0.1,87.5,512,-0.000392442322153512,0.0016730590626843206,0.004008249782029072,-0.0011558252395524327,-2.026415742270582e-05,0.0013455022305289984,-0.0004422769112521097
0.1,92.5,512,-0.0004668181624165324,0.0018664536289625389,0.003928359804919457,-0.001336483269090416,9.104339827792352e-05,0.001310328837129518,0.001987074623450048
0.1,97.5,512,-0.00046318193297451016,0.0018066609459743699,0.003998016194809162,-0.0014268682525916728,1.6947749308410254e-05,0.0012590142003782168,0.0003698943933587888
0.1,102.5,512,-0.00047021939270930346,0.0017272646061315955,0.003826084420668757,-0.0013860736517275485,-0.00013425265016556165,0.0011985797889439709,-0.0029301414415633872
0.1,107.5,512,-0.00035633101794776967,0.0016428276040601486,0.003912101757256814,-0.0014098586248091072,-0.00011122134299512698,0.0011589421069692352,-0.002427469892731811
0.1,112.5,512,-0.0003664561440214764,0.0016393359894791432,0.0037305725622332336,-0.0014388212270791678,-0.00020950660855194314,0.0011980131489830806,-0.004572602442055329
0.1,117.5,512,-0.00011609722771357273,0.0016465166735476489,0.004155763893070208,-0.0013458199660653924,0.0001610995648271274,0.001395142672156513,0.0035160908223090094
0.1,122.5,512,-0.00028693882828510764,0.002094285999586498,0.004010268827975533,-0.001083071449631448,0.00025613655811750416,0.001530363129469945,0.005590327957876169
0.1,127.5,512,-0.0002899694829961996,0.0019452158882600212,0.004200794735997632,-0.0012123390586686322,0.00017061216353217445,0.0013914209252725018,0.0037237087698746407
0.1,132.5,512,-6.931571064944242e-05,0.001994682513948687,0.003873348450779468,-0.001117590599836793,0.00025193021239566793,0.0015635348585169295,0.005498522038947227
0.1,137.5,512,-0.00016440206766634748,0.0019515733800419474,0.0042301598959822466,-0.0011139362935370656,0.00013991626871923124,0.00145410590548395,0.0030537531796769306
0.1,142.5,512,-3.0387197705428193e-05,0.0020671846183902337,0.0045647979894890695,-0.0008914790070079226,0.0003777062068521034,0.0017841197997517516,0.00824365558570522
0.1,147.5,512,-0.00020900323759291684,0.0023317602879741987,0.0042916281646215165,-0.0008439848445943032,0.00038297074401011377,0.0017690033751759093,0.008358557142421704
0.1,152.5,512,-0.00011066443672680393,0.0023016498052434997,0.004114598021360605,-0.0009963602398150861,0.00036759846237199856,0.0016852894474103375,0.00802304823869669
0.1,157.5,512,6.511284124627315e-05,0.0021979428729195227,0.004417738580944158,-0.0011114521161378899,0.00044407608496849216,0.001827318622682983,0.009692216415607018
0.1,162.5,512,0.00015374645534702025,0.0021808129645076724,0.004515204130533079,-0.0009767273818822707,0.0005945450669713748,0.0019695403860161,0.012976288642805403
0.1,167.5,512,-6.640950815065688e-05,0.0020468843072520837,0.004333271682531115,-0.000995658023421775,0.0002645603737813085,0.001687738861621657,0.0057741825882478195
0.1,172.5,512,9.028277972918108e-05,0.0022643516858066506,0.004716538608901002,-0.0009063277550379611,0.00045658109887813936,0.001849635198712632,0.00996514554913844
0.1,177.5,512,-8.310974356198764e-05,0.0023378744374414895,0.004554489313783827,-0.0008710570247125182,0.00042358944314391245,0.0019616825150494286,0.009245083654096249
0.1,182.5,512,0.00032286171601317304,0.0022918438052335066,0.004308009273968738,-0.0008191868722207118,0.0005234821585038685,0.0019208941715591135,0.011425299721529872
0.1,187.5,512,0.0001212887621771519,0.00238481308411457,0.004702006205879891,-0.0007594699729820409,0.0007185119851353672,0.0020044537507709626,0.015681938057154093
0.1,192.5,512,0.0007300318103031223,0.0025859876518187774,0.004887138952949233,-0.0005160449221093821,0.0008700057859141186,0.002370592159256002,0.01898837754460069
0.1,197.5,512,0.00012974038839114188,0.002516509944714203,0.005090070452163906,-0.0007191502372630998,0.0008160560995287836,0.002374151214421305,0.01781089455531093
0.1,202.5,512,0.00040294428118287096,0.002522230574895812,0.005107899795914417,-0.0005417279652441542,0.0009226789680438774,0.002213916557706322,0.02013800009303522
0.1,207.5,512,0.0003527782201560997,0.0025853299323057577,0.005010438417907906,-0.00040930663981109117,0.0008577927827818632,0.00241404475345805,0.018721821714532284
0.1,212.5,512,0.0003796091437511251,0.002685997171489707,0.005210206467034215,-0.00045844579627083056,0.0011256500972927075,0.0023009079588162396,0.02456796193378461
