curve_row_index,acquisition_order,instrument_scan_number,block,position_in_block,source,map_start_time,speed_um_per_s,point_index,line_index,position_within_line,physical_row,physical_column,duration_s,sample_count,baseline_mode,baseline_start_nm,baseline_stop_nm,baseline_start_time_s,baseline_stop_time_s,baseline_sample_count,dynamic_baseline_raw_V,initial_0_10nm_raw_V,baseline_minus_initial_V,pre_guard_corrected_V,post_guard_corrected_V,near_320_360nm_corrected_V,near_380_420nm_corrected_V,terminal_last_25nm_corrected_V,detector_drift_V,detector_pre_guard_mismatch_V,detector_post_guard_mismatch_V,detector_roughness_V,detector_score_V
0,1,9,1,1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.05.27.700.jpk-force-map,2026-09-12T15:05:27.199000+02:00,0.1,0,1,1,0,0,5.0,10000,speed_conditioned_settled_window_median,35.0,155.0,0.35,1.55,2401,-0.5529139209599891,-0.5523306947869602,-0.0005832261730289723,0.001221250254225148,0.00022702586466749608,0.007749320826972883,0.0301391804374746,1.3999034351024515,0.0007576303050846889,0.0014251544274339611,0.0005689343312673678,0.0023857753291525174,0.0023511185167234827
1,1,9,1,1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.05.27.700.jpk-force-map,2026-09-12T15:05:27.199000+02:00,0.1,1,1,2,0,1,4.739,9478,speed_conditioned_settled_window_median,35.0,155.0,0.35,1.55,2400,-0.5554329727889942,-0.5613199434336905,0.005886970644696343,0.0001633480478129279,0.00011812531208899024,0.010415543306723785,0.10159903166927753,1.2935759118497856,0.002789476057301621,0.00045997676706077684,0.0008929578330163501,0.0016835060958771964,0.0038868198813094834
2,1,9,1,1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.05.27.700.jpk-force-map,2026-09-12T15:05:27.199000+02:00,0.1,2,1,3,0,2,4.9585,9917,speed_conditioned_settled_window_median,35.0,155.0,0.35,1.55,2398,-0.5547406152358196,-0.563652408719113,0.008911793483293406,-0.0013399456825936573,-0.002380535821489671,0.007131117324923553,0.03349514071656856,1.2924536532490931,8.167402390646394e-05,0.001407323693156104,0.002200323456019282,0.0019278495901708936,0.0023674599960368803
3,1,9,1,1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.05.27.700.jpk-force-map,2026-09-12T15:05:27.199000+02:00,0.1,3,1,4,0,3,5.0,10000,speed_conditioned_settled_window_median,35.0,155.0,0.35,1.55,2400,-0.5559180110333919,-0.558593347030452,0.0026753359970601576,-0.001262598980302565,-0.000714224988817902,0.009246468425779253,0.031914046971902144,1.2871747408177232,0.0038844580703314424,0.0007833133482191279,0.0008828751180316452,0.0020714883010379825,0.005235424378716325
4,1,9,1,1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.05.27.700.jpk-force-map,2026-09-12T15:05:27.199000+02:00,0.1,4,1,5,0,4,5.0,10000,speed_conditioned_settled_window_median,35.0,155.0,0.35,1.55,2400,-0.5561620096768629,-0.5597456827412148,0.003583673064351922,-0.0010581274718690636,0.00015492145109419209,0.011867579412007112,0.03838037256103599,1.2843176016917197,0.004630978060600199,0.001822080505547774,0.00023545663296875574,0.0018606398334374274,0.006124906588217821
5,1,9,1,1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.05.27.700.jpk-force-map,2026-09-12T15:05:27.199000+02:00,0.1,5,1,6,0,5,5.0,10000,speed_conditioned_settled_window_median,35.0,155.0,0.35,1.55,2401,-0.5571724114634875,-0.5565315395819481,-0.0006408718815393843,-0.00010320217083714667,0.0012357173024531987,0.011813359963284586,0.04354548978298722,1.2629682154158028,0.0020800317020677195,3.719382987354969e-05,0.0010133052080683047,0.002003711209079939,0.0031062090233086315
6,1,9,1,1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.05.27.700.jpk-force-map,2026-09-12T15:05:27.199000+02:00,0.1,6,1,7,0,6,4.979,9958,speed_conditioned_settled_window_median,35.0,155.0,0.35,1.55,2398,-0.5575736064610612,-0.5580556801008049,0.0004820736397436187,0.002611886226717486,-5.46755417463185e-06,0.004362713321528877,0.027049319846116915,1.287594961012707,0.00021466963720162546,0.0035338365583454934,0.00039949021084484393,0.0022527240947567417,0.0027445140454859795
7,1,9,1,1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.05.27.700.jpk-force-map,2026-09-12T15:05:27.199000+02:00,0.1,7,1,8,0,7,5.0,10000,speed_conditioned_settled_window_median,35.0,155.0,0.35,1.55,2399,-0.5624016514710971,-0.565424877984111,0.003023226513013899,-0.0019599735567379373,-0.0014325603769593798,0.0036634086929077103,0.015971142902301283,1.2380299110057615,0.0006605172542195614,0.0017527654901621226,0.0006614864518950103,0.0022773308695974714,0.0024369759426474957
8,1,9,1,1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.05.27.700.jpk-force-map,2026-09-12T15:05:27.199000+02:00,0.1,8,2,1,1,7,5.0,10000,speed_conditioned_settled_window_median,35.0,155.0,0.35,1.55,2400,-0.5662204404891776,-0.5661773814142612,-4.305907491641836e-05,-0.0021489490265849676,0.00194561496965584,0.008434044384110106,0.05520084966726768,1.531211064803205,0.001702984605255975,0.00044841453080401994,0.002232789492354059,0.0016046770912587771,0.003444755889649709
9,1,9,1,1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.05.27.700.jpk-force-map,2026-09-12T15:05:27.199000+02:00,0.1,9,2,2,1,6,4.8285,9657,speed_conditioned_settled_window_median,35.0,155.0,0.35,1.55,2398,-0.5677084745706746,-0.5676199619324674,-8.851263820719435e-05,0.0003878709629598909,-0.0010614313652361207,0.01612094443109857,0.09439216396764583,1.3459231543309282,0.003492372418484546,0.0007437876037090785,0.0014178625011646018,0.0024749665447854063,0.005191939107117738
10,1,9,1,1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.05.27.700.jpk-force-map,2026-09-12T15:05:27.199000+02:00,0.1,10,2,3,1,5,4.862,9724,speed_conditioned_settled_window_median,35.0,155.0,0.35,1.55,2400,-0.5721409033795124,-0.5740598647178308,0.0019189613383183701,0.002336675802726784,0.00179103836938449,0.014910857331734584,0.11776519883610007,1.3465424925034268,0.0007284681621166911,0.001264079892102088,0.0008105398768913918,0.001312037795440979,0.0020937874954736757
11,1,9,1,1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.05.27.700.jpk-force-map,2026-09-12T15:05:27.199000+02:00,0.1,11,2,4,1,4,4.8785,9757,speed_conditioned_settled_window_median,35.0,155.0,0.35,1.55,2399,-0.5740837845720809,-0.5780433672817403,0.003959582709659459,-0.0005048616045996157,0.0013279871459960235,0.018114741179022564,0.06658817424951591,1.3310937457576433,0.00028648760210758795,8.998937842419341e-05,0.0016760445252511635,0.0025036725947295,0.0017954227026276415
12,1,9,1,1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.05.27.700.jpk-force-map,2026-09-12T15:05:27.199000+02:00,0.1,12,2,5,1,3,4.902,9804,speed_conditioned_settled_window_median,35.0,155.0,0.35,1.55,2399,-0.5738657609825218,-0.5794152088843892,0.005549447901867399,0.0006226448469206503,-0.0010188283833434397,0.014370456624999917,0.04992763561763924,1.3384798051775522,8.190207041824937e-05,0.00088828287952325,0.00032504832052482335,0.0024368049077638787,0.0012977688973832557
13,1,9,1,1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.05.27.700.jpk-force-map,2026-09-12T15:05:27.199000+02:00,0.1,13,2,6,1,2,4.9315,9863,speed_conditioned_settled_window_median,35.0,155.0,0.35,1.55,2401,-0.5742150114343817,-0.5817177138640522,0.007502702429670549,8.452182424967258e-05,0.0004187378926568397,0.01121155912375904,0.03463676658443893,1.3245075789454717,0.0004979673691982711,0.0001504773251678193,0.00016437425711623987,0.0019805895176212562,0.0011505405397456148
14,1,9,1,1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.05.27.700.jpk-force-map,2026-09-12T15:05:27.199000+02:00,0.1,14,2,7,1,1,5.0,10000,speed_conditioned_settled_window_median,35.0,155.0,0.35,1.55,2401,-0.5758127442312488,-0.5777328430210715,0.0019200987898226884,0.00047022912640198866,-3.781678619863005e-05,0.010071418339270721,0.040905576083751116,1.3325315456422655,0.0010777186139764305,0.0004442554630175177,0.0003236230298256926,0.0028679602110969205,0.002178647913172266
15,1,9,1,1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.05.27.700.jpk-force-map,2026-09-12T15:05:27.199000+02:00,0.1,15,2,8,1,0,5.0,10000,speed_conditioned_settled_window_median,35.0,155.0,0.35,1.55,2401,-0.5782755186308146,-0.5766948781981169,-0.0015806404326976775,-8.167680496140584e-05,-0.0009491184581446044,0.011991742394550142,0.043368236460060994,1.3293598914416354,0.00022292798009160286,0.0006500396294215616,0.0016671020428257188,0.002052582688993665,0.0018946444884636593
16,1,9,1,1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.05.27.700.jpk-force-map,2026-09-12T15:05:27.199000+02:00,0.1,16,3,1,2,0,5.0,10000,speed_conditioned_settled_window_median,35.0,155.0,0.35,1.55,2399,-0.5796946353877943,-0.577554229762239,-0.002140405625555286,-0.0008144708981658866,-0.0008534306979788298,0.017629930981136632,0.0870801501377163,1.5449804075092697,0.0014011191594003325,0.0014665031535113782,0.001148631345472495,0.0020438084603970896,0.0032196385239915415
17,1,9,1,1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.05.27.700.jpk-force-map,2026-09-12T15:05:27.199000+02:00,0.1,17,3,2,2,1,4.702,9404,speed_conditioned_settled_window_median,35.0,155.0,0.35,1.55,2400,-0.5865171668473999,-0.591095859683046,0.004578692835646159,0.0003846783117940067,0.0012982548867486177,0.023516334290608565,0.1483603693982605,1.272577030281544,0.0031218163040958036,0.00014381530786100605,0.0007938549372826786,0.0019029007455622082,0.004066376613058198
18,1,9,1,1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.05.27.700.jpk-force-map,2026-09-12T15:05:27.199000+02:00,0.1,18,3,3,2,2,4.8955,9791,speed_conditioned_settled_window_median,35.0,155.0,0.35,1.55,2399,-0.5821485270976176,-0.5872981482809825,0.0051496211833649275,0.001830562723367013,-5.7184053376624355e-05,0.013406871118627373,0.04839323856785893,1.2849560763038292,0.0006286227246919962,0.0018621165736545375,0.0003735763401432335,0.00165161295687688,0.0021593724208101017
19,1,9,1,1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.05.27.700.jpk-force-map,2026-09-12T15:05:27.199000+02:00,0.1,19,3,4,2,3,4.9165,9833,speed_conditioned_settled_window_median,35.0,155.0,0.35,1.55,2400,-0.582676282347164,-0.583954263342797,0.0012779809956330324,0.0014012290110737569,0.0013181894891511892,0.011486319016836055,0.050313679427449354,1.2876259447467149,0.0009492853214458918,0.0012823625478214362,0.0014200233809171792,0.002178222411753916,0.0028450338887536786
20,1,9,1,1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.05.27.700.jpk-force-map,2026-09-12T15:05:27.199000+02:00,0.1,20,3,5,2,4,5.0,10000,speed_conditioned_settled_window_median,35.0,155.0,0.35,1.55,2400,-0.5830263365239252,-0.5841743421320178,0.0011480056080925838,0.0008862360230263988,-0.0007458928623613748,0.011088764420286945,0.05288183078287989,1.2838357560984877,0.003357555214149488,0.0013149412168845798,0.000733934325763852,0.0014626319249197994,0.004747650966703654
21,1,9,1,1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.05.27.700.jpk-force-map,2026-09-12T15:05:27.199000+02:00,0.1,21,3,6,2,5,5.0,10000,speed_conditioned_settled_window_median,35.0,155.0,0.35,1.55,2398,-0.5833510970052553,-0.5822098159882076,-0.0011412810170476906,-0.001984007434243984,0.00026176958506607395,0.012118071818956078,0.045581775489548004,1.3024125222915954,0.0004973416318183599,0.0019506292118617319,0.000958457240910815,0.002400692908294144,0.0025520580852781694
22,1,9,1,1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.05.27.700.jpk-force-map,2026-09-12T15:05:27.199000+02:00,0.1,22,3,7,2,6,5.0,10000,speed_conditioned_settled_window_median,35.0,155.0,0.35,1.55,2399,-0.5849177292638037,-0.5848645304622746,-5.3198801529097395e-05,-0.0007110378997619016,0.001177849109540996,0.013928930767487246,0.054107861670689095,1.2828377689414845,0.002131807993952517,0.0002884246069310148,0.000799549147441736,0.0012226185332963047,0.0029814495044629685
23,1,9,1,1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.05.27.700.jpk-force-map,2026-09-12T15:05:27.199000+02:00,0.1,23,3,8,2,7,5.0,10000,speed_conditioned_settled_window_median,35.0,155.0,0.35,1.55,2400,-0.5841305961365109,-0.5800985697245653,-0.004032026411945555,-0.0010047061859381756,0.003930192520179621,0.01306741554255747,0.048575266962259334,1.2830882585673784,0.0005218288212930355,0.0011081364032871077,0.004065119576188048,0.0017318018974010752,0.003541407285380882
