acquisition_order,instrument_scan_number,block,position_in_block,source,sha256,map_start_time,speed_um_per_s,approach_points,approach_duration_s,baseline_adjust_enabled,baseline_adjust_begin_of_line,baseline_adjust_deadtime_samples,baseline_adjust_average_samples
1,9,1,1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.05.27.700.jpk-force-map,1da38a0279a12f5b2c22e97a4373ae336725f2afcd1ddf81b55da9a99cf7c0b8,2026-09-12T15:05:27.199000+02:00,0.1,10000,5.0,True,True,100,100
2,10,1,2,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.11.30.037.jpk-force-map,7d9e9e85be570ee44bb180019204ac0a2c8eeeb222772a7a259a4dcebc8c98f2,2026-09-12T15:11:29.531000+02:00,0.3,3333,1.6666666666666667,True,True,100,100
3,11,1,3,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.13.54.693.jpk-force-map,69e76465a98b65fa11c97155d239ec97a69f2971f0636b7fc2975b9b094c7a5b,2026-09-12T15:13:54.191000+02:00,0.9,1111,0.5555555555555556,True,True,100,100
4,12,1,4,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.15.21.190.jpk-force-map,33377b6b8a341f743c61b5d55fbd3f893234e66e3b4395c695b33dc102e4d8e5,2026-09-12T15:15:20.689000+02:00,2.7,370,0.18518518518518517,True,True,100,100
5,13,1,5,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.16.54.635.jpk-force-map,e824649094f5da2c55701da952e979cbac6e291777be1644a755fd165532abb4,2026-09-12T15:16:54.134000+02:00,2.7,370,0.18518518518518517,True,True,100,100
6,14,1,6,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.18.09.797.jpk-force-map,30d6d36844e372bdc91f8e070ec987722a3552057a2546a68f33fdc04b93378d,2026-09-12T15:18:09.296000+02:00,0.9,1110,0.5555555555555556,True,True,100,100
7,15,1,7,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.19.36.626.jpk-force-map,d9c904da25c7fa8ccaac0c2c13cd4ade5abfa3c0192f78ee1e146570abd62742,2026-09-12T15:19:36.124000+02:00,0.3,3330,1.6666666666666667,True,True,100,100
8,16,1,8,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.22.15.764.jpk-force-map,e03c7d076e431eb24c5fff0f08bee32541713f21618415eeb3ecaefa1769c98e,2026-09-12T15:22:15.263000+02:00,0.1,9972,4.990990990990991,True,True,100,100
9,17,2,1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.28.13.596.jpk-force-map,b74f450707d9091e95ff9f3f98271a9c589cf2ddac7f1395ff6e26808582fb6c,2026-09-12T15:28:13.095000+02:00,0.3,3330,1.6666666666666667,True,True,100,100
10,18,2,2,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.30.45.054.jpk-force-map,90bd949a4f1371fcebb699b3f2b8db94bd6d3f653aab3edf2c8e35d90e6cd442,2026-09-12T15:30:44.553000+02:00,0.9,1110,0.5555555555555556,True,True,100,100
