acquisition_order,instrument_scan_number,block,position_in_block,source,map_start_time,speed_um_per_s,baseline_start_nm,baseline_stop_nm,dynamic_baseline_raw_V_q25,dynamic_baseline_raw_V_median,dynamic_baseline_raw_V_q75,dynamic_baseline_raw_V_spatial_IQR,baseline_minus_initial_V_q25,baseline_minus_initial_V_median,baseline_minus_initial_V_q75,baseline_minus_initial_V_spatial_IQR,pre_guard_corrected_V_q25,pre_guard_corrected_V_median,pre_guard_corrected_V_q75,pre_guard_corrected_V_spatial_IQR,post_guard_corrected_V_q25,post_guard_corrected_V_median,post_guard_corrected_V_q75,post_guard_corrected_V_spatial_IQR,near_320_360nm_corrected_V_q25,near_320_360nm_corrected_V_median,near_320_360nm_corrected_V_q75,near_320_360nm_corrected_V_spatial_IQR,near_380_420nm_corrected_V_q25,near_380_420nm_corrected_V_median,near_380_420nm_corrected_V_q75,near_380_420nm_corrected_V_spatial_IQR,terminal_last_25nm_corrected_V_q25,terminal_last_25nm_corrected_V_median,terminal_last_25nm_corrected_V_q75,terminal_last_25nm_corrected_V_spatial_IQR,detector_drift_V_q25,detector_drift_V_median,detector_drift_V_q75,detector_drift_V_spatial_IQR,detector_roughness_V_q25,detector_roughness_V_median,detector_roughness_V_q75,detector_roughness_V_spatial_IQR,detector_score_V_q25,detector_score_V_median,detector_score_V_q75,detector_score_V_spatial_IQR
1,9,1,1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.05.27.700.jpk-force-map,2026-09-12T15:05:27.199000+02:00,0.1,35.0,155.0,-0.5812908872728619,-0.57619861978723,-0.5711553364142403,0.010135550858621611,0.0007365561653863151,0.002822968302939821,0.005745237651783697,0.005008681486397382,-0.001476868145580873,-0.0006393297865293357,0.00031727179541765627,0.0017941399409985292,-0.00011824072587234002,0.00055361071809229,0.0015947111805850178,0.0017129519064573578,0.010269964809978271,0.012086006254544368,0.014374984877840627,0.0041050200678623555,0.04284187799539975,0.05500736888828389,0.06650052095731065,0.023658642961910906,1.2848270423034138,1.324107860688115,1.3451023036925402,0.06027526138912642,0.0006274122704933716,0.0016740804051414426,0.002659133222866067,0.0020317209523726953,0.0016422143814276702,0.001915375167866551,0.0020810280150295735,0.0004388136336019033,0.002375447533693925,0.003389551599817492,0.004215755595308117,0.0018403080616141917
2,10,1,2,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.11.30.037.jpk-force-map,2026-09-12T15:11:29.531000+02:00,0.3,40.0,160.0,-0.5017681707276628,-0.4953134018126756,-0.48982970708997353,0.011938463637689245,0.0047598417213956246,0.03278202536870467,0.047524774876955084,0.04276493315555946,-0.003033105515718261,-0.0015204375440939777,-0.0005695878791977527,0.0024635176365205083,0.001227174596687211,0.0026591613810482695,0.004097985389182504,0.002870810792495293,0.01981713063850373,0.022842865663148165,0.024527918025617795,0.004710787387114064,0.07020488346648249,0.08056552040389321,0.09644488570939062,0.026240002242908136,1.2348637563414386,1.2690924656750355,1.2875611301736198,0.052697373832181205,0.0008916601232163701,0.002332346395320317,0.0035161083754713385,0.0026244482522549684,0.002127733053080616,0.0026004241084414403,0.0031276252327745308,0.0009998921796939148,0.004185096028026348,0.005624153992414491,0.00694801874578721,0.002762922717760862
3,11,1,3,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.13.54.693.jpk-force-map,2026-09-12T15:13:54.191000+02:00,0.9,70.0,190.0,-0.2888186932318147,-0.28708224627726187,-0.2853737384967308,0.0034449547350838827,0.08733522850439762,0.2156471696989719,0.2418453101111509,0.15451008160675328,-0.008078724974926996,-0.005865670544277682,-0.003938022580595932,0.004140702394331064,0.004962933131274029,0.007069380684474727,0.008827557412447319,0.00386462428117329,0.03752369776237322,0.04103931006715489,0.04621729244964115,0.008693594687267929,0.09652403244954516,0.11363184607493018,0.1349626653322516,0.038438632882706436,1.0587535102984165,1.0964653040219856,1.113270568757243,0.054517058458826595,0.003930448377241685,0.006713861039329971,0.008495883228330947,0.004565434851089262,0.0023021045077397106,0.002872692176218078,0.0033135895152957423,0.0010114850075560317,0.010450636397159471,0.013888747651096212,0.016277658272154848,0.0058270218749953764
4,12,1,4,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.15.21.190.jpk-force-map,2026-09-12T15:15:20.689000+02:00,2.7,155.0,275.0,0.27146742460416573,0.2747944459199573,0.27842231272967494,0.0069548881255092065,0.5923411309248727,0.8053243127218046,0.8294145962811501,0.23707346535627738,-0.026897064036262033,-0.022394982313853493,-0.01974357590473605,0.007153488131525984,0.024146072218364525,0.02705875596580895,0.029657421752212296,0.00551134953384777,0.053883728103245224,0.05899745977154222,0.06264445328717849,0.008760725183933268,0.11933867666158675,0.13208770033881617,0.14074819212814904,0.021409515466562293,0.5443105474940829,0.5746594667582039,0.6062720723951414,0.06196152490105844,0.027721138265053263,0.029670703375736907,0.03415814701503356,0.006437008749980294,0.0016821023583543648,0.0021243895296795268,0.002441767700451805,0.0007596653420974403,0.050973087388346924,0.05542621419919097,0.06066421487775388,0.009691127489406953
5,13,1,5,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.16.54.635.jpk-force-map,2026-09-12T15:16:54.134000+02:00,2.7,155.0,275.0,0.24605598138890478,0.24993314892349416,0.2542436368127519,0.00818765542384714,0.6100506842065729,0.8030108003263619,0.8214947870475937,0.21144410284102078,-0.02715013030963455,-0.024351727065710135,-0.020088845276330883,0.007061285033303666,0.023488821313268994,0.025966872048074408,0.028715558371358085,0.005226737058089091,0.05320957046940297,0.05753783277657448,0.06250197288572834,0.009292402416325368,0.11363846359535665,0.1287726201780283,0.1468215991394568,0.033183135544100156,0.5497641852693634,0.5838319924930399,0.6080753599213733,0.058311174652009856,0.026850701067978773,0.030034937456795224,0.035103622291098396,0.008252921223119623,0.001765029942812281,0.0020651919924665335,0.002441589017666612,0.0006765590748543313,0.052341958650415625,0.055618690669679664,0.06130121535688568,0.008959256706470055
6,14,1,6,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.18.09.797.jpk-force-map,2026-09-12T15:18:09.296000+02:00,0.9,70.0,190.0,-0.3487483397032596,-0.3423147638180729,-0.3357624285402522,0.012985911163007402,0.08712998386266786,0.20300294729921767,0.22783605274091576,0.14070606887824788,-0.007903854320891322,-0.00562315281260628,-0.0033914917333276173,0.004512362587563705,0.003914885593334701,0.006324785184281423,0.008634192047246983,0.004719306453912282,0.037055772740057585,0.04169493822664466,0.046125419601702765,0.00906964686164518,0.09995622353260236,0.11498802199463627,0.1308810575760977,0.03092483404349533,1.06659010967043,1.1066698834473252,1.1194219934003664,0.05283188372993641,0.005540344118250537,0.007606727792794338,0.0094195129695607,0.0038791688513101635,0.0024168661337786446,0.0030009335759519917,0.0034744485188632906,0.001057582385084646,0.011628038452105569,0.01446375441600569,0.018211853013175957,0.006583814561070388
7,15,1,7,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.19.36.626.jpk-force-map,2026-09-12T15:19:36.124000+02:00,0.3,40.0,160.0,-0.5943714245282802,-0.5785062766713225,-0.5572676945801476,0.0371037299481326,0.003536938825223185,0.02716623122768841,0.039813345924666343,0.03627640709944316,-0.0024048046981452464,-0.001379845479004299,6.541041413370141e-05,0.002470215112278948,0.000771502207537772,0.00179841094624969,0.0029815357171687207,0.0022100335096309487,0.017815681817684753,0.020557961980723766,0.02421547900856591,0.006399797190881157,0.059667174669985765,0.07796277689556291,0.09568032292939822,0.03601314825941246,1.2481030814096965,1.2874313014867318,1.3019810172705932,0.05387793586089673,0.0007817156321086038,0.0022660731588657335,0.00380316296517183,0.0030214473330632263,0.0019514183362244197,0.002342467349811528,0.002889746996144721,0.0009383286599203011,0.0034697721748426016,0.005139276353944261,0.006498511260359274,0.0030287390855166726
8,16,1,8,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.22.15.764.jpk-force-map,2026-09-12T15:22:15.263000+02:00,0.1,35.0,155.0,-0.8956565754429056,-0.8168370020775226,-0.7473678453267659,0.14828873011613963,0.0004449861852247605,0.002145814777574362,0.0033813533972424092,0.0029363672120176487,-0.0007572228805238085,-5.7752779128783516e-05,0.0007269170286777205,0.001484139909201529,-0.000617192588548629,0.0003610574209586548,0.0011744993287661348,0.0017916919173147638,0.007616118025078417,0.009306173505534032,0.012048813815198373,0.004432695790119956,0.035886747918103507,0.051640901783314236,0.0657625624449291,0.029875814526825598,1.3090048651317088,1.3392309542339063,1.3601651248233522,0.051160259691643395,0.0004009217589177605,0.0010418916726466776,0.001807123296372004,0.0014062015374542436,0.0015132596410803445,0.0017242235224643743,0.002058002965232869,0.0005447433241525246,0.0019161848025101152,0.002357995718162628,0.0033932432765440626,0.0014770584740339474
9,17,2,1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.28.13.596.jpk-force-map,2026-09-12T15:28:13.095000+02:00,0.3,40.0,160.0,-1.0365265277220579,-1.0009520081560885,-0.9652877349061078,0.07123879281595014,0.0030049563720423167,0.02399598145984494,0.03518843404033414,0.03218347766829183,-0.0026629074621637994,-0.0011676537618278138,0.00024082893600879673,0.002903736398172596,0.0010533037319322147,0.0020615752304094515,0.003079657595743135,0.00202635386381092,0.016251927951084863,0.020681816266159447,0.022724950320713366,0.006473022369628503,0.06046142382181782,0.07926255301940865,0.09545838291910343,0.034996959097285604,1.2575129173506738,1.286711942670342,1.3073900497043647,0.049877132353690845,0.0009521456365367276,0.002117471655310621,0.0034858828265889874,0.00253373719005226,0.0019883465753431917,0.0024172958067796846,0.0028024030963106905,0.0008140565209674988,0.003466401014707278,0.004757047108729706,0.006055854382531797,0.0025894533678245193
10,18,2,2,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.30.45.054.jpk-force-map,2026-09-12T15:30:44.553000+02:00,0.9,70.0,190.0,-0.962217557926937,-0.9475936964351155,-0.9293185224492075,0.03289903547772943,0.07154058456384779,0.1913927531390332,0.20162750353505043,0.13008691897120264,-0.006529346381739368,-0.004896020947428081,-0.0027453490572565686,0.003783997324482799,0.004777230267925009,0.0067488015193713224,0.008196362907123111,0.0034191326391981025,0.03573770005521737,0.040383303684182026,0.04416756938047457,0.008429869325257203,0.08788383610450415,0.11089271406617687,0.1337539729319814,0.04587013682747726,1.08782455146594,1.1251931574375993,1.1354574808774638,0.04763292941152386,0.004289139468007824,0.00633453695371855,0.00849937866686265,0.004210239198854826,0.002441965155358383,0.0029474956036909528,0.0035466224588122652,0.001104657303453882,0.010166549019352336,0.012983764536161735,0.014946919446029674,0.004780370426677338
11,19,2,3,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.32.03.517.jpk-force-map,2026-09-12T15:32:03.017000+02:00,2.7,155.0,275.0,-0.487693658682375,-0.473989142368889,-0.46718535382960896,0.020508304852766057,0.560249888336936,0.7515300956555196,0.7662382842977393,0.20598839596080332,-0.02427604482485013,-0.02095553882571291,-0.017394675974657034,0.006881368850193095,0.02114835910412878,0.0250610935514034,0.02821279507277316,0.007064435968644381,0.05116561044150719,0.055859916601293025,0.06131621445570278,0.01015060401419559,0.11236582083483967,0.13074561463438256,0.14283729424117314,0.030471473406333466,0.5847242439380804,0.6218328928772845,0.6479424622491008,0.06321821831102037,0.02413662219339742,0.02782794850715037,0.03033556429027022,0.0061989420968728,0.0017471303774224956,0.0019678439424522243,0.002172040821702137,0.0004249104442796414,0.04570001917029126,0.05123988442563023,0.05621965458545937,0.010519635415168108
12,20,2,4,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.33.10.264.jpk-force-map,2026-09-12T15:33:09.759000+02:00,0.1,35.0,155.0,-1.5421610167135098,-1.4566006540482759,-1.3684297178142952,0.17373129889921457,-0.0007074670251125403,0.0006489744853480639,0.0032703545386491006,0.003977821563761641,-0.0009530439173091321,-0.00012194926274511353,0.0007125841663545573,0.0016656280836636894,-0.0007336875071305704,9.052334098869075e-06,0.0009210325834704269,0.0016547200906009973,0.00684418058242961,0.009858004348411886,0.0113087556062747,0.004464575023845091,0.03536098598974474,0.05202500858830095,0.0652201844080734,0.029859198418328653,1.3081433346109763,1.346943384366003,1.363526494949729,0.05538316033875268,0.0006304172004453212,0.001093657535575221,0.0015988486951951097,0.0009684314947497885,0.0014428412421144676,0.0016893351872043771,0.0021222244783443145,0.0006793832362298469,0.0019250370744632594,0.0025728833205515556,0.0033085679728204614,0.001383530898357202
