speed_um_per_s,held_out_block,training_blocks,selected_start_nm,selected_stop_nm,training_map_median_score_V,contiguous_near_optimal_start_min_nm,contiguous_near_optimal_start_max_nm
0.1,1,2+3+4,40.0,160.0,0.0025550049607064376,40.0,45.0
0.1,2,1+3+4,65.0,185.0,0.002660768830851333,65.0,65.0
0.1,3,1+2+4,25.0,145.0,0.002430106041477885,25.0,25.0
0.1,4,1+2+3,40.0,160.0,0.0025123253259846795,40.0,40.0
0.3,1,2+3+4,40.0,160.0,0.004995143136730995,40.0,40.0
0.3,2,1+3+4,35.0,155.0,0.0051301942973197845,35.0,35.0
0.3,3,1+2+4,30.0,150.0,0.0049241231608005,30.0,30.0
0.3,4,1+2+3,30.0,150.0,0.005004571260889684,30.0,30.0
0.9,1,2+3+4,65.0,185.0,0.012488040261655252,65.0,65.0
0.9,2,1+3+4,70.0,190.0,0.013222455188490224,70.0,70.0
0.9,3,1+2+4,65.0,185.0,0.012488040261655252,65.0,65.0
0.9,4,1+2+3,70.0,190.0,0.013241847832795334,70.0,70.0
2.7,1,2+3+4,135.0,255.0,0.048366665065669286,135.0,140.0
2.7,2,1+3+4,135.0,255.0,0.048366665065669286,135.0,140.0
2.7,3,1+2+4,155.0,275.0,0.05010780852689169,145.0,165.0
2.7,4,1+2+3,150.0,270.0,0.050223098727200904,145.0,160.0
