distance_nm,block,block_midpoint_elapsed_min,n_speed_pair_means,speed_fit_min_um_per_s,speed_fit_max_um_per_s,v0_intercept_all4_pN,v0_intercept_all4_hc3_se_pN,v0_intercept_all4_ci95_low_pN,v0_intercept_all4_ci95_high_pN,speed_slope_all4_pN_per_um_per_s,speed_fit_all4_r2,speed_fit_all4_rmse_pN,v0_intercept_low3_pN,speed_slope_low3_pN_per_um_per_s,speed_fit_low3_r2,v0_all4_minus_low3_pN,v0_all4_minus_low3_percent_of_abs_low3,pair_mean_speed_spearman_rho,interpretation
20.0,1,8.112845833333333,4,0.1,2.7,831.0099722259299,318.74699418863634,-540.4476524192421,2202.4675968711017,1046.7185759059662,0.9683502415578612,193.9070272654445,593.9043458488336,1666.8409833537562,0.9947379322615725,237.1056263770963,39.92320110711006,1.0,apparent block-centred v=0 intercept; pair averaging suppresses first-order linear time drift
20.0,2,30.7489375,4,0.1,2.7,723.2953931745266,280.49707032468604,-483.5860921447105,1930.1768784937635,963.1050668986982,0.9713113967436405,169.60700187753355,518.0476853541082,1499.906764275177,0.9921318915441971,205.24770782041833,39.61946238214008,1.0,apparent block-centred v=0 intercept; pair averaging suppresses first-order linear time drift
20.0,3,53.65297223333333,4,0.1,2.7,756.411895943021,179.1930388566971,-14.593521845848045,1527.41731373189,941.2158882151467,0.9879750190049348,106.40281473789955,645.4650472268763,1231.3845694727554,0.9750119596770969,110.9468487161447,17.18866872696016,1.0,apparent block-centred v=0 intercept; pair averaging suppresses first-order linear time drift
20.0,4,76.37010833333333,4,0.1,2.7,641.5906771070106,202.54360988374103,-229.88413885257785,1513.0654930665992,948.1118251325718,0.9841877602583925,123.14362338650848,491.1399732631717,1341.5982813395349,0.9965604221978297,150.45070384383888,30.632958430207346,1.0,apparent block-centred v=0 intercept; pair averaging suppresses first-order linear time drift
50.0,1,8.112845833333333,4,0.1,2.7,290.2560554261599,140.15694815978952,-312.79062016691233,893.3027310192322,590.8947551733679,0.9803875975472895,85.63893911965333,184.96567825349993,866.2695877787861,0.9973818102422426,105.29037717265996,56.92427815086697,1.0,apparent block-centred v=0 intercept; pair averaging suppresses first-order linear time drift
50.0,2,30.7489375,4,0.1,2.7,248.7901806205801,123.9494052961783,-284.5210664278439,782.1014276690041,559.9487093277138,0.9831677927494888,75.07573813187382,157.63550424233333,798.3532475477438,0.9951831968868708,91.15467637824676,57.826234525259316,1.0,apparent block-centred v=0 intercept; pair averaging suppresses first-order linear time drift
50.0,3,53.65297223333333,4,0.1,2.7,276.03001001156645,112.45793633900703,-207.8374367594534,759.8974567825862,524.3544849518503,0.9844625114268586,67.5010387806865,195.94130082112858,733.8172628345337,0.9912527052613186,80.08870919043787,40.87382744465367,1.0,apparent block-centred v=0 intercept; pair averaging suppresses first-order linear time drift
50.0,4,76.37010833333333,4,0.1,2.7,252.68812153487272,112.35112830551479,-230.7197673592825,736.096010429028,519.9501429537739,0.9836971529152763,68.58945811767103,168.44070397233128,740.2895427327285,0.9975142998216352,84.24741756254144,50.01606831112524,1.0,apparent block-centred v=0 intercept; pair averaging suppresses first-order linear time drift
100.0,1,8.112845833333333,4,0.1,2.7,96.48625371015022,78.47236754454468,-241.15309271528804,434.12560013558846,287.1990057143818,0.9742375851771724,47.85622371576186,37.77818824928998,440.7431769197085,0.9962623769761534,58.70806546086024,155.40201418198933,1.0,apparent block-centred v=0 intercept; pair averaging suppresses first-order linear time drift
100.0,2,30.7489375,4,0.1,2.7,81.41283343329651,70.35624844986641,-221.30567101445257,384.13133788104557,267.6507838110154,0.9766045140050235,42.44923236420505,30.291325695237546,401.35318866440036,0.9919515428759792,51.121507738058966,168.76616181277393,1.0,apparent block-centred v=0 intercept; pair averaging suppresses first-order linear time drift
100.0,3,53.65297223333333,4,0.1,2.7,81.69689447372616,64.57530284863019,-196.14820860233073,359.54199754978305,251.7787096087118,0.9772501451985178,39.36407908962001,33.432418315437005,378.00887802269875,0.9964321950483721,48.264476158289156,144.36429845699683,1.0,apparent block-centred v=0 intercept; pair averaging suppresses first-order linear time drift
100.0,4,76.37010833333333,4,0.1,2.7,85.75892919703678,60.418702741538404,-174.20176708176473,345.71962547583826,236.49139275979815,0.9772325499558175,36.98862800282188,40.192991553087296,355.66384505935827,0.9975814787563728,45.56593764394948,113.36786808656814,1.0,apparent block-centred v=0 intercept; pair averaging suppresses first-order linear time drift
200.0,1,8.112845833333333,4,0.1,2.7,37.465062374217325,34.08327854226359,-109.18344908446437,184.11357383289902,47.517766755414996,0.8460930726524316,20.766852834122883,12.017910269082236,114.07185687653752,0.9887422479045738,25.44715210513509,211.74356885157866,1.0,apparent block-centred v=0 intercept; pair averaging suppresses first-order linear time drift
200.0,2,30.7489375,4,0.1,2.7,31.712391331486565,44.380809069764034,-159.24281796102332,222.66760062399646,42.850025217291495,0.7277578394391837,26.855298041323415,-0.8343412722832255,127.97224895022788,0.9747658049409439,32.54673260376979,3900.8896820726227,1.0,apparent block-centred v=0 intercept; pair averaging suppresses first-order linear time drift
