distance_nm,block,block_midpoint_elapsed_min,speed_um_per_s,early_map_order,late_map_order,early_position_in_block,late_position_in_block,early_force_pN,late_force_pN,pair_mean_force_pN,pair_half_difference_pN,pair_centre_elapsed_min,pair_centre_offset_from_block_midpoint_min,pair_time_gap_min
20.0,1,8.112845833333333,0.1,1,8,1,8,758.1496310516037,679.0351134828907,718.5923722672471,39.55725878435652,8.4016,0.2887541666666671,16.8032
20.0,1,8.112845833333333,0.3,2,7,2,7,1200.6988810211087,1099.2039258007112,1149.95140341091,50.74747761019876,8.319563899999999,0.20671806666666548,8.109933333333332
20.0,1,8.112845833333333,0.9,3,6,3,6,2132.5969849160474,2027.5280955404064,2080.0625402282267,52.534444687820496,8.212820833333332,0.09997499999999881,4.251758333333333
20.0,1,8.112845833333333,2.7,4,5,4,5,3552.5030422976315,3572.112710944769,3562.3078766212,9.804834323568684,8.112845833333333,0.0,1.5574250000000012
20.0,2,30.7489375,0.1,12,13,4,5,661.0904576521766,582.4450191484331,621.7677384003048,39.322719251871774,30.7489375,0.0,6.07565833333333
20.0,2,30.7489375,0.3,9,16,1,8,1088.3541384595935,971.0736198305852,1029.7138791450893,58.640259314504135,30.871318066666667,0.12238056666666708,19.761541666666663
20.0,2,30.7489375,0.9,10,15,2,7,1978.6077035030721,1726.4727606462486,1852.5402320746603,126.06747142841175,30.78379583333333,0.03485833333332877,15.715141666666664
20.0,2,30.7489375,2.7,11,14,3,6,3407.3645487293525,3075.7954326163367,3241.5799906728444,165.78455805650788,30.669449999999998,-0.0794875000000026,13.259749999999997
20.0,3,53.65297223333333,0.1,19,22,3,6,750.6057303189449,650.024943312686,700.3153368158155,50.29039350312945,53.87775,0.22477776666666927,11.628483333333335
20.0,3,53.65297223333333,0.3,20,21,4,5,1124.401339553052,1087.461276206585,1105.9313078798184,18.470031673233507,53.65297223333333,0.0,2.530633333333334
20.0,3,53.65297223333333,0.9,17,24,1,8,1711.571974491404,1750.3249001077506,1730.9484372995773,19.3764628081733,53.4317,-0.22127223333333035,21.642333333333326
20.0,3,53.65297223333333,2.7,18,23,2,7,3285.906752876227,3220.7253563986915,3253.3160546374593,32.5906982387678,53.603966666666665,-0.04900556666666489,19.026850000000003
20.0,4,76.37010833333333,0.1,26,31,2,7,601.0789377326521,594.9142252118581,597.9965814722551,3.0823562603969776,76.67854583333333,0.3084374999999966,14.308558333333337
