analysis_variant,observable,distance_nm,reference_distance_nm,unit,speed_low_um_per_s,speed_high_um_per_s,block_count,mean_delta_0p3_minus_0p1,block_delta_standard_deviation,paired_standard_error,descriptive_t95_low,descriptive_t95_high,absolute_mean_over_paired_standard_error,all_block_deltas_same_nonzero_sign,block_deltas,delta_definition,inference_boundary
shared_empirical_20_200,constant_gauge_invariant_force_shape,20.0,250.0,pN,0.1,0.3,4,14.047857793143049,40.211645515569764,20.105822757784882,-49.9378435570697,78.03355914335579,0.6986959928164981,False,50.2635743768;26.0989778593;23.3006486166;-43.4717696802,([F0.3(D)-F0.1(D)]-[F0.3(250nm)-F0.1(250nm)]) within each block,distance bins are correlated; four sequential blocks are the descriptive repeated units
shared_empirical_20_200,constant_gauge_invariant_force_shape,25.0,250.0,pN,0.1,0.3,4,4.118892615860911,46.12560854727622,23.06280427363811,-69.27724363427279,77.51502886599462,0.178594613516666,False,44.904321601;-9.32109736596;36.0791887181;-55.1868424897,([F0.3(D)-F0.1(D)]-[F0.3(250nm)-F0.1(250nm)]) within each block,distance bins are correlated; four sequential blocks are the descriptive repeated units
shared_empirical_20_200,constant_gauge_invariant_force_shape,30.0,250.0,pN,0.1,0.3,4,-15.301028737096214,33.724349273688965,16.862174636844482,-68.96399410917995,38.361936634987515,0.9074172855298802,False,23.6075766048;-13.086316739;-12.9754959194;-58.7498788948,([F0.3(D)-F0.1(D)]-[F0.3(250nm)-F0.1(250nm)]) within each block,distance bins are correlated; four sequential blocks are the descriptive repeated units
shared_empirical_20_200,constant_gauge_invariant_force_shape,35.0,250.0,pN,0.1,0.3,4,-19.323152609067993,22.88509810490486,11.44254905245243,-55.73845056407917,17.092145345943184,1.6887104892879221,False,7.72802679947;-12.2884183723;-26.1434728314;-46.588746032,([F0.3(D)-F0.1(D)]-[F0.3(250nm)-F0.1(250nm)]) within each block,distance bins are correlated; four sequential blocks are the descriptive repeated units
shared_empirical_20_200,constant_gauge_invariant_force_shape,40.0,250.0,pN,0.1,0.3,4,-32.04401643839505,27.130492745223965,13.565246372611982,-75.2146846371848,11.126651760394708,2.362214113787967,False,5.37031578045;-32.5487448827;-42.5318716641;-58.4657649872,([F0.3(D)-F0.1(D)]-[F0.3(250nm)-F0.1(250nm)]) within each block,distance bins are correlated; four sequential blocks are the descriptive repeated units
shared_empirical_20_200,constant_gauge_invariant_force_shape,45.0,250.0,pN,0.1,0.3,4,-28.788867624468192,20.49514165120218,10.24757082560109,-61.40121153654118,3.8234762876047945,2.809335804007925,True,-8.7435823657;-13.9174682881;-42.5328403239;-49.9615795202,([F0.3(D)-F0.1(D)]-[F0.3(250nm)-F0.1(250nm)]) within each block,distance bins are correlated; four sequential blocks are the descriptive repeated units
shared_empirical_20_200,constant_gauge_invariant_force_shape,50.0,250.0,pN,0.1,0.3,4,-25.10383845460092,11.099935497281237,5.5499677486406185,-42.766312810709074,-7.4413640984927625,4.52324042076636,True,-15.4071637765;-20.7227857;-23.2737852066;-41.0116191354,([F0.3(D)-F0.1(D)]-[F0.3(250nm)-F0.1(250nm)]) within each block,distance bins are correlated; four sequential blocks are the descriptive repeated units
shared_empirical_20_200,constant_gauge_invariant_force_shape,55.0,250.0,pN,0.1,0.3,4,-22.62983001708063,19.41594236524142,9.70797118262071,-53.524927039018,8.265267004856746,2.3310565710776663,True,-8.81159295466;-3.61857142954;-34.5905385023;-43.4986171818,([F0.3(D)-F0.1(D)]-[F0.3(250nm)-F0.1(250nm)]) within each block,distance bins are correlated; four sequential blocks are the descriptive repeated units
shared_empirical_20_200,constant_gauge_invariant_force_shape,60.0,250.0,pN,0.1,0.3,4,-25.81046441227555,16.85495011357885,8.427475056789426,-52.63045126963034,1.0095224450792415,3.0626568738974633,True,-6.81332765104;-16.4436469345;-39.1609954513;-40.8238876122,([F0.3(D)-F0.1(D)]-[F0.3(250nm)-F0.1(250nm)]) within each block,distance bins are correlated; four sequential blocks are the descriptive repeated units
shared_empirical_20_200,constant_gauge_invariant_force_shape,65.0,250.0,pN,0.1,0.3,4,-25.15871566611575,10.348403068771438,5.174201534385719,-41.62533422201774,-8.692097110213755,4.862337792395748,True,-12.4470838824;-21.8457132643;-36.357905859;-29.9841596588,([F0.3(D)-F0.1(D)]-[F0.3(250nm)-F0.1(250nm)]) within each block,distance bins are correlated; four sequential blocks are the descriptive repeated units
