acquisition_order,block,position_in_block,map_midpoint_time,elapsed_midpoint_min,speed_um_per_s,source,model,fit_min_nm,fit_max_nm,fit_bin_count,lambda_D_apparent_nm,surface_potential_magnitude_apparent_mV,fit_offset_pN,r2,residual_rmse_pN,weighted_sse,optimizer_success,optimizer_nfev,jacobian_rank,normalized_jacobian_condition,local_log_lambda_scale,local_log_potential_scale,local_lambda_potential_correlation,fit_quality_pass,quality_state,quality_flags,epsilon_r_assumed,probe_radius_um_assumed,temperature_C_assumed,hydrodynamic_subtraction_applied,analysis_variant,hydrodynamic_subtraction_interpretation,hyd_reference_distance_nm,pb_fit_constant_gauge_added_pN,fit_offset_full_model_corrected_curve_pN,hyd_coefficient_pN_nm_per_um_s_to_alpha,hyd_velocity_exponent_alpha,hyd_distance_shift_D0_nm
1,1,1,2026-09-12T15:08:23.308000+02:00,0.0,0.1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.05.27.700.jpk-force-map,nonlinear_pb_derjaguin,20.0,250.0,47,33.66501870902864,50.9967578300219,19.628868275578313,0.9717003354086923,27.796490886834153,3.910631514132886,True,34,3,2.998727379793221,0.11511961897750053,0.052758781403123685,-0.49127597325360794,True,pass,,42.5,4.546848945303745,25.6,False,original_no_subtraction,none,nan,0.0,19.628868275578313,nan,nan,nan
2,1,2,2026-09-12T15:12:39.183834+02:00,4.264597233333333,0.3,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.11.30.037.jpk-force-map,nonlinear_pb_derjaguin,20.0,250.0,47,42.90115885283431,68.21905012461693,36.31651342024561,0.9653660006043989,49.71449059292527,4.775941852458495,True,13,3,4.170518962517427,0.10866005963372778,0.04111147364812801,-0.2780040308561463,True,pass,,42.5,4.546848945303745,25.6,False,original_no_subtraction,none,nan,0.0,36.31651342024561,nan,nan,nan
3,1,3,2026-09-12T15:14:28.524500+02:00,6.086941666666666,0.9,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.13.54.693.jpk-force-map,nonlinear_pb_derjaguin,20.0,250.0,47,69.57564426183016,110.69636374952022,9.538683514059619,0.9853135258857231,58.565372498933534,2.1690851941808633,True,39,3,8.076838568788721,0.15510990093418825,0.03896708411401058,0.3929424104644676,True,pass,,42.5,4.546848945303745,25.6,False,original_no_subtraction,none,nan,0.0,9.538683514059619,nan,nan,nan
4,1,4,2026-09-12T15:15:43.356000+02:00,7.334133333333333,2.7,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.15.21.190.jpk-force-map,nonlinear_pb_derjaguin,20.0,250.0,47,978.7204122882478,310.82517215959524,-454.10696771714026,0.9763635060468918,135.4562900354289,31.707927426240854,True,42,3,8.440742504687211,0.48500871241977367,0.0772099245436718,0.9606613818860382,False,weak,near_parameter_boundary,42.5,4.546848945303745,25.6,False,original_no_subtraction,none,nan,0.0,-454.10696771714026,nan,nan,nan
5,1,5,2026-09-12T15:17:16.801500+02:00,8.891558333333334,2.7,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.16.54.635.jpk-force-map,nonlinear_pb_derjaguin,20.0,250.0,47,999.996863676347,308.82266012888675,-443.78966555350706,0.9824777209701214,116.82934664834104,31.85592393786901,True,35,3,9.986289821382385,0.4577158807027597,0.08059067600145756,0.9713362639915802,False,unusable,parameter_boundary,42.5,4.546848945303745,25.6,False,original_no_subtraction,none,nan,0.0,-443.78966555350706,nan,nan,nan
6,1,6,2026-09-12T15:18:43.630000+02:00,10.3387,0.9,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.18.09.797.jpk-force-map,nonlinear_pb_derjaguin,20.0,250.0,47,69.63150311359236,108.36703016294734,10.364668623825265,0.9846429064091587,57.883091390620095,3.5862861452277794,True,28,3,7.842915000776682,0.14943540604587233,0.03838370532250901,0.47938239970018576,True,pass,,42.5,4.546848945303745,25.6,False,original_no_subtraction,none,nan,0.0,10.364668623825265,nan,nan,nan
7,1,7,2026-09-12T15:20:45.779834+02:00,12.374530566666666,0.3,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.19.36.626.jpk-force-map,nonlinear_pb_derjaguin,20.0,250.0,47,44.023486136626175,65.47458722394694,28.019657659045297,0.9617907898655134,48.3233783074696,5.789012683600795,True,35,3,4.143613563967477,0.10775575105005154,0.042309314036863006,-0.30193088782625627,True,pass,,42.5,4.546848945303745,25.6,False,original_no_subtraction,none,nan,0.0,28.019657659045297,nan,nan,nan
8,1,8,2026-09-12T15:25:11.500000+02:00,16.8032,0.1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.22.15.764.jpk-force-map,nonlinear_pb_derjaguin,20.0,250.0,47,30.466565295686543,48.23325220184488,8.598984008620281,0.9785771788390439,22.163225114321634,1.9661678804313794,True,16,3,3.36651869482811,0.12330681482431934,0.07134150534764491,-0.6301564591261198,True,pass,,42.5,4.546848945303745,25.6,False,original_no_subtraction,none,nan,0.0,8.598984008620281,nan,nan,nan
9,2,1,2026-09-12T15:29:22.740834+02:00,20.990547233333334,0.3,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.28.13.596.jpk-force-map,nonlinear_pb_derjaguin,20.0,250.0,47,42.84741654302406,63.57341342166734,28.86207279488823,0.9533112687185407,52.422530187618186,3.720564978348733,True,22,3,4.296472106467032,0.12614566553235024,0.04602901186552034,-0.3306949740623554,True,pass,,42.5,4.546848945303745,25.6,False,original_no_subtraction,none,nan,0.0,28.86207279488823,nan,nan,nan
10,2,2,2026-09-12T15:31:18.881500+02:00,22.926225,0.9,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.30.45.054.jpk-force-map,nonlinear_pb_derjaguin,20.0,250.0,47,70.581929479398,103.8206110824397,8.036328186402208,0.9714351615047829,75.05532280515534,2.9304735493064515,True,40,3,8.498457170182725,0.1642594640055903,0.040725909599907725,0.42876480653740906,True,pass,,42.5,4.546848945303745,25.6,False,original_no_subtraction,none,nan,0.0,8.036328186402208,nan,nan,nan
