analysis_variant,parameter,parameter_label,unit,block,speed_um_per_s,early_map_order,late_map_order,both_maps_usable,pair_mean,pair_half_difference
original_no_subtraction,lambda_D_apparent_nm,Apparent Debye length,nm,1,0.1,1,8,True,32.06579200235759,1.5992267066710468
original_no_subtraction,lambda_D_apparent_nm,Apparent Debye length,nm,1,0.3,2,7,True,43.462322494730245,0.5611636418959343
original_no_subtraction,lambda_D_apparent_nm,Apparent Debye length,nm,1,0.9,3,6,True,69.60357368771126,0.027929425881097814
original_no_subtraction,lambda_D_apparent_nm,Apparent Debye length,nm,1,2.7,4,5,False,989.3586379822973,10.638225694049595
original_no_subtraction,lambda_D_apparent_nm,Apparent Debye length,nm,2,0.1,12,13,True,30.922437460647416,1.338130425560955
original_no_subtraction,lambda_D_apparent_nm,Apparent Debye length,nm,2,0.3,9,16,True,42.75103788131972,0.09637866170433895
original_no_subtraction,lambda_D_apparent_nm,Apparent Debye length,nm,2,0.9,10,15,True,67.84355778667451,2.73837169272349
original_no_subtraction,lambda_D_apparent_nm,Apparent Debye length,nm,2,2.7,11,14,True,757.8295008970335,91.17912885752725
original_no_subtraction,lambda_D_apparent_nm,Apparent Debye length,nm,3,0.1,19,22,True,30.17865056419914,0.8010144709867486
original_no_subtraction,lambda_D_apparent_nm,Apparent Debye length,nm,3,0.3,20,21,True,43.31720001765824,0.21526805157149553
original_no_subtraction,lambda_D_apparent_nm,Apparent Debye length,nm,3,0.9,17,24,True,63.69589318677623,2.856057078464506
original_no_subtraction,lambda_D_apparent_nm,Apparent Debye length,nm,3,2.7,18,23,True,714.7239856139356,58.82188197038823
original_no_subtraction,lambda_D_apparent_nm,Apparent Debye length,nm,4,0.1,26,31,True,34.57552711312429,0.9109881243274955
original_no_subtraction,lambda_D_apparent_nm,Apparent Debye length,nm,4,0.3,27,30,True,43.8035385467561,0.9441375693667844
original_no_subtraction,lambda_D_apparent_nm,Apparent Debye length,nm,4,0.9,28,29,True,63.967284047806636,0.656099014434524
original_no_subtraction,lambda_D_apparent_nm,Apparent Debye length,nm,4,2.7,25,32,True,746.7580763354442,94.2918846379709
original_no_subtraction,surface_potential_magnitude_apparent_mV,Apparent surface potential,mV,1,0.1,1,8,True,49.61500501593339,1.381752814088511
original_no_subtraction,surface_potential_magnitude_apparent_mV,Apparent surface potential,mV,1,0.3,2,7,True,66.84681867428193,1.3722314503349935
original_no_subtraction,surface_potential_magnitude_apparent_mV,Apparent surface potential,mV,1,0.9,3,6,True,109.53169695623379,1.164666793286436
original_no_subtraction,surface_potential_magnitude_apparent_mV,Apparent surface potential,mV,1,2.7,4,5,False,309.823916144241,1.0012560153542438
original_no_subtraction,surface_potential_magnitude_apparent_mV,Apparent surface potential,mV,2,0.1,12,13,True,46.68224074946924,0.8694267270604854
original_no_subtraction,surface_potential_magnitude_apparent_mV,Apparent surface potential,mV,2,0.3,9,16,True,62.53087696659368,1.0425364550736589
original_no_subtraction,surface_potential_magnitude_apparent_mV,Apparent surface potential,mV,2,0.9,10,15,True,101.80804263231826,2.012568450121435
original_no_subtraction,surface_potential_magnitude_apparent_mV,Apparent surface potential,mV,2,2.7,11,14,True,290.53960007393493,2.9140221664310104
original_no_subtraction,surface_potential_magnitude_apparent_mV,Apparent surface potential,mV,3,0.1,19,22,True,49.73771923010804,1.5822548769938258
original_no_subtraction,surface_potential_magnitude_apparent_mV,Apparent surface potential,mV,3,0.3,20,21,True,63.902769132325574,0.840603378418816
original_no_subtraction,surface_potential_magnitude_apparent_mV,Apparent surface potential,mV,3,0.9,17,24,True,98.8748588871087,0.42947849646854763
original_no_subtraction,surface_potential_magnitude_apparent_mV,Apparent surface potential,mV,3,2.7,18,23,True,281.90519476333156,5.011592917249146
original_no_subtraction,surface_potential_magnitude_apparent_mV,Apparent surface potential,mV,4,0.1,26,31,True,45.76300811814424,0.42549004883846564
original_no_subtraction,surface_potential_magnitude_apparent_mV,Apparent surface potential,mV,4,0.3,27,30,True,59.86942750006351,0.3479204003362888
original_no_subtraction,surface_potential_magnitude_apparent_mV,Apparent surface potential,mV,4,0.9,28,29,True,96.4281892188138,0.7406070310180297
original_no_subtraction,surface_potential_magnitude_apparent_mV,Apparent surface potential,mV,4,2.7,25,32,True,277.8862475241749,9.957209499602214
shared_empirical_20_200,lambda_D_apparent_nm,Apparent Debye length,nm,1,0.1,1,8,True,13.231952632452078,1.3227048264540082
shared_empirical_20_200,lambda_D_apparent_nm,Apparent Debye length,nm,1,0.3,2,7,True,11.928788623093485,0.6706161623433067
shared_empirical_20_200,lambda_D_apparent_nm,Apparent Debye length,nm,1,0.9,3,6,True,14.13204065633021,0.5166291018195075
shared_empirical_20_200,lambda_D_apparent_nm,Apparent Debye length,nm,1,2.7,4,5,False,69.85696675504062,0.7249730342010636
shared_empirical_20_200,lambda_D_apparent_nm,Apparent Debye length,nm,2,0.1,12,13,True,11.078704608643452,0.152532357631193
shared_empirical_20_200,lambda_D_apparent_nm,Apparent Debye length,nm,2,0.3,9,16,True,9.264058988284384,0.6072752848309602
shared_empirical_20_200,lambda_D_apparent_nm,Apparent Debye length,nm,2,0.9,10,15,True,8.959142845968621,0.6064779715482356
shared_empirical_20_200,lambda_D_apparent_nm,Apparent Debye length,nm,2,2.7,11,14,False,15.291545354538766,3.631014705486314
shared_empirical_20_200,lambda_D_apparent_nm,Apparent Debye length,nm,3,0.1,19,22,True,12.709242858909295,0.6366309235981698
shared_empirical_20_200,lambda_D_apparent_nm,Apparent Debye length,nm,3,0.3,20,21,True,9.869677125073878,0.43879909398271355
shared_empirical_20_200,lambda_D_apparent_nm,Apparent Debye length,nm,3,0.9,17,24,False,8.393190492859599,0.04655911402550128
shared_empirical_20_200,lambda_D_apparent_nm,Apparent Debye length,nm,3,2.7,18,23,True,9.514220562591534,0.17081436221594082
shared_empirical_20_200,lambda_D_apparent_nm,Apparent Debye length,nm,4,0.1,26,31,True,11.482373948784433,0.1727086069833046
shared_empirical_20_200,lambda_D_apparent_nm,Apparent Debye length,nm,4,0.3,27,30,True,7.729526279256335,0.10951244279615402
shared_empirical_20_200,lambda_D_apparent_nm,Apparent Debye length,nm,4,0.9,28,29,False,6.893211892313224,0.3309304571896803
shared_empirical_20_200,lambda_D_apparent_nm,Apparent Debye length,nm,4,2.7,25,32,False,5.408140512820394,2.624689059218012
shared_empirical_20_200,surface_potential_magnitude_apparent_mV,Apparent surface potential,mV,1,0.1,1,8,True,39.33713875930304,0.1212639207123658
shared_empirical_20_200,surface_potential_magnitude_apparent_mV,Apparent surface potential,mV,1,0.3,2,7,True,43.832952739564234,1.8451883673833045
shared_empirical_20_200,surface_potential_magnitude_apparent_mV,Apparent surface potential,mV,1,0.9,3,6,True,48.062211301039255,1.1914444002243414
shared_empirical_20_200,surface_potential_magnitude_apparent_mV,Apparent surface potential,mV,1,2.7,4,5,False,45.210805746114616,0.38335042614032844
