analysis_variant,parameter,block,usable_speed_pair_count,complete_four_speed_pairs,pair_mean_spearman_rho_speed,pair_mean_2p7_minus_0p1,unit
original_no_subtraction,lambda_D_apparent_nm,1,3,False,1.0,nan,nm
original_no_subtraction,lambda_D_apparent_nm,2,4,True,1.0,726.9070634363861,nm
original_no_subtraction,lambda_D_apparent_nm,3,4,True,1.0,684.5453350497364,nm
original_no_subtraction,lambda_D_apparent_nm,4,4,True,1.0,712.18254922232,nm
original_no_subtraction,surface_potential_magnitude_apparent_mV,1,3,False,1.0,nan,mV
original_no_subtraction,surface_potential_magnitude_apparent_mV,2,4,True,1.0,243.8573593244657,mV
original_no_subtraction,surface_potential_magnitude_apparent_mV,3,4,True,1.0,232.16747553322352,mV
original_no_subtraction,surface_potential_magnitude_apparent_mV,4,4,True,1.0,232.12323940603068,mV
shared_empirical_20_200,lambda_D_apparent_nm,1,3,False,0.5,nan,nm
shared_empirical_20_200,lambda_D_apparent_nm,2,3,False,-1.0,nan,nm
shared_empirical_20_200,lambda_D_apparent_nm,3,3,False,-1.0,-3.1950222963177612,nm
shared_empirical_20_200,surface_potential_magnitude_apparent_mV,1,3,False,1.0,nan,mV
shared_empirical_20_200,surface_potential_magnitude_apparent_mV,2,3,False,1.0,nan,mV
shared_empirical_20_200,surface_potential_magnitude_apparent_mV,3,3,False,0.5,0.580973709822274,mV
shared_empirical_20_250,lambda_D_apparent_nm,1,4,True,0.7999999999999999,22.799938506888267,nm
shared_empirical_20_250,lambda_D_apparent_nm,2,3,False,-1.0,nan,nm
shared_empirical_20_250,lambda_D_apparent_nm,3,4,True,-1.0,-4.7302372660666645,nm
shared_empirical_20_250,surface_potential_magnitude_apparent_mV,1,4,True,0.39999999999999997,3.3264936173345347,mV
shared_empirical_20_250,surface_potential_magnitude_apparent_mV,2,3,False,1.0,nan,mV
shared_empirical_20_250,surface_potential_magnitude_apparent_mV,3,4,True,0.39999999999999997,3.767588338299717,mV
block_specific_empirical_20_200,lambda_D_apparent_nm,3,4,True,0.39999999999999997,2.4054125841527636,nm
block_specific_empirical_20_200,lambda_D_apparent_nm,4,3,False,-0.5,nan,nm
block_specific_empirical_20_200,surface_potential_magnitude_apparent_mV,3,4,True,-0.39999999999999997,-1.0830834758331562,mV
block_specific_empirical_20_200,surface_potential_magnitude_apparent_mV,4,3,False,1.0,nan,mV
