analysis_variant,parameter,parameter_label,unit,speed_um_per_s,usable_map_count,spearman_rho_elapsed_time,first_usable_map_order,last_usable_map_order,first_usable_value,last_usable_value,median_value,log_time_slope_per_hour,percent_change_per_hour,percent_change_ci95_low,percent_change_ci95_high
original_no_subtraction,lambda_D_apparent_nm,Apparent Debye length,nm,0.1,8,0.28571428571428575,1,31,33.66501870902864,35.48651523745178,31.62011646069713,0.052178421975803246,5.356370466239757,-17.1547059443256,33.98425250757229
original_no_subtraction,lambda_D_apparent_nm,Apparent Debye length,nm,0.3,8,0.1666666666666667,2,30,42.90115885283431,42.85940097738932,43.001545409460526,0.008621507804878692,0.8658780040582401,-4.023757454002253,6.0046223486357695
original_no_subtraction,lambda_D_apparent_nm,Apparent Debye length,nm,0.9,8,-0.8095238095238096,3,29,69.57564426183016,63.31118503337211,65.82856817959588,-0.09559673450490402,-9.116955786154758,-14.462222692208817,-3.4376624511212976
original_no_subtraction,lambda_D_apparent_nm,Apparent Debye length,nm,2.7,7,-0.642857142857143,4,32,978.7204122882478,652.4661916974734,773.5458675843239,-0.20051745429462997,-18.16927930740056,-46.413093155784765,24.96087651666895
original_no_subtraction,surface_potential_magnitude_apparent_mV,Apparent surface potential,mV,0.1,8,-0.5714285714285715,1,31,50.9967578300219,45.33751806930577,47.85356591482197,-0.05564320497308395,-5.412344025616669,-11.397829055885596,0.9774881066004779
original_no_subtraction,surface_potential_magnitude_apparent_mV,Apparent surface potential,mV,0.3,8,-0.880952380952381,2,30,68.21905012461693,59.52150709972722,63.31778958778705,-0.0837753901870203,-8.036220742820472,-12.326911662914057,-3.5355448784188814
original_no_subtraction,surface_potential_magnitude_apparent_mV,Apparent surface potential,mV,0.9,8,-1.0,3,29,110.69636374952022,95.68758218779577,99.54990578288704,-0.10631831394678515,-10.086160577192777,-13.78691066345381,-6.22655350869905
original_no_subtraction,surface_potential_magnitude_apparent_mV,Apparent surface potential,mV,2.7,7,-0.7142857142857144,4,32,310.82517215959524,267.92903802457266,287.62557790750395,-0.09113706704714097,-8.710742516614317,-15.143074528801625,-1.7908263162742954
shared_empirical_20_200,lambda_D_apparent_nm,Apparent Debye length,nm,0.1,8,-0.261904761904762,1,31,14.554657458906087,11.309665341801129,11.782165180882904,-0.0949983833969561,-9.06255954355264,-29.697272884053973,17.628695443511443
shared_empirical_20_200,lambda_D_apparent_nm,Apparent Debye length,nm,0.3,8,-0.880952380952381,2,30,12.599404785436793,7.620013836460181,9.651106152103255,-0.3315786237089057,-28.221028129179786,-37.816181106877835,-17.145313772263986
shared_empirical_20_200,lambda_D_apparent_nm,Apparent Debye length,nm,0.9,5,-0.8999999999999998,3,24,14.648669758149717,8.4397496068851,9.565620817516857,-0.582507818153831,-44.150399755050366,-89.1420882482208,187.2723520717104
shared_empirical_20_200,lambda_D_apparent_nm,Apparent Debye length,nm,2.7,4,-1.0,11,25,18.92256006002508,8.032829572038406,9.514220562591534,-1.093501109106029,-66.49585786923289,-98.63357817550313,721.5087901804961
shared_empirical_20_200,surface_potential_magnitude_apparent_mV,Apparent surface potential,mV,0.1,8,-0.6428571428571429,1,31,39.4584026800154,33.79098883730984,37.992154284854095,-0.10743138176392497,-10.186185100803838,-17.963161292849477,-1.6719625735166992
shared_empirical_20_200,surface_potential_magnitude_apparent_mV,Apparent surface potential,mV,0.3,8,-0.4047619047619048,2,30,45.67814110694754,38.974765460395275,43.398561349640886,-0.0923244766830249,-8.819075929804773,-19.602376129899397,3.410530238153217
shared_empirical_20_200,surface_potential_magnitude_apparent_mV,Apparent surface potential,mV,0.9,5,-0.6,3,24,49.2536557012636,42.06225822506151,46.870766900814914,-0.20022970804242934,-18.145729436175287,-58.59827173760765,61.8319304709301
shared_empirical_20_200,surface_potential_magnitude_apparent_mV,Apparent surface potential,mV,2.7,4,0.7999999999999999,11,25,36.31652517018486,46.709139801231814,39.722089081869555,0.252820470443921,28.765208447521047,-38.280663208331504,168.6431800539332
shared_empirical_20_250,lambda_D_apparent_nm,Apparent Debye length,nm,0.1,8,-0.14285714285714288,1,31,15.549078234869143,12.33037721494303,12.832427487957343,-0.08001284287531163,-7.689550900537016,-28.602415008449633,19.348840916019782
shared_empirical_20_250,lambda_D_apparent_nm,Apparent Debye length,nm,0.3,8,-0.880952380952381,2,30,13.633387218429975,8.656103427521916,10.521847310430836,-0.288527208995774,-25.063358463751754,-35.0898333848482,-13.48812462574461
shared_empirical_20_250,lambda_D_apparent_nm,Apparent Debye length,nm,0.9,6,-0.942857142857143,3,24,15.306220115276876,9.3426635207143,9.932037063931304,-0.545571290847426,-42.048938035952865,-77.03916317170348,46.263204946524006
shared_empirical_20_250,lambda_D_apparent_nm,Apparent Debye length,nm,2.7,6,-1.0,4,25,47.7687435632496,7.744922965839405,11.534227190981685,-1.5294859888627603,-78.33530023293129,-93.55879375472969,-27.13178275546272
shared_empirical_20_250,surface_potential_magnitude_apparent_mV,Apparent surface potential,mV,0.1,8,-0.6428571428571429,1,31,40.154096208790996,34.55743357250093,38.61849602112555,-0.1028798567138014,-9.776463550822536,-16.977097059669987,-1.9513141422359257
shared_empirical_20_250,surface_potential_magnitude_apparent_mV,Apparent surface potential,mV,0.3,8,-0.3571428571428572,2,30,46.20685805249084,38.709077880536654,44.22661884032797,-0.11392601517858003,-10.767602813000474,-21.271083266164304,1.1371810774121043
shared_empirical_20_250,surface_potential_magnitude_apparent_mV,Apparent surface potential,mV,0.9,6,-0.7142857142857143,3,24,50.69574609888702,42.59234978696667,45.5927898855584,-0.2356834102675327,-20.99692500312651,-51.074052102913925,27.570054893782565
shared_empirical_20_250,surface_potential_magnitude_apparent_mV,Apparent surface potential,mV,2.7,6,0.48571428571428577,4,25,42.184160999025714,50.47576804156573,43.60021868964692,0.09488172171437714,9.952879705362317,-16.905373095586448,45.492388688488575
block_specific_empirical_20_200,lambda_D_apparent_nm,Apparent Debye length,nm,0.1,8,0.7142857142857144,1,31,9.42859253168515,14.11896002446917,12.10962180979697,0.5018082136027571,65.17052079138604,0.7522952278593605,170.775974649499
block_specific_empirical_20_200,lambda_D_apparent_nm,Apparent Debye length,nm,0.3,7,0.5357142857142858,2,30,7.224144819368418,10.650412808829287,10.650412808829287,0.4116132255456866,50.92505838554195,0.8007397928524987,125.97426661242022
block_specific_empirical_20_200,lambda_D_apparent_nm,Apparent Debye length,nm,0.9,6,0.4285714285714286,3,29,7.026298230569801,10.690113172563372,11.205739986635214,0.43091772997772537,53.866895842010976,-18.270937981732107,189.67690380154448
block_specific_empirical_20_200,lambda_D_apparent_nm,Apparent Debye length,nm,2.7,6,0.8857142857142858,4,25,9.11339016072402,26.391711585367492,14.340851227822446,0.9903845175152517,169.22694981215463,36.59116017467416,430.65769711937605
block_specific_empirical_20_200,surface_potential_magnitude_apparent_mV,Apparent surface potential,mV,0.1,8,-0.523809523809524,1,31,38.24222158890616,34.06475448792379,38.567783812858565,-0.08802980192098686,-8.426641430330081,-23.1268919444099,9.084700903016818
block_specific_empirical_20_200,surface_potential_magnitude_apparent_mV,Apparent surface potential,mV,0.3,7,-0.8214285714285715,2,30,49.657986326468006,36.51790676106878,45.86769587882515,-0.24529709592560067,-21.75279655477182,-34.493167229403866,-6.534561540469194
block_specific_empirical_20_200,surface_potential_magnitude_apparent_mV,Apparent surface potential,mV,0.9,6,-0.8285714285714287,3,29,54.91393711952134,39.39052428763609,42.60656465921227,-0.32577910225257334,-27.80353498164667,-41.07360453158923,-11.545080609240072
block_specific_empirical_20_200,surface_potential_magnitude_apparent_mV,Apparent surface potential,mV,2.7,6,-0.14285714285714288,4,25,37.397130482101915,35.29496151576301,39.495977614807174,-0.04296008916224059,-4.205037812396579,-30.481567034110174,32.00347575479774
