acquisition_order,speed_um_per_s,accepted_contacts,map_contact_invOLS_median_nm_per_V,map_contact_invOLS_mad_nm_per_V
1,0.1,37,50.45837024535136,1.5392968340908602
2,0.3,48,50.9523064382239,1.406176981294641
3,0.9,64,51.00345137071201,1.9834192520050586
4,2.7,64,55.654443611609814,7.071086235768645
5,2.7,64,55.35796925962565,7.258230356153189
6,0.9,64,50.02759932913075,2.235102797801086
7,0.3,52,49.85272824887025,1.157402520590451
8,0.1,45,49.60304808603509,1.2915837956446325
9,0.3,53,49.44292706540424,1.2573649895310692
10,0.9,63,49.59436982670208,1.580170500762629
11,2.7,64,52.53842396867717,4.016865852492663
12,0.1,44,49.40183972426132,1.3416470266195641
13,0.1,41,49.83512172971934,1.2139079671264665
14,2.7,64,51.9214623975838,3.2649376151765352
15,0.9,64,50.13201445209299,2.3381370678331517
16,0.3,50,49.503042494024356,1.7548004049815984
17,0.9,64,50.11884166070823,2.0454365554928535
18,2.7,64,52.123383082427054,2.9970082905913
19,0.1,42,49.736772786242085,0.9855927673847189
20,0.3,47,49.938761019217694,1.6539591595772825
21,0.3,51,50.07273059263776,1.3256848253817746
22,0.1,42,49.53707198235168,1.791403568437759
23,2.7,64,52.007990352304375,3.025885115465303
24,0.9,63,49.263759529108675,1.7784843963145183
25,2.7,64,51.71011459486961,2.7959656809731555
26,0.1,45,49.65224005413363,1.3344259011024495
27,0.3,57,49.65148909965793,1.3117812680811565
28,0.9,64,50.33947167538785,1.8893093086213795
29,0.9,64,49.83252517750522,2.831304470617751
30,0.3,53,49.941237689041145,1.2410160717416958
31,0.1,41,49.92479527024961,1.731522896631698
32,2.7,64,51.87214494535791,2.8266586252590327
