acquisition_order,source,speed_um_per_s,distance_nm,available_pixels,map_median_force_pN,map_force_q25_pN,map_force_q75_pN,map_force_spatial_mad_pN
1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.05.27.700.jpk-force-map,0.1,5.0,64,1571.106444812192,690.2706530370982,3166.413487583183,1600.6033015719845
1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.05.27.700.jpk-force-map,0.1,10.0,64,797.5476501427823,445.73768042597675,1340.337744378651,663.2648378933274
1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.05.27.700.jpk-force-map,0.1,15.0,64,885.3258242723703,579.8500077556123,1033.9583049387802,292.9068603138495
1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.05.27.700.jpk-force-map,0.1,20.0,64,758.1496310516037,544.9779397649273,860.7163622686128,224.44735631441074
1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.05.27.700.jpk-force-map,0.1,25.0,64,599.8231783002876,465.67661398100915,725.343611721185,189.21146062059853
1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.05.27.700.jpk-force-map,0.1,30.0,64,517.0639994005332,386.53002978105746,605.247980848929,150.02659554305671
1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.05.27.700.jpk-force-map,0.1,35.0,64,441.58155177058893,342.36404805964474,488.92035724910687,120.16234263649197
1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.05.27.700.jpk-force-map,0.1,40.0,64,378.6201005885938,294.978795254504,426.0315219517492,86.96992953835085
1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.05.27.700.jpk-force-map,0.1,45.0,64,322.20392019117196,247.93823181279265,367.6833249512651,84.88117704709036
1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.05.27.700.jpk-force-map,0.1,50.0,64,275.8467214297426,209.57406543281854,314.9088319968408,73.60374109305023
1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.05.27.700.jpk-force-map,0.1,55.0,64,244.63746459935248,200.26009659637407,267.4910072480099,52.19481407860074
1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.05.27.700.jpk-force-map,0.1,60.0,64,212.14696733486952,152.26308437068388,243.95409991907,64.09200300910982
1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.05.27.700.jpk-force-map,0.1,65.0,64,180.70902762616214,154.6161256528198,218.1340086836677,46.65921222837799
1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.05.27.700.jpk-force-map,0.1,70.0,64,155.36633240167924,129.84959431428834,196.05542481025662,42.99095058572025
1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.05.27.700.jpk-force-map,0.1,75.0,64,143.83677555412442,123.75605629506825,169.94900365784295,34.1130401663513
1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.05.27.700.jpk-force-map,0.1,80.0,64,133.09099974021774,100.71519183494303,154.630075590046,42.11161418190734
1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.05.27.700.jpk-force-map,0.1,85.0,64,119.74337838965647,97.162663046561,141.72393164718665,33.43089677490858
1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.05.27.700.jpk-force-map,0.1,90.0,64,107.5976385666354,85.49160214454822,134.21407737652237,37.2048536756899
1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.05.27.700.jpk-force-map,0.1,95.0,64,94.15846454016501,78.32037348787549,121.88138022970418,37.29436181433881
1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.05.27.700.jpk-force-map,0.1,100.0,64,84.0879021368057,63.91961471478941,108.30475293220809,35.40992565054155
1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.05.27.700.jpk-force-map,0.1,105.0,64,77.94852150914751,51.01109331825823,103.28981676962127,41.30270034491934
1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.05.27.700.jpk-force-map,0.1,110.0,64,81.21534166631915,54.692907540309086,107.96986331684516,39.769369925866904
1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.05.27.700.jpk-force-map,0.1,115.0,64,72.04663773439444,49.81810860341446,93.59591095520001,32.32317215123887
1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.05.27.700.jpk-force-map,0.1,120.0,64,74.59684199511457,52.5929035399639,92.74353168510723,31.609882678618078
