acquisition_order,block,position_in_block,map_midpoint_time,elapsed_midpoint_min,speed_um_per_s,source,contact_plane_within_window_mad_nm_median,contact_plane_within_window_mad_nm_q95,terminal_reconstructed_distance_nm_median,terminal_reconstructed_distance_nm_mad,force_scale_pN_per_V
1,1,1,2026-09-12T15:08:23.308000+02:00,0.0,0.1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.05.27.700.jpk-force-map,0.275376542087095,0.7870064687633659,0.10095148798750261,0.2997452803090809,11914.630436608768
2,1,2,2026-09-12T15:12:39.183834+02:00,4.264597233333333,0.3,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.11.30.037.jpk-force-map,0.2368336824905739,0.5420429637878234,-0.013101953477867741,0.2742145495411368,11914.630436608768
3,1,3,2026-09-12T15:14:28.524500+02:00,6.086941666666666,0.9,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.13.54.693.jpk-force-map,0.15301616314179992,0.33599625433399694,-0.0470889088694513,0.17125000447092814,11914.630436608768
4,1,4,2026-09-12T15:15:43.356000+02:00,7.334133333333333,2.7,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.15.21.190.jpk-force-map,0.3145238706556395,1.2854334976773565,-0.3485288327126712,0.43288490755958037,11914.630436608768
5,1,5,2026-09-12T15:17:16.801500+02:00,8.891558333333334,2.7,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.16.54.635.jpk-force-map,0.3067751233224261,1.2366410694966081,-0.3870300066345891,0.4369783741907422,11914.630436608768
6,1,6,2026-09-12T15:18:43.630000+02:00,10.3387,0.9,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.18.09.797.jpk-force-map,0.1519205920683813,0.3243026726036723,0.004639889183417456,0.2171779595933751,11914.630436608768
7,1,7,2026-09-12T15:20:45.779834+02:00,12.374530566666666,0.3,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.19.36.626.jpk-force-map,0.20038807547041795,0.5454284925907654,0.07449415924242885,0.27214306224706797,11914.630436608768
8,1,8,2026-09-12T15:25:11.500000+02:00,16.8032,0.1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.22.15.764.jpk-force-map,0.229175910660144,0.8129878616643957,0.11738496574606103,0.2244901976454708,11914.630436608768
9,2,1,2026-09-12T15:29:22.740834+02:00,20.990547233333334,0.3,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.28.13.596.jpk-force-map,0.2249182980288435,0.4639180624276491,0.08320320907436993,0.31635994469904466,11914.630436608768
10,2,2,2026-09-12T15:31:18.881500+02:00,22.926225,0.9,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.30.45.054.jpk-force-map,0.15807300757085796,0.3418330469689615,0.08830417351145486,0.15238271322250932,11914.630436608768
11,2,3,2026-09-12T15:32:25.682500+02:00,24.039575,2.7,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.32.03.517.jpk-force-map,0.14783817167378766,0.9805182613673858,-0.19001145937041602,0.2853295474053092,11914.630436608768
12,2,4,2026-09-12T15:36:05.974500+02:00,27.711108333333335,0.1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.33.10.264.jpk-force-map,0.25737486752286387,0.6825106260662241,0.23758704411230053,0.2851150049033786,11914.630436608768
13,2,5,2026-09-12T15:42:10.514000+02:00,33.786766666666665,0.1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.39.14.852.jpk-force-map,0.2680426664895832,0.7307639081407059,0.19720110540978236,0.2920578099646973,11914.630436608768
14,2,6,2026-09-12T15:45:41.267500+02:00,37.299324999999996,2.7,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.45.19.105.jpk-force-map,0.12158069245307469,0.7680767868599787,-0.1343278824947374,0.2661032752400208,11914.630436608768
15,2,7,2026-09-12T15:47:01.790000+02:00,38.64136666666666,0.9,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.46.27.970.jpk-force-map,0.16195610805104915,0.42925647714607135,-0.03309100951035053,0.2058449050133574,11914.630436608768
16,2,8,2026-09-12T15:49:08.433334+02:00,40.7520889,0.3,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.47.59.314.jpk-force-map,0.223712638039626,0.5364695559274554,0.10157229020322106,0.23778450307203472,11914.630436608768
17,3,1,2026-09-12T15:50:59.940000+02:00,42.610533333333336,0.9,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.50.26.125.jpk-force-map,0.1621905756951013,0.3582482372331489,0.027443280649672816,0.22647158904141274,11914.630436608768
18,3,2,2026-09-12T15:52:28.740500+02:00,44.09054166666667,2.7,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.52.06.579.jpk-force-map,0.1365717145763019,0.7222421385967879,-0.12394441120976353,0.20711653178422024,11914.630436608768
19,3,3,2026-09-12T15:56:27.118500+02:00,48.06350833333333,0.1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.53.31.481.jpk-force-map,0.2661928254885777,0.7504381671033878,0.20783010692376447,0.3170093382499592,11914.630436608768
20,3,4,2026-09-12T16:00:46.567334+02:00,52.387655566666666,0.3,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.59.37.465.jpk-force-map,0.24897619025118745,0.6257256790109154,0.037595575888492674,0.25264202884937853,11914.630436608768
21,3,5,2026-09-12T16:03:18.405334+02:00,54.9182889,0.3,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-16.02.09.306.jpk-force-map,0.2158490779317726,0.5406561213500536,0.041265337570662905,0.28254213564883346,11914.630436608768
22,3,6,2026-09-12T16:08:04.827500+02:00,59.69199166666667,0.1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-16.05.09.289.jpk-force-map,0.28858073481005575,0.9480310350118353,0.23963979194268692,0.3767389874744773,11914.630436608768
23,3,7,2026-09-12T16:11:30.351500+02:00,63.11739166666667,2.7,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-16.11.08.194.jpk-force-map,0.14610092691307053,0.6285053891806697,-0.11970092805175528,0.20968185588613147,11914.630436608768
24,3,8,2026-09-12T16:12:38.480000+02:00,64.25286666666666,0.9,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-16.12.04.675.jpk-force-map,0.15623010995720488,0.505239066670843,0.05679106951162116,0.192612399436117,11914.630436608768
25,4,1,2026-09-12T16:13:55.167000+02:00,65.53098333333334,2.7,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-16.13.33.010.jpk-force-map,0.1512213195406315,0.6973557783323071,-0.13031723155591174,0.2530480809625367,11914.630436608768
26,4,2,2026-09-12T16:17:54.764000+02:00,69.52426666666666,0.1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-16.14.59.227.jpk-force-map,0.25777753719114715,0.6071865355908914,0.1297795682108049,0.22965895012647056,11914.630436608768
27,4,3,2026-09-12T16:22:10.605834+02:00,73.78829723333334,0.3,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-16.21.01.539.jpk-force-map,0.1955356679927292,0.4132127041896655,0.07627602428965125,0.26177754431491257,11914.630436608768
28,4,4,2026-09-12T16:24:03.724500+02:00,75.67360833333333,0.9,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-16.23.29.925.jpk-force-map,0.1562499314178376,0.34541596984520784,-0.013611093547517513,0.24211625126475428,11914.630436608768
29,4,5,2026-09-12T16:25:27.304500+02:00,77.06660833333333,0.9,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-16.24.53.504.jpk-force-map,0.17321308694179932,0.39918953031989446,0.009940874066062153,0.22372304268407403,11914.630436608768
30,4,6,2026-09-12T16:27:48.549834+02:00,79.42069723333334,0.3,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-16.26.39.509.jpk-force-map,0.20746628962278835,0.4821788375499127,0.06443067662785604,0.24999307212075683,11914.630436608768
31,4,7,2026-09-12T16:32:13.277500+02:00,83.832825,0.1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-16.29.17.790.jpk-force-map,0.2758901871069268,0.5140716846960951,0.13575109366997762,0.2299769557962479,11914.630436608768
32,4,8,2026-09-12T16:35:33.408000+02:00,87.16833333333334,2.7,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-16.35.11.254.jpk-force-map,0.178332184797257,0.6261791967618694,-0.1306036454538814,0.24939390954244733,11914.630436608768
