block,distance_nm,speed_um_per_s,pair_mean_force_pN,double_centered_interaction_pN
1,20.0,0.1,718.5923722672471,-792.3734334276793
1,20.0,0.3,1149.95140341091,-491.8889950352984
1,20.0,0.9,2080.0625402282267,145.6729906699902
1,20.0,2.7,3562.3078766212,1138.589437792988
1,25.0,0.1,575.274221249919,-675.3240517559099
1,25.0,0.3,964.7375815367939,-416.735284220317
1,25.0,0.9,1776.086060313798,102.06404344465909
1,25.0,2.7,3153.346198670682,989.9952925315673
1,30.0,0.1,487.8978202233252,-558.5423386465876
1,30.0,0.3,824.9436369590469,-352.3711146621479
1,30.0,0.9,1534.9125539987713,65.04865126554841
1,30.0,2.7,2805.057594046386,845.8648020431873
1,35.0,0.1,418.37075321766474,-465.24143904201776
1,35.0,0.3,712.7108252477757,-301.7759597631888
1,35.0,0.9,1350.2856401130916,43.24970399009908
1,35.0,2.7,2520.132520208076,723.7676948151078
1,40.0,0.1,348.3281846718436,-396.2320542896857
1,40.0,0.3,616.9473640997423,-258.48746761306893
1,40.0,0.9,1229.3891221380825,61.405139313243126
1,40.0,2.7,2250.6272546843265,593.3143825895114
1,45.0,0.1,297.4157515390797,-321.2250497622854
1,45.0,0.3,531.3909577040502,-218.12443634859687
1,45.0,0.9,1076.1181713703754,34.05362620570031
1,45.0,2.7,2036.6892943398327,505.2958599051818
1,50.0,0.1,256.21769351698777,-258.1703746455705
1,50.0,0.3,465.3464792729901,-179.91618164085014
1,50.0,0.9,959.4833260829438,21.671514057075456
1,50.0,2.7,1843.5557435251894,416.4150422293453
1,55.0,0.1,220.98002782465662,-216.08354864391197
1,55.0,0.3,420.48800411189785,-147.45016510795278
1,55.0,0.9,871.5711116123418,11.083791280463174
1,55.0,2.7,1702.266132073256,352.44992247140146
1,60.0,0.1,191.79827508332306,-173.6668074552182
1,60.0,0.3,378.7519540035818,-117.5877212862415
1,60.0,0.9,795.7192143087731,6.830387906921715
1,60.0,2.7,1562.641856506365,284.42414083453787
1,65.0,0.1,163.78610529159204,-132.02611436287805
1,65.0,0.3,331.9737139954592,-94.7130984102929
1,65.0,0.9,726.8098130806956,7.57384956291537
1,65.0,2.7,1427.7302159980113,219.16536321025535
1,70.0,0.1,143.17805521068885,-98.97984588344582
1,70.0,0.3,303.74511308144304,-69.2873807639736
1,70.0,0.9,667.9300853663368,2.3484404088920883
1,70.0,2.7,1320.8293204659476,165.9187862385271
1,75.0,0.1,129.66662150343956,-61.91804572581361
1,75.0,0.3,267.07783562148626,-55.38142435904899
1,75.0,0.9,614.8300469350237,-0.17836415753959045
1,75.0,2.7,1221.8151346049412,117.4778342424022
1,80.0,0.1,114.67790269795836,-32.534602903344535
1,80.0,0.3,254.809934442001,-23.27716391058391
1,80.0,0.9,558.7792322925487,-11.857017172064275
1,80.0,2.7,1127.6339227205817,67.66878398599295
1,85.0,0.1,103.30959850958422,-2.643830519975495
1,85.0,0.3,220.26388410541495,-16.564137675426764
1,85.0,0.9,526.7704634719834,-2.606709420886432
1,85.0,2.7,1040.5207397791344,21.814677616288805
1,90.0,0.1,91.80715457446672,19.64475002575557
1,90.0,0.3,204.888974044875,1.8519767448818811
1,90.0,0.9,482.53684443616544,-13.049303975855764
1,90.0,2.7,976.4676148872154,-8.447422794781573
1,95.0,0.1,81.43000005311325,36.15389187371517
1,95.0,0.3,198.56493899279437,22.41423806211435
1,95.0,0.9,459.5701863523335,-9.129665690374622
1,95.0,2.7,908.5902770672292,-49.438464245454725
1,100.0,0.1,72.50088049439279,55.578363506830215
1,100.0,0.3,182.46997525435992,34.672865515515355
1,100.0,0.9,431.3298389947383,-9.016421856134343
1,100.0,2.7,848.4403429546371,-81.23480716621123
1,105.0,0.1,65.41620109196462,73.02437742311969
1,105.0,0.3,169.982395698794,46.71597927866708
1,105.0,0.9,409.9029425094748,-5.912625022680174
1,105.0,2.7,791.3167251230241,-113.8277316791067
1,110.0,0.1,61.76576594486265,96.59266796891524
1,110.0,0.3,152.59701306400592,56.54932233677653
1,110.0,0.9,371.7773001749344,-16.819541664323083
1,110.0,2.7,741.6032824678646,-136.32244864136862
1,115.0,0.1,57.62579072034932,112.48300294436672
1,115.0,0.3,145.7796356654,69.76225513813546
1,115.0,0.9,346.2741806723421,-22.292350966950494
1,115.0,2.7,697.9425137937169,-159.9529071155515
1,120.0,0.1,58.05162000963027,132.69530432361097
1,120.0,0.3,132.34721294465342,76.1163045073522
1,120.0,0.9,326.64173982957664,-22.138319719752758
1,120.0,2.7,651.4356597080946,-186.67328911121047
1,125.0,0.1,50.56829878465382,145.24020784925438
1,125.0,0.3,126.59484366931233,90.39215998263091
1,125.0,0.9,304.12932450574345,-24.622510292966012
1,125.0,2.7,607.0708665297661,-211.00985753891916
1,130.0,0.1,48.22747612330885,163.10019485075327
1,130.0,0.3,116.0578613042201,100.05598728038251
1,130.0,0.9,281.3357566465888,-27.21526848927681
1,130.0,2.7,561.9390007639824,-235.94091364185897
1,135.0,0.1,42.788839610791555,171.96753167828427
1,135.0,0.3,115.37604569653953,113.68014501275024
1,135.0,0.9,264.9798528709525,-29.265198924864876
1,135.0,2.7,527.1914632996234,-256.3824777661697
