fit_range,minimum_distance_nm,maximum_distance_nm,block,model,coefficient_pN_nm_per_um_s_to_alpha,velocity_exponent_alpha,distance_shift_D0_nm,interaction_rms_pN,residual_rmse_pN,normalized_rmse,first_singular_value_variance_fraction,coefficient_over_bulk_no_slip,optimizer_success,optimizer_nfev,optimizer_message
primary_20_200,20.0,200.0,1,additive_null,0.0,1.0,0.0,273.8296573938105,273.8296573938105,1.0,0.998996430661896,0.0,True,0,closed form
primary_20_200,20.0,200.0,1,theoretical_no_slip,314782.4455707509,1.0,0.0,273.8296573938105,3050.676829014203,11.140783135213312,0.998996430661896,1.0,True,0,fixed physical coefficient
primary_20_200,20.0,200.0,1,classical_fitted,24950.304999404027,1.0,0.0,273.8296573938105,77.83985087317505,0.2842637704550351,0.998996430661896,0.07926205971926145,True,0,closed form
primary_20_200,20.0,200.0,1,distance_shift_only,75207.40763693143,1.0,37.40450644344445,273.8296573938105,40.96854311411604,0.149613243152829,0.998996430661896,0.2389186839836903,True,9,`ftol` termination condition is satisfied.
primary_20_200,20.0,200.0,1,velocity_power_only,45380.58719706242,0.5709970921307571,0.0,273.8296573938105,66.58153206195263,0.2431494553791075,0.998996430661896,nan,True,11,`ftol` termination condition is satisfied.
primary_20_200,20.0,200.0,1,velocity_power_and_shift,130041.0803122226,0.5877309394166668,36.28904197561612,273.8296573938105,10.271382743227822,0.03751011793604205,0.998996430661896,nan,True,9,`ftol` termination condition is satisfied.
primary_20_200,20.0,200.0,2,additive_null,0.0,1.0,0.0,253.83004084597727,253.83004084597727,1.0,0.9991527960835406,0.0,True,0,closed form
primary_20_200,20.0,200.0,2,theoretical_no_slip,314782.4455707509,1.0,0.0,253.83004084597727,3069.8947878132967,12.094292612418137,0.9991527960835406,1.0,True,0,fixed physical coefficient
primary_20_200,20.0,200.0,2,classical_fitted,23111.413440528297,1.0,0.0,253.83004084597727,72.74132284614664,0.2865749168369149,0.9991527960835406,0.07342027411542473,True,0,closed form
primary_20_200,20.0,200.0,2,distance_shift_only,75662.25994999356,1.0,41.53365947810188,253.83004084597727,33.262621334028815,0.13104288689853066,0.9991527960835406,0.2403636575502353,True,12,`ftol` termination condition is satisfied.
primary_20_200,20.0,200.0,2,velocity_power_only,39020.1058668974,0.615596242851085,0.0,253.83004084597727,64.96697707552197,0.25594676208929734,0.9991527960835406,nan,True,9,`ftol` termination condition is satisfied.
primary_20_200,20.0,200.0,2,velocity_power_and_shift,122350.7595094147,0.6319556718642195,40.6332810308012,253.83004084597727,8.414072892126498,0.033148451869934946,0.9991527960835406,nan,True,9,`ftol` termination condition is satisfied.
primary_20_200,20.0,200.0,3,additive_null,0.0,1.0,0.0,246.97585947489188,246.97585947489188,1.0,0.9992283759821329,0.0,True,0,closed form
primary_20_200,20.0,200.0,3,theoretical_no_slip,314782.4455707509,1.0,0.0,246.97585947489188,3075.0427114208733,12.450782509508745,0.9992283759821329,1.0,True,0,fixed physical coefficient
primary_20_200,20.0,200.0,3,classical_fitted,22608.338417473882,1.0,0.0,246.97585947489188,66.37198817339684,0.26873876788814,0.9992283759821329,0.07182210677752804,True,0,closed form
primary_20_200,20.0,200.0,3,distance_shift_only,71668.24111411996,1.0,39.91738710347265,246.97585947489188,24.67482211508973,0.09990782972697065,0.9992283759821329,0.22767546959035143,True,9,`ftol` termination condition is satisfied.
primary_20_200,20.0,200.0,3,velocity_power_only,32866.09292384867,0.7132233482579328,0.0,246.97585947489188,62.45032188870517,0.25286002454443934,0.9992283759821329,nan,True,17,`ftol` termination condition is satisfied.
primary_20_200,20.0,200.0,3,velocity_power_and_shift,102859.68518888447,0.7189276010358712,39.677986187089545,246.97585947489188,9.502285318325441,0.03847455106960146,0.9992283759821329,nan,True,14,`ftol` termination condition is satisfied.
primary_20_200,20.0,200.0,4,additive_null,0.0,1.0,0.0,245.1137726875713,245.1137726875713,1.0,0.9994948326898717,0.0,True,0,closed form
primary_20_200,20.0,200.0,4,theoretical_no_slip,314782.4455707509,1.0,0.0,245.1137726875713,3075.9161076691444,12.548932171142383,0.9994948326898717,1.0,True,0,fixed physical coefficient
primary_20_200,20.0,200.0,4,classical_fitted,22518.12051921787,1.0,0.0,245.1137726875713,62.76688694362702,0.2560724607818403,0.9994948326898717,0.07153550280857916,True,0,closed form
primary_20_200,20.0,200.0,4,distance_shift_only,63034.91622059988,1.0,33.921988505410155,245.1137726875713,28.458601199840626,0.11610363990486465,0.9994948326898717,0.20024914701424185,True,9,`ftol` termination condition is satisfied.
primary_20_200,20.0,200.0,4,velocity_power_only,35063.58483101066,0.6671800218914687,0.0,245.1137726875713,56.59765079317031,0.23090359294216903,0.9994948326898717,nan,True,8,`ftol` termination condition is satisfied.
primary_20_200,20.0,200.0,4,velocity_power_and_shift,96079.93219426944,0.6752569299351486,33.48381115641141,245.1137726875713,8.655986669991167,0.03531415870712546,0.9994948326898717,nan,True,14,`ftol` termination condition is satisfied.
sensitivity_20_250,20.0,250.0,1,additive_null,0.0,1.0,0.0,280.3452720663892,280.3452720663892,1.0,0.9988376773019694,0.0,True,0,closed form
sensitivity_20_250,20.0,250.0,1,theoretical_no_slip,314782.4455707509,1.0,0.0,280.3452720663892,2893.9736536947253,10.322890885098989,0.9988376773019694,1.0,True,0,fixed physical coefficient
sensitivity_20_250,20.0,250.0,1,classical_fitted,26669.15536906348,1.0,0.0,280.3452720663892,83.02260305012753,0.2961441169960832,0.9988376773019694,0.08472249880614542,True,0,closed form
sensitivity_20_250,20.0,250.0,1,distance_shift_only,81188.10908974617,1.0,40.94865105341779,280.3452720663892,39.3480146044962,0.14035554912150652,0.9988376773019694,0.2579181597707558,True,9,`ftol` termination condition is satisfied.
sensitivity_20_250,20.0,250.0,1,velocity_power_only,46585.20134781833,0.5948938391977324,0.0,280.3452720663892,73.6003479034555,0.26253465007972754,0.9988376773019694,nan,True,8,`ftol` termination condition is satisfied.
sensitivity_20_250,20.0,250.0,1,velocity_power_and_shift,134267.09614891658,0.615222455964362,39.752553449314654,280.3452720663892,12.014317233373053,0.04285543018013842,0.9988376773019694,nan,True,7,`ftol` termination condition is satisfied.
sensitivity_20_250,20.0,250.0,2,additive_null,0.0,1.0,0.0,260.069891588792,260.069891588792,1.0,0.9990908310493788,0.0,True,0,closed form
sensitivity_20_250,20.0,250.0,2,theoretical_no_slip,314782.4455707509,1.0,0.0,260.069891588792,2913.3276018028014,11.202094883052407,0.9990908310493788,1.0,True,0,fixed physical coefficient
