block,speed_low_um_per_s,speed_high_um_per_s,delta_speed_um_per_s,distance_nm,reference_distance_nm,speed_contrast_pN,reference_speed_contrast_pN,distance_double_difference_pN,double_difference_per_delta_speed_pN_per_um_s,classical_pair_coefficient_pN_nm_per_um_s
1,0.1,0.3,0.19999999999999998,20.0,200.0,431.35903114366283,32.6529013733509,398.7061297703119,1993.5306488515598,44300.681085590215
1,0.1,0.3,0.19999999999999998,25.0,200.0,389.46336028687483,32.6529013733509,356.8104589135239,1784.0522945676198,50972.92270193199
1,0.1,0.3,0.19999999999999998,30.0,200.0,337.0458167357217,32.6529013733509,304.3929153623708,1521.9645768118542,53716.39682865368
1,0.1,0.3,0.19999999999999998,35.0,200.0,294.34007203011095,32.6529013733509,261.68717065676003,1308.4358532838003,55509.39983628244
1,0.1,0.3,0.19999999999999998,40.0,200.0,268.61917942789876,32.6529013733509,235.96627805454784,1179.8313902727393,58991.56951363697
1,0.1,0.3,0.19999999999999998,45.0,200.0,233.97520616497047,32.6529013733509,201.32230479161956,1006.6115239580979,58448.41106853472
1,0.1,0.3,0.19999999999999998,50.0,200.0,209.12878575600234,32.6529013733509,176.47588438265143,882.3794219132573,58825.29479421715
1,0.1,0.3,0.19999999999999998,55.0,200.0,199.50797628724123,32.6529013733509,166.85507491389035,834.2753745694519,63289.856001820495
1,0.1,0.3,0.19999999999999998,60.0,200.0,186.9536789202587,32.6529013733509,154.3007775469078,771.503887734539,66128.9046629605
1,0.1,0.3,0.19999999999999998,65.0,200.0,168.18760870386717,32.6529013733509,135.53470733051626,677.6735366525813,65257.45167765598
1,0.1,0.3,0.19999999999999998,70.0,200.0,160.56705787075418,32.6529013733509,127.91415649740328,639.5707824870165,68876.85349860178
1,0.1,0.3,0.19999999999999998,75.0,200.0,137.4112141180467,32.6529013733509,104.7583127446958,523.791563723479,62854.98764681747
1,0.1,0.3,0.19999999999999998,80.0,200.0,140.13203174404265,32.6529013733509,107.47913037069175,537.3956518534588,71652.75358046117
1,0.1,0.3,0.19999999999999998,85.0,200.0,116.95428559583073,32.6529013733509,84.30138422247983,421.50692111239914,62309.71877313727
1,0.1,0.3,0.19999999999999998,90.0,200.0,113.08181947040828,32.6529013733509,80.42891809705738,402.1445904852869,65805.47844304694
1,0.1,0.3,0.19999999999999998,95.0,200.0,117.13493893968112,32.6529013733509,84.48203756633022,422.4101878316511,76436.12922667972
1,0.1,0.3,0.19999999999999998,100.0,200.0,109.96909475996713,32.6529013733509,77.31619338661623,386.5809669330812,77316.19338661623
1,0.1,0.3,0.19999999999999998,105.0,200.0,104.56619460682937,32.6529013733509,71.91329323347847,359.5664661673924,79483.11357384462
1,0.1,0.3,0.19999999999999998,110.0,200.0,90.83124711914327,32.6529013733509,58.17834574579237,290.8917287289619,71106.86702263514
1,0.1,0.3,0.19999999999999998,115.0,200.0,88.15384494505068,32.6529013733509,55.50094357169978,277.5047178584989,75089.51189112323
1,0.1,0.3,0.19999999999999998,120.0,200.0,74.29559293502315,32.6529013733509,41.64269156167225,208.21345780836128,62464.03734250839
1,0.1,0.3,0.19999999999999998,125.0,200.0,76.0265448846585,32.6529013733509,43.373643511307606,216.86821755653804,72289.40585217935
1,0.1,0.3,0.19999999999999998,130.0,200.0,67.83038518091125,32.6529013733509,35.17748380756035,175.88741903780178,65329.612785469224
1,0.1,0.3,0.19999999999999998,135.0,200.0,72.58720608574798,32.6529013733509,39.93430471239708,199.67152356198542,82940.47901805548
1,0.1,0.3,0.19999999999999998,140.0,200.0,65.57793421216572,32.6529013733509,32.925032838814815,164.62516419407407,76825.07662390124
1,0.1,0.3,0.19999999999999998,145.0,200.0,68.1849654143204,32.6529013733509,35.5320640409695,177.66032020484752,93675.44156255598
1,0.1,0.3,0.19999999999999998,150.0,200.0,59.82465371764626,32.6529013733509,27.171752344295356,135.85876172147678,81515.25703288606
1,0.1,0.3,0.19999999999999998,155.0,200.0,50.55326366822472,32.6529013733509,17.900362294873823,89.50181147436912,61656.80346012095
1,0.1,0.3,0.19999999999999998,160.0,200.0,49.945546747297875,32.6529013733509,17.292645373946975,86.46322686973488,69170.58149578789
1,0.1,0.3,0.19999999999999998,165.0,200.0,58.48585736677637,32.6529013733509,25.83295599342547,129.16477996712737,121783.93539757725
1,0.1,0.3,0.19999999999999998,170.0,200.0,55.88620703995974,32.6529013733509,23.233305666608842,116.16652833304423,131655.39877745014
1,0.1,0.3,0.19999999999999998,175.0,200.0,48.78949126057683,32.6529013733509,16.13658988722593,80.68294943612966,112956.12921058154
1,0.1,0.3,0.19999999999999998,180.0,200.0,40.58933047625931,32.6529013733509,7.936429102908413,39.682145514542064,71427.8619261757
1,0.1,0.3,0.19999999999999998,185.0,200.0,44.773955440471575,32.6529013733509,12.121054067120674,60.60527033560338,149493.00016115492
1,0.1,0.3,0.19999999999999998,190.0,200.0,42.05547384909346,32.6529013733509,9.40257247574256,47.0128623787128,178648.8770391088
1,0.1,0.3,0.19999999999999998,195.0,200.0,36.91817751858517,32.6529013733509,4.265276145234267,21.326380726171337,166345.76966413658
1,0.1,0.3,0.19999999999999998,200.0,200.0,32.6529013733509,32.6529013733509,0.0,0.0,nan
1,0.3,0.9,0.6000000000000001,20.0,200.0,930.1111368173167,61.41559269874865,868.695544118568,1447.82590686428,32173.909041428436
1,0.3,0.9,0.6000000000000001,25.0,200.0,811.3484787770042,61.41559269874865,749.9328860782555,1249.888143463759,35711.089813250255
1,0.3,0.9,0.6000000000000001,30.0,200.0,709.9689170397244,61.41559269874865,648.5533243409757,1080.9222072349594,38150.19554946916
1,0.3,0.9,0.6000000000000001,35.0,200.0,637.574814865316,61.41559269874865,576.1592221665672,960.265370277612,40738.530860262326
1,0.3,0.9,0.6000000000000001,40.0,200.0,612.4417580383401,61.41559269874865,551.0261653395914,918.3769422326523,45918.84711163261
1,0.3,0.9,0.6000000000000001,45.0,200.0,544.7272136663253,61.41559269874865,483.31162096757663,805.5193682792942,46772.09235170096
1,0.3,0.9,0.6000000000000001,50.0,200.0,494.1368468099537,61.41559269874865,432.72125411120504,721.2020901853416,48080.139345689444
1,0.3,0.9,0.6000000000000001,55.0,200.0,451.083107500444,61.41559269874865,389.66751480169535,649.4458580028255,49268.30646917987
1,0.3,0.9,0.6000000000000001,60.0,200.0,416.9672603051913,61.41559269874865,355.55166760644266,592.5861126774043,50793.09537234895
1,0.3,0.9,0.6000000000000001,65.0,200.0,394.83609908523636,61.41559269874865,333.4205063864877,555.7008439774794,53511.93312375728
1,0.3,0.9,0.6000000000000001,70.0,200.0,364.1849722848938,61.41559269874865,302.76937958614513,504.61563264357517,54343.2219770004
1,0.3,0.9,0.6000000000000001,75.0,200.0,347.75221131353743,61.41559269874865,286.3366186147888,477.2276976913146,57267.323722957735
1,0.3,0.9,0.6000000000000001,80.0,200.0,303.9692978505477,61.41559269874865,242.55370515179908,404.2561752529984,53900.82336706645
1,0.3,0.9,0.6000000000000001,85.0,200.0,306.5065793665684,61.41559269874865,245.09098666781978,408.4849777796996,60384.735845694726
1,0.3,0.9,0.6000000000000001,90.0,200.0,277.64787039129044,61.41559269874865,216.2322776925418,360.3871294875696,58972.4393706932
1,0.3,0.9,0.6000000000000001,95.0,200.0,261.0052473595391,61.41559269874865,199.58965466079047,332.6494244346507,60193.70537388918
1,0.3,0.9,0.6000000000000001,100.0,200.0,248.85986374037836,61.41559269874865,187.44427104162972,312.40711840271615,62481.42368054323
1,0.3,0.9,0.6000000000000001,105.0,200.0,239.92054681068083,61.41559269874865,178.5049541119322,297.5082568532203,65764.98309386974
1,0.3,0.9,0.6000000000000001,110.0,200.0,219.18028711092848,61.41559269874865,157.76469441217984,262.941157353633,64274.50513088808
1,0.3,0.9,0.6000000000000001,115.0,200.0,200.49454500694208,61.41559269874865,139.07895230819344,231.798253846989,62721.88045271467
1,0.3,0.9,0.6000000000000001,120.0,200.0,194.29452688492321,61.41559269874865,132.87893418617458,221.46489031029094,66439.46709308728
1,0.3,0.9,0.6000000000000001,125.0,200.0,177.53448083643113,61.41559269874865,116.11888813768249,193.5314802294708,64510.4934098236
1,0.3,0.9,0.6000000000000001,130.0,200.0,165.27789534236868,61.41559269874865,103.86230264362004,173.1038377393667,64295.71116033619
1,0.3,0.9,0.6000000000000001,135.0,200.0,149.603807174413,61.41559269874865,88.18821447566435,146.98035745944057,61053.379252383
1,0.3,0.9,0.6000000000000001,140.0,200.0,146.80550278308385,61.41559269874865,85.38991008433521,142.31651680722533,66414.3745100385
1,0.3,0.9,0.6000000000000001,145.0,200.0,151.14990588817113,61.41559269874865,89.7343131894225,149.55718864903747,78857.42674221976
1,0.3,0.9,0.6000000000000001,150.0,200.0,137.72058959643888,61.41559269874865,76.30499689769024,127.17499482948372,76304.99689769022
1,0.3,0.9,0.6000000000000001,155.0,200.0,124.94446834640297,61.41559269874865,63.528875647654324,105.8814594127572,72940.5609287883
1,0.3,0.9,0.6000000000000001,160.0,200.0,109.70256315053946,61.41559269874865,48.286970451790815,80.47828408631801,64382.6272690544
1,0.3,0.9,0.6000000000000001,165.0,200.0,107.88969259684465,61.41559269874865,46.47409989809601,77.45683316349333,73030.72841129372
1,0.3,0.9,0.6000000000000001,170.0,200.0,100.3206422148834,61.41559269874865,38.90504951613476,64.84174919355792,73487.31575269898
1,0.3,0.9,0.6000000000000001,175.0,200.0,96.99349106434734,61.41559269874865,35.57789836559869,59.29649727599781,83015.09618639694
1,0.3,0.9,0.6000000000000001,180.0,200.0,99.73595428771657,61.41559269874865,38.32036158896792,63.867269314946526,114961.08476690372
1,0.3,0.9,0.6000000000000001,185.0,200.0,85.37515661747001,61.41559269874865,23.959563918721365,39.93260653120227,98500.42944363221
1,0.3,0.9,0.6000000000000001,190.0,200.0,76.29711899370967,61.41559269874865,14.881526294961027,24.802543824935043,94249.66653475324
1,0.3,0.9,0.6000000000000001,195.0,200.0,66.54014852839296,61.41559269874865,5.124555829644315,8.540926382740524,66619.22578537614
1,0.3,0.9,0.6000000000000001,200.0,200.0,61.41559269874865,61.41559269874865,0.0,0.0,nan
1,0.9,2.7,1.8000000000000003,20.0,200.0,1482.2453363929735,42.307094599252565,1439.9382417937209,799.9656898854004,17777.01533078667
1,0.9,2.7,1.8000000000000003,25.0,200.0,1377.260138356884,42.307094599252565,1334.9530437576313,741.6405798653507,21189.730853295732
1,0.9,2.7,1.8000000000000003,30.0,200.0,1270.1450400476147,42.307094599252565,1227.837945448362,682.1321919157566,24075.25383232082
1,0.9,2.7,1.8000000000000003,35.0,200.0,1169.8468800949845,42.307094599252565,1127.5397854957318,626.4109919420731,26575.01177936068
1,0.9,2.7,1.8000000000000003,40.0,200.0,1021.2381325462441,42.307094599252565,978.9310379469915,543.8505766372174,27192.52883186087
1,0.9,2.7,1.8000000000000003,45.0,200.0,960.5711229694573,42.307094599252565,918.2640283702048,510.14668242789145,29621.4202700066
1,0.9,2.7,1.8000000000000003,50.0,200.0,884.0724174422456,42.307094599252565,841.7653228429931,467.64740157944055,31176.49343862937
1,0.9,2.7,1.8000000000000003,55.0,200.0,830.6950204609141,42.307094599252565,788.3879258616615,437.99329214536743,33227.07733516581
1,0.9,2.7,1.8000000000000003,60.0,200.0,766.9226421975919,42.307094599252565,724.6155475983394,402.5641931101885,34505.50226658759
1,0.9,2.7,1.8000000000000003,65.0,200.0,700.9204029173158,42.307094599252565,658.6133083180632,365.896282398924,35234.456823600085
