branch,approach_speed_um_per_s,scanner_travel_bin_center_nm,contributing_curves,delta_V_q25,delta_V_median,delta_V_q75,delta_nN_prior_D3_scale_q25,delta_nN_prior_D3_scale_median,delta_nN_prior_D3_scale_q75
approach,0.1,2.5,512,-0.005019507438336734,-0.0017358024450513099,0.00020858468881193581,-0.10955364190701831,-0.03788488847214273,0.004552481012551632
approach,0.1,7.5,512,-0.00017478235553870097,0.0013095862954384113,0.0027030220950748293,-0.003814725613136437,0.0285824754359441,0.05899501461217291
approach,0.1,12.5,512,-0.0009297609246592398,0.0012666607111632144,0.0034032048418195238,-0.020292567876542187,0.02764559982691169,0.07427690648078196
approach,0.1,17.5,512,-0.0005724572327174549,0.001611553249802472,0.0034984935205895017,-0.012494208933972989,0.03517307819777907,0.07635663679695381
approach,0.1,22.5,512,-0.0007193755027198601,0.0013023805818747625,0.00371253811567486,-0.0157007848259644,0.028425206585736336,0.08102828340973067
approach,0.1,27.5,512,-0.0008231039882201242,0.0014427640678376652,0.003095386547687748,-0.01796471878674737,0.0314891570509507,0.06755859485717848
approach,0.1,32.5,512,-0.0004070692810453358,0.001403338441308577,0.003566847681464841,-0.008884521597952933,0.03062867003628083,0.0778485057413443
approach,0.1,37.5,512,-0.0005461644432690899,0.00155241828632742,0.0038560940901549157,-0.011920353655273117,0.03388242354843021,0.08416147526470927
approach,0.1,42.5,512,-0.0006996293167950696,0.0013690702813187183,0.0034968888518413233,-0.015269812941091422,0.029880747700382192,0.07632161397697058
approach,0.1,47.5,512,-0.0004888253460749725,0.0015660843907089328,0.003726518479274077,-0.010668894822221251,0.034180694150489986,0.08133341290028205
approach,0.1,52.5,512,-0.0002900348377889994,0.0017649701501292886,0.003834026418549824,-0.00633017744271437,0.03852149044088515,0.08367983561730453
approach,0.1,57.5,512,-0.0004829614915596303,0.0016846685768765468,0.00390006465585499,-0.010540912818875217,0.03676886233767506,0.08512115819542151
approach,0.1,62.5,512,-0.0003390891720706224,0.0016423687299814416,0.004004424440845394,-0.0074008165518092755,0.03584564380749122,0.08739887063130958
approach,0.1,67.5,512,-0.0005410090625207753,0.0017622461067345885,0.0037813685322226846,-0.011807834500090365,0.03846203662429692,0.08253054690857509
approach,0.1,72.5,512,-0.000472059755870613,0.0017877887065904964,0.004045803758528005,-0.010302976156262099,0.03901951858290831,0.08830199808105385
approach,0.1,77.5,512,-0.0007654763565673756,0.0015164634164665791,0.0038754238130903618,-0.016706962522892378,0.033097687797773924,0.08458335760488833
approach,0.1,82.5,512,-0.0005389677681340854,0.001694263216704739,0.0037999696187419607,-0.011763282073978146,0.03697827088002257,0.08293652633915632
approach,0.1,87.5,512,-0.00038247015410572405,0.001671761700516236,0.004119174247400048,-0.008347631479335935,0.03648716232461876,0.08990335127420584
approach,0.1,92.5,512,-0.0004740051038591431,0.0018845805456003117,0.003975591852897545,-0.010345434496953508,0.04113205623738318,0.08676958278701503
approach,0.1,97.5,512,-0.00040038779635326316,0.001821746778945088,0.004030325101535379,-0.008738694344909734,0.03976067307750555,0.08796416747392685
approach,0.1,102.5,512,-0.00047021939270930346,0.0017604996041802323,0.0038587103676675227,-0.010262809169913378,0.038423918199774164,0.08421857702882987
approach,0.1,107.5,512,-0.00031952375472235617,0.001646345638663893,0.003967083910319316,-0.006973790045271499,0.035932442130841964,0.08658389203826508
approach,0.1,112.5,512,-0.0003658637793016728,0.0016413842365033543,0.0037465093980407344,-0.007985187781222878,0.03582415667010112,0.08176972622043531
approach,0.1,117.5,512,-0.00011034392013539035,0.0016465166735476489,0.0041607920405512255,-0.002408319633277575,0.03593617506572428,0.09081168358845285
