acquisition_order,block,position_in_block,palindrome_mate_order,source,bytes,sha256,instrument_scan_number,map_start_time,map_end_time,approach_nominal_speed_um_per_s,approach_declared_points,approach_declared_duration_s,retract_nominal_speed_um_per_s,retract_declared_points,retract_declared_duration_s,nominal_z_span_nm,grid_i,grid_j,field_u_um,field_v_um,back_and_forth,baseline_adjust_enabled,baseline_adjust_begin_of_line,baseline_adjust_interval,baseline_adjust_deadtime_samples,baseline_adjust_average_samples,instrument_failure_flag_count,approach_curves,retract_curves,parser_skips,approach_actual_points_median,retract_actual_points_median,approach_actual_sample_rate_Hz_median,retract_actual_sample_rate_Hz_median,approach_actual_scanner_travel_nm_median,retract_actual_scanner_travel_nm_median,embedded_InvOLS_nm_per_V,embedded_k_N_per_m,prior_D3_InvOLS_nm_per_V,prior_D3_k_N_per_m
1,1,1,8,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.05.27.700.jpk-force-map,12403466,1da38a0279a12f5b2c22e97a4373ae336725f2afcd1ddf81b55da9a99cf7c0b8,9,2026-09-12T15:05:27.199000+02:00,2026-09-12T15:11:19.417000+02:00,0.09999999999999999,10000,5.0,1.0,1000,0.5,500.0,8,8,1.9999999999999991,1.9999999999999991,True,True,True,1,100,100,0,64,64,0,10000.0,1000.0,2000.0,2000.0,499.8831678885965,498.45904198760945,62.67065761051995,0.18885965028693016,91.5629518721293,0.2383668909630904
2,1,2,7,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.11.30.037.jpk-force-map,5359427,7d9e9e85be570ee44bb180019204ac0a2c8eeeb222772a7a259a4dcebc8c98f2,10,2026-09-12T15:11:29.531000+02:00,2026-09-12T15:13:48.836667+02:00,0.3,3333,1.6666666666666667,1.0,1000,0.5,500.0,8,8,1.9999999999999991,1.9999999999999991,True,True,True,1,100,100,0,64,64,0,3333.0,1000.0,1999.8,2000.0,499.727474641746,498.2893352087673,62.67065761051995,0.18885965028693016,91.5629518721293,0.2383668909630904
3,1,3,6,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.13.54.693.jpk-force-map,2885742,69e76465a98b65fa11c97155d239ec97a69f2971f0636b7fc2975b9b094c7a5b,11,2026-09-12T15:13:54.191000+02:00,2026-09-12T15:15:02.858000+02:00,0.8999999999999999,1111,0.5555555555555556,1.0,1000,0.5,500.0,8,8,1.9999999999999991,1.9999999999999991,True,True,True,1,100,100,0,64,64,0,1111.0,1000.0,1999.8,2000.0,499.1390088778438,497.95624170272237,62.67065761051995,0.18885965028693016,91.5629518721293,0.2383668909630904
4,1,4,5,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.15.21.190.jpk-force-map,2053687,33377b6b8a341f743c61b5d55fbd3f893234e66e3b4395c695b33dc102e4d8e5,12,2026-09-12T15:15:20.689000+02:00,2026-09-12T15:16:06.023000+02:00,2.7,370,0.18518518518518517,1.0,1000,0.5,500.0,8,8,1.9999999999999991,1.9999999999999991,True,True,True,1,100,100,0,64,64,0,370.0,1000.0,1998.0,2000.0,497.06338196392676,497.4107283546871,62.67065761051995,0.18885965028693016,91.5629518721293,0.2383668909630904
5,1,5,4,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.16.54.635.jpk-force-map,2055334,e824649094f5da2c55701da952e979cbac6e291777be1644a755fd165532abb4,13,2026-09-12T15:16:54.134000+02:00,2026-09-12T15:17:39.469000+02:00,2.7,370,0.18518518518518517,1.0,1000,0.5,500.0,8,8,1.9999999999999991,1.9999999999999991,True,True,True,1,100,100,0,64,64,0,370.0,1000.0,1998.0,2000.0,496.5935211727,497.38854263689745,62.67065761051995,0.18885965028693016,91.5629518721293,0.2383668909630904
6,1,6,3,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.18.09.797.jpk-force-map,2922023,30d6d36844e372bdc91f8e070ec987722a3552057a2546a68f33fdc04b93378d,14,2026-09-12T15:18:09.296000+02:00,2026-09-12T15:19:17.964000+02:00,0.8999999999999999,1110,0.5555555555555556,1.0,1000,0.5,500.0,8,8,1.9999999999999991,1.9999999999999991,True,True,True,1,100,100,0,64,64,0,1110.0,1000.0,1998.0,2000.0,499.3020764680873,497.95624170272066,62.67065761051995,0.18885965028693016,91.5629518721293,0.2383668909630904
7,1,7,2,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.19.36.626.jpk-force-map,5475923,d9c904da25c7fa8ccaac0c2c13cd4ade5abfa3c0192f78ee1e146570abd62742,15,2026-09-12T15:19:36.124000+02:00,2026-09-12T15:21:55.435667+02:00,0.3,3330,1.6666666666666667,1.0,1000,0.5,500.0,8,8,1.9999999999999991,1.9999999999999991,True,True,True,1,100,100,0,64,64,0,3330.0,1000.0,1998.0,2000.0,499.72762851135246,498.29376893300025,62.67065761051995,0.18885965028693016,91.5629518721293,0.2383668909630904
8,1,8,1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.22.15.764.jpk-force-map,12915290,e03c7d076e431eb24c5fff0f08bee32541713f21618415eeb3ecaefa1769c98e,16,2026-09-12T15:22:15.263000+02:00,2026-09-12T15:28:07.737000+02:00,0.09999999999999999,9990,5.0,1.0,1000,0.5,500.0,8,8,1.9999999999999991,1.9999999999999991,True,True,True,1,100,100,0,64,64,0,9972.0,1000.0,1998.0,2000.0,499.0816326110338,498.44690338527437,62.67065761051995,0.18885965028693016,91.5629518721293,0.2383668909630904
9,2,1,16,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.28.13.596.jpk-force-map,5474719,b74f450707d9091e95ff9f3f98271a9c589cf2ddac7f1395ff6e26808582fb6c,17,2026-09-12T15:28:13.095000+02:00,2026-09-12T15:30:32.386667+02:00,0.3,3330,1.6666666666666667,1.0,1000,0.5,500.0,8,8,1.9999999999999991,1.9999999999999991,True,True,True,1,100,100,0,64,64,0,3330.0,1000.0,1998.0,2000.0,499.6594300821792,498.2804734591763,62.67065761051995,0.18885965028693016,91.5629518721293,0.2383668909630904
10,2,2,15,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.30.45.054.jpk-force-map,2919515,90bd949a4f1371fcebb699b3f2b8db94bd6d3f653aab3edf2c8e35d90e6cd442,18,2026-09-12T15:30:44.553000+02:00,2026-09-12T15:31:53.210000+02:00,0.8999999999999999,1110,0.5555555555555556,1.0,1000,0.5,500.0,8,8,1.9999999999999991,1.9999999999999991,True,True,True,1,100,100,0,64,64,0,1110.0,1000.0,1998.0,2000.0,498.87982407305924,497.9529762477265,62.67065761051995,0.18885965028693016,91.5629518721293,0.2383668909630904
11,2,3,14,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.32.03.517.jpk-force-map,2054341,2fd533182205e0d66ed4fdffef05423c4ebc46144b3df72ad0ca5dbf9bf2526e,19,2026-09-12T15:32:03.017000+02:00,2026-09-12T15:32:48.348000+02:00,2.7,370,0.18518518518518517,1.0,1000,0.5,500.0,8,8,1.9999999999999991,1.9999999999999991,True,True,True,1,100,100,0,64,64,0,370.0,1000.0,1998.0,2000.0,495.9250888041182,497.3761817784652,62.67065761051995,0.18885965028693016,91.5629518721293,0.2383668909630904
12,2,4,13,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.33.10.264.jpk-force-map,12894347,26a3156f0072023b616ec0a43d7244d04fbe69389a41ea136b8c2a9b16d2499e,20,2026-09-12T15:33:09.759000+02:00,2026-09-12T15:39:02.190000+02:00,0.09999999999999999,9990,5.0,1.0,1000,0.5,500.0,8,8,1.9999999999999991,1.9999999999999991,True,True,True,1,100,100,0,64,64,0,9990.0,1000.0,1998.0,2000.0,499.8431959840075,498.43919850717225,62.67065761051995,0.18885965028693016,91.5629518721293,0.2383668909630904
