acquisition_order,instrument_scan_number,block,position_in_block,palindrome_mate_order,source,map_start_time,map_end_time,approach_speed_um_per_s,retract_speed_um_per_s,approach_initial_raw_V_q25,approach_initial_raw_V_median,approach_initial_raw_V_q75,approach_initial_raw_V_spatial_IQR,approach_initial_raw_V_minimum,approach_initial_raw_V_maximum,approach_settled_raw_V_q25,approach_settled_raw_V_median,approach_settled_raw_V_q75,approach_settled_raw_V_spatial_IQR,approach_settled_raw_V_minimum,approach_settled_raw_V_maximum,approach_settled_delta_V_q25,approach_settled_delta_V_median,approach_settled_delta_V_q75,approach_settled_delta_V_spatial_IQR,approach_settled_delta_V_minimum,approach_settled_delta_V_maximum,approach_settled_delta_nN_prior_D3_scale_q25,approach_settled_delta_nN_prior_D3_scale_median,approach_settled_delta_nN_prior_D3_scale_q75,approach_settled_delta_nN_prior_D3_scale_spatial_IQR,approach_settled_delta_nN_prior_D3_scale_minimum,approach_settled_delta_nN_prior_D3_scale_maximum,approach_terminal_delta_V_q25,approach_terminal_delta_V_median,approach_terminal_delta_V_q75,approach_terminal_delta_V_spatial_IQR,approach_terminal_delta_V_minimum,approach_terminal_delta_V_maximum,approach_terminal_delta_nN_prior_D3_scale_q25,approach_terminal_delta_nN_prior_D3_scale_median,approach_terminal_delta_nN_prior_D3_scale_q75,approach_terminal_delta_nN_prior_D3_scale_spatial_IQR,approach_terminal_delta_nN_prior_D3_scale_minimum,approach_terminal_delta_nN_prior_D3_scale_maximum,retract_minimum_delta_V_q25,retract_minimum_delta_V_median,retract_minimum_delta_V_q75,retract_minimum_delta_V_spatial_IQR,retract_minimum_delta_V_minimum,retract_minimum_delta_V_maximum,retract_minimum_delta_nN_prior_D3_scale_q25,retract_minimum_delta_nN_prior_D3_scale_median,retract_minimum_delta_nN_prior_D3_scale_q75,retract_minimum_delta_nN_prior_D3_scale_spatial_IQR,retract_minimum_delta_nN_prior_D3_scale_minimum,retract_minimum_delta_nN_prior_D3_scale_maximum,retract_minimum_scanner_travel_nm_q25,retract_minimum_scanner_travel_nm_median,retract_minimum_scanner_travel_nm_q75,retract_minimum_scanner_travel_nm_spatial_IQR,retract_minimum_scanner_travel_nm_minimum,retract_minimum_scanner_travel_nm_maximum,retract_settled_delta_V_q25,retract_settled_delta_V_median,retract_settled_delta_V_q75,retract_settled_delta_V_spatial_IQR,retract_settled_delta_V_minimum,retract_settled_delta_V_maximum
1,9,1,1,8,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.05.27.700.jpk-force-map,2026-09-12T15:05:27.199000+02:00,2026-09-12T15:11:19.417000+02:00,0.1,1.0,-0.5830400040188343,-0.5793772210633068,-0.5752029158764003,0.007837088142434001,-0.5951882655805891,-0.5523306947869602,-0.5788607721929551,-0.5746123379844188,-0.5694003787574565,0.009460393435498538,-0.5857062306701677,-0.5527018182365735,0.0021640153921704403,0.004779120690076688,0.007637799130035372,0.005473783737864932,-0.0012086075780919359,0.011176704161159567,0.04723088276440003,0.10430706262377293,0.1666993666467992,0.11946848388239918,-0.02637855674943818,0.24393800794487724,1.2881411984586708,1.3260857164286488,1.3481764471514373,0.06003524869276644,1.2410531375187754,1.5461879860970034,28.114423838443475,28.94258480544761,29.424727731381925,1.3103038929384496,27.086699777929976,33.74644365621943,-1.7602815694665384,-0.928009314697359,-0.3434555960148412,1.4168259734516973,-3.39239606567569,-0.10346627928944852,-38.41915946652379,-20.254337979907504,-7.4961162701732125,30.923043196350577,-74.04099871380252,-2.258211159157838,305.69629590185133,344.70117845232505,360.60319772223284,54.906901820381506,227.42963979304156,378.5448897078802,-0.0499192368314708,-0.029018801829977486,-0.020889271151368377,0.029029965680102424,-1.0255774031756224,0.008085817360498626
2,10,1,2,7,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.11.30.037.jpk-force-map,2026-09-12T15:11:29.531000+02:00,2026-09-12T15:13:48.836667+02:00,0.3,1.0,-0.5441485646241794,-0.5192065607156939,-0.5016854691039254,0.04246309552025396,-0.5679657972487594,-0.4412269542656612,-0.49762615776115227,-0.49006479175683304,-0.4862567153626999,0.01136944239845239,-0.5027966257329672,-0.47603766749860454,0.008890948085370887,0.03598110216238598,0.05254174738363881,0.04365079929826792,-0.0481482137150846,0.07284411024512816,0.19405006461776836,0.7853082857516498,1.1467539093723387,0.9527038447545704,-1.0508625056551026,1.5898646763385416,1.276999837335267,1.2966983566723165,1.321122657454635,0.04412282011936819,1.2206979756324163,1.4893657146061852,27.871257212661043,28.301188746792747,28.83426318379808,0.9630059711370365,26.642436641825032,32.506264841919034,-1.7770561661175333,-0.956808438210039,-0.3501024711723672,1.426953694945166,-3.275219560566793,-0.07306783777853854,-38.78527470336996,-20.882895443623426,-7.641188150184123,31.144086553185836,-71.48355397678073,-1.5947476586592337,303.3782559703177,342.4766285542662,362.580436420182,59.20218044986433,230.0365442668966,379.154600875302,-0.042268933382789614,-0.02964845076397285,-0.022073868490921994,0.02019506489186762,-0.7225867202093401,-0.012625667200642787
3,11,1,3,6,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.13.54.693.jpk-force-map,2026-09-12T15:13:54.191000+02:00,2026-09-12T15:15:02.858000+02:00,0.9,1.0,-0.5330071152022786,-0.5031503773223813,-0.3742128037325282,0.15879431146975043,-0.556360443514842,-0.28017074886748045,-0.2819196417385236,-0.2802390960757182,-0.27844785677510825,0.0034717849634153253,-0.28577715555726757,-0.2740521914278793,0.0939033372310433,0.22418424660956268,0.24912514018183032,0.15522180295078702,0.003476936172581102,0.2756822160699857,2.049494438899079,4.8929503494065925,5.437299721695332,3.3878052827962533,0.07588613525607757,6.01692320421627,1.1952188436236943,1.3135270420624474,1.3279416938233408,0.13272285019964647,1.0888363875816927,1.364259111750676,26.08633990554644,28.668484501534607,28.98309258143628,2.896752675889843,23.764481508564675,29.775741152531374,-1.640348906034776,-0.9603324187093839,-0.32750175961794614,1.3128471464168299,-3.324766503124487,-0.07184157606316255,-35.80155998610306,-20.959808348416423,-7.1479145987662385,28.65364538733682,-72.56494454532461,-1.5679837901918723,309.804238284733,339.09312137806023,363.6399540400487,53.835715755315675,226.9795996867488,379.10604646596175,-0.0358206832607757,-0.028147202499535395,-0.02233726360264876,0.013483419658126938,-0.8894892288846205,-0.008434049946220101
4,12,1,4,5,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.15.21.190.jpk-force-map,2026-09-12T15:15:20.689000+02:00,2026-09-12T15:16:06.023000+02:00,2.7,1.0,-0.5533477217419125,-0.5316928317049069,-0.32294517724015104,0.23040254450176145,-0.5972452006206934,0.2527410800619263,0.267551773525436,0.2706109215356506,0.2730201731407771,0.0054683996153410686,0.25855168015464464,0.28524244970090584,0.5886407335048995,0.8021541964446022,0.8230232917370447,0.23438255823214516,0.025608018613221206,0.8710745759508959,12.847423163028331,17.507477510706423,17.96295753950966,5.115534376481328,0.5589097606817595,19.01170450295294,1.195013608715657,1.3718535166886647,1.408498873147957,0.21348526443229998,0.6357695883503951,1.4633961449347388,26.08186053542932,29.941493415934534,30.74129943443635,4.659438899007029,13.876037574035584,31.939464021078383,-1.346250818233702,-0.8832650219457623,-0.319050997616831,1.027199820616871,-2.67298475409126,-0.06270651113948233,-29.382699770772057,-19.277768010501198,-6.963471849057236,22.41922792171482,-58.33943233873706,-1.368605734926385,318.41905850118144,343.54128655878276,360.06235175228176,41.64329325110032,258.50983011024096,374.07151270709244,-0.03441692001331252,-0.02809913196346822,-0.018891879889827615,0.015525040123484907,-0.10266558851892027,-0.009331443561997721
5,13,1,5,4,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.16.54.635.jpk-force-map,2026-09-12T15:16:54.134000+02:00,2026-09-12T15:17:39.469000+02:00,2.7,1.0,-0.5713809981714192,-0.5557956181923707,-0.35953960701986787,0.21184139115155132,-0.6195276558862186,0.22319507085024193,0.24150847878060186,0.2438941407817621,0.24741826520070448,0.0059097864201026196,0.22700268002713123,0.25900851850111234,0.6018434925664551,0.7978662740357985,0.8157526210710824,0.2139091285046273,0.02917944113019827,0.8595079650944997,13.1355809865166,17.413891133582766,17.804270963117887,4.668689976601286,0.6368581148440189,18.75925655673387,1.2040990046918958,1.364164226324884,1.405300365080028,0.2012013603881322,0.6634166820683647,1.4707337166603272,26.28015453729938,29.773670223443787,30.671490152984873,4.391335615685492,14.479451323722516,32.09961075164255,-1.3631001174989252,-0.8642473528514669,-0.30774041624793397,1.0553597012509912,-2.6936761872456882,-0.06426824317908075,-29.7504454352148,-18.8626964251998,-6.716611893918107,23.033833541296694,-58.791034789015406,-1.4026914365062149,323.31481897110393,342.5114087843368,362.7678695476461,39.45305057654218,258.4752949317656,375.0985866353651,-0.03903311954752227,-0.025760801433002828,-0.0196466311077,0.01938648843982227,-0.11760127789095243,-0.01205371542467587
6,14,1,6,3,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.18.09.797.jpk-force-map,2026-09-12T15:18:09.296000+02:00,2026-09-12T15:19:17.964000+02:00,0.9,1.0,-0.5780998324323935,-0.5452146007212693,-0.42242999247902185,0.15566983995337164,-0.6061096299558952,-0.3191951025295712,-0.34088942445048,-0.3356591262514343,-0.3286732001613443,0.012216224289135658,-0.34581109228732726,-0.3206917078226482,0.09448517982919852,0.21049601754481706,0.23365266756038439,0.13916748773118587,-0.005007993175279252,0.2658461278256802,2.0621934888412516,4.594196863387795,5.099604092032573,3.0374106031913213,-0.10930233648167151,5.802244911072919,1.202730728401786,1.310660259628153,1.3286433081181581,0.12591257971637204,1.0721828989242987,1.3563561543200293,26.250291118914603,28.605915323165963,28.998405717666387,2.7481145987517834,23.401009523457052,29.603254553198756,-1.5510925865991765,-0.8731976472604945,-0.3156402415153611,1.2354523450838153,-2.5510585824460326,-0.07227079297114491,-33.8534893880393,-19.058041757524656,-6.889030131983812,26.964459256055488,-55.67832339296747,-1.577351696508417,315.0922636729306,346.33048662489455,366.84604955931206,51.75378588638148,269.08262113050836,377.58551840671197,-0.04205187342879596,-0.027174621670691873,-0.020656805543076542,0.021395067885719418,-0.07261731520802739,-0.012282679684694098
7,15,1,7,2,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.19.36.626.jpk-force-map,2026-09-12T15:19:36.124000+02:00,2026-09-12T15:21:55.435667+02:00,0.3,1.0,-0.6208933332804097,-0.6025756265342486,-0.5817412624474568,0.03915207083295291,-0.6534615636537173,-0.49686205176944725,-0.5908486162436273,-0.574205064991093,-0.5541227100019213,0.03672590624170602,-0.6108456665415604,-0.5450449841754352,0.007021657780285281,0.03126634203817197,0.04446444839467456,0.03744279061438928,-0.05719558363073429,0.06293951905350359,0.15325172668932258,0.6824059295601457,0.970462205079909,0.8172104783905865,-1.2483265668435153,1.3736912669009416,1.2907822871536538,1.3080593794266875,1.3326220960985404,0.04183980894488659,1.2223915046505953,1.4895923066262693,28.17206712091478,28.549149614232412,29.08524505777725,0.9131779368624713,26.67939888839921,32.511210343311795,-1.5632196537406036,-0.9177304087954827,-0.294193231169719,1.2690264225708845,-2.551097764730247,-0.06894820535232327,-34.11816961559455,-20.029994936251562,-6.420936774169973,27.69723284142458,-55.679178568895914,-1.504834307368399,313.43132674779685,337.62066332383176,364.69596400276157,51.264637254964725,266.6022430646497,379.04722268506976,-0.04045835740660682,-0.027680617945740643,-0.019506776717455127,0.02095158068915169,-0.0819955750502771,-0.008295873227417538
8,16,1,8,1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.22.15.764.jpk-force-map,2026-09-12T15:22:15.263000+02:00,2026-09-12T15:28:07.737000+02:00,0.1,1.0,-0.8960957819005293,-0.817448029067086,-0.7452202583218783,0.15087552357865097,-0.9793061725389729,-0.6887420221094886,-0.895010630221741,-0.8160872741402849,-0.7459092063015951,0.14910142392014591,-0.9797223796715591,-0.6862847263883176,0.0007817962827043612,0.0029222158135346343,0.004617212533501808,0.0038354162507974465,-0.008718949565909906,0.008214049026539993,0.01706315431380498,0.06377904380934257,0.10077332382068681,0.08371016950688183,-0.19029609783097753,0.17927635265312786,1.3109584832824561,1.3404914576892493,1.3648782719356531,0.05391978865319702,1.2930092190488662,1.5431243230439597,28.612424226247214,29.256998408546472,29.789254680307028,1.1768304540598145,28.220671192608368,33.67957744491083,-1.7250356551904678,-0.8879402535444113,-0.3202555893514702,1.4047800658389975,-2.7339948884122207,-0.0646688708414298,-37.64989707998062,-19.379807633847285,-6.9897627577095305,30.660134322271087,-59.67101367220599,-1.4114353660646852,308.46297401658853,346.5148964995214,365.70366745716444,57.24069344057591,258.98322420355527,382.99025104242776,-0.04113194770522452,-0.02702522617592784,-0.020618670326077865,0.020513277379146655,-0.1428242455310066,-0.012468582088741131
9,17,2,1,16,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.28.13.596.jpk-force-map,2026-09-12T15:28:13.095000+02:00,2026-09-12T15:30:32.386667+02:00,0.3,1.0,-1.0535363070721018,-1.0209115107348965,-0.984276154254202,0.06926015281789977,-1.1004564048033738,-0.925295280694815,-1.0320820924034235,-0.9969072723226893,-0.9628878943911781,0.06919419801224547,-1.070802735389651,-0.9303823309212244,0.006278263695861874,0.027945353525988426,0.038402477081620104,0.03212421338575823,-0.055437105853555435,0.055396132569906054,0.1370267224790082,0.6099234418438539,0.8381561884758085,0.7011294659968004,-1.2099467761829523,1.209052510659926,1.285984849739934,1.312303860365509,1.3350379527093459,0.0490531029694119,1.2156109977134377,1.486068203760503,28.067360285244035,28.64178785624425,29.137972520240496,1.0706122349964602,26.531410417803862,32.43429476780115,-1.6854837548579575,-0.9776862896542208,-0.26676239576663285,1.4187213590913248,-2.7608145654208935,-0.05653555306114377,-36.7866540667965,-21.33856658048336,-5.822242986805879,30.964411079990622,-60.25636857548383,-1.2339210193755816,309.0136248998355,341.2989903660457,366.5943160327168,57.58069113288127,255.9328105333959,376.25312158702917,-0.03324772624226588,-0.024531862952167527,-0.016155456628666437,0.017092269613599442,-0.12461085476821898,-0.010185330353000177
10,18,2,2,15,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.30.45.054.jpk-force-map,2026-09-12T15:30:44.553000+02:00,2026-09-12T15:31:53.210000+02:00,0.9,1.0,-1.1622728740460313,-1.1241591671174285,-1.0171026765032696,0.14517019754276173,-1.2066150985487771,-0.9173232307331848,-0.9558558757904058,-0.9387170346293963,-0.9221114531210869,0.033744422669318874,-0.9715353402513995,-0.9039088507659961,0.07712102454288804,0.1998064874783126,0.2092885585424492,0.13216753399956116,-0.0025642717836739104,0.24869243026873944,1.6832107950961726,4.360891710751507,4.567843374965305,2.884632579869132,-0.05596670912275214,5.427855578529747,1.2163526884016598,1.319329489492367,1.3315421561168648,0.115189467715205,1.0844198413780897,1.3551395428655821,26.547598244410644,28.79512625986067,29.061674745453384,2.514076501042741,23.668087843010976,29.576701307236313,-1.592361509607434,-0.8763796080510391,-0.16459602192008854,1.4277654876873453,-2.858160351656445,-0.056040377871187985,-34.75420741041025,-19.12748988511325,-3.5924030128996556,31.161804397510597,-62.380996447325494,-1.2231135355521028,313.17572368552914,344.50486362920844,365.5549724280007,52.37924874247159,252.93096267032325,378.58691320722863,-0.03334432688374292,-0.02420169053776322,-0.017948546026130274,0.015395780857612645,-0.16169399865181,-0.008555248324109144
