block,pair_from_outer_edge,approach_speed_um_per_s,early_acquisition_order,late_acquisition_order,early_map_start_time,late_map_start_time,approach_settled_delta_V_later_minus_earlier,approach_settled_delta_nN_prior_D3_scale_later_minus_earlier,retract_minimum_delta_V_later_minus_earlier,retract_minimum_delta_nN_prior_D3_scale_later_minus_earlier,retract_minimum_scanner_travel_nm_later_minus_earlier
1,1,0.1,1,8,2026-09-12T15:05:27.199000+02:00,2026-09-12T15:22:15.263000+02:00,-0.0018569048765420537,-0.04052801881443034,0.04006906115294773,0.8745303460602162,1.813718047196346
1,2,0.3,2,7,2026-09-12T15:11:29.531000+02:00,2026-09-12T15:19:36.124000+02:00,-0.0047147601242140125,-0.10290235619150413,0.03907802941455629,0.8529005073718605,-4.855965230434435
1,3,0.9,3,6,2026-09-12T15:13:54.191000+02:00,2026-09-12T15:18:09.296000+02:00,-0.013688229064745622,-0.2987534860187972,0.08713477144888937,1.9017665908917654,7.237365246834315
1,4,2.7,4,5,2026-09-12T15:15:20.689000+02:00,2026-09-12T15:16:54.134000+02:00,-0.004287922408803713,-0.09358637712365266,0.019017669094295364,0.4150715853014012,-1.0298777744459358
2,1,0.3,9,16,2026-09-12T15:28:13.095000+02:00,2026-09-12T15:47:58.814000+02:00,-0.013105988775722166,-0.2860457562442895,0.19615517637475388,4.2811997421580825,7.274254060406861
2,2,0.9,10,15,2026-09-12T15:30:44.553000+02:00,2026-09-12T15:46:27.469000+02:00,-0.05294931725458796,-1.1556493566333645,0.20122927105634014,4.39194478210029,7.038953237964051
2,3,2.7,11,14,2026-09-12T15:32:03.017000+02:00,2026-09-12T15:45:18.604000+02:00,-0.06180973630844755,-1.3490331075486346,0.1611118515281298,3.5163589866375555,8.542219406851018
2,4,0.1,12,13,2026-09-12T15:33:09.759000+02:00,2026-09-12T15:39:14.351000+02:00,0.00042895548881005663,0.009362200692488418,0.11273302438739885,2.4604632100962998,2.761429451470235
3,1,0.9,17,24,2026-09-12T15:50:25.623000+02:00,2026-09-12T16:12:04.175000+02:00,0.019894987664391406,0.43421956857414384,-0.03430972980957303,-0.7488296211649839,-5.119971282908864
3,2,2.7,18,23,2026-09-12T15:52:06.078000+02:00,2026-09-12T16:11:07.693000+02:00,0.02466508244039156,0.5383296354227792,-0.06878451523474238,-1.5012616762396531,-0.023570544250560488
3,3,0.1,19,22,2026-09-12T15:53:30.979000+02:00,2026-09-12T16:05:08.793000+02:00,0.0010855472838653601,0.02369269492488874,0.08595663728120861,1.8760531338822686,10.82698931001272
3,4,0.3,20,21,2026-09-12T15:59:36.965000+02:00,2026-09-12T16:02:08.805000+02:00,-0.0035896120073529714,-0.07834535026986428,-0.001467413949031604,-0.03202715491041122,1.563024565172384
4,1,2.7,25,32,2026-09-12T16:13:32.509000+02:00,2026-09-12T16:35:10.752000+02:00,-0.017521582467979968,-0.38241863268907345,0.0563806914027325,1.230541074454863,7.654961661527182
4,2,0.1,26,31,2026-09-12T16:14:58.727000+02:00,2026-09-12T16:29:17.290000+02:00,0.0005583399021584362,0.01218609006060835,0.19160017256579076,4.181784159592953,3.943039755106156
4,3,0.3,27,30,2026-09-12T16:21:01.038000+02:00,2026-09-12T16:26:38.986000+02:00,-0.0021775716448785704,-0.04752675579039552,0.11252604992944448,2.4559458732999735,2.2607263523386223
4,4,0.9,28,29,2026-09-12T16:23:29.423000+02:00,2026-09-12T16:24:53.003000+02:00,0.0012388501609362779,0.027038618544738605,0.012500418216113474,0.2728288298721699,0.44420445897225136
