scanner_travel_bin_center_nm,block,speed_um_per_s,early_order,late_order,early_position_in_block,late_position_in_block,early_map_median_corrected_V,late_map_median_corrected_V,later_minus_earlier_V,palindrome_pair_mean_corrected_V
2.5,1,0.1,1,8,1,8,-0.007504123548787156,-0.004173153830127008,0.0033309697186601483,-0.005838638689457082
2.5,1,0.3,2,7,2,7,-0.06289976248142676,-0.058645974741971696,0.004253787739455062,-0.06077286861169923
2.5,1,0.9,3,6,3,6,-0.270866019744874,-0.2541171353380915,0.016748884406782516,-0.2624915775414828
2.5,1,2.7,4,5,4,5,-0.8532975452359164,-0.8512821382999385,0.0020154069359779037,-0.8522898417679274
2.5,2,0.1,12,13,4,5,-0.003510876168077992,-0.003314087324144843,0.00019678884393314888,-0.0034124817461114176
2.5,2,0.3,9,16,1,8,-0.04966358695798212,-0.018442043544643072,0.031221543413339048,-0.034052815251312596
2.5,2,0.9,10,15,2,7,-0.23706387697382275,-0.1731661857375485,0.06389769123627426,-0.20511503135568562
2.5,2,2.7,11,14,3,6,-0.8001148738259567,-0.7293120816064528,0.07080279221950392,-0.7647134777162048
2.5,3,0.1,19,22,3,6,-0.0024829884979984396,-0.0035889570688951503,-0.0011059685708967107,-0.003035972783446795
2.5,3,0.3,20,21,4,5,-0.027542160340380706,-0.02238734692728861,0.005154813413092096,-0.024964753633834658
2.5,3,0.9,17,24,1,8,-0.1867408504204422,-0.21658923401105146,-0.029848383590609262,-0.20166504221574683
2.5,3,2.7,18,23,2,7,-0.7211315262160787,-0.7470933742882544,-0.02596184807217572,-0.7341124502521665
2.5,4,0.1,26,31,2,7,-0.0034558613376191594,-0.0030868584424606493,0.00036900289515851004,-0.0032713598900399044
2.5,4,0.3,27,30,3,6,-0.04404357117544158,-0.04052930629181839,0.0035142648836231916,-0.042286438733629986
2.5,4,0.9,28,29,4,5,-0.21328978198896356,-0.2163677104637464,-0.0030779284747828317,-0.21482874622635498
2.5,4,2.7,25,32,1,8,-0.7516383955002134,-0.7334998623954717,0.018138533104741672,-0.7425691289478425
7.5,1,0.1,1,8,1,8,-0.0007438446153371081,-5.5245658025837585e-05,0.0006885989573112705,-0.00039954513668147285
7.5,1,0.3,2,7,2,7,-0.014914614537070214,-0.013361364715291035,0.001553249821779179,-0.014137989626180625
7.5,1,0.9,3,6,3,6,-0.16320016660258257,-0.1548378317222327,0.008362334880349875,-0.15901899916240764
