scanner_travel_bin_center_nm,finite_map_count,global_rho_speed,global_rho_elapsed_time,same_speed_0.1_rho_time,same_speed_0.3_rho_time,same_speed_0.9_rho_time,same_speed_2.7_rho_time,same_speed_rho_time_median,same_speed_rho_time_min,same_speed_rho_time_max,block_1_pair_mean_rho_speed,block_1_pair_mean_2p7_minus_0p1_V,block_2_pair_mean_rho_speed,block_2_pair_mean_2p7_minus_0p1_V,block_3_pair_mean_rho_speed,block_3_pair_mean_2p7_minus_0p1_V,block_4_pair_mean_rho_speed,block_4_pair_mean_2p7_minus_0p1_V,block_pair_mean_rho_speed_median,block_pair_mean_rho_speed_min,block_pair_mean_rho_speed_max,block_pair_mean_2p7_minus_0p1_V_median,block_pair_mean_2p7_minus_0p1_V_min,block_pair_mean_2p7_minus_0p1_V_max
2.5,32,-0.9687189593929655,0.1528592375366569,0.6666666666666669,0.5714285714285715,0.5952380952380953,0.6190476190476191,0.6071428571428572,0.5714285714285715,0.6666666666666669,-1.0,-0.8464512030784703,-1.0,-0.7613009959700934,-1.0,-0.7310764774687197,-1.0,-0.7392977690578026,-1.0,-1.0,-1.0,-0.750299382513948,-0.8464512030784703,-0.7310764774687197
7.5,32,-0.9687189593929655,0.11253665689149558,-0.38095238095238104,0.7380952380952381,0.5952380952380953,0.7857142857142858,0.6666666666666667,-0.38095238095238104,0.7857142857142858,-1.0,-0.7257398574503653,-1.0,-0.6477597274667247,-1.0,-0.6181981603379797,-1.0,-0.6170125826765305,-1.0,-1.0,-1.0,-0.6329789439023522,-0.7257398574503653,-0.6170125826765305
12.5,32,-0.9687189593929655,0.14516129032258063,0.11904761904761905,0.6428571428571429,0.5952380952380953,0.9285714285714287,0.6190476190476191,0.11904761904761905,0.9285714285714287,-1.0,-0.6225559637068658,-1.0,-0.5557086486645442,-1.0,-0.5282555856791892,-1.0,-0.5208141714448449,-1.0,-1.0,-1.0,-0.5419821171718666,-0.6225559637068658,-0.5208141714448449
17.5,32,-0.9687189593929655,0.14846041055718476,0.14285714285714288,0.38095238095238104,0.9285714285714287,0.9285714285714287,0.6547619047619049,0.14285714285714288,0.9285714285714287,-1.0,-0.5384597639373417,-1.0,-0.47489389914794605,-1.0,-0.448281218845667,-1.0,-0.4398094605743942,-1.0,-1.0,-1.0,-0.46158755899680654,-0.5384597639373417,-0.4398094605743942
22.5,32,-0.9687189593929655,0.0784457478005865,-0.04761904761904763,-0.6666666666666669,0.9523809523809524,0.9761904761904763,0.4523809523809524,-0.6666666666666669,0.9761904761904763,-1.0,-0.4694753325622929,-1.0,-0.40913434232823276,-1.0,-0.3845606300600836,-1.0,-0.3771377974448738,-1.0,-1.0,-1.0,-0.3968474861941582,-0.4694753325622929,-0.3771377974448738
27.5,32,-0.9687189593929655,0.0722140762463343,-0.8571428571428572,0.2142857142857143,0.7619047619047621,1.0,0.4880952380952382,-0.8571428571428572,1.0,-1.0,-0.4058331034782928,-1.0,-0.3526506962685602,-1.0,-0.32998565473988184,-1.0,-0.31935170197221474,-1.0,-1.0,-1.0,-0.34131817550422106,-0.4058331034782928,-0.31935170197221474
32.5,32,-0.9626644658967595,0.14369501466275658,0.023809523809523815,0.30952380952380953,0.9523809523809524,0.9761904761904763,0.6309523809523809,0.023809523809523815,0.9761904761904763,-1.0,-0.35002866475312,-1.0,-0.30027655750902926,-1.0,-0.2793976534355216,-1.0,-0.27155497537249185,-1.0,-1.0,-1.0,-0.2898371054722754,-0.35002866475312,-0.27155497537249185
37.5,32,-0.9566099724005535,0.1063049853372434,-0.2380952380952381,-0.14285714285714288,0.9047619047619048,1.0,0.38095238095238093,-0.2380952380952381,1.0,-1.0,-0.30581687937883956,-1.0,-0.25964227125695044,-1.0,-0.24139069660870127,-1.0,-0.23284022127027493,-1.0,-1.0,-1.0,-0.2505164839328259,-0.30581687937883956,-0.23284022127027493
42.5,32,-0.9687189593929655,0.07074780058651026,-0.07142857142857144,-0.523809523809524,0.7142857142857144,1.0,0.3214285714285715,-0.523809523809524,1.0,-1.0,-0.2664066821429004,-1.0,-0.22668823693982856,-1.0,-0.20780936543486953,-1.0,-0.20117923153331646,-1.0,-1.0,-1.0,-0.21724880118734904,-0.2664066821429004,-0.20117923153331646
47.5,32,-0.9687189593929655,0.043621700879765385,-0.8095238095238096,0.0,0.4285714285714286,0.9761904761904763,0.2142857142857143,-0.8095238095238096,0.9761904761904763,-1.0,-0.2294593642913541,-1.0,-0.19534406290526404,-1.0,-0.1764073642279543,-1.0,-0.1715408064727005,-1.0,-1.0,-1.0,-0.18587571356660917,-0.2294593642913541,-0.1715408064727005
