acquisition_order,block,position_in_block,speed_um_per_s,elapsed_midpoint_min,scanner_travel_bin_center_nm,finite_pixel_count,map_median_corrected_V,map_median_corrected_nN_prior_D3_scale
1,1,1,0.1,0.0,2.5,64,-0.007504123548787156,-0.1637818200668439
1,1,1,0.1,0.0,7.5,64,-0.0007438446153371081,-0.016234837307086084
1,1,1,0.1,0.0,12.5,64,-0.0011613894353892373,-0.02534799357950292
1,1,1,0.1,0.0,17.5,64,-0.0006709962695452543,-0.014644880187499881
1,1,1,0.1,0.0,22.5,64,-0.0005529279690842381,-0.01206797150309668
1,1,1,0.1,0.0,27.5,64,-0.00028375660607538045,-0.00619315141826624
1,1,1,0.1,0.0,32.5,64,-0.0005545215136122938,-0.012102751530566336
1,1,1,0.1,0.0,37.5,64,-0.0007915730816365762,-0.01727653858355152
1,1,1,0.1,0.0,42.5,64,-0.0007794991312555788,-0.017013017659896667
1,1,1,0.1,0.0,47.5,64,-0.0002229836011919395,-0.004866745571396904
1,1,1,0.1,0.0,52.5,64,-0.00041879629481228475,-0.009140470430113387
1,1,1,0.1,0.0,57.5,64,-0.000422953972071205,-0.009231214131798116
1,1,1,0.1,0.0,62.5,64,-0.0008233563689634127,-0.017970227141882636
1,1,1,0.1,0.0,67.5,64,-0.00013669441647534697,-0.0029834343981351348
1,1,1,0.1,0.0,72.5,64,-0.0006200793236622038,-0.013533588507031903
1,1,1,0.1,0.0,77.5,64,-8.389608686959482e-05,-0.0018310804339314347
1,1,1,0.1,0.0,82.5,64,-0.00010354563113240678,-0.00225994305885017
1,1,1,0.1,0.0,87.5,64,9.65971651581965e-05,0.002108288785499003
1,1,1,0.1,0.0,92.5,64,0.00024080738283244196,0.005255759875142917
1,1,1,0.1,0.0,97.5,64,-0.0002900209325140124,-0.006329873952076043
1,1,1,0.1,0.0,102.5,64,-0.0001482566527322704,-0.003235786866200221
1,1,1,0.1,0.0,107.5,64,-0.00030682128590603375,-0.006696551344635252
1,1,1,0.1,0.0,112.5,64,-0.00012558966376985392,-0.0027410667721661014
1,1,1,0.1,0.0,117.5,64,0.0007486280299761616,0.016339238087620302
1,1,1,0.1,0.0,122.5,64,-5.3422676458414475e-05,-0.001165980693989961
1,1,1,0.1,0.0,127.5,64,0.0004019389297922338,0.008772548725924317
1,1,1,0.1,0.0,132.5,64,0.0007498280552185044,0.01636542932994717
1,1,1,0.1,0.0,137.5,64,0.0006529444413928553,0.014250888637239273
1,1,1,0.1,0.0,142.5,64,0.0005369243879562169,0.011718684124271692
1,1,1,0.1,0.0,147.5,64,0.0013454174083508685,0.029364510119897474
1,1,1,0.1,0.0,152.5,64,0.0007063101062233512,0.015415625019601796
1,1,1,0.1,0.0,157.5,64,0.0011060867657354256,0.02414098095083683
1,1,1,0.1,0.0,162.5,64,0.0006262310173724694,0.013667852766650059
1,1,1,0.1,0.0,167.5,64,0.00028774324845043386,0.006280162185066233
1,1,1,0.1,0.0,172.5,64,0.0013442771757914973,0.02933962388732692
1,1,1,0.1,0.0,177.5,64,0.0014905398120724778,0.03253189019559492
1,1,1,0.1,0.0,182.5,64,0.0008480187649046456,0.01850849814291341
1,1,1,0.1,0.0,187.5,64,0.0013156253564202691,0.028714281421369697
1,1,1,0.1,0.0,192.5,64,0.001219427272657836,0.026614702817270026
1,1,1,0.1,0.0,197.5,64,0.002016584712779934,0.04401312324228088
1,1,1,0.1,0.0,202.5,64,0.0016339532574826676,0.035661971271503404
1,1,1,0.1,0.0,207.5,64,0.0019425419038557323,0.042397096276623136
1,1,1,0.1,0.0,212.5,64,0.002140234590671364,0.046711853070013326
1,1,1,0.1,0.0,217.5,64,0.0023526835554374403,0.05134867413172526
1,1,1,0.1,0.0,222.5,64,0.0021520846661229887,0.046970487794345685
1,1,1,0.1,0.0,227.5,64,0.0016915934038831404,0.03692000067693804
1,1,1,0.1,0.0,232.5,64,0.0022472565405821654,0.04904766878913574
1,1,1,0.1,0.0,237.5,64,0.0023342284743068653,0.050945881352875644
1,1,1,0.1,0.0,242.5,64,0.0028141968553981878,0.061421467811254064
1,1,1,0.1,0.0,247.5,64,0.003327027573165331,0.07261429370171582
1,1,1,0.1,0.0,252.5,64,0.0033626820890838016,0.0733924740545264
1,1,1,0.1,0.0,257.5,64,0.003721905404254988,0.08123272988009732
1,1,1,0.1,0.0,262.5,64,0.003605543281050505,0.07869305949735785
1,1,1,0.1,0.0,267.5,64,0.003951895873576694,0.08625240438553969
1,1,1,0.1,0.0,272.5,64,0.004515129042047539,0.09854529280274595
1,1,1,0.1,0.0,277.5,64,0.004671018300289598,0.10194766568183869
1,1,1,0.1,0.0,282.5,64,0.005099840298458613,0.11130695286417373
1,1,1,0.1,0.0,287.5,64,0.005371805231237814,0.11724274421879949
1,1,1,0.1,0.0,292.5,64,0.005313992659426114,0.11598095152941931
1,1,1,0.1,0.0,297.5,64,0.005363032393168821,0.11705127197334003
1,1,1,0.1,0.0,302.5,64,0.006307648323231607,0.13766805890175124
1,1,1,0.1,0.0,307.5,64,0.00704386311411398,0.15373637089407366
1,1,1,0.1,0.0,312.5,64,0.007072510761902739,0.15436162231284
1,1,1,0.1,0.0,317.5,64,0.008115887517931464,0.17713392117050514
1,1,1,0.1,0.0,322.5,64,0.008530811193624699,0.18618986945707702
1,1,1,0.1,0.0,327.5,64,0.008648484584272365,0.18875815900727058
1,1,1,0.1,0.0,332.5,64,0.011231781565356536,0.24514010402515762
1,1,1,0.1,0.0,337.5,64,0.011063075815042511,0.241458003822178
1,1,1,0.1,0.0,342.5,64,0.01149827894396116,0.250956562859709
1,1,1,0.1,0.0,347.5,64,0.013742288602804242,0.2999333665841491
1,1,1,0.1,0.0,352.5,64,0.01587978802586082,0.3465855230450614
1,1,1,0.1,0.0,357.5,64,0.018031928313084367,0.39355722480197375
1,1,1,0.1,0.0,362.5,64,0.020587487051372144,0.4493337666890203
1,1,1,0.1,0.0,367.5,64,0.023102949928870353,0.5042351933124964
1,1,1,0.1,0.0,372.5,64,0.025965104687607432,0.566703369995795
1,1,1,0.1,0.0,377.5,64,0.030621543306940557,0.6683328257404544
1,1,1,0.1,0.0,382.5,64,0.035259012349963814,0.7695482595525419
1,1,1,0.1,0.0,387.5,64,0.0401862214389439,0.877087436805758
1,1,1,0.1,0.0,392.5,64,0.04620100381037329,1.008363527570267
1,1,1,0.1,0.0,397.5,64,0.0536433323165561,1.1707966352281203
1,1,1,0.1,0.0,402.5,64,0.06273840845006506,1.3693019121079721
1,1,1,0.1,0.0,407.5,64,0.07192580865768988,1.569822215099318
1,1,1,0.1,0.0,412.5,64,0.0879324392126083,1.9191761494233075
1,1,1,0.1,0.0,417.5,64,0.11620568607840973,2.5362560523293
1,1,1,0.1,0.0,422.5,64,0.17556358170511305,3.8317763243336818
1,1,1,0.1,0.0,427.5,64,0.25504665848254626,5.5665402703810125
1,1,1,0.1,0.0,432.5,64,0.3471640000922249,7.57705432581535
1,1,1,0.1,0.0,437.5,64,0.43389363996015606,9.46997868653
1,1,1,0.1,0.0,442.5,64,0.5161743927356253,11.265803523157912
1,1,1,0.1,0.0,447.5,64,0.610294420735608,13.320027362938767
1,1,1,0.1,0.0,452.5,64,0.7045693687961573,15.377632422301026
1,1,1,0.1,0.0,457.5,64,0.7984129321163342,17.4258222611558
1,1,1,0.1,0.0,462.5,64,0.893889309851962,19.509649215398575
1,1,1,0.1,0.0,467.5,63,0.9856027157343421,21.51134714085093
1,1,1,0.1,0.0,472.5,62,1.0704480851443081,23.363146213169493
1,1,1,0.1,0.0,477.5,58,1.1464413508549325,25.02174302197616
1,1,1,0.1,0.0,482.5,58,1.2491705059485063,27.26386602085375
1,1,1,0.1,0.0,487.5,56,1.3437755708023595,29.32867606943167
2,1,2,0.3,4.264597233333333,2.5,64,-0.06289976248142676,-1.3728235568090128
2,1,2,0.3,4.264597233333333,7.5,64,-0.014914614537070214,-0.3255200555528664
2,1,2,0.3,4.264597233333333,12.5,64,-0.004469850685223098,-0.0975570665772407
2,1,2,0.3,4.264597233333333,17.5,64,-0.0034019255565090334,-0.07424898534180087
2,1,2,0.3,4.264597233333333,22.5,64,-0.0014478784280243795,-0.0316007809087419
2,1,2,0.3,4.264597233333333,27.5,64,-0.0019621316554355728,-0.04282465389178556
2,1,2,0.3,4.264597233333333,32.5,64,-0.0017335136367676307,-0.037834933912619835
2,1,2,0.3,4.264597233333333,37.5,64,-0.0020360326305536303,-0.044437585252904505
2,1,2,0.3,4.264597233333333,42.5,64,-0.001539063660108475,-0.033590951136731356
2,1,2,0.3,4.264597233333333,47.5,64,-0.000816978019268888,-0.017831015984816744
2,1,2,0.3,4.264597233333333,52.5,64,-0.0003517714782378667,-0.007677615191012377
2,1,2,0.3,4.264597233333333,57.5,64,-0.0003743731124072891,-0.008170908879034246
2,1,2,0.3,4.264597233333333,62.5,64,-0.0009353869989700836,-0.020415360189924375
2,1,2,0.3,4.264597233333333,67.5,64,-0.0007666297991380522,-0.01673213707157082
2,1,2,0.3,4.264597233333333,72.5,64,-0.0007216879499713225,-0.015751255319579112
2,1,2,0.3,4.264597233333333,77.5,64,-0.0006807953169176706,-0.01485875004227259
2,1,2,0.3,4.264597233333333,82.5,64,-0.0009480324561582654,-0.020691354578928338
2,1,2,0.3,4.264597233333333,87.5,64,-0.0006648487474175124,-0.01451070697507383
2,1,2,0.3,4.264597233333333,92.5,64,0.00019809037768386828,0.004323436625725081
2,1,2,0.3,4.264597233333333,97.5,64,-0.0008770070919336959,-0.019141185082386585
2,1,2,0.3,4.264597233333333,102.5,64,-0.00020344668965757706,-0.004440341220671634
2,1,2,0.3,4.264597233333333,107.5,64,9.471578143532833e-05,0.0020672265017596466
2,1,2,0.3,4.264597233333333,112.5,64,0.0006351707187428612,0.013862966899803352
2,1,2,0.3,4.264597233333333,117.5,64,0.0007575705124016341,0.016534412918903077
2,1,2,0.3,4.264597233333333,122.5,64,0.0004321815126364925,0.009432610521222925
2,1,2,0.3,4.264597233333333,127.5,64,0.0011359775451193765,0.02479336443291732
2,1,2,0.3,4.264597233333333,132.5,64,8.372505198561697e-05,0.0018273474990442764
2,1,2,0.3,4.264597233333333,137.5,64,0.000498251036810643,0.010874615953281893
2,1,2,0.3,4.264597233333333,142.5,64,0.0017043514937996607,0.037198453340133046
2,1,2,0.3,4.264597233333333,147.5,64,0.001654914069188801,0.036119453063879245
2,1,2,0.3,4.264597233333333,152.5,64,0.0013456412832801579,0.029369396319218147
2,1,2,0.3,4.264597233333333,157.5,64,0.001644515704458921,0.03589250276247411
2,1,2,0.3,4.264597233333333,162.5,64,0.002672261540732579,0.0583236477904935
2,1,2,0.3,4.264597233333333,167.5,64,0.0022108052523996946,0.04825209842259093
2,1,2,0.3,4.264597233333333,172.5,64,0.0028960419141886296,0.06320778337562706
2,1,2,0.3,4.264597233333333,177.5,64,0.0031448795933991525,0.0686388090959986
2,1,2,0.3,4.264597233333333,182.5,64,0.002473200574845791,0.05397902751802059
2,1,2,0.3,4.264597233333333,187.5,64,0.002834103647250702,0.061855945013035145
2,1,2,0.3,4.264597233333333,192.5,64,0.0029380261113386985,0.06412411266825908
2,1,2,0.3,4.264597233333333,197.5,64,0.00230916838749734,0.050398930519508764
2,1,2,0.3,4.264597233333333,202.5,64,0.0027765608377761652,0.060600040042091206
2,1,2,0.3,4.264597233333333,207.5,64,0.0033148409900559672,0.07234831450386932
2,1,2,0.3,4.264597233333333,212.5,64,0.004945433342543715,0.10793693208742222
2,1,2,0.3,4.264597233333333,217.5,64,0.00477713084520795,0.10426363311303341
2,1,2,0.3,4.264597233333333,222.5,64,0.00526307710407059,0.11486969019801577
2,1,2,0.3,4.264597233333333,227.5,64,0.005375394182744658,0.11732107515326519
2,1,2,0.3,4.264597233333333,232.5,64,0.0054120749079664965,0.11812165311538782
2,1,2,0.3,4.264597233333333,237.5,64,0.006204272336455652,0.1354118184287238
2,1,2,0.3,4.264597233333333,242.5,64,0.006197087480804497,0.1352550048144738
2,1,2,0.3,4.264597233333333,247.5,64,0.006488255598515319,0.14160991674443837
2,1,2,0.3,4.264597233333333,252.5,64,0.007003936897680696,0.15286495821632226
2,1,2,0.3,4.264597233333333,257.5,64,0.006871398767936743,0.14997223717080743
2,1,2,0.3,4.264597233333333,262.5,64,0.007209545857618432,0.15735249223168318
2,1,2,0.3,4.264597233333333,267.5,64,0.008102368809466215,0.17683886756924222
2,1,2,0.3,4.264597233333333,272.5,64,0.008493825942877925,0.1853826450499157
2,1,2,0.3,4.264597233333333,277.5,64,0.010001072942999234,0.21827917925077608
2,1,2,0.3,4.264597233333333,282.5,64,0.009325465684226403,0.20353366156669297
2,1,2,0.3,4.264597233333333,287.5,64,0.009796712676766656,0.21381889869498405
2,1,2,0.3,4.264597233333333,292.5,64,0.010999058709475096,0.2400607936087431
2,1,2,0.3,4.264597233333333,297.5,64,0.011435000208502244,0.24957546799931526
2,1,2,0.3,4.264597233333333,302.5,64,0.012702442396126834,0.277238124000256
2,1,2,0.3,4.264597233333333,307.5,64,0.01257097636309415,0.2743688020831694
2,1,2,0.3,4.264597233333333,312.5,64,0.014651793713205657,0.3197838396438198
2,1,2,0.3,4.264597233333333,317.5,64,0.015194775239001285,0.3316347242913484
2,1,2,0.3,4.264597233333333,322.5,64,0.01764741825511934,0.385165071245587
2,1,2,0.3,4.264597233333333,327.5,64,0.018553986571416797,0.4049514470818603
2,1,2,0.3,4.264597233333333,332.5,64,0.019134882220336685,0.4176298293113728
2,1,2,0.3,4.264597233333333,337.5,64,0.02007647931517248,0.43818072842160727
2,1,2,0.3,4.264597233333333,342.5,64,0.022827259772888325,0.49821809681512513
2,1,2,0.3,4.264597233333333,347.5,64,0.024690085515573557,0.5388753419445271
2,1,2,0.3,4.264597233333333,352.5,64,0.027740934857600402,0.6054618866273701
2,1,2,0.3,4.264597233333333,357.5,64,0.029725737673580915,0.6487813516603819
2,1,2,0.3,4.264597233333333,362.5,64,0.032879107827964354,0.7176054721418279
