acquisition_order,instrument_scan_number,block,position_in_block,palindrome_mate_order,source,map_start_time,map_end_time,map_midpoint_time,elapsed_midpoint_min,map_duration_min,speed_um_per_s,baseline_transient_V,baseline_transient_V_spatial_IQR,dynamic_baseline_raw_V,dynamic_baseline_raw_V_spatial_IQR,corrected_320_360nm_V,corrected_320_360nm_V_spatial_IQR,corrected_380_420nm_V,corrected_380_420nm_V_spatial_IQR,corrected_terminal_V,corrected_terminal_V_spatial_IQR,baseline_window_drift_V,baseline_window_drift_V_spatial_IQR,retract_minimum_delta_V,retract_minimum_delta_V_spatial_IQR,retract_minimum_travel_nm,retract_minimum_travel_nm_spatial_IQR
1,9,1,1,8,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.05.27.700.jpk-force-map,2026-09-12T15:05:27.199000+02:00,2026-09-12T15:11:19.417000+02:00,2026-09-12T15:08:23.308000+02:00,0.0,5.8703,0.1,0.002822968302939821,0.005008681486397382,-0.57619861978723,0.010135550858621611,0.012086006254544368,0.0041050200678623555,0.05500736888828389,0.023658642961910906,1.324107860688115,0.06027526138912642,0.0016740804051414426,0.0020317209523726953,-0.928009314697359,1.4168259734516973,344.70117845232505,54.906901820381506
2,10,1,2,7,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.11.30.037.jpk-force-map,2026-09-12T15:11:29.531000+02:00,2026-09-12T15:13:48.836667+02:00,2026-09-12T15:12:39.183834+02:00,4.264597233333333,2.3217611166666665,0.3,0.03278202536870467,0.04276493315555946,-0.4953134018126756,0.011938463637689245,0.022842865663148165,0.004710787387114064,0.08056552040389321,0.026240002242908136,1.2690924656750355,0.052697373832181205,0.002332346395320317,0.0026244482522549684,-0.956808438210039,1.426953694945166,342.4766285542662,59.20218044986433
3,11,1,3,6,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.13.54.693.jpk-force-map,2026-09-12T15:13:54.191000+02:00,2026-09-12T15:15:02.858000+02:00,2026-09-12T15:14:28.524500+02:00,6.086941666666666,1.14445,0.9,0.2156471696989719,0.15451008160675328,-0.28708224627726187,0.0034449547350838827,0.04103931006715489,0.008693594687267929,0.11363184607493018,0.038438632882706436,1.0964653040219856,0.054517058458826595,0.006713861039329971,0.004565434851089262,-0.9603324187093839,1.3128471464168299,339.09312137806023,53.835715755315675
4,12,1,4,5,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.15.21.190.jpk-force-map,2026-09-12T15:15:20.689000+02:00,2026-09-12T15:16:06.023000+02:00,2026-09-12T15:15:43.356000+02:00,7.334133333333333,0.7555666666666667,2.7,0.8053243127218046,0.23707346535627738,0.2747944459199573,0.0069548881255092065,0.05899745977154222,0.008760725183933268,0.13208770033881617,0.021409515466562293,0.5746594667582039,0.06196152490105844,0.029670703375736907,0.006437008749980294,-0.8832650219457623,1.027199820616871,343.54128655878276,41.64329325110032
5,13,1,5,4,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.16.54.635.jpk-force-map,2026-09-12T15:16:54.134000+02:00,2026-09-12T15:17:39.469000+02:00,2026-09-12T15:17:16.801500+02:00,8.891558333333334,0.7555833333333334,2.7,0.8030108003263619,0.21144410284102078,0.24993314892349416,0.00818765542384714,0.05753783277657448,0.009292402416325368,0.1287726201780283,0.033183135544100156,0.5838319924930399,0.058311174652009856,0.030034937456795224,0.008252921223119623,-0.8642473528514669,1.0553597012509912,342.5114087843368,39.45305057654218
6,14,1,6,3,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.18.09.797.jpk-force-map,2026-09-12T15:18:09.296000+02:00,2026-09-12T15:19:17.964000+02:00,2026-09-12T15:18:43.630000+02:00,10.3387,1.1444666666666667,0.9,0.20300294729921767,0.14070606887824788,-0.3423147638180729,0.012985911163007402,0.04169493822664466,0.00906964686164518,0.11498802199463627,0.03092483404349533,1.1066698834473252,0.05283188372993641,0.007606727792794338,0.0038791688513101635,-0.8731976472604945,1.2354523450838153,346.33048662489455,51.75378588638148
7,15,1,7,2,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.19.36.626.jpk-force-map,2026-09-12T15:19:36.124000+02:00,2026-09-12T15:21:55.435667+02:00,2026-09-12T15:20:45.779834+02:00,12.374530566666666,2.3218611166666667,0.3,0.02716623122768841,0.03627640709944316,-0.5785062766713225,0.0371037299481326,0.020557961980723766,0.006399797190881157,0.07796277689556291,0.03601314825941246,1.2874313014867318,0.05387793586089673,0.0022660731588657335,0.0030214473330632263,-0.9177304087954827,1.2690264225708845,337.62066332383176,51.264637254964725
8,16,1,8,1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.22.15.764.jpk-force-map,2026-09-12T15:22:15.263000+02:00,2026-09-12T15:28:07.737000+02:00,2026-09-12T15:25:11.500000+02:00,16.8032,5.8745666666666665,0.1,0.002145814777574362,0.0029363672120176487,-0.8168370020775226,0.14828873011613963,0.009306173505534032,0.004432695790119956,0.051640901783314236,0.029875814526825598,1.3392309542339063,0.051160259691643395,0.0010418916726466776,0.0014062015374542436,-0.8879402535444113,1.4047800658389975,346.5148964995214,57.24069344057591
9,17,2,1,16,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.28.13.596.jpk-force-map,2026-09-12T15:28:13.095000+02:00,2026-09-12T15:30:32.386667+02:00,2026-09-12T15:29:22.740834+02:00,20.990547233333334,2.321527783333333,0.3,0.02399598145984494,0.03218347766829183,-1.0009520081560885,0.07123879281595014,0.020681816266159447,0.006473022369628503,0.07926255301940865,0.034996959097285604,1.286711942670342,0.049877132353690845,0.002117471655310621,0.00253373719005226,-0.9776862896542208,1.4187213590913248,341.2989903660457,57.58069113288127
10,18,2,2,15,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.30.45.054.jpk-force-map,2026-09-12T15:30:44.553000+02:00,2026-09-12T15:31:53.210000+02:00,2026-09-12T15:31:18.881500+02:00,22.926225,1.1442833333333333,0.9,0.1913927531390332,0.13008691897120264,-0.9475936964351155,0.03289903547772943,0.040383303684182026,0.008429869325257203,0.11089271406617687,0.04587013682747726,1.1251931574375993,0.04763292941152386,0.00633453695371855,0.004210239198854826,-0.8763796080510391,1.4277654876873453,344.50486362920844,52.37924874247159
