metric,metric_label,unit,block,speed_um_per_s,early_order,late_order,early_elapsed_midpoint_min,late_elapsed_midpoint_min,pair_time_gap_min,pair_centre_elapsed_min,pair_centre_offset_from_block_median_min,early_value,late_value,later_minus_earlier,palindrome_pair_mean
baseline_transient_V,Dynamic baseline − initial endpoint,V,1,0.1,1,8,0.0,16.8032,16.8032,8.4016,0.2887541666666671,0.002822968302939821,0.002145814777574362,-0.0006771535253654593,0.0024843915402570915
baseline_transient_V,Dynamic baseline − initial endpoint,V,1,0.3,2,7,4.264597233333333,12.374530566666666,8.109933333333332,8.319563899999999,0.20671806666666548,0.03278202536870467,0.02716623122768841,-0.0056157941410162615,0.02997412829819654
baseline_transient_V,Dynamic baseline − initial endpoint,V,1,0.9,3,6,6.086941666666666,10.3387,4.251758333333333,8.212820833333332,0.09997499999999881,0.2156471696989719,0.20300294729921767,-0.01264422239975424,0.20932505849909477
baseline_transient_V,Dynamic baseline − initial endpoint,V,1,2.7,4,5,7.334133333333333,8.891558333333334,1.5574250000000012,8.112845833333333,0.0,0.8053243127218046,0.8030108003263619,-0.0023135123954427517,0.8041675565240832
baseline_transient_V,Dynamic baseline − initial endpoint,V,2,0.1,12,13,27.711108333333335,33.786766666666665,6.07565833333333,30.7489375,0.0,0.0006489744853480639,0.0015671411916174938,0.0009181667062694299,0.0011080578384827788
baseline_transient_V,Dynamic baseline − initial endpoint,V,2,0.3,9,16,20.990547233333334,40.7520889,19.761541666666663,30.871318066666667,0.12238056666666708,0.02399598145984494,0.01135406872628697,-0.01264191273355797,0.017675025093065955
baseline_transient_V,Dynamic baseline − initial endpoint,V,2,0.9,10,15,22.926225,38.64136666666666,15.715141666666664,30.78379583333333,0.03485833333332877,0.1913927531390332,0.14142476580354235,-0.04996798733549085,0.16640875947128778
baseline_transient_V,Dynamic baseline − initial endpoint,V,2,2.7,11,14,24.039575,37.299324999999996,13.259749999999997,30.669449999999998,-0.0794875000000026,0.7515300956555196,0.6889207545785302,-0.06260934107698946,0.7202254251170249
baseline_transient_V,Dynamic baseline − initial endpoint,V,3,0.1,19,22,48.06350833333333,59.69199166666667,11.628483333333335,53.87775,0.22477776666666927,0.0011478915848366356,0.0024093113978094884,0.0012614198129728528,0.001778601491323062
baseline_transient_V,Dynamic baseline − initial endpoint,V,3,0.3,20,21,52.387655566666666,54.9182889,2.530633333333334,53.65297223333333,0.0,0.015851971913523943,0.011185924749087306,-0.0046660471644366375,0.013518948331305625
baseline_transient_V,Dynamic baseline − initial endpoint,V,3,0.9,17,24,42.610533333333336,64.25286666666666,21.642333333333326,53.4317,-0.22127223333333035,0.14882872965568694,0.1684919608808175,0.019663231225130556,0.15866034526825223
baseline_transient_V,Dynamic baseline − initial endpoint,V,3,2.7,18,23,44.09054166666667,63.11739166666667,19.026850000000003,53.603966666666665,-0.04900556666666489,0.6776879203838481,0.7036442675291885,0.025956347145340453,0.6906660939565183
baseline_transient_V,Dynamic baseline − initial endpoint,V,4,0.1,26,31,69.52426666666666,83.832825,14.308558333333337,76.67854583333333,0.3084374999999966,0.001642613462823378,0.001684523962015405,4.191049919202716e-05,0.0016635687124193915
baseline_transient_V,Dynamic baseline − initial endpoint,V,4,0.3,27,30,73.78829723333334,79.42069723333334,5.632400000000004,76.60449723333335,0.23438890000001322,0.01942815003458978,0.016788101454184967,-0.0026400485804048135,0.018108125744387374
baseline_transient_V,Dynamic baseline − initial endpoint,V,4,0.9,28,29,75.67360833333333,77.06660833333333,1.3930000000000007,76.37010833333333,0.0,0.16553637935964804,0.1675639089144698,0.0020275295548217442,0.16655014413705893
baseline_transient_V,Dynamic baseline − initial endpoint,V,4,2.7,25,32,65.53098333333334,87.16833333333334,21.637349999999998,76.34965833333334,-0.02044999999999675,0.7033967508511139,0.6860011473946069,-0.017395603456506925,0.6946989491228603
dynamic_baseline_raw_V,Absolute dynamic-baseline detector level,V,1,0.1,1,8,0.0,16.8032,16.8032,8.4016,0.2887541666666671,-0.57619861978723,-0.8168370020775226,-0.24063838229029266,-0.6965178109323763
dynamic_baseline_raw_V,Absolute dynamic-baseline detector level,V,1,0.3,2,7,4.264597233333333,12.374530566666666,8.109933333333332,8.319563899999999,0.20671806666666548,-0.4953134018126756,-0.5785062766713225,-0.0831928748586469,-0.5369098392419991
dynamic_baseline_raw_V,Absolute dynamic-baseline detector level,V,1,0.9,3,6,6.086941666666666,10.3387,4.251758333333333,8.212820833333332,0.09997499999999881,-0.28708224627726187,-0.3423147638180729,-0.055232517540811044,-0.3146985050476674
dynamic_baseline_raw_V,Absolute dynamic-baseline detector level,V,1,2.7,4,5,7.334133333333333,8.891558333333334,1.5574250000000012,8.112845833333333,0.0,0.2747944459199573,0.24993314892349416,-0.02486129699646311,0.2623637974217257
dynamic_baseline_raw_V,Absolute dynamic-baseline detector level,V,2,0.1,12,13,27.711108333333335,33.786766666666665,6.07565833333333,30.7489375,0.0,-1.4566006540482759,-1.8030568951046106,-0.34645624105633477,-1.6298287745764433
