metric,metric_label,unit,speed_um_per_s,block_pair_count,later_minus_earlier_q25,later_minus_earlier_median,later_minus_earlier_q75,later_minus_earlier_min,later_minus_earlier_max,positive_fraction
baseline_transient_V,Dynamic baseline − initial endpoint,V,0.1,4,-0.00013785550694734444,0.0004800386027307285,0.0010039799829452856,-0.0006771535253654593,0.0012614198129728528,0.75
baseline_transient_V,Dynamic baseline − initial endpoint,V,0.3,4,-0.0073723237891516885,-0.0051409206527264495,-0.0041595475184286815,-0.01264191273355797,-0.0026400485804048135,0.0
baseline_transient_V,Dynamic baseline − initial endpoint,V,0.9,4,-0.021975163633688392,-0.005308346422466248,0.006436454972398947,-0.04996798733549085,0.019663231225130556,0.5
baseline_transient_V,Dynamic baseline − initial endpoint,V,2.7,4,-0.028699037861627558,-0.009854557925974838,0.004753952489753049,-0.06260934107698946,0.025956347145340453,0.25
dynamic_baseline_raw_V,Absolute dynamic-baseline detector level,V,0.1,4,-0.27304058089769045,-0.24460353823421752,0.42749905203296445,-0.34645624105633477,2.4319113550027356,0.25
dynamic_baseline_raw_V,Absolute dynamic-baseline detector level,V,0.3,4,-0.3524045433503423,-0.09421822079546019,-0.08813988784044349,-1.1136755251317352,-0.0831928748586469,0.0
dynamic_baseline_raw_V,Absolute dynamic-baseline detector level,V,0.9,4,-0.2646788001425537,-0.04034390934452178,0.5017479885838381,-0.8930176479477816,2.08335785778005,0.25
dynamic_baseline_raw_V,Absolute dynamic-baseline detector level,V,2.7,4,-0.49221304549213724,-0.2105331467151612,0.5253682404716882,-0.780237192666971,2.176056852876142,0.25
corrected_320_360nm_V,Corrected increment at 320–360 nm travel,V,0.1,4,-0.0017244025528813864,-0.000869801378369936,-0.00011565503996502358,-0.002779832749010336,0.0006384106478443119,0.25
corrected_320_360nm_V,Corrected increment at 320–360 nm travel,V,0.3,4,-0.0010476123028284462,-0.00020031522170210758,0.00033329101998023913,-0.0022849036824243996,0.0006295098812442168,0.5
corrected_320_360nm_V,Corrected increment at 320–360 nm travel,V,0.9,4,-0.0020416945109481884,-0.0013763253586094835,-0.0006668552786164572,-0.003231875166091455,0.0006556281594897739,0.25
corrected_320_360nm_V,Corrected increment at 320–360 nm travel,V,2.7,4,-0.0015350363448036926,-0.0012205987920860945,-0.0006371153714675101,-0.0017612643943115541,0.00039625028174331,0.25
corrected_380_420nm_V,Corrected increment at 380–420 nm travel,V,0.1,4,-0.003549451139402136,-0.003050702641374352,-0.0019733862374805393,-0.004098403242699576,0.0003112695834149859,0.25
corrected_380_420nm_V,Corrected increment at 380–420 nm travel,V,0.3,4,-0.0011150257718420716,-0.00049659909012717,-2.2514378568160714e-05,-0.002602743508330299,0.0010321774474523898,0.25
corrected_380_420nm_V,Corrected increment at 380–420 nm travel,V,0.9,4,-0.005298037399129249,-0.0024242373201164152,0.0006255180243909843,-0.0055008294979606576,0.0013561759197060902,0.5
corrected_380_420nm_V,Corrected increment at 380–420 nm travel,V,2.7,4,-0.003514607648654751,-0.003012554909628082,-0.002144239309904053,-0.0041131901122553605,-0.00044686826421136416,0.0
corrected_terminal_V,Corrected terminal last 25 nm,V,0.1,4,0.0026518329534316876,0.007960723419786708,0.012231365047942866,-0.0033546420590133685,0.015123093545791333,0.75
corrected_terminal_V,Corrected terminal last 25 nm,V,0.3,4,0.0029569237278495586,0.0089386369216361,0.013506075175237497,-0.006118661729164643,0.018338835811696264,0.75
corrected_terminal_V,Corrected terminal last 25 nm,V,0.9,4,0.007925548983491404,0.010086115519801764,0.010462605710344963,0.0017992410911737977,0.011236684565361088,1.0
corrected_terminal_V,Corrected terminal last 25 nm,V,2.7,4,0.006014925595763138,0.014452433783903873,0.020192474339113864,-0.00345787482145532,0.021572871857540088,0.75
baseline_window_drift_V,Within-baseline-window drift magnitude,V,0.1,4,-0.0004261188126869625,-0.00026663330266879504,-0.0001158031311449953,-0.000632188732494765,6.430077317970406e-05,0.25
baseline_window_drift_V,Within-baseline-window drift magnitude,V,0.3,4,-3.2734755778252023e-06,4.767354046261718e-05,9.323156713290925e-05,-6.627323645458372e-05,0.00014006435989921684,0.75
baseline_window_drift_V,Within-baseline-window drift magnitude,V,0.9,4,5.296397619561268e-05,0.0003507640410559069,0.0005965164873505749,-0.00039952914561505737,0.0008928667534643664,0.75
baseline_window_drift_V,Within-baseline-window drift magnitude,V,2.7,4,-0.0014575497206816748,-0.0012140136014241742,-0.000770809724837139,-0.0019935902545885273,0.0003642340810583178,0.25
retract_minimum_delta_V,"Retract minimum, endpoint referenced",V,0.1,4,0.07448474324914339,0.09934483083430373,0.13244981143199683,0.04006906115294773,0.19160017256579076,1.0
retract_minimum_delta_V,"Retract minimum, endpoint referenced",V,0.3,4,0.028941668573659318,0.07580203967200039,0.13343333154077183,-0.001467413949031604,0.19615517637475388,0.75
