acquisition_order,instrument_scan_number,block,position_in_block,source,map_midpoint_time,speed_um_per_s,point_index,acquisition_line,position_within_line,physical_row,physical_column,declared_approach_points,actual_approach_points,point_count_fraction,approach_duration_s,approach_sample_rate_Hz,approach_travel_span_nm,approach_largest_backward_step_nm,approach_direction_valid,raw_saturation_fraction,raw_min_encoder,raw_max_encoder,baseline_start_nm,baseline_stop_nm,baseline_points,baseline_raw_V,baseline_raw_mad_V,baseline_slope_mV_per_100nm,baseline_line_r2,baseline_line_inliers,baseline_75_200nm_raw_V,baseline_125_275nm_raw_V,initial_0_5nm_minus_baseline_V,terminal_contact_window_nm,terminal_contact_points,terminal_contact_slope_V_per_nm,terminal_contact_invOLS_nm_per_V,terminal_contact_r2,terminal_contact_inliers,terminal_contact_amplitude_V,terminal_contact_InvOLS_30nm_nm_per_V,terminal_contact_R2_30nm,terminal_contact_InvOLS_50nm_nm_per_V,terminal_contact_R2_50nm,force_contact_valid,calibration_accepted,qc_state,qc_reason,retract_present,retract_points,retract_travel_span_nm,contact_plane_m,contact_coordinate_mad_nm,terminal_reconstructed_distance_nm,reconstructed_max_precontact_distance_nm,force_scale_pN_per_V,baseline_75_200_force_shift_pN,baseline_125_275_force_shift_pN
1,9,1,1,16-09-26/map-data-2026.09.16-10.04.13.579.jpk-force-map,2026-09-16T10:07:02.204500+02:00,0.09999999999999999,0,1,1,0,0,10000,10000,1.0,5.0,2000.0,499.92355011214056,-0.2819803021299663,True,0.0,64973699.0,327403758.0,100.0,250.0,2999,0.4197873498144948,0.0052638320603913625,-2.130557061255218,0.033466056939210787,2999,0.4208082250543349,0.41965361444056354,0.0057730586309669985,40.0,800,0.017072061708097785,58.575233448557086,0.9994675194335454,800,0.8639774931773402,58.06795438630696,0.9990911572907678,58.63588756338174,0.9996874901135945,True,True,pass_force,,True,500,497.232154127379,1.1325077900287938e-05,0.3177455864967278,0.0,418.60951024412896,10155.936273821224,-10.367943879338261,1.3582079352013563
1,9,1,1,16-09-26/map-data-2026.09.16-10.04.13.579.jpk-force-map,2026-09-16T10:07:02.204500+02:00,0.09999999999999999,1,1,2,0,1,10000,9520,0.952,4.76,2000.0,476.06696795912563,-0.33380586533769474,True,0.0,43144518.0,283746543.0,100.0,250.0,2997,0.41493424193659445,0.00519830629032006,-0.88690332247819,0.0053922487581719025,2997,0.41564345546426146,0.4147852441326986,-0.023170843825139398,40.0,799,0.017201499561720186,58.13446649880319,0.9994270216931157,797,0.8601222584331871,58.206278091985126,0.9989124724636687,58.125129381785115,0.9996646489488399,True,True,pass_force,,True,500,496.9301023898397,1.1334636863072397e-05,0.26450643404292784,0.0,405.35269182455943,10155.936273821224,-7.202727391518073,1.5132122013052884
1,9,1,1,16-09-26/map-data-2026.09.16-10.04.13.579.jpk-force-map,2026-09-16T10:07:02.204500+02:00,0.09999999999999999,2,1,3,0,2,10000,9842,0.9842,4.921,2000.0,492.0809188198639,-0.30018250675762204,True,0.0,41106717.0,281518401.0,100.0,250.0,2999,0.41233408341890765,0.005337472272666169,-1.9379858990977314,0.024599166095851333,2998,0.41248524488361116,0.41171577145571236,-0.03627459663262328,40.0,801,0.017092119676417827,58.5064941582237,0.9996115573914656,801,0.8354148566785147,58.25967716412678,0.9994385435466716,58.91310735984919,0.9996695444097811,True,True,pass_force,,True,500,497.0402730284971,1.1342781485834533e-05,0.22752886902701902,0.0,420.5600504687196,10155.936273821224,-1.5351862025863103,6.279536895552597
1,9,1,1,16-09-26/map-data-2026.09.16-10.04.13.579.jpk-force-map,2026-09-16T10:07:02.204500+02:00,0.09999999999999999,3,1,4,0,3,10000,10000,1.0,5.0,2000.0,499.97490836765417,-0.3127884167885213,True,0.0,68178491.0,284219057.0,100.0,250.0,2999,0.40630358252449,0.00539320133812572,-1.8038206794569658,0.021267091787326664,2999,0.40679454441608615,0.40623318289764554,0.002705638372587471,40.0,801,0.017207760780822527,58.11331368079375,0.9993271425963066,799,0.8511129583797432,57.87825947933761,0.9986629271041781,58.44800146450348,0.9995740979595368,True,True,pass_force,,True,500,496.96091050449826,1.1339355462162362e-05,0.2918680612673695,0.0,431.3851733473268,10155.936273821224,-4.986177683925145,0.7149741239331703
1,9,1,1,16-09-26/map-data-2026.09.16-10.04.13.579.jpk-force-map,2026-09-16T10:07:02.204500+02:00,0.09999999999999999,4,1,5,0,4,10000,10000,1.0,5.0,2000.0,499.9497079453405,-0.34733499301037796,True,0.0,66576054.0,283002095.0,100.0,250.0,2999,0.4013955710583316,0.0066338368785406115,-2.9084358652980957,0.02994583536773998,2964,0.40207721876861374,0.4011063468980816,0.00025128778868549473,40.0,801,0.01720686917246212,58.11632493843798,0.998541119337604,801,0.8558591013193607,57.135617062597625,0.9979427110195171,58.3657598588868,0.9990695804202322,True,True,pass_force,,True,500,496.958585363769,1.1325996123226013e-05,0.5125410442245149,0.0,431.55944920091537,10155.936273821224,-6.922770706821346,2.9373421403485827
1,9,1,1,16-09-26/map-data-2026.09.16-10.04.13.579.jpk-force-map,2026-09-16T10:07:02.204500+02:00,0.09999999999999999,5,1,6,0,5,10000,10000,1.0,5.0,2000.0,500.0318629177645,-0.2987919814199813,True,0.0,65337915.0,253438888.0,100.0,250.0,2999,0.3970439040873529,0.005520203903550727,-0.7680573054222699,0.003760855273401975,2992,0.3973813128069261,0.39708263305959896,-0.006550966998749519,40.0,801,0.01696936308458422,58.92973089299078,0.9991878486313278,801,0.7900468886991115,57.929937918515165,0.998907023745274,60.296181807096296,0.9988545401770526,True,True,pass_force,,True,500,496.808716366489,1.131379439371287e-05,0.3294169779676918,0.0,440.204283671936,10155.936273821224,-3.4267014542172163,-0.3933289740814677
1,9,1,1,16-09-26/map-data-2026.09.16-10.04.13.579.jpk-force-map,2026-09-16T10:07:02.204500+02:00,0.09999999999999999,6,1,7,0,6,10000,10000,1.0,5.0,2000.0,500.01038955926765,-0.2815129944341379,True,0.0,66889112.0,280274446.0,100.0,250.0,2998,0.39237624530153076,0.005499431261364771,-1.6647877074082194,0.01873573834451414,2996,0.3934086313281098,0.3916998343178564,0.002403429466436513,40.0,799,0.017369332114858964,57.57273759216849,0.9994501741988494,799,0.8527681004954437,57.37346184105198,0.9990794983596053,58.01032905641175,0.9995848782687651,True,True,pass_force,,True,500,496.96931064526837,1.1296202655155752e-05,0.32489061505097777,0.0,432.44701952268105,10155.936273821224,-10.484846695920524,6.869586845109735
1,9,1,1,16-09-26/map-data-2026.09.16-10.04.13.579.jpk-force-map,2026-09-16T10:07:02.204500+02:00,0.09999999999999999,7,1,8,0,7,10000,10000,1.0,5.0,2000.0,500.0981522240366,-0.38842387697054903,True,0.0,65877441.0,279534053.0,100.0,250.0,2999,0.3861140463700075,0.005112857255651327,-0.5314578611601996,0.0019364688898225735,2997,0.38630177314614933,0.38575021206560867,0.004976586720907894,40.0,800,0.016462853251761264,60.74281199663952,0.9992894286852957,800,0.8120443275406362,59.669525459343376,0.9991788846825932,61.43695148821191,0.9993457300767435,True,True,pass_force,,True,500,496.87081130125017,1.1284139591480792e-05,0.5029343246677125,0.0,432.016024330397,10155.936273821224,-1.9065411753861925,3.695078009704761
1,9,1,1,16-09-26/map-data-2026.09.16-10.04.13.579.jpk-force-map,2026-09-16T10:07:02.204500+02:00,0.09999999999999999,8,2,1,1,7,10000,10000,1.0,5.0,2000.0,499.94223102221224,-0.3202539421669339,True,0.0,65296792.0,311362102.0,100.0,250.0,2999,0.38033529213835404,0.005023680855254812,-0.5606561655257486,0.002371149320196664,2999,0.3805416964800282,0.38071279254713436,0.005846645346867463,40.0,802,0.017446561663768154,57.31788413511487,0.9995247459698521,802,0.8516953863899805,57.44056229872953,0.9991365190375722,57.606422420604886,0.9996810039542015,True,True,pass_force,,True,500,496.912356095158,1.1290892703455535e-05,0.3304990472003108,-8.470329472543003e-13,422.1019684619456,10155.936273821224,-2.096229340683018,-3.8338700949143716
1,9,1,1,16-09-26/map-data-2026.09.16-10.04.13.579.jpk-force-map,2026-09-16T10:07:02.204500+02:00,0.09999999999999999,9,2,2,1,6,10000,9553,0.9553,4.7765,1999.9999999999998,477.6439832607916,-0.2605069436314693,True,0.0,45648649.0,286066394.0,100.0,250.0,2999,0.3769204346759895,0.004932822192450299,-0.585608187480093,0.0026113996073831025,2999,0.3769023244456817,0.3767846524455616,-0.008675879366773442,40.0,799,0.016763006107712877,59.65517124878258,0.999493013599241,799,0.8370279631475475,59.762316346229476,0.9989978758891059,59.7750805682414,0.9996919618704111,True,True,pass_force,,True,500,496.953912286814,1.1306116482654902e-05,0.4107074917790134,0.0,403.6590628572939,10155.936273821224,0.18392634491012538,1.3789956793433429
