model,coefficient_pN_nm_per_um_s_to_alpha,velocity_exponent_alpha,distance_shift_D0_nm,parameter_count,interaction_rms_pN,residual_rmse_pN,normalized_rmse,optimizer_success,optimizer_nfev,optimizer_message,jacobian_rank,jacobian_condition,fit_range,minimum_distance_nm,maximum_distance_nm,scope,blocks,glycerol_mass_fraction_assumed,temperature_C_assumed,probe_radius_um_assumed,viscosity_mPa_s_assumed,theoretical_no_slip_coefficient_pN_nm_per_um_s
additive_null,0.0,1.0,0.0,0,44.07663182877386,44.07663182877386,1.0,True,0,closed form,0,nan,primary_20_200,20.0,200.0,block_1,1,0.997,25.6,4.546848945303745,807.7711337064577,314782.4455707509
theoretical_no_slip,314782.4455707509,1.0,0.0,0,44.07663182877386,359.847615292658,8.164135968704947,True,0,fixed campaign-assumption coefficient,0,nan,primary_20_200,20.0,200.0,block_1,1,0.997,25.6,4.546848945303745,807.7711337064577,314782.4455707509
fitted_v_over_D,33876.44099971278,1.0,0.0,1,44.07663182877386,7.769510764304365,0.17627278768683763,True,0,closed form,1,1.0,primary_20_200,20.0,200.0,block_1,1,0.997,25.6,4.546848945303745,807.7711337064577,314782.4455707509
shifted_v_over_D,65031.83592164474,1.0,18.474231615114437,2,44.07663182877386,3.3372478181572007,0.07571467418657424,True,9,`ftol` termination condition is satisfied.,2,8262.656597886642,primary_20_200,20.0,200.0,block_1,1,0.997,25.6,4.546848945303745,807.7711337064577,314782.4455707509
velocity_power_over_D,31585.023194119487,0.7644179184512996,0.0,2,44.07663182877386,7.555163281564283,0.17140972365842536,True,11,`ftol` termination condition is satisfied.,2,9857.33997925773,primary_20_200,20.0,200.0,block_1,1,0.997,25.6,4.546848945303745,807.7711337064577,314782.4455707509
empirical_power_shift,60635.21355242764,0.7623015244223162,18.48689594862971,3,44.07663182877386,2.7755617200475,0.06297127536491055,True,12,`ftol` termination condition is satisfied.,3,67256.59070299688,primary_20_200,20.0,200.0,block_1,1,0.997,25.6,4.546848945303745,807.7711337064577,314782.4455707509
actual_gap_theoretical_no_slip,314782.4455707509,1.0,0.0,0,44.07663182877386,283.9347419834685,6.441842994865859,True,0,fixed campaign-assumption coefficient with measured U_gap(D),0,nan,primary_20_200,20.0,200.0,block_1,1,0.997,25.6,4.546848945303745,807.7711337064577,314782.4455707509
actual_gap_fitted,42084.079885008934,1.0,0.0,1,44.07663182877386,4.824448948889717,0.10945593500954053,True,0,closed form,1,1.0,primary_20_200,20.0,200.0,block_1,1,0.997,25.6,4.546848945303745,807.7711337064577,314782.4455707509
actual_gap_shifted,55611.9187375807,1.0,6.768216287698898,2,44.07663182877386,3.1657905961560586,0.0718246940568037,True,10,`ftol` termination condition is satisfied.,2,7483.156955800527,primary_20_200,20.0,200.0,block_1,1,0.997,25.6,4.546848945303745,807.7711337064577,314782.4455707509
additive_null,0.0,1.0,0.0,0,43.108359346681475,43.108359346681475,1.0,True,0,closed form,0,nan,primary_20_200,20.0,200.0,block_2,2,0.997,25.6,4.546848945303745,807.7711337064577,314782.4455707509
theoretical_no_slip,314782.4455707509,1.0,0.0,0,43.108359346681475,360.74771235854405,8.368393458386507,True,0,fixed campaign-assumption coefficient,0,nan,primary_20_200,20.0,200.0,block_2,2,0.997,25.6,4.546848945303745,807.7711337064577,314782.4455707509
fitted_v_over_D,33166.59306651229,1.0,0.0,1,43.108359346681475,7.348947861073978,0.1704761668606557,True,0,closed form,1,1.0,primary_20_200,20.0,200.0,block_2,2,0.997,25.6,4.546848945303745,807.7711337064577,314782.4455707509
shifted_v_over_D,61706.49545740109,1.0,17.350648567440622,2,43.108359346681475,3.0428681421643393,0.07058649849541496,True,11,`ftol` termination condition is satisfied.,2,7934.2568462472145,primary_20_200,20.0,200.0,block_2,2,0.997,25.6,4.546848945303745,807.7711337064577,314782.4455707509
velocity_power_over_D,32344.807879242187,0.9360239684991468,0.0,2,43.108359346681475,7.333872588345785,0.17012646037781426,True,7,`ftol` termination condition is satisfied.,2,30128.020201683375,primary_20_200,20.0,200.0,block_2,2,0.997,25.6,4.546848945303745,807.7711337064577,314782.4455707509
empirical_power_shift,60226.232766912704,0.9384064675208185,17.348617051985364,3,43.108359346681475,3.00814482900476,0.06978100940499676,True,10,`ftol` termination condition is satisfied.,3,122406.05038200029,primary_20_200,20.0,200.0,block_2,2,0.997,25.6,4.546848945303745,807.7711337064577,314782.4455707509
actual_gap_theoretical_no_slip,314782.4455707509,1.0,0.0,0,43.108359346681475,285.4741660437439,6.6222461343966685,True,0,fixed campaign-assumption coefficient with measured U_gap(D),0,nan,primary_20_200,20.0,200.0,block_2,2,0.997,25.6,4.546848945303745,807.7711337064577,314782.4455707509
actual_gap_fitted,41093.70016731771,1.0,0.0,1,43.108359346681475,4.643086380346078,0.10770733219063015,True,0,closed form,1,1.0,primary_20_200,20.0,200.0,block_2,2,0.997,25.6,4.546848945303745,807.7711337064577,314782.4455707509
actual_gap_shifted,53844.0331498262,1.0,6.527977182014551,2,43.108359346681475,3.040087786133395,0.07052200158407151,True,13,`ftol` termination condition is satisfied.,2,7311.823870938781,primary_20_200,20.0,200.0,block_2,2,0.997,25.6,4.546848945303745,807.7711337064577,314782.4455707509
additive_null,0.0,1.0,0.0,0,40.361046472026445,40.361046472026445,1.0,True,0,closed form,0,nan,primary_20_200,20.0,200.0,block_3,3,0.997,25.6,4.546848945303745,807.7711337064577,314782.4455707509
theoretical_no_slip,314782.4455707509,1.0,0.0,0,40.361046472026445,363.54364291075666,9.007289817490797,True,0,fixed campaign-assumption coefficient,0,nan,primary_20_200,20.0,200.0,block_3,3,0.997,25.6,4.546848945303745,807.7711337064577,314782.4455707509
fitted_v_over_D,30983.486887717663,1.0,0.0,1,40.361046472026445,7.375841344566684,0.18274653383129583,True,0,closed form,1,1.0,primary_20_200,20.0,200.0,block_3,3,0.997,25.6,4.546848945303745,807.7711337064577,314782.4455707509
shifted_v_over_D,58061.95336815269,1.0,17.62068584639382,2,40.361046472026445,4.008936246873123,0.09932686580987558,True,12,`ftol` termination condition is satisfied.,2,7443.856883486939,primary_20_200,20.0,200.0,block_3,3,0.997,25.6,4.546848945303745,807.7711337064577,314782.4455707509
velocity_power_over_D,28811.682008415697,0.6236496390298982,0.0,2,40.361046472026445,6.865145893522574,0.1700933571749853,True,25,`xtol` termination condition is satisfied.,2,7475.291930441927,primary_20_200,20.0,200.0,block_3,3,0.997,25.6,4.546848945303745,807.7711337064577,314782.4455707509
empirical_power_shift,53421.10041247435,0.6473029820173365,17.321133885177193,3,40.361046472026445,3.094018097164592,0.07665852022219007,True,9,`ftol` termination condition is satisfied.,3,48016.39370671237,primary_20_200,20.0,200.0,block_3,3,0.997,25.6,4.546848945303745,807.7711337064577,314782.4455707509
