block,speed_low_um_per_s,speed_high_um_per_s,delta_speed_um_per_s,distance_nm,reference_distance_nm,raw_speed_contrast_pN,reference_speed_contrast_pN,distance_double_difference_pN,double_difference_per_delta_speed_pN_per_um_s
1,0.1,0.2,0.1,20.0,250.0,166.76758730839174,-7.35602288245806,174.1236101908498,1741.2361019084979
2,0.1,0.2,0.1,20.0,250.0,151.47012364560248,-1.571091664190321,153.04121530979282,1530.412153097928
3,0.1,0.2,0.1,20.0,250.0,167.98551327590576,-4.9366867536630865,172.92220002956884,1729.2220002956883
1,0.1,0.2,0.1,25.0,250.0,132.90560896849206,-7.35602288245806,140.26163185095012,1402.616318509501
2,0.1,0.2,0.1,25.0,250.0,133.14020543974902,-1.571091664190321,134.71129710393936,1347.1129710393934
3,0.1,0.2,0.1,25.0,250.0,127.06713377473955,-4.9366867536630865,132.00382052840263,1320.0382052840262
1,0.1,0.2,0.1,30.0,250.0,123.7934453692854,-7.35602288245806,131.14946825174346,1311.4946825174345
2,0.1,0.2,0.1,30.0,250.0,107.03050223291035,-1.571091664190321,108.60159389710067,1086.0159389710066
3,0.1,0.2,0.1,30.0,250.0,120.87694746151374,-4.9366867536630865,125.81363421517682,1258.136342151768
1,0.1,0.2,0.1,35.0,250.0,110.3880759645889,-7.35602288245806,117.74409884704696,1177.4409884704694
2,0.1,0.2,0.1,35.0,250.0,100.44724114356313,-1.571091664190321,102.01833280775345,1020.1833280775345
3,0.1,0.2,0.1,35.0,250.0,107.22860011399166,-4.9366867536630865,112.16528686765474,1121.6528686765473
1,0.1,0.2,0.1,40.0,250.0,101.44763720829513,-7.35602288245806,108.8036600907532,1088.036600907532
2,0.1,0.2,0.1,40.0,250.0,88.41799356906961,-1.571091664190321,89.98908523325993,899.8908523325993
3,0.1,0.2,0.1,40.0,250.0,81.98684877457612,-4.9366867536630865,86.9235355282392,869.235355282392
1,0.1,0.2,0.1,45.0,250.0,97.29617500875176,-7.35602288245806,104.65219789120982,1046.5219789120981
2,0.1,0.2,0.1,45.0,250.0,83.24555233122851,-1.571091664190321,84.81664399541883,848.1664399541883
3,0.1,0.2,0.1,45.0,250.0,78.02858408436663,-4.9366867536630865,82.96527083802971,829.6527083802971
1,0.1,0.2,0.1,50.0,250.0,79.46394816095429,-7.35602288245806,86.81997104341235,868.1997104341235
2,0.1,0.2,0.1,50.0,250.0,70.72429754747077,-1.571091664190321,72.29538921166109,722.9538921166109
3,0.1,0.2,0.1,50.0,250.0,72.56376576714652,-4.9366867536630865,77.5004525208096,775.004525208096
1,0.1,0.2,0.1,55.0,250.0,76.52265183014401,-7.35602288245806,83.87867471260208,838.7867471260207
2,0.1,0.2,0.1,55.0,250.0,71.85573972073924,-1.571091664190321,73.42683138492956,734.2683138492955
3,0.1,0.2,0.1,55.0,250.0,64.99139923904661,-4.9366867536630865,69.9280859927097,699.2808599270969
1,0.1,0.2,0.1,60.0,250.0,63.49321296149566,-7.35602288245806,70.84923584395372,708.4923584395372
2,0.1,0.2,0.1,60.0,250.0,58.62505374074604,-1.571091664190321,60.19614540493636,601.9614540493635
3,0.1,0.2,0.1,60.0,250.0,54.62021433573888,-4.9366867536630865,59.55690108940197,595.5690108940197
1,0.1,0.2,0.1,65.0,250.0,61.28242507428968,-7.35602288245806,68.63844795674774,686.3844795674773
2,0.1,0.2,0.1,65.0,250.0,56.29045026470489,-1.571091664190321,57.86154192889521,578.615419288952
3,0.1,0.2,0.1,65.0,250.0,52.81663745555829,-4.9366867536630865,57.75332420922138,577.5332420922138
