fixed_contact_offset_nm,map_order,relative_time_min,lambda_D_nm_median,lambda_D_nm_q25,lambda_D_nm_q75,zeta_magnitude_mV_median,zeta_magnitude_mV_q25,zeta_magnitude_mV_q75,rmse_pN_median
-10.0,2,0.0,23.036510285681896,19.047850843082976,26.35999801127259,22.75,19.0,28.0,10.867829308439237
-10.0,3,27.161,16.00334150786778,12.921257593952978,21.62186346530268,20.5,16.0,25.75,14.483549869009721
-10.0,4,53.33301666666667,12.223089594559632,10.027911824150397,18.453731477822707,16.0,11.125,20.5,14.360734987885373
-10.0,5,78.6563,10.767970476385223,8.558577403983442,12.223089594559632,10.75,7.0,14.5,8.374220455294164
-5.0,2,0.0,24.54371275602257,19.66109792896721,27.208660261806614,25.0,20.5,31.0,10.923801198888995
-5.0,3,27.161,16.780266063679814,13.44207608814922,21.62186346530268,22.0,19.0,28.375,14.181903122586931
-5.0,4,53.33301666666667,13.02280581041226,10.432107924894561,18.02204028641453,19.0,14.125,23.5,13.777685690513259
-5.0,5,78.6563,10.94130831302438,9.34044614425515,12.616612944575133,13.0,8.5,17.875,8.022879568524846
-2.0,2,0.0,24.54371275602257,19.66109792896721,26.35999801127259,26.5,20.5,32.5,10.98757357761419
-2.0,3,27.161,17.050387069684295,13.44207608814922,21.795892872487727,23.5,20.5,31.0,14.270223839121279
-2.0,4,53.33301666666667,13.02280581041226,10.684004838512557,18.602261319137774,20.5,16.0,26.5,13.872913938788857
-2.0,5,78.6563,11.472483074052871,9.190199357757056,13.02280581041226,14.5,10.0,20.5,7.984466469910737
0.0,2,0.0,23.77817258228512,20.135840897723266,28.75737120051241,26.5,22.0,34.0,10.562583624610028
0.0,3,27.161,17.320508075688775,13.76665262662069,21.62186346530268,25.0,20.5,32.5,14.339562921873224
0.0,4,53.33301666666667,13.44207608814922,10.767970476385223,18.602261319137774,22.0,17.5,28.0,13.702084730759754
0.0,5,78.6563,11.293564611858205,10.027911824150397,13.02280581041226,16.0,11.5,22.0,7.9524456319111465
2.0,2,0.0,24.54371275602257,20.294088553975286,26.9914125884324,28.0,22.0,35.5,10.516052135188453
2.0,3,27.161,17.320508075688775,13.874844806111179,22.317981094042864,26.5,22.0,34.375,14.080390745203989
2.0,4,53.33301666666667,13.44207608814922,10.767970476385223,18.170570127729597,23.5,19.0,29.5,13.398908381085846
2.0,5,78.6563,11.841840586928083,9.791483623609768,13.1276233798465,18.25,13.0,23.5,7.969996010809577
5.0,2,0.0,24.54371275602257,20.78411591069364,27.860403281929248,29.5,23.5,37.0,10.60319231571227
5.0,3,27.161,17.878143222611804,13.874844806111179,22.317981094042864,29.5,23.5,37.375,14.039353647072288
5.0,4,53.33301666666667,13.44207608814922,11.114646149663537,18.755573090608834,26.5,20.5,32.5,13.348112191226516
5.0,5,78.6563,12.223089594559632,10.027911824150397,13.44207608814922,21.25,14.5,26.5,7.841450238855108
10.0,2,0.0,25.333899557064026,21.453262189710284,28.084645261575037,31.75,26.5,41.5,10.19251260710537
10.0,3,27.161,18.165937350217256,14.321546547664008,23.036510285681896,34.0,28.0,41.875,13.793486314079786
10.0,4,53.33301666666667,13.6584604471302,11.114646149663537,19.201162614554036,30.25,26.125,38.5,13.226298418212407
10.0,5,78.6563,12.419851269567381,10.350761249753573,13.44207608814922,26.5,17.5,34.375,7.887756983860712
