map_order,relative_time_min,point_index,row,column,best_discrete_contact_offset_nm,best_offset_at_search_boundary,lambda_D_nm_with_profiled_contact_offset,zeta_magnitude_mV_with_profiled_contact_offset,baseline_pN_with_profiled_contact_offset,rmse_pN_with_profiled_contact_offset,rss_improvement_vs_zero_offset_pN2,zero_offset_lambda_D_nm,zero_offset_zeta_magnitude_mV
2,0.0,0,0,0,5.0,False,25.333899557064026,38.5,-41.94786199505166,11.749996304092353,475.6771672181094,24.54371275602257,35.5
2,0.0,1,0,1,5.0,False,23.77817258228512,37.0,-45.174720769483415,10.588753883376583,388.2003715132969,23.77817258228512,34.0
2,0.0,2,0,2,10.0,True,25.333899557064026,34.0,25.403392418754436,9.60908185216691,698.0201142643627,23.77817258228512,28.0
2,0.0,3,0,3,5.0,False,24.54371275602257,28.0,-15.357344646860781,8.440471615263974,291.2773637275859,23.77817258228512,25.0
2,0.0,4,0,4,2.0,False,20.294088553975286,28.0,-99.79307684388014,7.217797704976424,8.965210950894289,20.294088553975286,26.5
2,0.0,5,0,5,10.0,True,28.75737120051241,31.0,-92.09413745312742,10.77970392005659,285.88428983182257,28.75737120051241,26.5
2,0.0,6,0,6,10.0,True,28.75737120051241,29.5,-52.886574052808506,6.202645644126892,114.79780451760598,26.9914125884324,25.0
2,0.0,7,0,7,5.0,False,27.860403281929248,26.5,58.53333540988113,11.802487538678045,252.58998812829486,28.75737120051241,25.0
2,0.0,8,1,7,10.0,True,26.149526485552656,34.0,80.7701860824509,14.160699116078721,1151.873263405806,23.77817258228512,28.0
2,0.0,9,1,6,10.0,True,28.75737120051241,35.5,16.04493620400352,14.96536852733519,161.05079053588088,27.860403281929248,31.0
2,0.0,10,1,5,-10.0,True,33.694429468953636,23.5,-79.96351366325918,9.940032007155384,211.834674484664,32.64347032328333,26.5
2,0.0,11,1,4,10.0,True,26.149526485552656,28.0,-171.5197347200059,8.425708023788168,96.48636390098955,25.333899557064026,23.5
2,0.0,12,1,3,-10.0,True,26.149526485552656,19.0,-117.4926654615075,7.006691977459473,294.31285550250914,25.333899557064026,22.0
2,0.0,13,1,2,-10.0,True,23.77817258228512,17.5,-155.42574042979038,7.844237062647874,241.72969734066282,23.036510285681896,20.5
2,0.0,14,1,1,0.0,False,26.9914125884324,26.5,-118.48602104593795,10.42179598856248,0.0,26.9914125884324,26.5
2,0.0,15,1,0,10.0,True,23.77817258228512,40.0,-77.26017938594738,10.188603909973914,300.7893697260988,23.036510285681896,32.5
2,0.0,16,2,0,10.0,True,33.694429468953636,31.0,-32.78152634670742,15.034830090577612,665.255708990966,34.77922432862523,28.0
2,0.0,17,2,1,10.0,True,30.638870628004046,26.5,-51.65613083485303,8.285621234899496,179.84044269619426,30.638870628004046,23.5
2,0.0,18,2,2,10.0,True,27.860403281929248,23.5,-76.76388464733192,8.618161894462888,387.1203469620382,28.75737120051241,20.5
2,0.0,19,2,3,5.0,False,26.9914125884324,22.0,-93.25275953617034,6.551356144567534,96.58876986087103,27.860403281929248,20.5
2,0.0,20,2,4,10.0,True,28.75737120051241,25.0,-105.40932272918997,7.995281912240965,405.00644385991063,30.638870628004046,22.0
2,0.0,21,2,5,10.0,True,32.64347032328333,31.0,30.892185340363028,14.482198262323807,568.8836298740243,30.638870628004046,26.5
2,0.0,22,2,6,5.0,False,26.149526485552656,37.0,68.59163837053433,19.22046004286684,348.545288076979,25.333899557064026,34.0
2,0.0,23,2,7,10.0,True,20.294088553975286,53.5,198.77689603801548,12.863020367047023,977.8557605021597,19.66109792896721,41.5
2,0.0,24,3,7,10.0,True,18.453731477822707,47.5,50.090992846265934,8.974362164724596,742.7006264199727,17.320508075688775,37.0
2,0.0,25,3,6,10.0,True,21.62186346530268,40.0,84.8217885622473,15.664126199452546,1013.1342125586707,21.62186346530268,32.5
2,0.0,26,3,5,-10.0,True,29.683217073187816,19.0,27.981006123338112,10.989627361592555,259.03247815124723,29.683217073187816,22.0
2,0.0,27,3,4,-10.0,True,32.64347032328333,19.0,-96.33360316331927,10.237195747775177,432.5308057023394,31.625291525678737,22.0
2,0.0,28,3,3,-10.0,True,34.77922432862523,17.5,-95.97933417352714,6.951884407780272,41.27337724207132,35.89894424582464,20.5
2,0.0,29,3,2,-10.0,True,33.694429468953636,17.5,-91.6027049581217,7.360496927033837,309.4843995867609,34.77922432862523,20.5
2,0.0,30,3,1,-10.0,True,37.0547136355806,19.0,-80.72895413168459,9.424390443731216,429.43132579662006,32.64347032328333,20.5
2,0.0,31,3,0,-10.0,True,29.683217073187816,20.5,-10.358213227862457,11.61865755991638,56.78855424624635,28.75737120051241,23.5
2,0.0,32,4,0,5.0,False,23.036510285681896,25.0,58.664452658729594,7.612792953705812,668.8611400343616,22.317981094042864,22.0
2,0.0,33,4,1,10.0,True,26.9914125884324,23.5,64.44705842985829,8.269706111833525,345.32735764928384,27.860403281929248,20.5
2,0.0,34,4,2,-10.0,True,40.750112830372316,19.0,59.63777256945132,8.977766010324805,433.2915914198511,37.0547136355806,20.5
2,0.0,35,4,3,-10.0,True,35.89894424582464,17.5,76.58696202854419,10.876047898471121,418.3348378542905,37.0547136355806,20.5
2,0.0,36,4,4,-10.0,True,29.683217073187816,16.0,63.29749936114814,10.859610718407355,273.642316043517,28.75737120051241,19.0
2,0.0,37,4,5,10.0,True,22.317981094042864,26.5,109.37482675820502,8.359064676143984,385.67908402878857,21.62186346530268,22.0
2,0.0,38,4,6,2.0,False,18.453731477822707,35.5,83.79250025545538,7.989686181743186,161.9653820039125,18.453731477822707,34.0
2,0.0,39,4,7,-2.0,False,18.453731477822707,35.5,-51.437653370320795,9.259734658629496,375.55975879510106,19.047850843082976,37.0
2,0.0,40,5,7,10.0,True,22.317981094042864,41.5,-58.73545990405823,10.196421304236825,203.27094770323902,20.94745836293309,34.0
2,0.0,41,5,6,10.0,True,19.66109792896721,43.0,-12.898378776520161,10.8078004893981,797.0717148368894,18.453731477822707,34.0
2,0.0,42,5,5,10.0,True,19.66109792896721,37.0,-53.222293405740835,9.294587363044677,296.3111961961922,18.453731477822707,29.5
2,0.0,43,5,4,10.0,True,12.616612944575133,26.5,-56.08316213215831,9.71700326731869,50.16105333993437,13.02280581041226,17.5
2,0.0,44,5,3,10.0,True,18.453731477822707,23.5,99.7668303463369,6.7845337212316705,236.13518935822185,16.25687467927739,19.0
2,0.0,45,5,2,10.0,True,17.878143222611804,20.5,88.24802422123952,5.91460491020248,52.97125060079861,17.320508075688775,16.0
2,0.0,46,5,1,0.0,False,17.320508075688775,17.5,56.78092831157579,6.881912611902179,0.0,17.320508075688775,17.5
2,0.0,47,5,0,-5.0,False,17.878143222611804,25.0,47.96136208308896,6.3783766935701625,161.55795960336968,18.453731477822707,28.0
2,0.0,48,6,0,10.0,True,20.94745836293309,46.0,-47.44151897779183,12.74505699978145,1481.2384075325272,19.66109792896721,37.0
2,0.0,49,6,1,10.0,True,20.294088553975286,43.0,-113.032304589972,10.637012844059834,205.37775954912922,19.047850843082976,34.0
2,0.0,50,6,2,2.0,False,18.453731477822707,26.5,-107.24066042625357,8.459734949085203,4.1858936163012,18.453731477822707,25.0
2,0.0,51,6,3,-10.0,True,17.320508075688775,19.0,-83.87125135128457,11.82503169981369,321.3566958874526,17.878143222611804,25.0
2,0.0,52,6,4,10.0,True,23.036510285681896,41.5,-171.38935118996193,11.764788568123148,15.293640285472975,21.62186346530268,34.0
2,0.0,53,6,5,5.0,False,23.77817258228512,37.0,-97.73625057969588,6.8884655233778025,497.63972058898617,23.036510285681896,34.0
2,0.0,54,6,6,10.0,True,25.333899557064026,41.5,-56.52957370456643,9.834709478473131,1031.389866368425,23.77817258228512,34.0
2,0.0,55,6,7,5.0,False,26.9914125884324,38.5,45.749113729297946,15.260340883609112,435.36294559305315,26.149526485552656,35.5
2,0.0,56,7,7,10.0,True,20.294088553975286,59.5,191.4025638942346,15.308529949328427,1678.4756465448481,19.66109792896721,46.0
2,0.0,57,7,6,10.0,True,25.333899557064026,44.5,156.3526543422419,14.145988728635054,978.688978544782,24.54371275602257,37.0
2,0.0,58,7,5,10.0,True,25.333899557064026,44.5,11.226876820145193,13.787699009935881,1100.4703337410729,24.54371275602257,37.0
2,0.0,59,7,4,10.0,True,23.77817258228512,56.5,-21.535159602672536,20.206429855176467,3729.7858708115673,23.036510285681896,46.0
2,0.0,60,7,3,10.0,True,23.036510285681896,50.5,-96.9953049786004,12.228264758719442,2586.2079348434245,22.317981094042864,40.0
2,0.0,61,7,2,10.0,True,25.333899557064026,40.0,-166.686668623503,9.682557622958578,1797.0535274480744,24.54371275602257,34.0
2,0.0,62,7,1,10.0,True,26.9914125884324,34.0,-53.68939085456725,11.479163597780152,1133.0957490064566,26.9914125884324,29.5
2,0.0,63,7,0,10.0,True,25.333899557064026,34.0,6.280551859936708,10.720288535388969,640.5213081386073,23.77817258228512,28.0
3,27.161,0,0,0,5.0,False,19.047850843082976,46.0,-175.01359266834118,19.085177616124607,1397.8479045703443,18.453731477822707,40.0
3,27.161,1,0,1,-5.0,False,14.7826298876199,26.5,-108.29285118799297,21.985392592755773,378.9481733281682,15.258557842693115,31.0
3,27.161,2,0,2,-2.0,False,13.44207608814922,23.5,-18.848462761765447,31.45383525337485,73.75269246067182,13.44207608814922,25.0
3,27.161,3,0,3,-5.0,False,12.616612944575133,20.5,11.76475888743137,27.866624697943784,357.5314329969369,12.616612944575133,25.0
3,27.161,4,0,4,10.0,True,13.874844806111179,32.5,-74.91816688788059,25.19207491027026,22.91486817581972,13.02280581041226,23.5
3,27.161,5,0,5,10.0,True,13.02280581041226,31.0,-83.36257015968822,23.385903212278976,229.47611372105166,13.44207608814922,20.5
3,27.161,6,0,6,10.0,True,19.047850843082976,31.0,-130.95192700856992,16.256932743660553,576.7930843585345,17.878143222611804,25.0
3,27.161,7,0,7,0.0,False,28.75737120051241,32.5,-123.78626059345069,13.988309050450315,0.0,28.75737120051241,32.5
3,27.161,8,1,7,10.0,True,21.62186346530268,58.0,56.04005324410895,19.476026558306913,2997.56711480569,20.294088553975286,46.0
3,27.161,9,1,6,-2.0,False,20.94745836293309,23.5,-118.20862801965771,9.970674559323815,365.46759214486656,20.94745836293309,25.0
3,27.161,10,1,5,-10.0,True,16.25687467927739,19.0,-11.43106920922201,12.193051573748663,110.32763659312513,17.320508075688775,25.0
3,27.161,11,1,4,5.0,False,14.7826298876199,26.5,5.509297198155341,14.724454189925154,73.15407738495742,15.258557842693115,22.0
3,27.161,12,1,3,10.0,True,12.616612944575133,29.5,-32.757842933597416,18.93542747533625,214.78723072123466,11.472483074052871,20.5
3,27.161,13,1,2,10.0,True,11.114646149663537,28.0,2.00621921094867,18.375931139413446,272.60083281276457,11.114646149663537,17.5
3,27.161,14,1,1,10.0,True,14.321546547664008,28.0,-55.558373549964486,21.1341695244229,63.50402901499183,13.02280581041226,20.5
3,27.161,15,1,0,-5.0,False,14.7826298876199,22.0,-182.58955604745452,20.787986078135017,92.26014832905275,15.749808336458166,25.0
3,27.161,16,2,0,-10.0,True,15.749808336458166,16.0,-149.3021248491793,16.605915244778277,402.5956776820349,17.320508075688775,20.5
3,27.161,17,2,1,5.0,False,15.258557842693115,20.5,-91.77954927621258,12.344148191916275,17.54578234046312,14.7826298876199,17.5
3,27.161,18,2,2,10.0,True,13.44207608814922,22.0,-74.54158921333979,11.66400739859154,73.0443039804868,12.223089594559632,16.0
3,27.161,19,2,3,10.0,True,11.472483074052871,25.0,-129.58455321139675,13.022110666179136,138.25913569773365,11.472483074052871,16.0
3,27.161,20,2,4,10.0,True,16.25687467927739,26.5,-126.43552684004067,13.644875718670505,382.86039293353497,16.780266063679814,19.0
3,27.161,21,2,5,10.0,True,21.62186346530268,34.0,-75.72963888289163,7.867284739669346,601.787060101668,20.94745836293309,28.0
