metric,time_model,timepoints,free_parameters,parameters_json,rss,rmse,AIC_four_points_diagnostic,AICc_four_points_diagnostic,claim_status
apparent_lambda_D_nm_map_median,linear,4,2,"{""intercept"": 22.753409283744936, ""slope_per_min"": -0.15821090591817916}",4.072101965435829,1.0089724928653692,4.071459833769916,16.071459833769914,exploratory_four_timepoints_cannot_identify_kinetic_law
apparent_lambda_D_nm_map_median,exponential_to_zero,4,2,"{""amplitude"": 23.440401592835503, ""tau_min"": 100.19501185875079}",0.8884617530531035,0.4712912456891979,-2.0182321603280897,9.98176783967191,exploratory_four_timepoints_cannot_identify_kinetic_law
apparent_lambda_D_nm_map_median,exponential_with_asymptote,4,3,"{""asymptote"": 7.6458692392075625, ""amplitude"": 16.141653062044323, ""tau_min"": 52.61069354187468}",0.006381593099924331,0.03994243701855312,-19.762527486932935,nan,exploratory_four_timepoints_cannot_identify_kinetic_law
apparent_zeta_magnitude_mV_map_median,linear,4,2,"{""intercept"": 27.586286667607546, ""slope_per_min"": -0.1309777266361927}",5.72968794039939,1.1968383287227424,5.437466829841756,17.437466829841757,exploratory_four_timepoints_cannot_identify_kinetic_law
apparent_zeta_magnitude_mV_map_median,exponential_to_zero,4,2,"{""amplitude"": 27.59029288746862, ""tau_min"": 179.03151675623505}",8.336044863835596,1.4436104793048916,6.937178023258757,18.937178023258756,exploratory_four_timepoints_cannot_identify_kinetic_law
apparent_zeta_magnitude_mV_map_median,exponential_with_asymptote,4,3,"{""asymptote"": -52.99999999999948, ""amplitude"": 80.59476860786444, ""tau_min"": 583.3605601002141}",6.481154156454591,1.2729055499579094,7.930416975793878,nan,exploratory_four_timepoints_cannot_identify_kinetic_law
force_20nm_pN_map_median,linear,4,2,"{""intercept"": 410.0868301379161, ""slope_per_min"": -3.148984336002664}",1275.8428937875417,17.859471533247714,27.060271884854036,39.06027188485403,exploratory_four_timepoints_cannot_identify_kinetic_law
force_20nm_pN_map_median,exponential_to_zero,4,2,"{""amplitude"": 412.2696252422063, ""tau_min"": 96.55336479060495}",3356.5925317431274,28.968053661504115,30.929548999219122,42.92954899921912,exploratory_four_timepoints_cannot_identify_kinetic_law
force_20nm_pN_map_median,exponential_with_asymptote,4,3,"{""asymptote"": -784.7013076968726, ""amplitude"": 1195.9918515154957, ""tau_min"": 344.95500039411263}",1762.996486155376,20.994025853533763,30.353903312682817,nan,exploratory_four_timepoints_cannot_identify_kinetic_law
force_50nm_pN_map_median,linear,4,2,"{""intercept"": 119.44923790958978, ""slope_per_min"": -1.3554580840511115}",933.1102124883917,15.273426371384318,25.808915838992853,37.80891583899285,exploratory_four_timepoints_cannot_identify_kinetic_law
force_50nm_pN_map_median,exponential_to_zero,4,2,"{""amplitude"": 133.53559797855462, ""tau_min"": 41.17803450163051}",90.97562833108472,4.769057253039764,16.497189155956416,28.497189155956416,exploratory_four_timepoints_cannot_identify_kinetic_law
force_50nm_pN_map_median,exponential_with_asymptote,4,3,"{""asymptote"": 20.301897824935082, ""amplitude"": 115.27628441553233, ""tau_min"": 27.347543844809834}",2.780521566934615,0.8337448001239071,4.545376651962423,nan,exploratory_four_timepoints_cannot_identify_kinetic_law
model_free_local_decay_30_80nm_map_median,linear,4,2,"{""intercept"": 30.676181649451312, ""slope_per_min"": -0.128777090032177}",19.747938921504602,2.2219326565798863,10.38701906550677,22.38701906550677,exploratory_four_timepoints_cannot_identify_kinetic_law
model_free_local_decay_30_80nm_map_median,exponential_to_zero,4,2,"{""amplitude"": 30.830184790700553, ""tau_min"": 200.6478174767053}",20.35598763134277,2.255880517189617,10.50832295995695,22.50832295995695,exploratory_four_timepoints_cannot_identify_kinetic_law
model_free_local_decay_30_80nm_map_median,exponential_with_asymptote,4,3,"{""asymptote"": -62.623559957334194, ""amplitude"": 93.34815643819914, ""tau_min"": 687.0733521009616}",19.909351400612465,2.230994811771896,12.419580719446689,nan,exploratory_four_timepoints_cannot_identify_kinetic_law
