joint_model,held_out_point_index,held_out_row,held_out_column,map_order,training_pixels_per_map,held_out_baseline_fit_window_nm,held_out_prediction_window_nm,selected_lambda_D_nm,selected_zeta_magnitude_mV,held_out_baseline_pN,held_out_shape_RMSE_pN
all_shared_lambda_and_zeta,0,0,0,2,63,150-200,20-145,17.320508075688775,23.5,-46.77218692746238,133.29828558739308
all_shared_lambda_and_zeta,0,0,0,3,63,150-200,20-145,17.320508075688775,23.5,-160.89636890963777,171.32431703604192
all_shared_lambda_and_zeta,0,0,0,4,63,150-200,20-145,17.320508075688775,23.5,-115.22723731126193,159.37320483154252
all_shared_lambda_and_zeta,0,0,0,5,63,150-200,20-145,17.320508075688775,23.5,-11.057190934448045,73.83538570776332
map_shared_lambda_and_zeta,0,0,0,2,63,150-200,20-145,22.317981094042864,28.0,-47.362395113995234,85.60592597609521
map_shared_lambda_and_zeta,0,0,0,3,63,150-200,20-145,17.878143222611804,26.5,-160.94332335161377,145.8334476783192
map_shared_lambda_and_zeta,0,0,0,4,63,150-200,20-145,14.7826298876199,22.0,-115.16875745432276,174.1287928219072
map_shared_lambda_and_zeta,0,0,0,5,63,150-200,20-145,11.114646149663537,19.0,-10.983837540873033,113.74416810630726
shared_lambda_map_specific_zeta,0,0,0,2,63,150-200,20-145,18.453731477822707,28.0,-46.87103844605687,94.35674158490713
shared_lambda_map_specific_zeta,0,0,0,3,63,150-200,20-145,18.453731477822707,26.5,-160.97799302774817,144.7985758644974
shared_lambda_map_specific_zeta,0,0,0,4,63,150-200,20-145,18.453731477822707,22.0,-115.26200872050704,169.3901702706087
shared_lambda_map_specific_zeta,0,0,0,5,63,150-200,20-145,18.453731477822707,16.0,-11.041641945237608,118.17603739610936
map_specific_lambda_shared_zeta,0,0,0,2,63,150-200,20-145,22.317981094042864,28.0,-47.362395113995234,85.60592597609521
map_specific_lambda_shared_zeta,0,0,0,3,63,150-200,20-145,16.25687467927739,28.0,-160.88219622670337,137.34673538509992
map_specific_lambda_shared_zeta,0,0,0,4,63,150-200,20-145,9.190199357757056,28.0,-115.1535076795749,172.24694471319378
map_specific_lambda_shared_zeta,0,0,0,5,63,150-200,20-145,6.694329500821696,28.0,-10.983404452573195,116.17847182435591
all_shared_lambda_and_zeta,1,0,1,2,63,150-200,20-145,17.320508075688775,23.5,-47.01275926120863,111.31012423454423
all_shared_lambda_and_zeta,1,0,1,3,63,150-200,20-145,17.320508075688775,23.5,-83.37501579722056,58.36031758865452
all_shared_lambda_and_zeta,1,0,1,4,63,150-200,20-145,17.320508075688775,23.5,-12.998313665887538,43.4476398452864
all_shared_lambda_and_zeta,1,0,1,5,63,150-200,20-145,17.320508075688775,23.5,23.152837074518157,51.373757694517664
map_shared_lambda_and_zeta,1,0,1,2,63,150-200,20-145,22.317981094042864,28.0,-47.602967447741484,63.832891868268305
map_shared_lambda_and_zeta,1,0,1,3,63,150-200,20-145,17.878143222611804,26.5,-83.42197023919654,45.199639265517966
map_shared_lambda_and_zeta,1,0,1,4,63,150-200,20-145,13.44207608814922,23.5,-12.930998468974023,35.60532826300056
map_shared_lambda_and_zeta,1,0,1,5,63,150-200,20-145,11.472483074052871,19.0,23.225968656861976,8.694140499492855
shared_lambda_map_specific_zeta,1,0,1,2,63,150-200,20-145,18.453731477822707,28.0,-47.111610779803115,72.1118112996215
shared_lambda_map_specific_zeta,1,0,1,3,63,150-200,20-145,18.453731477822707,26.5,-83.45663991533094,46.20381931028544
shared_lambda_map_specific_zeta,1,0,1,4,63,150-200,20-145,18.453731477822707,22.0,-13.033085075132652,44.760579511753996
shared_lambda_map_specific_zeta,1,0,1,5,63,150-200,20-145,18.453731477822707,17.5,23.1571724943513,19.445767337701067
map_specific_lambda_shared_zeta,1,0,1,2,63,150-200,20-145,22.317981094042864,28.0,-47.602967447741484,63.832891868268305
map_specific_lambda_shared_zeta,1,0,1,3,63,150-200,20-145,16.780266063679814,28.0,-83.38005362193996,40.11507119284596
map_specific_lambda_shared_zeta,1,0,1,4,63,150-200,20-145,9.48607856330461,28.0,-12.924621062301979,34.65873254796227
map_specific_lambda_shared_zeta,1,0,1,5,63,150-200,20-145,6.694329500821696,28.0,23.226623556393008,14.991870411385348
all_shared_lambda_and_zeta,2,0,2,2,63,150-200,20-145,17.878143222611804,23.5,20.216614175588386,60.02848460121096
all_shared_lambda_and_zeta,2,0,2,3,63,150-200,20-145,17.878143222611804,23.5,19.587768235174845,64.9989212116195
all_shared_lambda_and_zeta,2,0,2,4,63,150-200,20-145,17.878143222611804,23.5,17.840367793531883,46.87365134937385
all_shared_lambda_and_zeta,2,0,2,5,63,150-200,20-145,17.878143222611804,23.5,71.88761769758804,37.07565510813226
map_shared_lambda_and_zeta,2,0,2,2,63,150-200,20-145,22.317981094042864,28.0,19.64844799162186,18.01187619176859
map_shared_lambda_and_zeta,2,0,2,3,63,150-200,20-145,16.780266063679814,28.0,19.604772413021756,81.64061047491907
map_shared_lambda_and_zeta,2,0,2,4,63,150-200,20-145,13.44207608814922,23.5,17.92972499301172,34.2360276440557
map_shared_lambda_and_zeta,2,0,2,5,63,150-200,20-145,11.472483074052871,19.0,71.98279128249818,18.598249105041468
shared_lambda_map_specific_zeta,2,0,2,2,63,150-200,20-145,18.453731477822707,28.0,20.139804659560227,29.77842110032438
shared_lambda_map_specific_zeta,2,0,2,3,63,150-200,20-145,18.453731477822707,26.5,19.528186119630785,78.93128559118661
shared_lambda_map_specific_zeta,2,0,2,4,63,150-200,20-145,18.453731477822707,22.0,17.827638386853096,44.801129131603055
shared_lambda_map_specific_zeta,2,0,2,5,63,150-200,20-145,18.453731477822707,16.0,71.9252086893648,26.888645298736588
map_specific_lambda_shared_zeta,2,0,2,2,63,150-200,20-145,22.317981094042864,28.0,19.64844799162186,18.01187619176859
map_specific_lambda_shared_zeta,2,0,2,3,63,150-200,20-145,16.780266063679814,28.0,19.604772413021756,81.64061047491907
map_specific_lambda_shared_zeta,2,0,2,4,63,150-200,20-145,9.48607856330461,28.0,17.93610239968377,30.452407118552483
map_specific_lambda_shared_zeta,2,0,2,5,63,150-200,20-145,6.694329500821696,28.0,71.98344618202921,25.01784405072314
all_shared_lambda_and_zeta,3,0,3,2,63,150-200,20-145,17.878143222611804,23.5,-10.727392650914224,26.982416667868176
all_shared_lambda_and_zeta,3,0,3,3,63,150-200,20-145,17.878143222611804,23.5,44.34011689483015,60.52564500862978
all_shared_lambda_and_zeta,3,0,3,4,63,150-200,20-145,17.878143222611804,23.5,68.45917661507573,61.37506042898709
all_shared_lambda_and_zeta,3,0,3,5,63,150-200,20-145,17.878143222611804,23.5,-41.83334359607926,61.04127861705805
map_shared_lambda_and_zeta,3,0,3,2,63,150-200,20-145,22.317981094042864,28.0,-11.295558834880751,27.03954479543903
map_shared_lambda_and_zeta,3,0,3,3,63,150-200,20-145,16.780266063679814,28.0,44.35712107267706,80.58608006956848
map_shared_lambda_and_zeta,3,0,3,4,63,150-200,20-145,13.874844806111179,23.5,68.54590824949953,47.746262615648085
map_shared_lambda_and_zeta,3,0,3,5,63,150-200,20-145,11.472483074052871,19.0,-41.73817001116912,15.298606713938867
