map_order,relative_time_min,point_index,row,column,best_lambda_D_nm,lambda_profile_low_nm,lambda_profile_high_nm,best_zeta_magnitude_mV,zeta_profile_low_mV,zeta_profile_high_mV,profile_grid_points,profile_log_lambda_zeta_correlation,profile_lambda_hits_grid_boundary,profile_zeta_hits_grid_boundary,profile_status
2,0.0,0,0,0,24.54371275602257,23.77817258228512,26.149526485552656,35.5,35.5,35.5,4,nan,False,False,diagnostic_correlated_distance_bins_not_formal_CI
2,0.0,1,0,1,23.77817258228512,22.317981094042864,25.333899557064026,34.0,34.0,34.0,5,nan,False,False,diagnostic_correlated_distance_bins_not_formal_CI
2,0.0,2,0,2,23.77817258228512,22.317981094042864,25.333899557064026,28.0,28.0,28.0,5,nan,False,False,diagnostic_correlated_distance_bins_not_formal_CI
2,0.0,3,0,3,23.77817258228512,21.62186346530268,26.149526485552656,25.0,25.0,25.0,7,nan,False,False,diagnostic_correlated_distance_bins_not_formal_CI
2,0.0,4,0,4,20.294088553975286,18.453731477822707,22.317981094042864,26.5,26.5,26.5,7,nan,False,False,diagnostic_correlated_distance_bins_not_formal_CI
2,0.0,5,0,5,28.75737120051241,25.333899557064026,31.625291525678737,26.5,26.5,26.5,8,nan,False,False,diagnostic_correlated_distance_bins_not_formal_CI
2,0.0,6,0,6,26.9914125884324,23.036510285681896,31.625291525678737,25.0,25.0,26.5,15,0.4879284834348129,False,False,diagnostic_correlated_distance_bins_not_formal_CI
2,0.0,7,0,7,28.75737120051241,23.036510285681896,33.694429468953636,25.0,23.5,25.0,19,0.4904415962444337,False,False,diagnostic_correlated_distance_bins_not_formal_CI
2,0.0,8,1,7,23.77817258228512,22.317981094042864,27.860403281929248,28.0,28.0,29.5,12,0.5052911526399114,False,False,diagnostic_correlated_distance_bins_not_formal_CI
2,0.0,9,1,6,27.860403281929248,25.333899557064026,29.683217073187816,31.0,31.0,31.0,6,nan,False,False,diagnostic_correlated_distance_bins_not_formal_CI
2,0.0,10,1,5,32.64347032328333,27.860403281929248,42.062065981861544,26.5,25.0,28.0,23,0.7559026034652512,False,False,diagnostic_correlated_distance_bins_not_formal_CI
2,0.0,11,1,4,25.333899557064026,21.62186346530268,29.683217073187816,23.5,23.5,23.5,11,nan,False,False,diagnostic_correlated_distance_bins_not_formal_CI
2,0.0,12,1,3,25.333899557064026,23.036510285681896,27.860403281929248,22.0,22.0,22.0,7,nan,False,False,diagnostic_correlated_distance_bins_not_formal_CI
2,0.0,13,1,2,23.036510285681896,19.66109792896721,26.149526485552656,20.5,20.5,22.0,13,0.3818388837271191,False,False,diagnostic_correlated_distance_bins_not_formal_CI
2,0.0,14,1,1,26.9914125884324,24.54371275602257,28.75737120051241,26.5,26.5,26.5,6,nan,False,False,diagnostic_correlated_distance_bins_not_formal_CI
2,0.0,15,1,0,23.036510285681896,21.62186346530268,24.54371275602257,32.5,32.5,32.5,5,nan,False,False,diagnostic_correlated_distance_bins_not_formal_CI
2,0.0,16,2,0,34.77922432862523,28.75737120051241,37.0547136355806,28.0,26.5,28.0,10,0.8164965809277265,False,False,diagnostic_correlated_distance_bins_not_formal_CI
2,0.0,17,2,1,30.638870628004046,25.333899557064026,35.89894424582464,23.5,22.0,23.5,17,0.5598336741301462,False,False,diagnostic_correlated_distance_bins_not_formal_CI
2,0.0,18,2,2,28.75737120051241,22.317981094042864,33.694429468953636,20.5,19.0,20.5,20,0.5714285714285714,False,False,diagnostic_correlated_distance_bins_not_formal_CI
2,0.0,19,2,3,27.860403281929248,23.77817258228512,31.625291525678737,20.5,20.5,20.5,10,nan,False,False,diagnostic_correlated_distance_bins_not_formal_CI
2,0.0,20,2,4,30.638870628004046,23.77817258228512,33.694429468953636,22.0,20.5,22.0,17,0.5806513267897974,False,False,diagnostic_correlated_distance_bins_not_formal_CI
2,0.0,21,2,5,30.638870628004046,27.860403281929248,37.0547136355806,26.5,26.5,28.0,11,0.817057169102884,False,False,diagnostic_correlated_distance_bins_not_formal_CI
2,0.0,22,2,6,25.333899557064026,23.036510285681896,26.9914125884324,34.0,34.0,34.0,6,nan,False,False,diagnostic_correlated_distance_bins_not_formal_CI
2,0.0,23,2,7,19.66109792896721,19.047850843082976,20.294088553975286,41.5,41.5,41.5,3,nan,False,False,diagnostic_correlated_distance_bins_not_formal_CI
2,0.0,24,3,7,17.320508075688775,17.320508075688775,17.878143222611804,37.0,37.0,37.0,2,nan,False,False,diagnostic_correlated_distance_bins_not_formal_CI
2,0.0,25,3,6,21.62186346530268,20.294088553975286,23.036510285681896,32.5,32.5,32.5,5,nan,False,False,diagnostic_correlated_distance_bins_not_formal_CI
2,0.0,26,3,5,29.683217073187816,26.9914125884324,35.89894424582464,22.0,22.0,23.5,9,0.8696263565463052,False,False,diagnostic_correlated_distance_bins_not_formal_CI
2,0.0,27,3,4,31.625291525678737,26.149526485552656,34.77922432862523,22.0,20.5,22.0,11,0.7808184291849399,False,False,diagnostic_correlated_distance_bins_not_formal_CI
2,0.0,28,3,3,35.89894424582464,32.64347032328333,39.47908066151966,20.5,20.5,20.5,7,nan,False,False,diagnostic_correlated_distance_bins_not_formal_CI
2,0.0,29,3,2,34.77922432862523,31.625291525678737,38.24769311355391,20.5,20.5,20.5,7,nan,False,False,diagnostic_correlated_distance_bins_not_formal_CI
2,0.0,30,3,1,32.64347032328333,28.75737120051241,42.062065981861544,20.5,20.5,22.0,15,0.7857142857142857,False,False,diagnostic_correlated_distance_bins_not_formal_CI
2,0.0,31,3,0,28.75737120051241,25.333899557064026,31.625291525678737,23.5,23.5,23.5,8,nan,False,False,diagnostic_correlated_distance_bins_not_formal_CI
2,0.0,32,4,0,22.317981094042864,20.94745836293309,24.54371275602257,22.0,22.0,23.5,10,0.33333333333333326,False,False,diagnostic_correlated_distance_bins_not_formal_CI
2,0.0,33,4,1,27.860403281929248,24.54371275602257,30.638870628004046,20.5,19.0,20.5,9,0.6330094269277826,False,False,diagnostic_correlated_distance_bins_not_formal_CI
2,0.0,34,4,2,37.0547136355806,34.77922432862523,43.416257570305966,20.5,20.5,22.0,6,0.8219949365267867,False,False,diagnostic_correlated_distance_bins_not_formal_CI
2,0.0,35,4,3,37.0547136355806,33.694429468953636,39.47908066151966,20.5,20.5,20.5,6,nan,False,False,diagnostic_correlated_distance_bins_not_formal_CI
2,0.0,36,4,4,28.75737120051241,25.333899557064026,32.64347032328333,19.0,19.0,19.0,9,nan,False,False,diagnostic_correlated_distance_bins_not_formal_CI
2,0.0,37,4,5,21.62186346530268,19.66109792896721,23.77817258228512,22.0,22.0,22.0,7,nan,False,False,diagnostic_correlated_distance_bins_not_formal_CI
2,0.0,38,4,6,18.453731477822707,17.878143222611804,18.453731477822707,34.0,34.0,34.0,2,nan,False,False,diagnostic_correlated_distance_bins_not_formal_CI
2,0.0,39,4,7,19.047850843082976,18.453731477822707,19.047850843082976,37.0,37.0,37.0,2,nan,False,False,diagnostic_correlated_distance_bins_not_formal_CI
2,0.0,40,5,7,20.94745836293309,19.66109792896721,22.317981094042864,34.0,34.0,34.0,5,nan,False,False,diagnostic_correlated_distance_bins_not_formal_CI
2,0.0,41,5,6,18.453731477822707,17.878143222611804,19.66109792896721,34.0,34.0,34.0,4,nan,False,False,diagnostic_correlated_distance_bins_not_formal_CI
2,0.0,42,5,5,18.453731477822707,17.320508075688775,19.66109792896721,29.5,29.5,29.5,5,nan,False,False,diagnostic_correlated_distance_bins_not_formal_CI
2,0.0,43,5,4,13.02280581041226,10.106721224330608,15.258557842693115,17.5,17.5,19.0,19,-0.6177253292856898,False,False,diagnostic_correlated_distance_bins_not_formal_CI
2,0.0,44,5,3,16.25687467927739,14.7826298876199,19.047850843082976,19.0,17.5,19.0,12,-0.5814018997338106,False,False,diagnostic_correlated_distance_bins_not_formal_CI
