metric,dataset,lag_grid_units,pairs,semivariance,semivariance_over_sample_variance
apparent_lambda_D_nm,map2,1.0,112,13.391957807554482,0.44120736477404726
apparent_lambda_D_nm,map2,1.414214,98,22.824641636707064,0.7519736944483763
apparent_lambda_D_nm,map2,2.0,96,30.202959166017774,0.9950574974556532
apparent_lambda_D_nm,map2,2.236068,168,36.84560478867542,1.213904077800117
apparent_lambda_D_nm,map2,2.828427,72,43.730663719698995,1.440737133199778
apparent_lambda_D_nm,map2,3.0,80,37.45483533421358,1.2339756018744472
apparent_lambda_D_nm,map2,3.162278,140,41.14605771823461,1.3555854907534426
apparent_lambda_D_nm,map2,3.605551,120,43.936953999150774,1.4475335099419506
apparent_lambda_D_nm,map2,4.0,64,33.30000542406346,1.0970918405839478
apparent_lambda_D_nm,map2,4.123106,112,36.812696743396096,1.2128198993591301
apparent_lambda_D_nm,map2,4.242641,50,42.57364235000325,1.4026182594065264
apparent_lambda_D_nm,map2,4.472136,96,39.31752913816445,1.2953433448461664
apparent_lambda_D_nm,map2,5.0,128,32.639316230370305,1.0753249755539813
apparent_lambda_D_nm,map2,5.09902,84,25.82971087917937,0.8509777908238012
apparent_lambda_D_nm,map2,5.385165,72,28.190994097699964,0.9287719088534262
apparent_lambda_D_nm,map2,5.656854,32,31.944658373153757,1.0524389892772616
apparent_lambda_D_nm,map2,5.830952,60,29.894196176549233,0.9848850860068712
apparent_lambda_D_nm,map2,6.0,32,16.547030190142433,0.5451534189355789
apparent_lambda_D_nm,map2,6.082763,56,17.101746637629372,0.5634289381322173
apparent_lambda_D_nm,map2,6.324555,48,18.206405573764215,0.5998226951310051
apparent_lambda_D_nm,map2,6.403124,48,27.837977103914756,0.9171415184514669
apparent_lambda_D_nm,map2,6.708204,40,16.830705928360995,0.5544993134424404
apparent_lambda_D_nm,map2,7.0,16,18.16454341462184,0.5984435171807475
apparent_lambda_D_nm,map2,7.071068,46,20.743263310871534,0.6834012377966922
apparent_lambda_D_nm,map2,7.211103,32,17.44706893277318,0.5748058213353722
apparent_lambda_D_nm,map2,7.28011,24,13.879691757305112,0.4572760989929471
apparent_lambda_D_nm,map2,7.615773,20,10.724023069476608,0.3533103991405041
apparent_lambda_D_nm,map2,7.81025,24,20.428799224931872,0.6730409997592596
apparent_lambda_D_nm,map2,8.062258,16,12.075245454528954,0.3978273604615998
apparent_lambda_D_nm,map2,8.485281,8,14.825772549115541,0.48844538872760823
apparent_lambda_D_nm,map2,8.602325,12,18.805456338277526,0.619558839238904
apparent_lambda_D_nm,map2,9.219544,8,7.94425366250718,0.2617289625534916
apparent_lambda_D_nm,map2,9.899495,2,12.158086607284348,0.4005566198594627
apparent_lambda_D_nm,map3,1.0,112,1229.060125512036,0.7994557044154955
apparent_lambda_D_nm,map3,1.414214,98,1868.8002044007533,1.2155816894625922
apparent_lambda_D_nm,map3,2.0,96,1891.8952342791206,1.230604106183023
apparent_lambda_D_nm,map3,2.236068,168,2240.1833000014167,1.457151917101165
apparent_lambda_D_nm,map3,2.828427,72,2554.934789732909,1.6618854925511748
apparent_lambda_D_nm,map3,3.0,80,1341.9822730702651,0.8729071598377148
apparent_lambda_D_nm,map3,3.162278,140,1523.779254614306,0.9911590101126172
apparent_lambda_D_nm,map3,3.605551,120,1674.418394195726,1.089143898684636
apparent_lambda_D_nm,map3,4.0,64,1663.8122764553746,1.0822450325077728
apparent_lambda_D_nm,map3,4.123106,112,1863.308161405322,1.212009329567047
apparent_lambda_D_nm,map3,4.242641,50,1107.9756933389651,0.7206950010069911
apparent_lambda_D_nm,map3,4.472136,96,2038.7065067563192,1.3260991164092293
apparent_lambda_D_nm,map3,5.0,128,1605.7000821860308,1.0444453152763855
apparent_lambda_D_nm,map3,5.09902,84,2363.1894782582367,1.537162641429884
apparent_lambda_D_nm,map3,5.385165,72,2603.3055711251955,1.693348800414155
apparent_lambda_D_nm,map3,5.656854,32,1565.065231074486,1.018013928524118
apparent_lambda_D_nm,map3,5.830952,60,1680.0188041701851,1.092786747076029
apparent_lambda_D_nm,map3,6.0,32,263.1105110694077,0.17114313173123483
apparent_lambda_D_nm,map3,6.082763,56,293.37475411721937,0.19082884217140572
apparent_lambda_D_nm,map3,6.324555,48,315.4199629073592,0.20516839119466082
apparent_lambda_D_nm,map3,6.403124,48,2002.5689426963954,1.3025930395854037
apparent_lambda_D_nm,map3,6.708204,40,206.91697401078318,0.13459142622855638
apparent_lambda_D_nm,map3,7.0,16,32.492223928383346,0.0211349251590681
apparent_lambda_D_nm,map3,7.071068,46,977.5999623950864,0.6358906699113087
apparent_lambda_D_nm,map3,7.211103,32,238.98980890077996,0.15545355516541542
apparent_lambda_D_nm,map3,7.28011,24,27.923444017663893,0.01816311191248514
apparent_lambda_D_nm,map3,7.615773,20,24.381279965722495,0.01585907226583213
apparent_lambda_D_nm,map3,7.81025,24,264.125933972119,0.17180362474953081
apparent_lambda_D_nm,map3,8.062258,16,16.25420626164909,0.010572727604524487
apparent_lambda_D_nm,map3,8.485281,8,36.91073153715098,0.024008992130658224
apparent_lambda_D_nm,map3,8.602325,12,24.75693564302252,0.016103421641326235
apparent_lambda_D_nm,map3,9.219544,8,42.29909112023622,0.027513910007922165
apparent_lambda_D_nm,map3,9.899495,2,67.91153408690016,0.04417380581666916
apparent_lambda_D_nm,map4,1.0,112,363.6410552582915,0.777556588534904
apparent_lambda_D_nm,map4,1.414214,98,550.6076211857159,1.1773384147903416
apparent_lambda_D_nm,map4,2.0,96,504.3807461884218,1.0784936592222591
apparent_lambda_D_nm,map4,2.236068,168,680.7667309494589,1.4556515257308822
apparent_lambda_D_nm,map4,2.828427,72,802.4373269103494,1.7158140463053562
apparent_lambda_D_nm,map4,3.0,80,511.96543176033356,1.0947116361341802
apparent_lambda_D_nm,map4,3.162278,140,594.4124849171862,1.271004297428608
apparent_lambda_D_nm,map4,3.605551,120,695.3744839557451,1.4868865978699746
apparent_lambda_D_nm,map4,4.0,64,508.0811131733341,1.0864059801428765
apparent_lambda_D_nm,map4,4.123106,112,570.0345567563686,1.2188781186537427
apparent_lambda_D_nm,map4,4.242641,50,545.4590350420999,1.1663294348643414
apparent_lambda_D_nm,map4,4.472136,96,606.5441464432128,1.2969448594554591
apparent_lambda_D_nm,map4,5.0,128,482.41814405458695,1.031532058644997
apparent_lambda_D_nm,map4,5.09902,84,484.45814152460997,1.0358940894181292
apparent_lambda_D_nm,map4,5.385165,72,510.2390070511784,1.091020103267355
apparent_lambda_D_nm,map4,5.656854,32,453.2902160367711,0.9692491782795332
apparent_lambda_D_nm,map4,5.830952,60,500.60268276484555,1.070415203656185
apparent_lambda_D_nm,map4,6.0,32,112.54190038213083,0.24064305958580118
apparent_lambda_D_nm,map4,6.082763,56,120.01001597229639,0.25661178038095145
apparent_lambda_D_nm,map4,6.324555,48,113.29672402541507,0.24225706352878473
apparent_lambda_D_nm,map4,6.403124,48,394.6832582686284,0.8439326732049397
apparent_lambda_D_nm,map4,6.708204,40,77.12473715761534,0.16491220297810188
apparent_lambda_D_nm,map4,7.0,16,55.84110898747331,0.1194024205365505
apparent_lambda_D_nm,map4,7.071068,46,134.10025825691272,0.2867402836509537
apparent_lambda_D_nm,map4,7.211103,32,93.4205364746757,0.19975674525736356
apparent_lambda_D_nm,map4,7.28011,24,44.91076158056794,0.09603057206587128
apparent_lambda_D_nm,map4,7.615773,20,31.535953315638846,0.06743184775681355
apparent_lambda_D_nm,map4,7.81025,24,121.60617760941363,0.2600247778391884
apparent_lambda_D_nm,map4,8.062258,16,35.41734513555349,0.07573124557952762
apparent_lambda_D_nm,map4,8.485281,8,42.165105269272374,0.09015966413666647
apparent_lambda_D_nm,map4,8.602325,12,40.44061538347869,0.08647226841175785
apparent_lambda_D_nm,map4,9.219544,8,46.15969504986995,0.09870110784189293
apparent_lambda_D_nm,map4,9.899495,2,70.78305803596282,0.1513520883757705
apparent_lambda_D_nm,map5,1.0,112,15.340621467603755,0.79502779905755
apparent_lambda_D_nm,map5,1.414214,98,23.66764302673484,1.2265757410259566
apparent_lambda_D_nm,map5,2.0,96,20.090098882365954,1.0411694944058123
apparent_lambda_D_nm,map5,2.236068,168,26.09949188626455,1.3526063226758223
apparent_lambda_D_nm,map5,2.828427,72,27.86571305884165,1.4441407454792392
apparent_lambda_D_nm,map5,3.0,80,16.498060686457773,0.8550120934781944
apparent_lambda_D_nm,map5,3.162278,140,19.644131173307173,1.018057215223871
apparent_lambda_D_nm,map5,3.605551,120,21.815037479214812,1.1305644474758836
apparent_lambda_D_nm,map5,4.0,64,19.13681515121553,0.9917655593530901
apparent_lambda_D_nm,map5,4.123106,112,20.077127333371795,1.0404972438018212
apparent_lambda_D_nm,map5,4.242641,50,18.838252849928708,0.9762925663081287
apparent_lambda_D_nm,map5,4.472136,96,20.630611179679416,1.0691815474379627
apparent_lambda_D_nm,map5,5.0,128,20.002436973654817,1.036626415463999
apparent_lambda_D_nm,map5,5.09902,84,23.500141675994378,1.217894982524772
apparent_lambda_D_nm,map5,5.385165,72,25.2847578631389,1.3103827270678625
apparent_lambda_D_nm,map5,5.656854,32,21.05318633091953,1.0910815071714268
apparent_lambda_D_nm,map5,5.830952,60,24.213326715900557,1.2548558014716948
apparent_lambda_D_nm,map5,6.0,32,8.943818900809328,0.46351346787976305
apparent_lambda_D_nm,map5,6.082763,56,8.982060297564562,0.4654953284946935
apparent_lambda_D_nm,map5,6.324555,48,7.003100610839975,0.3629357309267062
apparent_lambda_D_nm,map5,6.403124,48,23.949076132544942,1.24116101341317
apparent_lambda_D_nm,map5,6.708204,40,6.246118529600788,0.3237051300514732
apparent_lambda_D_nm,map5,7.0,16,11.044302881925544,0.572371062729427
apparent_lambda_D_nm,map5,7.071068,46,19.867389391884373,1.0296275737332556
apparent_lambda_D_nm,map5,7.211103,32,7.586365007933307,0.3931634117849429
apparent_lambda_D_nm,map5,7.28011,24,9.552993944457377,0.49508396815024175
apparent_lambda_D_nm,map5,7.615773,20,8.43678482517319,0.4372364238857204
apparent_lambda_D_nm,map5,7.81025,24,13.32243708038916,0.6904353811527127
apparent_lambda_D_nm,map5,8.062258,16,6.900280629159754,0.35760708476286
apparent_lambda_D_nm,map5,8.485281,8,9.14451602989978,0.4739145977919318
apparent_lambda_D_nm,map5,8.602325,12,11.460761709981796,0.5939540439774068
apparent_lambda_D_nm,map5,9.219544,8,7.828888750775764,0.40573220620428374
apparent_lambda_D_nm,map5,9.899495,2,9.139283383001304,0.4736434158352082
apparent_lambda_D_nm,map5_minus_map2,1.0,112,41.57122026016702,0.5816362419256511
apparent_lambda_D_nm,map5_minus_map2,1.414214,98,70.1614752621815,0.9816516461162651
apparent_lambda_D_nm,map5_minus_map2,2.0,96,72.79278677908098,1.018467167345782
apparent_lambda_D_nm,map5_minus_map2,2.236068,168,94.38418802618558,1.320559369611684
apparent_lambda_D_nm,map5_minus_map2,2.828427,72,106.7700332250165,1.4938536922087937
apparent_lambda_D_nm,map5_minus_map2,3.0,80,71.80014212348685,1.0045787584072412
apparent_lambda_D_nm,map5_minus_map2,3.162278,140,83.39392167649673,1.1667910371598214
apparent_lambda_D_nm,map5_minus_map2,3.605551,120,93.5592393328338,1.3090172485293647
apparent_lambda_D_nm,map5_minus_map2,4.0,64,68.2583568200472,0.9550245071558283
apparent_lambda_D_nm,map5_minus_map2,4.123106,112,77.82004811438148,1.0888051889853365
apparent_lambda_D_nm,map5_minus_map2,4.242641,50,85.41712988900058,1.1950983905160426
apparent_lambda_D_nm,map5_minus_map2,4.472136,96,83.13861344219809,1.1632189379767617
apparent_lambda_D_nm,map5_minus_map2,5.0,128,74.41752245581773,1.0411993639766608
apparent_lambda_D_nm,map5_minus_map2,5.09902,84,72.71248325869973,1.0173436151018103
apparent_lambda_D_nm,map5_minus_map2,5.385165,72,78.27291791062244,1.0951414351844797
apparent_lambda_D_nm,map5_minus_map2,5.656854,32,79.88507426171503,1.1176976304459536
apparent_lambda_D_nm,map5_minus_map2,5.830952,60,81.08622763088819,1.1345033515012872
apparent_lambda_D_nm,map5_minus_map2,6.0,32,35.55415230977111,0.4974495192801058
apparent_lambda_D_nm,map5_minus_map2,6.082763,56,37.67701501398845,0.5271511705108781
apparent_lambda_D_nm,map5_minus_map2,6.324555,48,35.26743186880489,0.49343792186431734
apparent_lambda_D_nm,map5_minus_map2,6.403124,48,81.86549967320934,1.1454063959463816
apparent_lambda_D_nm,map5_minus_map2,6.708204,40,30.668183565852974,0.429088367488231
apparent_lambda_D_nm,map5_minus_map2,7.0,16,46.445505059373815,0.6498339199091979
apparent_lambda_D_nm,map5_minus_map2,7.071068,46,66.55594087746661,0.9312054610744297
apparent_lambda_D_nm,map5_minus_map2,7.211103,32,37.106248885066854,0.5191653990043702
apparent_lambda_D_nm,map5_minus_map2,7.28011,24,35.423463662107174,0.4956210126013535
apparent_lambda_D_nm,map5_minus_map2,7.615773,20,24.51406062770341,0.3429840646630491
apparent_lambda_D_nm,map5_minus_map2,7.81025,24,53.46095684800514,0.7479893502336702
apparent_lambda_D_nm,map5_minus_map2,8.062258,16,29.297004429785655,0.409903761534452
apparent_lambda_D_nm,map5_minus_map2,8.485281,8,38.81113239994962,0.5430189696792624
apparent_lambda_D_nm,map5_minus_map2,8.602325,12,50.824895275270926,0.7111073694533545
apparent_lambda_D_nm,map5_minus_map2,9.219544,8,22.111881926434073,0.30937441396008636
apparent_lambda_D_nm,map5_minus_map2,9.899495,2,36.896923881757196,0.5162366659168124
apparent_zeta_magnitude_mV,map2,1.0,112,15.318080357142858,0.2950343938091144
apparent_zeta_magnitude_mV,map2,1.414214,98,23.705357142857142,0.45657781599312125
apparent_zeta_magnitude_mV,map2,2.0,96,35.953125,0.6924763542562339
apparent_zeta_magnitude_mV,map2,2.236068,168,40.03794642857143,0.7711521926053311
apparent_zeta_magnitude_mV,map2,2.828427,72,53.296875,1.0265262252794498
apparent_zeta_magnitude_mV,map2,3.0,80,43.565625,0.8390971625107481
apparent_zeta_magnitude_mV,map2,3.162278,140,48.67232142857143,0.9374548581255374
apparent_zeta_magnitude_mV,map2,3.605551,120,62.025,1.19463456577816
apparent_zeta_magnitude_mV,map2,4.0,64,49.640625,0.9561049011177989
apparent_zeta_magnitude_mV,map2,4.123106,112,55.51674107142857,1.0692820292347378
apparent_zeta_magnitude_mV,map2,4.242641,50,68.49,1.3191539122957867
apparent_zeta_magnitude_mV,map2,4.472136,96,67.5703125,1.3014402407566639
apparent_zeta_magnitude_mV,map2,5.0,128,65.091796875,1.253702708512468
apparent_zeta_magnitude_mV,map2,5.09902,84,59.47767857142857,1.1455717970765262
apparent_zeta_magnitude_mV,map2,5.385165,72,69.46875,1.3380051590713673
apparent_zeta_magnitude_mV,map2,5.656854,32,72.703125,1.4003009458297506
apparent_zeta_magnitude_mV,map2,5.830952,60,68.55,1.3203095442820292
apparent_zeta_magnitude_mV,map2,6.0,32,59.765625,1.1511177987962167
apparent_zeta_magnitude_mV,map2,6.082763,56,57.27455357142857,1.1031384350816853
apparent_zeta_magnitude_mV,map2,6.324555,48,64.921875,1.2504299226139295
apparent_zeta_magnitude_mV,map2,6.403124,48,58.921875,1.134866723989682
apparent_zeta_magnitude_mV,map2,6.708204,40,61.81875,1.1906620808254516
apparent_zeta_magnitude_mV,map2,7.0,16,77.9765625,1.5018701633705933
apparent_zeta_magnitude_mV,map2,7.071068,46,57.619565217391305,1.1097835433100303
apparent_zeta_magnitude_mV,map2,7.211103,32,47.0390625,0.9059974204643165
apparent_zeta_magnitude_mV,map2,7.28011,24,65.015625,1.2522355975924335
apparent_zeta_magnitude_mV,map2,7.615773,20,64.74375,1.2469991401547724
apparent_zeta_magnitude_mV,map2,7.81025,24,42.9375,0.8269991401547722
apparent_zeta_magnitude_mV,map2,8.062258,16,51.1171875,0.9845442820292348
apparent_zeta_magnitude_mV,map2,8.485281,8,40.078125,0.7719260533104042
apparent_zeta_magnitude_mV,map2,8.602325,12,43.59375,0.8396388650042993
apparent_zeta_magnitude_mV,map2,9.219544,8,31.359375,0.6039982803095443
apparent_zeta_magnitude_mV,map2,9.899495,2,29.8125,0.5742046431642305
apparent_zeta_magnitude_mV,map3,1.0,112,65.01897321428571,0.6373886071586824
apparent_zeta_magnitude_mV,map3,1.414214,98,83.00892857142857,0.8137462458766185
apparent_zeta_magnitude_mV,map3,2.0,96,95.07421875,0.9320236981602743
apparent_zeta_magnitude_mV,map3,2.236068,168,96.63616071428571,0.9473355981159634
apparent_zeta_magnitude_mV,map3,2.828427,72,112.203125,1.0999403716650529
apparent_zeta_magnitude_mV,map3,3.0,80,89.071875,0.8731820195952932
apparent_zeta_magnitude_mV,map3,3.162278,140,98.18035714285715,0.9624735365073113
apparent_zeta_magnitude_mV,map3,3.605551,120,98.653125,0.9671081351648532
apparent_zeta_magnitude_mV,map3,4.0,64,104.0625,1.020136871645906
apparent_zeta_magnitude_mV,map3,4.123106,112,112.46986607142857,1.102555265619615
apparent_zeta_magnitude_mV,map3,4.242641,50,96.9975,0.9508778494411895
apparent_zeta_magnitude_mV,map3,4.472136,96,107.33203125,1.0521884693023484
apparent_zeta_magnitude_mV,map3,5.0,128,110.8125,1.0863079119688839
apparent_zeta_magnitude_mV,map3,5.09902,84,108.91071428571429,1.0676644839413783
apparent_zeta_magnitude_mV,map3,5.385165,72,127.578125,1.2506632968451687
apparent_zeta_magnitude_mV,map3,5.656854,32,135.73828125,1.3306582639948796
apparent_zeta_magnitude_mV,map3,5.830952,60,123.6,1.2116652716918581
apparent_zeta_magnitude_mV,map3,6.0,32,94.18359375,0.9232927970065481
