model,map_order,relative_time_min,curves,lambda_D_nm_median,lambda_D_nm_q25,lambda_D_nm_q75,zeta_magnitude_mV_median,zeta_magnitude_mV_q25,zeta_magnitude_mV_q75,rmse_pN_median,r2_median,aic_winner_fraction
sphere_plane_nonlinear_PB_fixed_no_slip_hydrodynamics,2,0.0,64,23.77817258228512,20.135840897723266,28.75737120051241,26.5,22.0,34.0,10.562583624610028,0.9869696053350157,0.65625
sphere_plane_nonlinear_PB_fixed_no_slip_hydrodynamics,3,27.161,64,17.320508075688775,13.76665262662069,21.62186346530268,25.0,20.5,32.5,14.339562921873224,0.9671723268624697,0.296875
sphere_plane_nonlinear_PB_fixed_no_slip_hydrodynamics,4,53.33301666666667,64,13.44207608814922,10.767970476385223,18.602261319137774,22.0,17.5,28.0,13.702084730759754,0.9343885879596905,0.28125
sphere_plane_nonlinear_PB_fixed_no_slip_hydrodynamics,5,78.6563,64,11.293564611858205,10.027911824150397,13.02280581041226,16.0,11.5,22.0,7.9524456319111465,0.9253657671960613,0.203125
sphere_plane_nonlinear_PB_no_hydrodynamics,2,0.0,64,23.77817258228512,20.294088553975286,27.208660261806614,28.0,22.0,34.0,11.086438835366229,0.9866150344392192,0.125
sphere_plane_nonlinear_PB_no_hydrodynamics,3,27.161,64,17.599325649150288,13.874844806111179,22.317981094042864,26.5,22.0,32.875,14.48908475212996,0.9653232385598638,0.5625
sphere_plane_nonlinear_PB_no_hydrodynamics,4,53.33301666666667,64,13.44207608814922,11.472483074052871,18.755573090608834,22.0,19.0,26.875,13.547183882409694,0.937642278245854,0.5625
sphere_plane_nonlinear_PB_no_hydrodynamics,5,78.6563,64,12.819709377493696,11.114646149663537,13.986520241499386,16.75,13.0,22.375,7.775551847458392,0.9293609002673564,0.546875
sphere_plane_linear_HHF_fixed_no_slip_hydrodynamics,2,0.0,64,23.036510285681896,19.50778615749615,26.9914125884324,26.5,21.625,32.5,11.2229763240749,0.9870108196127829,0.109375
sphere_plane_linear_HHF_fixed_no_slip_hydrodynamics,3,27.161,64,16.780266063679814,13.44207608814922,21.11605963852549,25.0,20.5,31.375,14.41392604176941,0.9665021184837517,0.046875
sphere_plane_linear_HHF_fixed_no_slip_hydrodynamics,4,53.33301666666667,64,13.02280581041226,10.767970476385223,18.02204028641453,21.25,17.5,26.875,13.983138944083727,0.9344340711758818,0.0625
sphere_plane_linear_HHF_fixed_no_slip_hydrodynamics,5,78.6563,64,11.657161830490477,9.715132358533477,13.02280581041226,16.0,11.5,22.0,7.911808923104946,0.9255981239350853,0.125
equal_sphere_linear_HHF_fixed_no_slip_hydrodynamics,2,0.0,64,23.407341433983508,19.50778615749615,26.35999801127259,38.5,31.0,47.5,11.289970068971396,0.9868859384856432,0.109375
equal_sphere_linear_HHF_fixed_no_slip_hydrodynamics,3,27.161,64,17.050387069684295,13.874844806111179,21.11605963852549,35.5,31.0,46.0,14.781560966001468,0.9645090476471015,0.09375
equal_sphere_linear_HHF_fixed_no_slip_hydrodynamics,4,53.33301666666667,64,13.6584604471302,11.472483074052871,19.047850843082976,30.25,25.0,37.375,13.662638334269177,0.9380739959508475,0.09375
equal_sphere_linear_HHF_fixed_no_slip_hydrodynamics,5,78.6563,64,12.223089594559632,11.027977231343959,13.874844806111179,23.5,17.5,31.375,7.779218777492754,0.9284888711062418,0.125
