fit_variant,map_order,relative_time_min,curves,successful_fits,interior_fits,boundary_fraction,reference_25mV_ceiling_satisfied_fraction,lambda_D_nm_median,lambda_D_nm_q25,lambda_D_nm_q75,zeta_magnitude_mV_median,zeta_magnitude_mV_q25,zeta_magnitude_mV_q75,baseline_pN_median,baseline_pN_q25,baseline_pN_q75,rmse_pN_median,rmse_pN_q25,rmse_pN_q75,r2_median,r2_q25,r2_q75
far_linear_fixed_two_sphere_hydrodynamics,2,0.0,64,64,64,0.0,0.015625,23.64631536734506,20.058633399498103,26.7093324956526,38.46223196276078,31.109863543821888,47.432362585438575,-38.980217238419144,-88.00784114734438,60.90362253588623,11.28005348320494,8.748385941329316,12.865160267633863,0.9871000512997984,0.9796283884816496,0.9931208743491531
far_linear_fixed_two_sphere_hydrodynamics,3,27.161,64,64,64,0.0,0.0625,17.39748860278371,14.06443586525143,21.61293340375594,36.065771059640184,31.238320536737977,45.68054666641906,-22.387726274325782,-85.83034520860116,69.38266170272394,14.860776474439824,11.70831213370259,18.35754722866757,0.9643028669541238,0.937475241793054,0.9891374723197905
far_linear_fixed_two_sphere_hydrodynamics,4,53.33301666666667,64,64,64,0.0,0.265625,13.670891180587919,11.62050263901359,18.981717393450502,31.122949019193157,24.918846168643885,38.991944323296366,-27.29058278761908,-58.04093480864742,42.11339032334832,13.9354470293192,11.627133922820244,17.215691885920165,0.9369988816191128,0.8591469462834501,0.980101736805151
far_linear_fixed_two_sphere_hydrodynamics,5,78.6563,64,64,64,0.0,0.546875,12.095537767801115,11.036324444887025,13.999569437950608,22.972683502848852,17.645242220919453,31.316893391078448,-10.748135071498055,-47.23499855981595,37.86829341715847,7.751621616793109,6.874160389450828,9.065811925071937,0.9300989191202689,0.8355911514121179,0.9807446328736339
far_linear_no_hydrodynamics,2,0.0,64,64,64,0.0,0.015625,23.66298123204804,20.096895121411297,26.667909480083566,38.792553679334674,31.521789142721396,47.687029337989436,-37.86252154661051,-86.89103084033516,62.106061038311225,11.313063606745544,8.880058161507046,13.090981843436753,0.9868998177287234,0.9791926074485102,0.992876923951947
far_linear_no_hydrodynamics,3,27.161,64,64,64,0.0,0.0625,17.434323641795835,14.174689909452708,21.647707989280708,36.2539355383513,31.088733861538536,45.944964115406655,-21.165396355226317,-84.48338816539363,71.70812281914328,15.12486085157693,11.606513724939713,18.579182694778204,0.9642685384862013,0.938685390248926,0.9889178206882372
far_linear_no_hydrodynamics,4,53.33301666666667,64,64,64,0.0,0.234375,13.831562530986268,11.76663978990233,19.073207590724174,31.456657803965975,25.326881755224875,39.270153692177615,-25.924302370313704,-56.5084463882283,53.31237945567074,13.855073868172648,11.447518313324508,16.898278682834583,0.9376268418517677,0.854970249670645,0.9795348026659032
far_linear_no_hydrodynamics,5,78.6563,64,64,64,0.0,0.546875,12.456256440197533,11.498439086471919,14.368468914357898,23.282057694340264,18.253815865849173,31.631530080961905,-9.357197416074058,-45.77730803708493,39.10050378078968,7.6941692419777405,6.807147940660797,9.083566302514113,0.9303131863594645,0.8391761850101098,0.9816291150636736
far_constant_fixed_two_sphere_hydrodynamics,2,0.0,64,64,64,0.0,0.015625,23.789900048176225,20.353793575815395,27.45401602536964,38.879936785643494,31.951893912815112,47.67620831371674,14.064200756794694,-0.8943881197179556,28.714465720183345,11.22759156950684,8.573755052491755,13.36444718849113,0.9872349788255985,0.9793317985435298,0.9927890640803694
far_constant_fixed_two_sphere_hydrodynamics,3,27.161,64,64,64,0.0,0.046875,17.76071629428523,14.695677732892753,22.510345512165863,35.91741629057094,31.317055854267412,45.923225754367856,20.795399678684156,-1.9026510165726551,44.622996576684216,13.725141942748778,11.541413971147003,17.307992436185952,0.9707699617357204,0.9472398545904268,0.9893545055673594
far_constant_fixed_two_sphere_hydrodynamics,4,53.33301666666667,64,64,64,0.0,0.28125,14.107123800804478,11.640569319620978,18.220445367043137,30.550864773180315,24.919119406579,38.924490734233515,10.029677279899634,-5.644865192095461,28.673963431300145,13.243929447789252,11.5134245551964,16.772466396843427,0.9443537234092989,0.8461786141329641,0.979283085347784
far_constant_fixed_two_sphere_hydrodynamics,5,78.6563,64,64,64,0.0,0.546875,12.392118888353341,11.467916315492484,14.205512344167182,22.99166857702923,17.74897419821415,31.30921463306141,13.97243023745126,2.7808687113156445,29.785184114631402,7.71680316347262,6.8968574024119915,8.940146438810235,0.9332953501963417,0.8513920836821545,0.9831945943446383
