map_order,baseline_method,distance_nm,QC_metric,pixels,Spearman_rho,Spearman_p_value_naive_pixels
1,linear_drift_corrected,20.0,far_slope_pN_per_100nm,64,0.6398809523809523,1.2519887665166421e-08
1,linear_drift_corrected,20.0,local_contact_InvOLS_nm_per_V,64,-0.01575091575091575,0.9016862764483105
1,linear_drift_corrected,20.0,acquisition_order,64,-0.41314102564102556,0.0006915121795419366
1,linear_drift_corrected,20.0,physical_row,64,-0.4252619471630004,0.00046019780949304223
1,linear_drift_corrected,20.0,physical_column,64,-0.10668463778655132,0.40143896938187373
1,linear_drift_corrected,50.0,far_slope_pN_per_100nm,64,0.8889194139194138,1.073361123006735e-22
1,linear_drift_corrected,50.0,local_contact_InvOLS_nm_per_V,64,-0.09043040293040291,0.477305649265249
1,linear_drift_corrected,50.0,acquisition_order,64,-0.09226190476190474,0.46839272913132446
1,linear_drift_corrected,50.0,physical_row,64,-0.09856331587892458,0.4384252475745013
1,linear_drift_corrected,50.0,physical_column,64,-0.15799662620292032,0.21243040120637477
1,linear_drift_corrected,100.0,far_slope_pN_per_100nm,64,0.9202380952380953,6.005405981982784e-27
1,linear_drift_corrected,100.0,local_contact_InvOLS_nm_per_V,64,-0.1568223443223443,0.2158919142533514
1,linear_drift_corrected,100.0,acquisition_order,64,0.08635531135531134,0.4974574734777568
1,linear_drift_corrected,100.0,physical_row,64,0.07604510513505043,0.5503495912598267
1,linear_drift_corrected,100.0,physical_column,64,-0.20746285964028321,0.09998168543279792
1,linear_drift_corrected,200.0,far_slope_pN_per_100nm,64,0.9193223443223443,8.437763322565079e-27
1,linear_drift_corrected,200.0,local_contact_InvOLS_nm_per_V,64,-0.1557234432234432,0.21916693763585415
1,linear_drift_corrected,200.0,acquisition_order,64,0.12783882783882783,0.3140829020515924
1,linear_drift_corrected,200.0,physical_row,64,0.11665171467318414,0.3586398154858299
1,linear_drift_corrected,200.0,physical_column,64,-0.18309889391740297,0.1475622688527454
1,far_constant_referenced,20.0,far_slope_pN_per_100nm,64,-0.14903846153846154,0.23984011308345898
1,far_constant_referenced,20.0,local_contact_InvOLS_nm_per_V,64,0.030998168498168492,0.807884426241335
1,far_constant_referenced,20.0,acquisition_order,64,-0.6291666666666665,2.575618671290503e-08
1,far_constant_referenced,20.0,physical_row,64,-0.6353088637738922,1.709079409664542e-08
1,far_constant_referenced,20.0,physical_column,64,0.08564303102588203,0.5010245952168344
1,far_constant_referenced,50.0,far_slope_pN_per_100nm,64,-0.21208791208791206,0.09247927301226543
1,far_constant_referenced,50.0,local_contact_InvOLS_nm_per_V,64,0.028250915750915748,0.8246275437760379
1,far_constant_referenced,50.0,acquisition_order,64,-0.3424450549450549,0.005608230120428481
1,far_constant_referenced,50.0,physical_row,64,-0.33075929223788925,0.0075961502876748166
1,far_constant_referenced,50.0,physical_column,64,0.15024445529109476,0.23601481533703136
1,far_constant_referenced,100.0,far_slope_pN_per_100nm,64,0.1291208791208791,0.30921404105833333
1,far_constant_referenced,100.0,local_contact_InvOLS_nm_per_V,64,-0.1356227106227106,0.28527519207275526
1,far_constant_referenced,100.0,acquisition_order,64,0.15888278388278387,0.2098442353246499
1,far_constant_referenced,100.0,physical_row,64,0.15725832421131786,0.21460215053887247
1,far_constant_referenced,100.0,physical_column,64,0.02288736173967537,0.8575344154018096
1,far_constant_referenced,200.0,far_slope_pN_per_100nm,64,0.0028846153846153843,0.9819516886821347
1,far_constant_referenced,200.0,local_contact_InvOLS_nm_per_V,64,-0.048946886446886446,0.7009133570554504
1,far_constant_referenced,200.0,acquisition_order,64,0.21730769230769229,0.0845497937544992
1,far_constant_referenced,200.0,physical_row,64,0.21410757756470505,0.08934476086437625
1,far_constant_referenced,200.0,physical_column,64,0.09081114496709905,0.4754453647021466
2,linear_drift_corrected,20.0,far_slope_pN_per_100nm,64,0.35352564102564094,0.0041618494195358345
2,linear_drift_corrected,20.0,local_contact_InvOLS_nm_per_V,64,-0.4153388278388278,0.000643013611133479
2,linear_drift_corrected,20.0,acquisition_order,64,0.32206959706959704,0.0094500754283233
2,linear_drift_corrected,20.0,physical_row,64,0.34109552012032324,0.005811584446073523
2,linear_drift_corrected,20.0,physical_column,64,0.3890851495744812,0.0014852509194990397
2,linear_drift_corrected,50.0,far_slope_pN_per_100nm,64,0.7805860805860805,2.844221263378459e-14
2,linear_drift_corrected,50.0,local_contact_InvOLS_nm_per_V,64,-0.2132326007326007,0.09069231505418164
2,linear_drift_corrected,50.0,acquisition_order,64,0.16327838827838828,0.19734471412402152
2,linear_drift_corrected,50.0,physical_row,64,0.18051483694679446,0.15346107921741536
2,linear_drift_corrected,50.0,physical_column,64,0.40717354836874087,0.0008403753981950575
2,linear_drift_corrected,100.0,far_slope_pN_per_100nm,64,0.9602106227106225,4.7339174646289234e-36
2,linear_drift_corrected,100.0,local_contact_InvOLS_nm_per_V,64,0.0012362637362637362,0.992264484025057
2,linear_drift_corrected,100.0,acquisition_order,64,0.05187728937728937,0.6839250218333355
2,linear_drift_corrected,100.0,physical_row,64,0.061648216298803016,0.628438275356367
2,linear_drift_corrected,100.0,physical_column,64,0.2997506085905871,0.016112458776324792
2,linear_drift_corrected,200.0,far_slope_pN_per_100nm,64,0.9320054945054944,5.087467542276653e-29
2,linear_drift_corrected,200.0,local_contact_InvOLS_nm_per_V,64,0.07239010989010988,0.5697270673613553
2,linear_drift_corrected,200.0,acquisition_order,64,0.13104395604395602,0.30200249726004047
2,linear_drift_corrected,200.0,physical_row,64,0.14064652940026315,0.26763860928880495
2,linear_drift_corrected,200.0,physical_column,64,0.2528684321238327,0.04380318086790991
2,far_constant_referenced,20.0,far_slope_pN_per_100nm,64,0.00036630036630036625,0.9977079633121676
2,far_constant_referenced,20.0,local_contact_InvOLS_nm_per_V,64,-0.44706959706959704,0.0002126405757503195
2,far_constant_referenced,20.0,acquisition_order,64,0.3064102564102564,0.013796608473676308
2,far_constant_referenced,20.0,physical_row,64,0.31968476236385274,0.010023141711263452
2,far_constant_referenced,20.0,physical_column,64,0.3484785400363476,0.004773680927721402
2,far_constant_referenced,50.0,far_slope_pN_per_100nm,64,0.0341117216117216,0.7890125280198628
2,far_constant_referenced,50.0,local_contact_InvOLS_nm_per_V,64,-0.41662087912087903,0.0006161687402692003
2,far_constant_referenced,50.0,acquisition_order,64,0.27925824175824177,0.025437279168646968
2,far_constant_referenced,50.0,physical_row,64,0.2871994747333458,0.021390461687290727
2,far_constant_referenced,50.0,physical_column,64,0.330390141242088,0.0076679018217084595
2,far_constant_referenced,100.0,far_slope_pN_per_100nm,64,0.29070512820512817,0.019786169080075876
2,far_constant_referenced,100.0,local_contact_InvOLS_nm_per_V,64,-0.1257326007326007,0.3221879327905839
2,far_constant_referenced,100.0,acquisition_order,64,0.21442307692307688,0.08886273666409202
2,far_constant_referenced,100.0,physical_row,64,0.198603235741054,0.11566612189603023
2,far_constant_referenced,100.0,physical_column,64,0.15467426724070935,0.2223260928925114
2,far_constant_referenced,200.0,far_slope_pN_per_100nm,64,0.05219780219780219,0.6820761730569633
2,far_constant_referenced,200.0,local_contact_InvOLS_nm_per_V,64,0.10187728937728938,0.4231071723027908
2,far_constant_referenced,200.0,acquisition_order,64,0.29922161172161166,0.016309924286719287
2,far_constant_referenced,200.0,physical_row,64,0.2857228707501409,0.022098551626369946
2,far_constant_referenced,200.0,physical_column,64,0.038022552567525215,0.7654794341760599
3,linear_drift_corrected,20.0,far_slope_pN_per_100nm,64,0.49619963369963366,3.0495525662058314e-05
3,linear_drift_corrected,20.0,local_contact_InvOLS_nm_per_V,64,-0.5643772893772894,1.191071091170625e-06
3,linear_drift_corrected,20.0,acquisition_order,64,0.3307692307692307,0.007594226688275514
3,linear_drift_corrected,20.0,physical_row,64,0.3510625970069561,0.004451171273062481
3,linear_drift_corrected,20.0,physical_column,64,0.5223486590587201,9.546936272044245e-06
3,linear_drift_corrected,50.0,far_slope_pN_per_100nm,64,0.8654761904761904,2.829745947459825e-20
3,linear_drift_corrected,50.0,local_contact_InvOLS_nm_per_V,64,-0.30489926739926737,0.014295233717349453
3,linear_drift_corrected,50.0,acquisition_order,64,0.29990842490842484,0.016053947086754217
3,linear_drift_corrected,50.0,physical_row,64,0.3241145743134673,0.008981593998914478
3,linear_drift_corrected,50.0,physical_column,64,0.44741100691107333,0.00020999832801654893
3,linear_drift_corrected,100.0,far_slope_pN_per_100nm,64,0.9716117216117215,1.5954117314083039e-40
3,linear_drift_corrected,100.0,local_contact_InvOLS_nm_per_V,64,-0.06286630036630035,0.6216546264504024
3,linear_drift_corrected,100.0,acquisition_order,64,0.28003663003663,0.02501398040959402
3,linear_drift_corrected,100.0,physical_row,64,0.30196551456539444,0.01530777351353583
3,linear_drift_corrected,100.0,physical_column,64,0.25471418710283883,0.04223593399739632
3,linear_drift_corrected,200.0,far_slope_pN_per_100nm,64,0.9420787545787543,4.104842350007974e-31
3,linear_drift_corrected,200.0,local_contact_InvOLS_nm_per_V,64,-0.048168498168498164,0.7054509361556853
