source,map_order,relative_time_min,distance_nm,pixels,baseline_method,absolute_force_definition,mean_absolute_force_pN,median_absolute_force_pN,sample_std_absolute_force_pN,sample_variance_absolute_force_pN2,sem_absolute_force_pN
31-08-26/map-data-2026.08.31-15.01.59.514.jpk-force-map,2,0.0,20.0,64,linear_drift_corrected,absolute value per pixel before aggregation,441.1087610545396,392.35065384843665,260.09580760625505,67649.82913435005,32.51197595078188
31-08-26/map-data-2026.08.31-15.29.09.174.jpk-force-map,3,27.161,20.0,64,linear_drift_corrected,absolute value per pixel before aggregation,427.2945114001959,343.32343321474156,310.0168600469155,96110.45351334878,38.75210750586444
31-08-26/map-data-2026.08.31-15.55.19.495.jpk-force-map,4,53.33301666666667,20.0,64,linear_drift_corrected,absolute value per pixel before aggregation,310.6385140760375,259.07078910786294,233.7118665481931,54621.23656544042,29.213983318524136
31-08-26/map-data-2026.08.31-16.20.38.892.jpk-force-map,5,78.6563,20.0,64,linear_drift_corrected,absolute value per pixel before aggregation,200.37965287023388,144.44059012742605,175.36234117416723,30751.950702085025,21.920292646770903
31-08-26/map-data-2026.08.31-15.01.59.514.jpk-force-map,2,0.0,50.0,64,linear_drift_corrected,absolute value per pixel before aggregation,133.37107299810228,135.67832693433365,104.17280406313914,10851.973106377178,13.021600507892392
31-08-26/map-data-2026.08.31-15.29.09.174.jpk-force-map,3,27.161,50.0,64,linear_drift_corrected,absolute value per pixel before aggregation,127.25942867340635,95.98255102488184,107.0835706412792,11466.891101285832,13.3854463301599
31-08-26/map-data-2026.08.31-15.55.19.495.jpk-force-map,4,53.33301666666667,50.0,64,linear_drift_corrected,absolute value per pixel before aggregation,82.19908125445424,65.43104010590433,68.14291705589913,4643.457144887148,8.517864631987392
31-08-26/map-data-2026.08.31-16.20.38.892.jpk-force-map,5,78.6563,50.0,64,linear_drift_corrected,absolute value per pixel before aggregation,50.51711040843267,41.99589967694614,34.873828632023525,1216.1839234557438,4.359228579002941
31-08-26/map-data-2026.08.31-15.01.59.514.jpk-force-map,2,0.0,100.0,64,linear_drift_corrected,absolute value per pixel before aggregation,75.66464258692488,69.6347394191782,50.23063028564397,2523.1162188930534,6.278828785705496
31-08-26/map-data-2026.08.31-15.29.09.174.jpk-force-map,3,27.161,100.0,64,linear_drift_corrected,absolute value per pixel before aggregation,104.35423836788067,96.28820954320304,64.19257175154158,4120.6862680768145,8.024071468942697
31-08-26/map-data-2026.08.31-15.55.19.495.jpk-force-map,4,53.33301666666667,100.0,64,linear_drift_corrected,absolute value per pixel before aggregation,75.19248059280456,64.66930722369406,53.50713357917017,2863.0133438591606,6.688391697396272
31-08-26/map-data-2026.08.31-16.20.38.892.jpk-force-map,5,78.6563,100.0,64,linear_drift_corrected,absolute value per pixel before aggregation,50.103269394845825,47.154789466064486,35.92429094379198,1290.5546798142148,4.490536367973998
31-08-26/map-data-2026.08.31-15.01.59.514.jpk-force-map,2,0.0,200.0,64,linear_drift_corrected,absolute value per pixel before aggregation,69.15346787161431,57.85916387949226,43.76648757365258,1915.5054345346857,5.470810946706573
31-08-26/map-data-2026.08.31-15.29.09.174.jpk-force-map,3,27.161,200.0,64,linear_drift_corrected,absolute value per pixel before aggregation,78.6155330268397,72.29049513582683,46.390728438446835,2152.09968504972,5.798841054805854
31-08-26/map-data-2026.08.31-15.55.19.495.jpk-force-map,4,53.33301666666667,200.0,64,linear_drift_corrected,absolute value per pixel before aggregation,54.37074317096801,40.48126343988116,42.87206110852101,1838.01362369276,5.359007638565126
31-08-26/map-data-2026.08.31-16.20.38.892.jpk-force-map,5,78.6563,200.0,64,linear_drift_corrected,absolute value per pixel before aggregation,42.93550457396377,38.14130890843181,31.174089706279325,971.8238690151506,3.8967612132849156
