source,map_order,point_index,row,column,distance_nm,force_linear_drift_corrected_pN,force_far_constant_referenced_pN
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,0,0,0,20.0,54.20971461988743,71.94542660956657
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,1,0,1,20.0,113.97218883184213,161.0187035014769
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,2,0,2,20.0,46.26497954253464,143.17172830066127
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,3,0,3,20.0,241.70279767064355,247.6386066787633
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,4,0,4,20.0,133.42591910802537,249.07118014733317
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,5,0,5,20.0,190.80999073758457,295.7996358963949
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,6,0,6,20.0,598.1857341269161,551.5710593640375
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,7,0,7,20.0,147.06119425971164,165.81890076602332
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,8,1,7,20.0,363.3683365730718,365.30623448529855
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,9,1,6,20.0,537.0657731312967,546.9572361944608
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,10,1,5,20.0,287.5458169167347,332.28094589466957
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,11,1,4,20.0,288.21890498211076,247.23771316229855
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,12,1,3,20.0,216.0842985651895,141.7209431502223
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,13,1,2,20.0,161.70441975291132,192.90936883437152
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,14,1,1,20.0,268.4027044193482,215.71530222771398
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,15,1,0,20.0,181.05185114666267,153.93335406424495
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,16,2,0,20.0,176.06018336437768,179.89511175858243
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,17,2,1,20.0,205.5889568320651,139.61022104738527
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,18,2,2,20.0,225.1032099593818,166.71748170550882
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,19,2,3,20.0,116.95553209320995,213.8189221598597
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,20,2,4,20.0,269.51279807003465,291.37597106737155
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,21,2,5,20.0,262.3759291050402,254.84741712814503
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,22,2,6,20.0,162.8438995834043,131.49076737572196
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,23,2,7,20.0,102.63167998223369,191.999849059997
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,24,3,7,20.0,126.56978543523147,212.94706745480528
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,25,3,6,20.0,82.82091858886328,155.6675437315591
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,26,3,5,20.0,256.6771990671202,224.8385861691444
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,27,3,4,20.0,61.452507275265205,196.7565275003376
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,28,3,3,20.0,123.63594374578363,202.23493252798875
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,29,3,2,20.0,136.4343859150955,178.31122759552406
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,30,3,1,20.0,164.1460398800451,175.5345965277278
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,31,3,0,20.0,138.43741752264344,164.9882588605228
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,32,4,0,20.0,187.85491367972057,165.3951243895484
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,33,4,1,20.0,187.78191727548048,176.63652153846988
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,34,4,2,20.0,102.81220893285247,177.7421125371215
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,35,4,3,20.0,110.8339779050257,139.10520164854714
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,36,4,4,20.0,67.44587862702951,155.78858046138276
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,37,4,5,20.0,16.860246068853908,119.01180366343618
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,38,4,6,20.0,125.973297171514,93.15180669798322
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,39,4,7,20.0,47.01231091840699,125.39109565522534
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,40,5,7,20.0,129.95454616229978,109.4961407581036
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,41,5,6,20.0,64.7286970425191,141.7597316674497
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,42,5,5,20.0,107.50149658781928,99.22847730079475
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,43,5,4,20.0,57.82965788801634,103.59029336606855
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,44,5,3,20.0,77.45088877671057,131.31142961238265
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,45,5,2,20.0,156.46663698160523,161.48978294774088
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,46,5,1,20.0,185.88377986794504,184.6941264463846
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,47,5,0,20.0,222.35603434776036,214.70295740538552
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,48,6,0,20.0,140.85406954967655,84.0344947691131
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,49,6,1,20.0,162.10695489570088,166.30813276531885
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,50,6,2,20.0,82.13575302437143,129.74451542561147
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,51,6,3,20.0,70.74254960928938,128.75162399073398
