dataset_type,curve_id,source,baseline_method,acquisition_order,block,nominal_speed_um_per_s,actual_gap_speed_um_per_s,clock_epoch_s,elapsed_min,fit_variant,model,dmin_nm,dmax_nm,n_distance_bins,lambda_D_nm,lambda_profile_low_nm,lambda_profile_high_nm,zeta_magnitude_mV,zeta_signed_silica_mV,zeta_profile_low_mV,zeta_profile_high_mV,baseline_pN,weighted_grid_objective,reduced_grid_objective,rmse_pN,r2,lambda_grid_boundary,zeta_grid_boundary,baseline_boundary,fit_status,weight_definition,profile_interval_status,pair_half_span_min,early_source,late_source
map,27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,far_constant_referenced,1,1,0.2,0.19375539016608367,1787832100.20225,0.0,previous_primary_10_250nm,nonlinear_pb_derjaguin,10.0,250.0,49,16.780266063679814,16.780266063679814,16.780266063679814,70.0,-70.0,70.0,70.0,4.410992232419795,19.993404802755318,0.43463923484250694,70.88831520986786,0.9930180193967488,False,False,False,interior_grid_solution,"max(pixel_IQR/1.349,2_pN); spatial_scale_not_SE",diagnostic_correlated_bins_not_formal_CI,,,
map,27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,far_constant_referenced,1,1,0.2,0.19375539016608367,1787832100.20225,0.0,measurement_window_20_200nm,nonlinear_pb_derjaguin,20.0,200.0,37,16.780266063679814,16.780266063679814,17.320508075688775,70.0,-70.0,67.0,70.0,6.201350217941262,6.928695029952774,0.20378514793978747,9.39866372221093,0.9996481089179967,False,False,False,interior_grid_solution,"max(pixel_IQR/1.349,2_pN); spatial_scale_not_SE",diagnostic_correlated_bins_not_formal_CI,,,
map,27-08-26/0/map1-0.1-data-2026.08.27-14.04.47.122.jpk-force-map,27-08-26/0/map1-0.1-data-2026.08.27-14.04.47.122.jpk-force-map,far_constant_referenced,2,1,0.1,0.09748590028658471,1787832454.64475,5.907375001907349,previous_primary_10_250nm,nonlinear_pb_derjaguin,10.0,250.0,49,15.749808336458166,15.258557842693115,15.749808336458166,68.5,-68.5,67.0,70.0,7.316351493271556,20.544938852530763,0.44662910548979917,59.29272927688005,0.9946485342508874,False,False,False,interior_grid_solution,"max(pixel_IQR/1.349,2_pN); spatial_scale_not_SE",diagnostic_correlated_bins_not_formal_CI,,,
map,27-08-26/0/map1-0.1-data-2026.08.27-14.04.47.122.jpk-force-map,27-08-26/0/map1-0.1-data-2026.08.27-14.04.47.122.jpk-force-map,far_constant_referenced,2,1,0.1,0.09748590028658471,1787832454.64475,5.907375001907349,measurement_window_20_200nm,nonlinear_pb_derjaguin,20.0,200.0,37,15.749808336458166,15.749808336458166,15.749808336458166,67.0,-67.0,65.5,67.0,9.238533629938182,4.8410713253492155,0.14238445074556516,12.670976527496784,0.9992488006152307,False,False,False,interior_grid_solution,"max(pixel_IQR/1.349,2_pN); spatial_scale_not_SE",diagnostic_correlated_bins_not_formal_CI,,,
map,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,far_constant_referenced,3,1,0.05,0.04921093444153765,1787833185.3845,18.086370833714803,previous_primary_10_250nm,nonlinear_pb_derjaguin,10.0,250.0,49,13.874844806111179,13.44207608814922,13.874844806111179,64.0,-64.0,64.0,65.5,7.092266026207593,15.546946826358242,0.3379771049208314,51.31767362588059,0.9950334891275444,False,False,False,interior_grid_solution,"max(pixel_IQR/1.349,2_pN); spatial_scale_not_SE",diagnostic_correlated_bins_not_formal_CI,,,
map,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,far_constant_referenced,3,1,0.05,0.04921093444153765,1787833185.3845,18.086370833714803,measurement_window_20_200nm,nonlinear_pb_derjaguin,20.0,200.0,37,13.874844806111179,13.44207608814922,14.321546547664008,62.5,-62.5,61.0,65.5,9.363492706989913,3.852417034118209,0.11330638335641792,11.84491182540266,0.9990777374384124,False,False,False,interior_grid_solution,"max(pixel_IQR/1.349,2_pN); spatial_scale_not_SE",diagnostic_correlated_bins_not_formal_CI,,,
map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map,far_constant_referenced,4,1,0.05,0.0495119582967873,1787834002.05475,31.697541666030883,previous_primary_10_250nm,nonlinear_pb_derjaguin,10.0,250.0,49,12.223089594559632,11.841840586928083,12.223089594559632,62.5,-62.5,61.0,62.5,7.591745332303098,13.876746374505105,0.3016683994457631,22.322050768420482,0.9988754212507233,False,False,False,interior_grid_solution,"max(pixel_IQR/1.349,2_pN); spatial_scale_not_SE",diagnostic_correlated_bins_not_formal_CI,,,
map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map,far_constant_referenced,4,1,0.05,0.0495119582967873,1787834002.05475,31.697541666030883,measurement_window_20_200nm,nonlinear_pb_derjaguin,20.0,200.0,37,12.223089594559632,11.841840586928083,12.616612944575133,61.0,-61.0,58.0,62.5,9.914913881045448,2.528922952144739,0.07438008682778645,5.538700000897649,0.9997238727379137,False,False,False,interior_grid_solution,"max(pixel_IQR/1.349,2_pN); spatial_scale_not_SE",diagnostic_correlated_bins_not_formal_CI,,,
map,27-08-26/0/map1-0.1-data-2026.08.27-14.40.56.507.jpk-force-map,27-08-26/0/map1-0.1-data-2026.08.27-14.40.56.507.jpk-force-map,far_constant_referenced,5,1,0.1,0.09943540425571812,1787834624.0795,42.06462083260218,previous_primary_10_250nm,nonlinear_pb_derjaguin,10.0,250.0,49,11.114646149663537,10.767970476385223,11.114646149663537,56.5,-56.5,56.5,59.5,10.834924742897476,17.417935903992426,0.37865078052157447,46.74011170388942,0.9937666341561316,False,False,False,interior_grid_solution,"max(pixel_IQR/1.349,2_pN); spatial_scale_not_SE",diagnostic_correlated_bins_not_formal_CI,,,
map,27-08-26/0/map1-0.1-data-2026.08.27-14.40.56.507.jpk-force-map,27-08-26/0/map1-0.1-data-2026.08.27-14.40.56.507.jpk-force-map,far_constant_referenced,5,1,0.1,0.09943540425571812,1787834624.0795,42.06462083260218,measurement_window_20_200nm,nonlinear_pb_derjaguin,20.0,200.0,37,11.114646149663537,10.767970476385223,11.114646149663537,56.5,-56.5,55.0,59.5,12.73926230392801,2.785911565594804,0.0819385754586707,5.330837736094033,0.9996289329168097,False,False,False,interior_grid_solution,"max(pixel_IQR/1.349,2_pN); spatial_scale_not_SE",diagnostic_correlated_bins_not_formal_CI,,,
