dataset_type,baseline_method,fit_variant,nominal_speed_um_per_s,parameter,unit,n,median,q25,q75,minimum,maximum
map,far_constant_referenced,measurement_window_20_200nm,0.05,lambda_D_nm,nm,10,14.098195676887594,12.321470432063506,18.755423937965183,8.096135972076024,23.036510285681896
map,far_constant_referenced,measurement_window_20_200nm,0.05,zeta_magnitude_mV,mV,10,63.25,61.0,70.375,34.0,73.0
map,far_constant_referenced,measurement_window_20_200nm,0.1,lambda_D_nm,nm,9,15.749808336458166,11.841840586928083,19.66109792896721,10.432107924894561,23.036510285681896
map,far_constant_referenced,measurement_window_20_200nm,0.1,zeta_magnitude_mV,mV,9,67.0,56.5,70.0,55.0,71.5
map,far_constant_referenced,measurement_window_20_200nm,0.2,lambda_D_nm,nm,10,16.518570371478603,10.602742481086805,20.47255648297056,8.356791719157386,21.62186346530268
map,far_constant_referenced,measurement_window_20_200nm,0.2,zeta_magnitude_mV,mV,10,67.75,55.375,71.125,43.0,71.5
map,far_constant_referenced,previous_primary_10_250nm,0.05,lambda_D_nm,nm,10,13.874844806111179,12.223089594559632,18.755423937965183,7.3619428061166206,22.317981094042864
map,far_constant_referenced,previous_primary_10_250nm,0.05,zeta_magnitude_mV,mV,10,65.5,62.875,72.25,41.5,74.5
map,far_constant_referenced,previous_primary_10_250nm,0.1,lambda_D_nm,nm,9,15.749808336458166,11.472483074052871,19.66109792896721,10.432107924894561,23.036510285681896
map,far_constant_referenced,previous_primary_10_250nm,0.1,zeta_magnitude_mV,mV,9,68.5,59.5,71.5,55.0,74.5
map,far_constant_referenced,previous_primary_10_250nm,0.2,lambda_D_nm,nm,10,16.518570371478603,10.602742481086805,20.47255648297056,8.356791719157386,21.62186346530268
map,far_constant_referenced,previous_primary_10_250nm,0.2,zeta_magnitude_mV,mV,10,67.75,56.5,72.625,44.5,74.5
map,linear_drift_corrected,measurement_window_20_200nm,0.05,lambda_D_nm,nm,10,13.881811317906614,12.321470432063506,18.30983441401998,7.598961145324,22.317981094042864
map,linear_drift_corrected,measurement_window_20_200nm,0.05,zeta_magnitude_mV,mV,10,64.0,59.875,70.375,38.5,73.0
map,linear_drift_corrected,measurement_window_20_200nm,0.1,lambda_D_nm,nm,9,15.258557842693115,11.472483074052871,19.66109792896721,10.106721224330608,22.317981094042864
map,linear_drift_corrected,measurement_window_20_200nm,0.1,zeta_magnitude_mV,mV,9,68.5,58.0,71.5,56.5,74.5
map,linear_drift_corrected,measurement_window_20_200nm,0.2,lambda_D_nm,nm,10,16.518570371478603,10.35870245566384,19.98252912625221,8.356791719157386,21.62186346530268
map,linear_drift_corrected,measurement_window_20_200nm,0.2,zeta_magnitude_mV,mV,10,67.75,55.75,71.125,44.5,73.0
