analysis,dataset_subset,baseline_method,fit_variant,parameter,time_model,n,speed_beta_log_per_um_per_s,speed_HC3_SE_log_per_um_per_s,speed_HC3_95CI_low_log_per_um_per_s,speed_HC3_95CI_high_log_per_um_per_s,speed_two_sided_p,high_0p2_vs_low_0p05_percent,high_vs_low_percent_CI_low,high_vs_low_percent_CI_high,model_R2,design_rank,parameter_count,residual_df,design_condition,claim_status
time_adjusted_speed_dependence,no_refresh_testB_blocks3_5,linear_drift_corrected,previous_primary_10_250nm,lambda_D_nm,global_time_poly1,17,0.14516702867125242,0.23241058470665943,-0.3533040995385801,0.6436381568810849,0.5422703226746297,2.2013860988591776,-5.161582879658874,10.135993805908807,0.9842500663385795,3,3,14,1.072912957239902,sequential_time_model_sensitivity_not_randomized_causal_effect
time_adjusted_speed_dependence,no_refresh_testB_blocks3_5,linear_drift_corrected,previous_primary_10_250nm,lambda_D_nm,global_time_poly2,17,0.14066459547383559,0.13681555626614655,-0.15490744399982553,0.4362366349474967,0.32263786556602403,2.1323861645124516,-2.2968236882113193,6.762386827320645,0.9965165966614179,4,4,13,1.1210159228713037,sequential_time_model_sensitivity_not_randomized_causal_effect
time_adjusted_speed_dependence,no_refresh_testB_blocks3_5,linear_drift_corrected,previous_primary_10_250nm,lambda_D_nm,global_time_poly3,17,0.1068008979802186,0.11754031271101792,-0.14929744335719733,0.36289923931763457,0.3814309178539306,1.6149145055295528,-2.214571853317128,5.594371734786441,0.9980532851733245,5,5,12,1.3889260164496964,sequential_time_model_sensitivity_not_randomized_causal_effect
time_adjusted_speed_dependence,no_refresh_testB_blocks3_5,linear_drift_corrected,previous_primary_10_250nm,lambda_D_nm,block_fixed_linear_within,17,0.14401550514577988,0.24540071740044153,-0.39066672633490884,0.6786977366264686,0.5681755367629867,2.1837345283036598,-5.691608114946331,10.71671771137099,0.9876749472081353,5,5,12,1.090850324679209,sequential_time_model_sensitivity_not_randomized_causal_effect
time_adjusted_speed_dependence,no_refresh_testB_blocks3_5,linear_drift_corrected,previous_primary_10_250nm,lambda_D_nm,block_fixed_quadratic_within,17,0.13026117327302655,0.274388842298505,-0.4736645967183235,0.7341869432643766,0.6442633301145012,1.9731315062922479,-6.858439060542159,11.642100951675339,0.9899789390276197,6,6,11,1.2766246467757953,sequential_time_model_sensitivity_not_randomized_causal_effect
time_adjusted_speed_dependence,no_refresh_testB_blocks3_5,linear_drift_corrected,previous_primary_10_250nm,zeta_magnitude_mV,global_time_poly1,17,-0.11718923338422182,0.3085422342318933,-0.7789465100249331,0.5445680432564894,0.7097816716315124,-1.7424786519188613,-11.02742203664536,8.511416915952022,0.894555962912502,3,3,14,1.072912957239902,sequential_time_model_sensitivity_not_randomized_causal_effect
time_adjusted_speed_dependence,no_refresh_testB_blocks3_5,linear_drift_corrected,previous_primary_10_250nm,zeta_magnitude_mV,global_time_poly2,17,-0.12311636776153179,0.1647052115449579,-0.47894034433903937,0.2327076088159758,0.4680709139571292,-1.8297976596968788,-6.932118608371962,3.5522511464733086,0.9800951410966875,4,4,13,1.1210159228713037,sequential_time_model_sensitivity_not_randomized_causal_effect
time_adjusted_speed_dependence,no_refresh_testB_blocks3_5,linear_drift_corrected,previous_primary_10_250nm,zeta_magnitude_mV,global_time_poly3,17,-0.07795884403959308,0.13439952830385452,-0.3707902606087429,0.21487257252955677,0.5726095837217073,-1.1625719551457967,-5.410010908903193,3.275592654035042,0.991090911824322,5,5,12,1.3889260164496964,sequential_time_model_sensitivity_not_randomized_causal_effect
time_adjusted_speed_dependence,no_refresh_testB_blocks3_5,linear_drift_corrected,previous_primary_10_250nm,zeta_magnitude_mV,block_fixed_linear_within,17,-0.11300255500259304,0.2513272776033796,-0.6605976518892158,0.43459254188402974,0.6609958355184333,-1.6807533760875841,-9.433848616304676,6.736060978671661,0.9429832395507844,5,5,12,1.090850324679209,sequential_time_model_sensitivity_not_randomized_causal_effect
time_adjusted_speed_dependence,no_refresh_testB_blocks3_5,linear_drift_corrected,previous_primary_10_250nm,zeta_magnitude_mV,block_fixed_quadratic_within,17,-0.1257251362983247,0.23858125839854522,-0.6508389455074381,0.3993886729107887,0.6086775971934247,-1.8682056446584605,-9.301180267712352,6.173918159278267,0.950915569115033,6,6,11,1.2766246467757953,sequential_time_model_sensitivity_not_randomized_causal_effect
