block,baseline_method,distance_nm,speed_pairs_used_for_drift,drift_supported_pixels,common_drift_median_pN_per_min,common_drift_q25_pN_per_min,common_drift_q75_pN_per_min,absolute_center_adjustment_median_pN,absolute_center_adjustment_max_pN,claim_status
1,linear_drift_corrected,20.0,3,64,-20.743079818038623,-21.814862917112812,-19.17165890830444,11.52783259970704,20.244659669494695,linear common-drift sensitivity only; nonlinear relaxation remains
1,linear_drift_corrected,25.0,3,64,-18.181129668104873,-18.912380050845922,-17.061081251124925,10.150040498026897,16.015903276821746,linear common-drift sensitivity only; nonlinear relaxation remains
1,linear_drift_corrected,30.0,3,64,-15.295386718480954,-15.905960438136635,-14.507102690894644,8.601835621804582,12.87926832048936,linear common-drift sensitivity only; nonlinear relaxation remains
1,linear_drift_corrected,35.0,3,64,-12.782025221921984,-13.475024654396622,-12.321051904622273,7.1607792802047925,10.725022264975792,linear common-drift sensitivity only; nonlinear relaxation remains
1,linear_drift_corrected,40.0,3,64,-10.446594860273539,-10.865394827505703,-10.030651154499175,5.842585918600861,8.993331997798805,linear common-drift sensitivity only; nonlinear relaxation remains
1,linear_drift_corrected,45.0,3,64,-8.439006368777704,-8.798843417302551,-8.060490186941509,4.73025659672669,7.322715229294147,linear common-drift sensitivity only; nonlinear relaxation remains
1,linear_drift_corrected,50.0,3,64,-6.6728116050573725,-7.012918053130181,-6.329740752606401,3.7386346271465953,5.925825423761751,linear common-drift sensitivity only; nonlinear relaxation remains
1,linear_drift_corrected,55.0,3,64,-5.251440948356222,-5.568219880774761,-5.001253122866849,2.9418163597048306,4.755895335296117,linear common-drift sensitivity only; nonlinear relaxation remains
1,linear_drift_corrected,60.0,3,64,-4.122412137011973,-4.412798744866084,-3.8417104129883515,2.320524841968229,3.8337580631436907,linear common-drift sensitivity only; nonlinear relaxation remains
1,linear_drift_corrected,65.0,3,64,-3.2293940693491305,-3.4547977603398503,-3.0019541760192703,1.7957538484563784,3.0627794509825037,linear common-drift sensitivity only; nonlinear relaxation remains
1,linear_drift_corrected,70.0,3,64,-2.5056484726157278,-2.737626854301106,-2.2843536787166614,1.3887939588851417,2.5526868156929368,linear common-drift sensitivity only; nonlinear relaxation remains
1,linear_drift_corrected,75.0,3,64,-1.9440439033261672,-2.2096391034092693,-1.7420355423493188,1.0750421139667097,2.0223509667530664,linear common-drift sensitivity only; nonlinear relaxation remains
1,linear_drift_corrected,80.0,3,64,-1.5180293743820563,-1.7525247983214134,-1.3708728640139447,0.8263186764314607,1.6666224494727686,linear common-drift sensitivity only; nonlinear relaxation remains
1,linear_drift_corrected,85.0,3,64,-1.1865805643122318,-1.4182141874748029,-0.9962267097189381,0.6445022184217812,1.3140532914566379,linear common-drift sensitivity only; nonlinear relaxation remains
1,linear_drift_corrected,90.0,3,64,-0.9191405177133654,-1.147332336375306,-0.7427514520072367,0.4822782459079633,1.1346541675930943,linear common-drift sensitivity only; nonlinear relaxation remains
1,linear_drift_corrected,95.0,3,64,-0.7263054516725278,-0.9013964564254658,-0.5422395053696011,0.3387216316233912,1.0204213483007578,linear common-drift sensitivity only; nonlinear relaxation remains
1,linear_drift_corrected,100.0,3,64,-0.5944192355319279,-0.7324870533861543,-0.4176940234401427,0.2579091228962911,0.8574498199528637,linear common-drift sensitivity only; nonlinear relaxation remains
1,linear_drift_corrected,105.0,3,64,-0.46533188172090745,-0.639312208249477,-0.2738035229011306,0.18184187518732542,0.7484050098921209,linear common-drift sensitivity only; nonlinear relaxation remains
1,linear_drift_corrected,110.0,3,64,-0.3620656395025157,-0.5476710272340121,-0.19750153341699583,0.14132932544001342,0.6886964397055291,linear common-drift sensitivity only; nonlinear relaxation remains
1,linear_drift_corrected,115.0,3,64,-0.34463269620603,-0.4910885805193627,-0.15114644759569684,0.1112333477630717,0.6362168508132751,linear common-drift sensitivity only; nonlinear relaxation remains
1,linear_drift_corrected,120.0,3,64,-0.2547226401354488,-0.414993469017638,-0.11270420180507384,0.09207404967393673,0.5738739814991298,linear common-drift sensitivity only; nonlinear relaxation remains
1,linear_drift_corrected,125.0,3,64,-0.18903500846670754,-0.39368637023264696,-0.036955351447389574,0.07183417503495843,0.5544032208876217,linear common-drift sensitivity only; nonlinear relaxation remains
1,linear_drift_corrected,130.0,3,64,-0.17600400382226516,-0.38100419545749703,-0.03891212677613996,0.06883168463808742,0.5240324997340888,linear common-drift sensitivity only; nonlinear relaxation remains
1,linear_drift_corrected,135.0,3,64,-0.18826334716089604,-0.32252833315461643,-0.005388338063106508,0.06813513352271588,0.49048060340707567,linear common-drift sensitivity only; nonlinear relaxation remains
1,linear_drift_corrected,140.0,3,64,-0.16531304279808054,-0.3070693197979743,-0.0348078264934244,0.07136982629692001,0.46378494329138853,linear common-drift sensitivity only; nonlinear relaxation remains
1,linear_drift_corrected,145.0,3,64,-0.14442069843473498,-0.27042554823280723,-0.006954712442638447,0.06868460953614719,0.399831789157691,linear common-drift sensitivity only; nonlinear relaxation remains
1,linear_drift_corrected,150.0,3,64,-0.1326012773197539,-0.24504736717712136,0.04493698280309681,0.06227129233135051,0.3636326691240921,linear common-drift sensitivity only; nonlinear relaxation remains
1,linear_drift_corrected,155.0,3,64,-0.13549636790741632,-0.25792430626956564,0.031860230066444846,0.062309234273384195,0.34450959404700754,linear common-drift sensitivity only; nonlinear relaxation remains
1,linear_drift_corrected,160.0,3,64,-0.10395877432256226,-0.27876819785251156,0.01826627278488726,0.05797861880421884,0.3357435814778533,linear common-drift sensitivity only; nonlinear relaxation remains
1,linear_drift_corrected,165.0,3,64,-0.09369392081186353,-0.21086933808101077,0.032642383978885046,0.05799918400517812,0.31574945718355174,linear common-drift sensitivity only; nonlinear relaxation remains
1,linear_drift_corrected,170.0,3,64,-0.04038851880610271,-0.18817489725759787,0.07334761481556534,0.050282038636327075,0.2979388888269803,linear common-drift sensitivity only; nonlinear relaxation remains
1,linear_drift_corrected,175.0,3,64,-0.05783895996311278,-0.18583105140374687,0.05153843897864946,0.04315414872964174,0.26440284667844693,linear common-drift sensitivity only; nonlinear relaxation remains
1,linear_drift_corrected,180.0,3,64,-0.053379636622262,-0.15812139915868081,0.05669351555515524,0.044706297212434354,0.2869048431747352,linear common-drift sensitivity only; nonlinear relaxation remains
1,linear_drift_corrected,185.0,3,64,-0.040179735616207565,-0.15374158003730123,0.07229607718699406,0.04667414934610159,0.2488521054063053,linear common-drift sensitivity only; nonlinear relaxation remains
1,linear_drift_corrected,190.0,3,64,-0.012835271197256987,-0.17462442132385003,0.05103266454617776,0.03868774266589971,0.3218015207588232,linear common-drift sensitivity only; nonlinear relaxation remains
1,linear_drift_corrected,195.0,3,64,-0.03189821415666434,-0.14145010476735148,0.07387723999080695,0.037731234160313765,0.2972229488263807,linear common-drift sensitivity only; nonlinear relaxation remains
1,linear_drift_corrected,200.0,3,64,-0.016764302414432546,-0.12402764775426081,0.047244993796029165,0.033358501561493004,0.2562326263669412,linear common-drift sensitivity only; nonlinear relaxation remains
2,linear_drift_corrected,20.0,3,64,-6.142634542957385,-8.92901665691058,-2.706121350252547,0.7190063215591636,4.178763716265621,linear common-drift sensitivity only; nonlinear relaxation remains
2,linear_drift_corrected,25.0,3,64,-6.728644422587008,-9.253248875268218,-4.572090338904189,0.9568831711495704,3.732791258350744,linear common-drift sensitivity only; nonlinear relaxation remains
2,linear_drift_corrected,30.0,3,64,-6.8212378433637415,-8.375199102762348,-5.067514736236819,1.0657322868851224,3.3290617533157274,linear common-drift sensitivity only; nonlinear relaxation remains
2,linear_drift_corrected,35.0,3,64,-6.775526803367185,-8.227945797290161,-5.626294393504085,1.087243320099219,2.8487720421212543,linear common-drift sensitivity only; nonlinear relaxation remains
2,linear_drift_corrected,40.0,3,64,-6.601589223005446,-7.642201660457506,-5.622831706757576,1.0864636100689609,2.629879089037672,linear common-drift sensitivity only; nonlinear relaxation remains
2,linear_drift_corrected,45.0,3,64,-6.244622725036158,-7.279787163461302,-5.451501412234172,1.0752349731155846,2.428874522756473,linear common-drift sensitivity only; nonlinear relaxation remains
2,linear_drift_corrected,50.0,3,64,-5.895039133461459,-6.704386543219394,-5.20470369453286,0.998333786651699,2.1198834870173187,linear common-drift sensitivity only; nonlinear relaxation remains
2,linear_drift_corrected,55.0,3,64,-5.622083239367642,-6.153750766997986,-4.8059943236171945,0.9559434300062435,1.8591726555162609,linear common-drift sensitivity only; nonlinear relaxation remains
2,linear_drift_corrected,60.0,3,64,-4.987560701031884,-5.571195352558735,-4.3527134094325675,0.8764764225285546,1.6763594057279647,linear common-drift sensitivity only; nonlinear relaxation remains
2,linear_drift_corrected,65.0,3,64,-4.513334244472224,-4.978738846019767,-3.978429289505631,0.7830993746565582,1.556356721434753,linear common-drift sensitivity only; nonlinear relaxation remains
2,linear_drift_corrected,70.0,3,64,-4.022656918133744,-4.467790490741054,-3.475397275543597,0.6941177321709233,1.3156606585260135,linear common-drift sensitivity only; nonlinear relaxation remains
2,linear_drift_corrected,75.0,3,64,-3.539271002220693,-3.9866577063859117,-3.127824538988302,0.6203795501181375,1.1651647112304317,linear common-drift sensitivity only; nonlinear relaxation remains
2,linear_drift_corrected,80.0,3,64,-3.1763072473725336,-3.5946368726737083,-2.713124553105157,0.5310042624387421,1.0730444679434754,linear common-drift sensitivity only; nonlinear relaxation remains
2,linear_drift_corrected,85.0,3,64,-2.7621203972411585,-3.1499563472009986,-2.4001933157859408,0.4644228576515843,0.9679505866569258,linear common-drift sensitivity only; nonlinear relaxation remains
2,linear_drift_corrected,90.0,3,64,-2.438730516769117,-2.7481122455610603,-2.026044841332571,0.39751728906433215,0.8555677842256841,linear common-drift sensitivity only; nonlinear relaxation remains
