block,nominal_speed_um_per_s,actual_gap_speed_um_per_s,early_source,late_source,early_midpoint_epoch_s,late_midpoint_epoch_s,pair_center_epoch_s,pair_half_span_min,pair_center_offset_from_block_mean_min,block_pair_center_spread_min,time_semantics
1,0.05,0.049361446369162454,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map,1787833185.3845,1787834002.05475,1787833593.719625,6.80558541615804,0.7348458329836528,1.298579168319702,JPK map start plus half stored approach+retract protocol duration; XY and baseline overhead excluded
1,0.1,0.0984606522711514,27-08-26/0/map1-0.1-data-2026.08.27-14.04.47.122.jpk-force-map,27-08-26/0/map1-0.1-data-2026.08.27-14.40.56.507.jpk-force-map,1787832454.64475,1787834624.0795,1787833539.362125,18.078622915347417,-0.17111250162124633,1.298579168319702,JPK map start plus half stored approach+retract protocol duration; XY and baseline overhead excluded
1,0.2,0.1964655735477511,27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,27-08-26/0/map1-0.2-data-2026.08.27-14.47.23.611.jpk-force-map,1787832100.20225,1787834931.4075,1787833515.804875,23.593377083539963,-0.5637333353360494,1.298579168319702,JPK map start plus half stored approach+retract protocol duration; XY and baseline overhead excluded
2,0.05,0.047798948810220704,27-08-26/0/map2-0.05-data-2026.08.27-15.05.27.190.jpk-force-map,27-08-26/0/map2-0.05-data-2026.08.27-15.24.51.168.jpk-force-map,1787836254.24175,1787837418.131,1787836836.1863751,9.699077083667119,0.2442305604616801,0.4237875024477641,JPK map start plus half stored approach+retract protocol duration; XY and baseline overhead excluded
2,0.1,0.0960832561381874,27-08-26/0/map2-0.1-data-2026.08.27-14.58.45.160.jpk-force-map,27-08-26/0/map2-0.1-data-2026.08.27-15.36.15.070.jpk-force-map,1787835692.64,1787837942.66425,1787836817.652125,18.750202081600825,-0.06467361052831014,0.4237875024477641,JPK map start plus half stored approach+retract protocol duration; XY and baseline overhead excluded
2,0.2,0.19087118195358635,27-08-26/0/map2-0.2-data-2026.08.27-15.16.41.656.jpk-force-map,27-08-26/0/map2-0.2-data-2026.08.27-15.20.44.298.jpk-force-map,1787836689.437,1787836932.08125,1787836810.759125,2.0220354159673053,-0.179556941986084,0.4237875024477641,JPK map start plus half stored approach+retract protocol duration; XY and baseline overhead excluded
3,0.05,0.0480164083501808,27-08-26/0/map3-0.05-data-2026.08.27-15.48.41.060.jpk-force-map,27-08-26/0/map3-0.05-data-2026.08.27-16.29.39.734.jpk-force-map,1787838847.0895,1787841306.4865,1787840076.788,20.49497500061989,-2.6529319445292154,3.997920831044515,JPK map start plus half stored approach+retract protocol duration; XY and baseline overhead excluded
3,0.1,0.09559196661002485,27-08-26/0/map3-0.1-data-2026.08.27-16.12.38.424.jpk-force-map,27-08-26/0/map3-0.1-data-2026.08.27-16.18.55.666.jpk-force-map,1787840125.81825,1787840503.06275,1787840314.4405,3.1437041680018107,1.307943054040273,3.997920831044515,JPK map start plus half stored approach+retract protocol duration; XY and baseline overhead excluded
3,0.2,0.1916564195516221,27-08-26/0/map3-0.2-data-2026.08.27-16.09.07.348.jpk-force-map,27-08-26/0/map3-0.2-data-2026.08.27-16.25.10.504.jpk-force-map,1787839835.07925,1787840798.24725,1787840316.66325,8.026399999856949,1.3449888865152995,3.997920831044515,JPK map start plus half stored approach+retract protocol duration; XY and baseline overhead excluded
4,0.05,0.049255368531907304,27-08-26/0/map4-0.05-data-2026.08.27-16.56.56.658.jpk-force-map,27-08-26/0/map4-0.05-data-2026.08.27-17.08.28.590.jpk-force-map,1787842943.774,1787843635.6685,1787843289.72125,5.765787500143051,0.1380888859430949,0.29297083218892417,JPK map start plus half stored approach+retract protocol duration; XY and baseline overhead excluded
4,0.1,0.09849597192461851,27-08-26/0/map4-0.1-data-2026.08.27-16.50.32.826.jpk-force-map,27-08-26/0/map4-0.1-data-2026.08.27-17.19.56.860.jpk-force-map,1787842400.42875,1787844164.45825,1787843282.4435,14.700245833396911,0.016793052355448406,0.29297083218892417,JPK map start plus half stored approach+retract protocol duration; XY and baseline overhead excluded
4,0.2,0.19688992406912104,27-08-26/0/map4-0.2-data-2026.08.27-16.47.00.630.jpk-force-map,27-08-26/0/map4-0.2-data-2026.08.27-17.25.48.068.jpk-force-map,1787842108.4025,1787844435.8835,1787843272.1430001,19.395675001541772,-0.15488194624582927,0.29297083218892417,JPK map start plus half stored approach+retract protocol duration; XY and baseline overhead excluded
5,0.05,0.04992569032215695,27-08-26/0/map5-0.05-data-2026.08.27-17.38.13.338.jpk-force-map,27-08-26/0/map5-0.05-data-2026.08.27-17.57.18.559.jpk-force-map,1787845419.73575,1787846564.967,1787845992.351375,9.543593750397365,0.089453125,0.17890625,JPK map start plus half stored approach+retract protocol duration; XY and baseline overhead excluded
5,0.2,0.19974524002442057,27-08-26/0/map5-0.2-data-2026.08.27-17.49.29.094.jpk-force-map,27-08-26/0/map5-0.2-data-2026.08.27-17.53.38.834.jpk-force-map,1787845856.75475,1787846106.47925,1787845981.617,2.0810374995072682,-0.089453125,0.17890625,JPK map start plus half stored approach+retract protocol duration; XY and baseline overhead excluded
