test,blocks_planned,blocks_included,baseline_method,preprocessing,distance_nm,low_nominal_speed_um_per_s,high_nominal_speed_um_per_s,block_summary,low_block_values_pN,high_block_values_pN,block_differences_high_minus_low_pN,sample_count,mean_difference_pN,median_difference_pN,difference_sd_pN,mean_95CI_low_pN,mean_95CI_high_pN,paired_t_statistic,paired_t_df,paired_t_p_two_sided,cohen_dz,fraction_high_greater_than_low,exact_sign_nonzero_block_count,exact_sign_p_two_sided,fit_status,claim_status,paired_t_p_two_sided_holm_across_valid_contrasts_and_37_distances,paired_t_p_two_sided_bh_across_valid_contrasts_and_37_distances
map1_3_refresh_affected,"1,2,3","1,2,3",linear_drift_corrected,palindrome_mean,20.0,0.05,0.1,spatial_median_of_F_sym_pN,1723.61484879;2439.63424878;2375.54174494,1736.85981115;2293.60699358;2542.49561931,13.2449623598;-146.027255199;166.953874365,3,11.390527175344005,13.24496235976062,156.49880530915883,-377.3740569321925,400.1551112828805,0.1260646798786471,2.0,0.9112108778966054,0.07278347686324091,0.6666666666666666,3,1.0,block_level_paired_t; n3_low_power,block is the experimental replicate; Test A includes the refresh boundary and Test B has only two blocks for contrasts involving 0.1 um/s,1.0,0.9541925230804076
map1_3_refresh_affected,"1,2,3","1,2,3",linear_drift_corrected,palindrome_mean,25.0,0.05,0.1,spatial_median_of_F_sym_pN,1184.29802171;1875.51355328;1797.37849563,1207.6254583;1749.47024784;1929.90056213,23.3274365908;-126.043305438;132.522066502,3,9.935399218209417,23.32743659075868,129.8018601192708,-312.5102965554165,332.3810949918353,0.13257603722786687,2.0,0.9066638165730416,0.07654281078160279,0.6666666666666666,3,1.0,block_level_paired_t; n3_low_power,block is the experimental replicate; Test A includes the refresh boundary and Test B has only two blocks for contrasts involving 0.1 um/s,1.0,0.9541925230804076
map1_3_refresh_affected,"1,2,3","1,2,3",linear_drift_corrected,palindrome_mean,30.0,0.05,0.1,spatial_median_of_F_sym_pN,810.417422444;1459.26583435;1383.42681752,846.266850858;1360.15951885;1492.29937912,35.8494284135;-99.106315497;108.872561601,3,15.205224839096559,35.84942841354871,105.51512064928048,-246.90886552241886,277.319315200612,0.2495966625424423,2.0,0.8261947016132966,0.14410470030771125,0.6666666666666666,3,1.0,block_level_paired_t; n3_low_power,block is the experimental replicate; Test A includes the refresh boundary and Test B has only two blocks for contrasts involving 0.1 um/s,1.0,0.9235458279722724
map1_3_refresh_affected,"1,2,3","1,2,3",linear_drift_corrected,palindrome_mean,35.0,0.05,0.1,spatial_median_of_F_sym_pN,563.314496839;1147.8955589;1083.85191614,601.225025399;1067.90761173;1163.96824985,37.91052856;-79.9879471782;80.1163337074,3,12.679638363050193,37.91052855998646,82.98068181553379,-193.45580267911762,218.81507940521803,0.264661333046449,2.0,0.8160496844381758,0.15280229187845254,0.6666666666666666,3,1.0,block_level_paired_t; n3_low_power,block is the experimental replicate; Test A includes the refresh boundary and Test B has only two blocks for contrasts involving 0.1 um/s,1.0,0.9235458279722724
map1_3_refresh_affected,"1,2,3","1,2,3",linear_drift_corrected,palindrome_mean,40.0,0.05,0.1,spatial_median_of_F_sym_pN,394.050887994;904.768044101;850.83499115,422.001262004;843.474020755;916.45879327,27.9503740097;-61.2940233461;65.62380212,3,10.760050927842713,27.950374009681127,65.18177667879006,-151.16045863682126,172.6805604925067,0.2859227816218244,2.0,0.8018316551956677,0.1650775949368069,0.6666666666666666,3,1.0,block_level_paired_t; n3_low_power,block is the experimental replicate; Test A includes the refresh boundary and Test B has only two blocks for contrasts involving 0.1 um/s,1.0,0.9235458279722724
map1_3_refresh_affected,"1,2,3","1,2,3",linear_drift_corrected,palindrome_mean,45.0,0.05,0.1,spatial_median_of_F_sym_pN,274.878735989;718.160335823;673.774359836,302.372123202;665.233917733;723.900511911,27.4933872127;-52.9264180902;50.1261520749,3,8.23104039915294,27.49338721273648,54.15936260685947,-126.30827469524006,142.77035549354594,0.26323389870691094,2.0,0.8170084997389517,0.1519781622782697,0.6666666666666666,3,1.0,block_level_paired_t; n3_low_power,block is the experimental replicate; Test A includes the refresh boundary and Test B has only two blocks for contrasts involving 0.1 um/s,1.0,0.9235458279722724
map1_3_refresh_affected,"1,2,3","1,2,3",linear_drift_corrected,palindrome_mean,50.0,0.05,0.1,spatial_median_of_F_sym_pN,188.448287828;570.818940253;531.744514394,219.251720542;528.864844176;572.385089111,30.8034327136;-41.9540960769;40.6405747167,3,9.829970451118177,30.80343271355119,45.115235789394774,-102.24248814643671,121.90242904867306,0.3773893222617211,2.0,0.7421678752785319,0.21788582679709512,0.6666666666666666,3,1.0,block_level_paired_t; n3_low_power,block is the experimental replicate; Test A includes the refresh boundary and Test B has only two blocks for contrasts involving 0.1 um/s,1.0,0.9235458279722724
map1_3_refresh_affected,"1,2,3","1,2,3",linear_drift_corrected,palindrome_mean,55.0,0.05,0.1,spatial_median_of_F_sym_pN,129.263277038;454.418121482;423.946871904,154.842333244;418.949267257;449.459582575,25.5790562059;-35.468854225;25.5127106705,3,5.207637550441272,25.512710670488445,35.22689083360549,-82.30081043594569,92.71608553682825,0.2560513463244132,2.0,0.8218409388736727,0.14783131372676606,0.6666666666666666,3,1.0,block_level_paired_t; n3_low_power,block is the experimental replicate; Test A includes the refresh boundary and Test B has only two blocks for contrasts involving 0.1 um/s,1.0,0.9235458279722724
map1_3_refresh_affected,"1,2,3","1,2,3",linear_drift_corrected,palindrome_mean,60.0,0.05,0.1,spatial_median_of_F_sym_pN,91.0189440039;362.434154247;337.558430949,112.752418689;332.954427758;359.458432775,21.7334746846;-29.4797264893;21.9000018255,3,4.717916673611981,21.733474684585914,29.61614477348588,-68.85266543395001,78.28849878117397,0.27591948402035316,2.0,0.8085061045416158,0.15930218837381355,0.6666666666666666,3,1.0,block_level_paired_t; n3_low_power,block is the experimental replicate; Test A includes the refresh boundary and Test B has only two blocks for contrasts involving 0.1 um/s,1.0,0.9235458279722724
map1_3_refresh_affected,"1,2,3","1,2,3",linear_drift_corrected,palindrome_mean,65.0,0.05,0.1,spatial_median_of_F_sym_pN,63.8875445055;289.096350627;268.669018471,83.6520620862;266.114657241;283.715229926,19.7645175807;-22.9816933853;15.0462114552,3,3.9430118835239605,15.046211455152218,23.43651890817313,-54.276528567697106,62.16255233474502,0.2914040666137355,2.0,0.7981859988936241,0.16824221630239186,0.6666666666666666,3,1.0,block_level_paired_t; n3_low_power,block is the experimental replicate; Test A includes the refresh boundary and Test B has only two blocks for contrasts involving 0.1 um/s,1.0,0.9235458279722724
map1_3_refresh_affected,"1,2,3","1,2,3",linear_drift_corrected,palindrome_mean,70.0,0.05,0.1,spatial_median_of_F_sym_pN,45.2485224579;231.206238772;215.443442141,61.078163395;212.48337165;226.778877246,15.8296409372;-18.7228671224;11.3354351051,3,2.814069639939293,11.33543510509557,18.78641012394667,-43.8539602167865,49.48209949666508,0.2594488015674148,2.0,0.8195534929808118,0.14979283542587274,0.6666666666666666,3,1.0,block_level_paired_t; n3_low_power,block is the experimental replicate; Test A includes the refresh boundary and Test B has only two blocks for contrasts involving 0.1 um/s,1.0,0.9235458279722724
map1_3_refresh_affected,"1,2,3","1,2,3",linear_drift_corrected,palindrome_mean,75.0,0.05,0.1,spatial_median_of_F_sym_pN,33.551849647;184.947128486;172.773416612,45.4354750024;170.094346846;179.02823006,11.8836253554;-14.8527816401;6.25481344778,3,1.0952190543438718,6.254813447776854,14.095209309767094,-33.919221946628994,36.10966005531674,0.13458296403066825,2.0,0.9052634871619392,0.07770151051144404,0.6666666666666666,3,1.0,block_level_paired_t; n3_low_power,block is the experimental replicate; Test A includes the refresh boundary and Test B has only two blocks for contrasts involving 0.1 um/s,1.0,0.9541925230804076
map1_3_refresh_affected,"1,2,3","1,2,3",linear_drift_corrected,palindrome_mean,80.0,0.05,0.1,spatial_median_of_F_sym_pN,25.5420567791;146.898110847;137.657649668,34.7850549542;136.553772936;142.620934396,9.24299817514;-10.3443379118;4.96328472787,3,1.2873149970819189,4.963284727865869,10.29808228950603,-24.294539576671173,26.86916957083501,0.21651555285816387,2.0,0.8486637338123584,0.12500531272640159,0.6666666666666666,3,1.0,block_level_paired_t; n3_low_power,block is the experimental replicate; Test A includes the refresh boundary and Test B has only two blocks for contrasts involving 0.1 um/s,1.0,0.9235458279722724
map1_3_refresh_affected,"1,2,3","1,2,3",linear_drift_corrected,palindrome_mean,85.0,0.05,0.1,spatial_median_of_F_sym_pN,19.2002020093;116.928570991;110.513804878,28.0384403471;110.832045635;114.059193961,8.83823833778;-6.09652535584;3.54538908287,3,2.095700688271388,3.545389082873399,7.572185218092093,-16.71465017211647,20.90605154865925,0.4793675755408553,2.0,0.678976848017111,0.27676299877929106,0.6666666666666666,3,1.0,block_level_paired_t; n3_low_power,block is the experimental replicate; Test A includes the refresh boundary and Test B has only two blocks for contrasts involving 0.1 um/s,1.0,0.9235458279722724
map1_3_refresh_affected,"1,2,3","1,2,3",linear_drift_corrected,palindrome_mean,90.0,0.05,0.1,spatial_median_of_F_sym_pN,16.0867478711;94.3200054436;89.7505500601,22.3126973032;89.3479048841;91.4468991469,6.22594943215;-4.97210055949;1.69634908677,3,0.9833993198113097,1.6963490867673698,5.632965820195292,-13.009663502963036,14.976462142585657,0.30238024522272194,2.0,0.7909109196866269,0.17457931597696358,0.6666666666666666,3,1.0,block_level_paired_t; n3_low_power,block is the experimental replicate; Test A includes the refresh boundary and Test B has only two blocks for contrasts involving 0.1 um/s,1.0,0.9235458279722724
map1_3_refresh_affected,"1,2,3","1,2,3",linear_drift_corrected,palindrome_mean,95.0,0.05,0.1,spatial_median_of_F_sym_pN,13.2328921446;76.3951698639;70.7177871247,17.5448775072;72.3164366532;73.9854625693,4.31198536261;-4.07873321072;3.26767544461,3,1.1669758654994997,3.2676754446065956,4.5728266515821865,-10.192555268852024,12.526506999851025,0.44201576929500414,2.0,0.7016794881808093,0.25519792338853015,0.6666666666666666,3,1.0,block_level_paired_t; n3_low_power,block is the experimental replicate; Test A includes the refresh boundary and Test B has only two blocks for contrasts involving 0.1 um/s,1.0,0.9235458279722724
map1_3_refresh_affected,"1,2,3","1,2,3",linear_drift_corrected,palindrome_mean,100.0,0.05,0.1,spatial_median_of_F_sym_pN,11.3302443261;60.9916331938;58.5916609707,13.765234704;59.3280151635;59.5563767619,2.43499037793;-1.6636180303;0.964715791184,3,0.5786960462704466,0.9647157911841759,2.076392581762808,-4.579349070421255,5.736741162962149,0.48272709269105946,2.0,0.6769610887075743,0.2787026169103086,0.6666666666666666,3,1.0,block_level_paired_t; n3_low_power,block is the experimental replicate; Test A includes the refresh boundary and Test B has only two blocks for contrasts involving 0.1 um/s,1.0,0.9235458279722724
map1_3_refresh_affected,"1,2,3","1,2,3",linear_drift_corrected,palindrome_mean,105.0,0.05,0.1,spatial_median_of_F_sym_pN,10.8271402764;48.1983476537;47.2663553357,13.1748833977;49.6712151411;47.4358351187,2.34774312127;1.4728674874;0.16947978302,3,1.3300301305626128,1.4728674873969325,1.0961339678946806,-1.3929175961813451,4.052977857306571,2.101640701963226,2.0,0.17034783607007234,1.2133828250183425,1.0,3,0.25,block_level_paired_t; n3_low_power,block is the experimental replicate; Test A includes the refresh boundary and Test B has only two blocks for contrasts involving 0.1 um/s,1.0,0.7224478106108049
map1_3_refresh_affected,"1,2,3","1,2,3",linear_drift_corrected,palindrome_mean,110.0,0.05,0.1,spatial_median_of_F_sym_pN,8.68351347254;39.6026103711;37.861353183,11.2575462047;40.2892735116;38.5300919644,2.57403273213;0.686663140564;0.668738781355,3,1.309811551348479,0.6866631405635601,1.0948843391469452,-1.4100319254975802,4.029655028194538,2.072054621809417,2.0,0.17404159958816753,1.1963012936772752,1.0,3,0.25,block_level_paired_t; n3_low_power,block is the experimental replicate; Test A includes the refresh boundary and Test B has only two blocks for contrasts involving 0.1 um/s,1.0,0.7224478106108049
map1_3_refresh_affected,"1,2,3","1,2,3",linear_drift_corrected,palindrome_mean,115.0,0.05,0.1,spatial_median_of_F_sym_pN,8.02225562836;31.7661641211;31.2177833013,9.35245349862;33.5174956382;32.3389208221,1.33019787026;1.75133151718;1.12113752082,3,1.4008889694198583,1.330197870257491,0.3209891616340523,0.6035076879514683,2.1982702508882483,7.559167600693813,2.0,0.017054161487491507,4.364287449110071,1.0,3,0.25,block_level_paired_t; n3_low_power,block is the experimental replicate; Test A includes the refresh boundary and Test B has only two blocks for contrasts involving 0.1 um/s,1.0,0.6310039750371857
map1_3_refresh_affected,"1,2,3","1,2,3",linear_drift_corrected,palindrome_mean,120.0,0.05,0.1,spatial_median_of_F_sym_pN,8.65761039289;26.1228183519;26.3869430496,8.20479595656;27.082773245;25.4610747318,-0.452814436328;0.959954893084;-0.925868317789,3,-0.1395759536779219,-0.4528144363283779,0.981158017817194,-2.5769075868936113,2.297755679537768,-0.24639521758470032,2.0,0.8283579190208343,-0.14225634519956315,0.3333333333333333,3,1.0,block_level_paired_t; n3_low_power,block is the experimental replicate; Test A includes the refresh boundary and Test B has only two blocks for contrasts involving 0.1 um/s,1.0,0.9235458279722724
map1_3_refresh_affected,"1,2,3","1,2,3",linear_drift_corrected,palindrome_mean,125.0,0.05,0.1,spatial_median_of_F_sym_pN,6.61363673908;21.2205046954;21.1639971086,8.30319465603;23.1825025214;21.3632038597,1.68955791695;1.961997826;0.199206751102,3,1.2835874980181572,1.6895579169510562,0.9489294384848477,-1.073683905882906,3.6408589019192203,2.342891549531334,2.0,0.14387695448965426,1.3526690668040153,1.0,3,0.25,block_level_paired_t; n3_low_power,block is the experimental replicate; Test A includes the refresh boundary and Test B has only two blocks for contrasts involving 0.1 um/s,1.0,0.7224478106108049
map1_3_refresh_affected,"1,2,3","1,2,3",linear_drift_corrected,palindrome_mean,130.0,0.05,0.1,spatial_median_of_F_sym_pN,7.39201481809;17.947430098;18.45953992,7.04628896614;20.2115689068;17.6303431677,-0.345725851955;2.26413880881;-0.8291967523,3,0.36307206818593823,-0.34572585195513383,1.6640243664409236,-3.770593613710185,4.496737750082062,0.3779146998022535,2.0,0.7418328454725945,0.2181891536615477,0.3333333333333333,3,1.0,block_level_paired_t; n3_low_power,block is the experimental replicate; Test A includes the refresh boundary and Test B has only two blocks for contrasts involving 0.1 um/s,1.0,0.9235458279722724
map1_3_refresh_affected,"1,2,3","1,2,3",linear_drift_corrected,palindrome_mean,135.0,0.05,0.1,spatial_median_of_F_sym_pN,6.57798756669;14.968224746;14.4966178308,6.86584396139;17.8920799068;15.3440695607,0.287856394708;2.92385516079;0.847451729906,3,1.3530544284689794,0.8474517299060693,1.3888297016900135,-2.0969898086553904,4.803098665593349,1.6874344008214646,2.0,0.23357280231596592,0.9742407055541075,1.0,3,0.25,block_level_paired_t; n3_low_power,block is the experimental replicate; Test A includes the refresh boundary and Test B has only two blocks for contrasts involving 0.1 um/s,1.0,0.7224478106108049
map1_3_refresh_affected,"1,2,3","1,2,3",linear_drift_corrected,palindrome_mean,140.0,0.05,0.1,spatial_median_of_F_sym_pN,6.06094847945;13.031570771;11.7302021744,8.17456863755;15.7394088933;12.5783444713,2.11362015811;2.70783812236;0.848142296826,3,1.8898668590967869,2.113620158105478,0.9498243495453033,-0.46962762711818873,4.249361345311763,3.4462639550810126,2.0,0.07486547967878175,1.9897014221645273,1.0,3,0.25,block_level_paired_t; n3_low_power,block is the experimental replicate; Test A includes the refresh boundary and Test B has only two blocks for contrasts involving 0.1 um/s,1.0,0.7224478106108049
map1_3_refresh_affected,"1,2,3","1,2,3",linear_drift_corrected,palindrome_mean,145.0,0.05,0.1,spatial_median_of_F_sym_pN,6.69207391265;11.1997451323;10.2597489426,7.39960749703;12.564906449;10.3896702533,0.707533584376;1.36516131666;0.129921310748,3,0.7342054039293758,0.7075335843756747,0.6180517838520723,-0.8011203401330943,2.269531147991846,2.0575639388522173,2.0,0.17589045996987193,1.1879350939711943,1.0,3,0.25,block_level_paired_t; n3_low_power,block is the experimental replicate; Test A includes the refresh boundary and Test B has only two blocks for contrasts involving 0.1 um/s,1.0,0.7224478106108049
map1_3_refresh_affected,"1,2,3","1,2,3",linear_drift_corrected,palindrome_mean,150.0,0.05,0.1,spatial_median_of_F_sym_pN,7.66808882852;8.96243889192;8.48611040067,6.88754129381;10.6959102331;8.65889803765,-0.780547534711;1.73347134115;0.172787636987,3,0.37523714780996453,0.17278763698739397,1.2691777182001778,-2.77757508484526,3.528049380465189,0.5120873109998789,2.0,0.6595327772005611,0.29565374685437174,0.6666666666666666,3,1.0,block_level_paired_t; n3_low_power,block is the experimental replicate; Test A includes the refresh boundary and Test B has only two blocks for contrasts involving 0.1 um/s,1.0,0.9235458279722724
map1_3_refresh_affected,"1,2,3","1,2,3",linear_drift_corrected,palindrome_mean,155.0,0.05,0.1,spatial_median_of_F_sym_pN,6.97272822698;6.70082847403;7.55139910909,5.01941906376;10.8534688732;8.04015005032,-1.95330916322;4.15264039913;0.488750941231,3,0.8960273923810332,0.48875094123139284,3.0732817305345006,-6.738427653178426,8.530482437940492,0.5049862344730395,2.0,0.6637167793763761,0.29155393841006483,0.6666666666666666,3,1.0,block_level_paired_t; n3_low_power,block is the experimental replicate; Test A includes the refresh boundary and Test B has only two blocks for contrasts involving 0.1 um/s,1.0,0.9235458279722724
map1_3_refresh_affected,"1,2,3","1,2,3",linear_drift_corrected,palindrome_mean,160.0,0.05,0.1,spatial_median_of_F_sym_pN,6.67744432007;6.06746490511;5.95515648083,5.85337076728;9.17049433617;6.24776429639,-0.824073552788;3.10302943105;0.29260781556,3,0.857187897942486,0.2926078155602365,2.0235111720701653,-4.16949251468283,5.883868310567802,0.7337211730591173,2.0,0.5394724916896703,0.4236141167758094,0.6666666666666666,3,1.0,block_level_paired_t; n3_low_power,block is the experimental replicate; Test A includes the refresh boundary and Test B has only two blocks for contrasts involving 0.1 um/s,1.0,0.9072946451144455
map1_3_refresh_affected,"1,2,3","1,2,3",linear_drift_corrected,palindrome_mean,165.0,0.05,0.1,spatial_median_of_F_sym_pN,6.32519308772;6.63969679133;5.01434762381,5.76973190486;7.14558885886;5.8649021073,-0.555461182867;0.505892067525;0.850554483488,3,0.26699512271529563,0.5058920675248331,0.7328190951309392,-1.5534284273676637,2.087418672798255,0.6310549506537483,2.0,0.5925055194119317,0.36433974563338756,0.6666666666666666,3,1.0,block_level_paired_t; n3_low_power,block is the experimental replicate; Test A includes the refresh boundary and Test B has only two blocks for contrasts involving 0.1 um/s,1.0,0.9235458279722724
map1_3_refresh_affected,"1,2,3","1,2,3",linear_drift_corrected,palindrome_mean,170.0,0.05,0.1,spatial_median_of_F_sym_pN,6.72998978445;5.60824450047;4.30246781893,5.44606915556;7.3771669709;4.91558405378,-1.2839206289;1.76892247042;0.613116234849,3,0.36603935879210575,0.6131162348492953,1.5413461597825815,-3.462876763537906,4.1949554811221175,0.41132795704197367,2.0,0.7207203041681602,0.23748030672340234,0.6666666666666666,3,1.0,block_level_paired_t; n3_low_power,block is the experimental replicate; Test A includes the refresh boundary and Test B has only two blocks for contrasts involving 0.1 um/s,1.0,0.9235458279722724
map1_3_refresh_affected,"1,2,3","1,2,3",linear_drift_corrected,palindrome_mean,175.0,0.05,0.1,spatial_median_of_F_sym_pN,5.57925565442;5.21479602049;4.14198268878,5.36874886657;7.31128248081;5.01600806219,-0.210506787858;2.09648646032;0.874025373408,3,0.9200016819550166,0.8740253734077399,1.1541836194863524,-1.9471493734599936,3.7871527373700267,1.380620578295908,2.0,0.3014428682921074,0.7971016625278792,0.6666666666666666,3,1.0,block_level_paired_t; n3_low_power,block is the experimental replicate; Test A includes the refresh boundary and Test B has only two blocks for contrasts involving 0.1 um/s,1.0,0.7346920558442717
map1_3_refresh_affected,"1,2,3","1,2,3",linear_drift_corrected,palindrome_mean,180.0,0.05,0.1,spatial_median_of_F_sym_pN,4.57997699469;4.86166589787;3.60021968574,5.14919161272;6.95605063052;3.92411354264,0.569214618031;2.09438473265;0.323893856897,3,0.9958310691937095,0.569214618031018,0.9592500625935879,-1.387078186264357,3.3787403246517758,1.7981025749798816,2.0,0.21398303028685373,1.038135005695194,1.0,3,0.25,block_level_paired_t; n3_low_power,block is the experimental replicate; Test A includes the refresh boundary and Test B has only two blocks for contrasts involving 0.1 um/s,1.0,0.7224478106108049
map1_3_refresh_affected,"1,2,3","1,2,3",linear_drift_corrected,palindrome_mean,185.0,0.05,0.1,spatial_median_of_F_sym_pN,3.31382341624;4.30081793216;3.40775337243,4.74244502482;4.74951145274;4.02280436526,1.42862160858;0.448693520582;0.615050992839,3,0.8307887073319948,0.6150509928388956,0.5243775696008776,-0.47183738849338597,2.1334148031573754,2.7441453160338938,2.0,0.11109969313667332,1.5843330369076192,1.0,3,0.25,block_level_paired_t; n3_low_power,block is the experimental replicate; Test A includes the refresh boundary and Test B has only two blocks for contrasts involving 0.1 um/s,1.0,0.7224478106108049
