test,preprocessing,baseline_method,distance_nm,block,contrast,pixel_mean_difference_pN,pixel_paired_t_p,pixel_holm_p_across_37_distances,tile_mean_difference_pN,tile_paired_t_p,tile_holm_p_across_37_distances,experimental_block_count,experimental_mean_of_block_median_differences_pN,experimental_paired_t_p,experimental_holm_p,interpretation
map3_5_no_refresh,palindrome_mean,linear_drift_corrected,20.0,3,0.2_minus_0.05_um_per_s,57.70475155101646,0.007157984356618532,0.20042356198531888,57.70475155101646,0.046075699435056267,1.0,3,-13.917426983814948,0.7571863103418519,1.0,pixel/tile tests are conditional within measured area; block test is the experimental-unit inference
map3_5_no_refresh,palindrome_mean,linear_drift_corrected,20.0,4,0.2_minus_0.05_um_per_s,-75.25008677007703,4.1855674088953043e-07,1.5486599412912626e-05,-75.25008677007703,0.0012211906365125805,0.041520481641427735,3,-13.917426983814948,0.7571863103418519,1.0,pixel/tile tests are conditional within measured area; block test is the experimental-unit inference
map3_5_no_refresh,palindrome_mean,linear_drift_corrected,20.0,5,0.2_minus_0.05_um_per_s,7.366326426930746,0.7275324620219008,1.0,5.16393912945443,0.8149846516530639,1.0,3,-13.917426983814948,0.7571863103418519,1.0,pixel/tile tests are conditional within measured area; block test is the experimental-unit inference
map3_5_no_refresh,palindrome_mean,linear_drift_corrected,50.0,3,0.2_minus_0.05_um_per_s,19.710434974434758,4.330500449985585e-05,0.0016022851664946665,19.710434974434758,0.003052074480308006,0.11292675577139623,3,8.57690853636244,0.3379487999076667,1.0,pixel/tile tests are conditional within measured area; block test is the experimental-unit inference
map3_5_no_refresh,palindrome_mean,linear_drift_corrected,50.0,4,0.2_minus_0.05_um_per_s,9.93066131503843,0.006581347235769778,0.177696375365784,9.93066131503843,0.07636795842440833,1.0,3,8.57690853636244,0.3379487999076667,1.0,pixel/tile tests are conditional within measured area; block test is the experimental-unit inference
map3_5_no_refresh,palindrome_mean,linear_drift_corrected,50.0,5,0.2_minus_0.05_um_per_s,-5.506892976466869,0.0029831576453373653,0.10739367523214516,-5.506892976466869,0.007273950500868564,0.2618622180312683,3,8.57690853636244,0.3379487999076667,1.0,pixel/tile tests are conditional within measured area; block test is the experimental-unit inference
map3_5_no_refresh,palindrome_mean,linear_drift_corrected,100.0,3,0.2_minus_0.05_um_per_s,0.41927006736286754,0.7318004651767576,1.0,0.4192700673628674,0.7591436681947337,1.0,3,0.9177841867390946,0.405280739746568,1.0,pixel/tile tests are conditional within measured area; block test is the experimental-unit inference
map3_5_no_refresh,palindrome_mean,linear_drift_corrected,100.0,4,0.2_minus_0.05_um_per_s,3.64818795599406,0.0780683056442255,1.0,3.6481879559940595,0.05302896854552719,1.0,3,0.9177841867390946,0.405280739746568,1.0,pixel/tile tests are conditional within measured area; block test is the experimental-unit inference
map3_5_no_refresh,palindrome_mean,linear_drift_corrected,100.0,5,0.2_minus_0.05_um_per_s,-0.4234102171865657,0.7916272030244457,1.0,-0.4234102171865658,0.749498030621403,1.0,3,0.9177841867390946,0.405280739746568,1.0,pixel/tile tests are conditional within measured area; block test is the experimental-unit inference
map3_5_no_refresh,palindrome_mean,linear_drift_corrected,200.0,3,0.2_minus_0.05_um_per_s,0.24376208235418262,0.68347966738288,1.0,0.24376208235418262,0.6636067811179056,1.0,3,0.15796798374457843,0.43959333123138267,1.0,pixel/tile tests are conditional within measured area; block test is the experimental-unit inference
