source,acquisition_order,block,nominal_speed_um_per_s,distance_nm,linear_drift_corrected_force_pN,far_constant_referenced_force_pN,linear_minus_constant_pN
27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,1,1,0.2,20.0,2283.3912604931525,2271.614912974724,11.776347518428338
27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,1,1,0.2,50.0,405.10899836878775,406.39748686912685,-1.2884885003390991
27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,1,1,0.2,100.0,32.64878689652906,31.188836288030476,1.459950608498584
27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,1,1,0.2,200.0,4.331089835333705,2.535657371665945,1.7954324636677597
27-08-26/0/map1-0.1-data-2026.08.27-14.04.47.122.jpk-force-map,2,1,0.1,20.0,2129.3328317404985,2136.046925115515,-6.714093375016546
27-08-26/0/map1-0.1-data-2026.08.27-14.04.47.122.jpk-force-map,2,1,0.1,50.0,330.56665494626924,338.78741606639085,-8.220761120121608
27-08-26/0/map1-0.1-data-2026.08.27-14.04.47.122.jpk-force-map,2,1,0.1,100.0,23.800435075427885,26.81564895219428,-3.0152138767663956
27-08-26/0/map1-0.1-data-2026.08.27-14.04.47.122.jpk-force-map,2,1,0.1,200.0,4.73341287694026,6.171818287475343,-1.4384054105350828
27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,3,1,0.05,20.0,1842.1209370583456,1850.380475664225,-8.25953860587947
27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,3,1,0.05,50.0,225.9779360136426,234.53185051823084,-8.55391450458825
27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,3,1,0.05,100.0,13.443680269660565,19.64554541121504,-6.2018651415544745
27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,3,1,0.05,200.0,3.2273405443238454,6.3950926806240425,-3.167752136300197
27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map,4,1,0.05,20.0,1620.639725331341,1623.9095338902803,-3.269808558939303
27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map,4,1,0.05,50.0,156.2968452085014,162.70232365269413,-6.405478444192738
27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map,4,1,0.05,100.0,7.550951011447434,14.340230837080627,-6.789279825633193
27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map,4,1,0.05,200.0,2.0739022546093606,6.053102064498273,-3.9791998098889128
27-08-26/0/map1-0.1-data-2026.08.27-14.40.56.507.jpk-force-map,5,1,0.1,20.0,1375.3157330974263,1385.823798321829,-10.508065224402571
