cantilever,file,sha256,contact_span_nm,contact_actual_span_nm,contact_points,slope_V_per_m,sensitivity_nm_per_V,r_squared,stored_sensitivity_nm_per_V,stored_spring_constant_N_per_m,sensitivity_30nm_nm_per_V,sensitivity_40nm_nm_per_V
D4,27-08-26/calibration/D4/force-save-2026.08.27-11.24.27.585.jpk-force,2c8640e990aa9c897f58b766ca385109ba8c5d22f128a0c2a254c0195ad960e4,35.0,34.945725381340196,36,-14049088.487767387,71.17899505513864,0.9957829230630546,70.11239481485714,0.17763893140867215,69.98597948781448,72.047953215418
D4,27-08-26/calibration/D4/force-save-2026.08.27-11.24.35.577.jpk-force,5bafa7c8bd02f5bb80c8948f86ac83b717dd249a76121918cea4935fb3feb74c,35.0,34.09699202652856,35,-14770271.809494847,67.70356110556916,0.9972163144661975,70.11239481485714,0.17763893140867215,66.31039999515336,68.79488069297645
D4,27-08-26/calibration/D4/force-save-2026.08.27-11.24.50.864.jpk-force,b1e280482f5284b9de5cacc48610633d53b14f73100f2f9e83f92536f03546f8,35.0,34.964394893663695,36,-13885632.349008027,72.01688586198516,0.9974215893345248,70.11239481485714,0.17763893140867215,73.29514127700305,71.9585447005209
D4,27-08-26/calibration/D4/force-save-2026.08.27-11.27.39.861.jpk-force,666bf6093592b563ae382e7c6e9acb3330175dec5966cf6da20b84c7c2c6ff00,35.0,34.75898466710912,36,-13167058.504787162,75.94710691354709,0.9976489392832043,70.11239481485714,0.17763893140867215,74.72212440728134,77.35567853845163
D4,27-08-26/calibration/D4/force-save-2026.08.27-11.27.55.185.jpk-force,45b9d9d0a929941039237e8ff79cf496ef0ab4ca399d4003f48ca28aef6a6864,35.0,34.067574437207625,35,-12992758.868892811,76.9659477321783,0.9975106219045422,70.11239481485714,0.17763893140867215,75.99714758585179,75.69969900428465
D5,27-08-26/calibration/D5/force-save-2026.08.27-11.11.53.516.jpk-force,d2c9e8e49d6625c4b0b8a4cab00c87278b64881946154ba53fcaa4eb2f93714a,35.0,34.08904779570444,35,-12617267.532238042,79.25646321162066,0.9979211351634097,75.52966328633882,0.3482520814195991,75.81446467789335,81.43457918912638
D5,27-08-26/calibration/D5/force-save-2026.08.27-11.11.59.371.jpk-force,0925f231897c81f884243e329467ee6a9b79943c2b2bb5ade45cc699092cad24,35.0,34.988204790637994,36,-13247373.138835045,75.48666362151995,0.9941096568324045,75.52966328633882,0.3482520814195991,72.171088967105,77.4694892832567
D5,27-08-26/calibration/D5/force-save-2026.08.27-11.12.08.661.jpk-force,199c089897db9be42a96fde5c491a7fa53598232f50020799d124dac1db06512,35.0,33.966271247016145,35,-12296860.110814579,81.3215724167295,0.997085398311045,75.52966328633882,0.3482520814195991,80.34966544871973,85.3166437980443
D5,27-08-26/calibration/D5/force-save-2026.08.27-11.12.14.793.jpk-force,62ce27b40f8bec818e60b114bb0969f1de87a5193a7778beb63126ad36d09385,35.0,34.98027195756375,36,-12307600.653650036,81.25060506439428,0.9986686538062921,75.52966328633882,0.3482520814195991,80.02891625834326,81.88838404159023
D5,27-08-26/calibration/D5/force-save-2026.08.27-11.12.20.722.jpk-force,1c331b2b3fe4b802261786e70bda262f8fa5d286530692ccdf302e937566b0ec,35.0,34.05170877105575,35,-12170343.07112801,82.16695241503285,0.9988874178684213,75.52966328633882,0.3482520814195991,80.41659472794501,83.92789273909239
D6,27-08-26/calibration/D6/force-save-2026.08.27-10.59.54.339.jpk-force,07175581480c2542bd1da00e64b2d4e701c3562ac371df21393a55c0158a2142,35.0,34.91304803589999,36,-14089788.065063393,70.97338834212627,0.9976105328792126,69.47837123731803,0.1917626908326913,71.34549465653217,70.55729338078237
D6,27-08-26/calibration/D6/force-save-2026.08.27-11.00.00.996.jpk-force,11790b178330b760cc6acc09288e22be3f3b69b74b761d1ed0a7d834b4e83f91,35.0,34.02042195095486,35,-14462907.394750545,69.14239113243302,0.9985177199598225,69.47837123731803,0.1917626908326913,68.7016954010068,69.99721353857264
D6,27-08-26/calibration/D6/force-save-2026.08.27-11.00.08.596.jpk-force,57970566927bf134aeec383a585999c3cf0fe1f55ed70435283661f0a92b2030,35.0,34.97653349599876,36,-13940598.125789685,71.73293362140826,0.9989257421615645,69.47837123731803,0.1917626908326913,72.10177290912449,71.31080617560806
D6,27-08-26/calibration/D6/force-save-2026.08.27-11.00.37.153.jpk-force,eaa69cf0729ee4569ffc26cd9852fbdaa9ccfe6e9eb079ead1a43bd63ae590ec,35.0,34.21557420370421,35,-13940095.109168865,71.73552204405455,0.9955322363760383,69.47837123731803,0.1917626908326913,72.6283329470766,70.91650316255509
D6,27-08-26/calibration/D6/force-save-2026.08.27-11.00.49.057.jpk-force,b84c834a607883c39bcea9d76a23e7ac3380622e0abf1df9f3316ce4297dbe3e,35.0,34.10352293651699,35,-14101949.050575657,70.91218358636596,0.9959947321492189,69.47837123731803,0.1917626908326913,69.90184097855816,69.90853478279645
