source,timestamp,acquisition_order,block,nominal_speed_um_per_s,physical_row_zero_based,physical_column_zero_based,point_index_in_archive,distance_nm,force_linear_drift_corrected_pN
27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,2026-08-27T14:00:12.429000,1,1,0.2,3,3,28,20.0,2227.40699233779
27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,2026-08-27T14:00:12.429000,1,1,0.2,3,3,28,50.0,390.9521532308
27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,2026-08-27T14:00:12.429000,1,1,0.2,3,3,28,100.0,25.307920539221865
27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,2026-08-27T14:00:12.429000,1,1,0.2,3,3,28,200.0,-0.35283116996285724
27-08-26/0/map1-0.1-data-2026.08.27-14.04.47.122.jpk-force-map,2026-08-27T14:04:47.122000,2,1,0.1,3,3,28,20.0,2148.1192393788197
27-08-26/0/map1-0.1-data-2026.08.27-14.04.47.122.jpk-force-map,2026-08-27T14:04:47.122000,2,1,0.1,3,3,28,50.0,346.9980429113892
27-08-26/0/map1-0.1-data-2026.08.27-14.04.47.122.jpk-force-map,2026-08-27T14:04:47.122000,2,1,0.1,3,3,28,100.0,20.746676550255707
27-08-26/0/map1-0.1-data-2026.08.27-14.04.47.122.jpk-force-map,2026-08-27T14:04:47.122000,2,1,0.1,3,3,28,200.0,3.379111938819947
27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,2026-08-27T14:14:18.398000,3,1,0.05,3,3,28,20.0,1842.5110432312401
27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,2026-08-27T14:14:18.398000,3,1,0.05,3,3,28,50.0,229.42607215367366
27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,2026-08-27T14:14:18.398000,3,1,0.05,3,3,28,100.0,15.987167687796104
27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,2026-08-27T14:14:18.398000,3,1,0.05,3,3,28,200.0,-5.947583735060295
27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map,2026-08-27T14:27:55.012000,4,1,0.05,3,3,28,20.0,1601.6279860912
27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map,2026-08-27T14:27:55.012000,4,1,0.05,3,3,28,50.0,156.1405085670265
27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map,2026-08-27T14:27:55.012000,4,1,0.05,3,3,28,100.0,10.874094809117071
27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map,2026-08-27T14:27:55.012000,4,1,0.05,3,3,28,200.0,1.8471148401749593
27-08-26/0/map1-0.1-data-2026.08.27-14.40.56.507.jpk-force-map,2026-08-27T14:40:56.507000,5,1,0.1,3,3,28,20.0,1290.9141497630385
27-08-26/0/map1-0.1-data-2026.08.27-14.40.56.507.jpk-force-map,2026-08-27T14:40:56.507000,5,1,0.1,3,3,28,50.0,58.05743502415379
27-08-26/0/map1-0.1-data-2026.08.27-14.40.56.507.jpk-force-map,2026-08-27T14:40:56.507000,5,1,0.1,3,3,28,100.0,-28.19024058324926
27-08-26/0/map1-0.1-data-2026.08.27-14.40.56.507.jpk-force-map,2026-08-27T14:40:56.507000,5,1,0.1,3,3,28,200.0,-14.433983612491133
27-08-26/0/map1-0.2-data-2026.08.27-14.47.23.611.jpk-force-map,2026-08-27T14:47:23.611000,6,1,0.2,3,3,28,20.0,1219.5913830414668
27-08-26/0/map1-0.2-data-2026.08.27-14.47.23.611.jpk-force-map,2026-08-27T14:47:23.611000,6,1,0.2,3,3,28,50.0,69.87656868935844
27-08-26/0/map1-0.2-data-2026.08.27-14.47.23.611.jpk-force-map,2026-08-27T14:47:23.611000,6,1,0.2,3,3,28,100.0,-2.3797264986432807
27-08-26/0/map1-0.2-data-2026.08.27-14.47.23.611.jpk-force-map,2026-08-27T14:47:23.611000,6,1,0.2,3,3,28,200.0,0.3882091644434788
27-08-26/0/map2-0.1-data-2026.08.27-14.58.45.160.jpk-force-map,2026-08-27T14:58:45.160000,7,2,0.1,3,3,28,20.0,2599.2244216355753
27-08-26/0/map2-0.1-data-2026.08.27-14.58.45.160.jpk-force-map,2026-08-27T14:58:45.160000,7,2,0.1,3,3,28,50.0,680.5912000919517
27-08-26/0/map2-0.1-data-2026.08.27-14.58.45.160.jpk-force-map,2026-08-27T14:58:45.160000,7,2,0.1,3,3,28,100.0,99.82332378388801
27-08-26/0/map2-0.1-data-2026.08.27-14.58.45.160.jpk-force-map,2026-08-27T14:58:45.160000,7,2,0.1,3,3,28,200.0,8.079055266558242
27-08-26/0/map2-0.05-data-2026.08.27-15.05.27.190.jpk-force-map,2026-08-27T15:05:27.190000,8,2,0.05,3,3,28,20.0,2615.023821733622
27-08-26/0/map2-0.05-data-2026.08.27-15.05.27.190.jpk-force-map,2026-08-27T15:05:27.190000,8,2,0.05,3,3,28,50.0,669.1278713169008
27-08-26/0/map2-0.05-data-2026.08.27-15.05.27.190.jpk-force-map,2026-08-27T15:05:27.190000,8,2,0.05,3,3,28,100.0,92.59123642951418
27-08-26/0/map2-0.05-data-2026.08.27-15.05.27.190.jpk-force-map,2026-08-27T15:05:27.190000,8,2,0.05,3,3,28,200.0,8.27126582839915
27-08-26/0/map2-0.2-data-2026.08.27-15.16.41.656.jpk-force-map,2026-08-27T15:16:41.656000,9,2,0.2,3,3,28,20.0,2642.907497014961
27-08-26/0/map2-0.2-data-2026.08.27-15.16.41.656.jpk-force-map,2026-08-27T15:16:41.656000,9,2,0.2,3,3,28,50.0,627.8496001504006
27-08-26/0/map2-0.2-data-2026.08.27-15.16.41.656.jpk-force-map,2026-08-27T15:16:41.656000,9,2,0.2,3,3,28,100.0,81.077533615901
27-08-26/0/map2-0.2-data-2026.08.27-15.16.41.656.jpk-force-map,2026-08-27T15:16:41.656000,9,2,0.2,3,3,28,200.0,14.689202064145197
27-08-26/0/map2-0.2-data-2026.08.27-15.20.44.298.jpk-force-map,2026-08-27T15:20:44.298000,10,2,0.2,3,3,28,20.0,2589.697142258621
27-08-26/0/map2-0.2-data-2026.08.27-15.20.44.298.jpk-force-map,2026-08-27T15:20:44.298000,10,2,0.2,3,3,28,50.0,593.028466917318
27-08-26/0/map2-0.2-data-2026.08.27-15.20.44.298.jpk-force-map,2026-08-27T15:20:44.298000,10,2,0.2,3,3,28,100.0,51.889737431298116
27-08-26/0/map2-0.2-data-2026.08.27-15.20.44.298.jpk-force-map,2026-08-27T15:20:44.298000,10,2,0.2,3,3,28,200.0,-2.301778950659563
27-08-26/0/map2-0.05-data-2026.08.27-15.24.51.168.jpk-force-map,2026-08-27T15:24:51.168000,11,2,0.05,3,3,28,20.0,2324.0611873991807
27-08-26/0/map2-0.05-data-2026.08.27-15.24.51.168.jpk-force-map,2026-08-27T15:24:51.168000,11,2,0.05,3,3,28,50.0,493.2121721896164
27-08-26/0/map2-0.05-data-2026.08.27-15.24.51.168.jpk-force-map,2026-08-27T15:24:51.168000,11,2,0.05,3,3,28,100.0,35.43125444073431
27-08-26/0/map2-0.05-data-2026.08.27-15.24.51.168.jpk-force-map,2026-08-27T15:24:51.168000,11,2,0.05,3,3,28,200.0,0.5888272923867468
