comparison,baseline_method,nominal_speed_um_per_s,distance_nm,force_jump_median_pN,force_jump_q25_pN,force_jump_q75_pN,paired_pixel_count,interpretation
block3_minus_block2_across_liquid_refresh,linear_drift_corrected,0.05,5.0,513.399589428017,56.51999548526578,802.149780206078,64,refresh_plus_elapsed_time_plus_block_order; not pure liquid causal effect
block3_minus_block2_across_liquid_refresh,linear_drift_corrected,0.05,10.0,305.4843675256452,-130.03693730617897,510.3227850657811,64,refresh_plus_elapsed_time_plus_block_order; not pure liquid causal effect
block3_minus_block2_across_liquid_refresh,linear_drift_corrected,0.05,15.0,44.39375897834634,-201.56321400678758,195.31962777299123,64,refresh_plus_elapsed_time_plus_block_order; not pure liquid causal effect
block3_minus_block2_across_liquid_refresh,linear_drift_corrected,0.05,20.0,-48.762083238295645,-201.12365543026795,77.88244694741866,64,refresh_plus_elapsed_time_plus_block_order; not pure liquid causal effect
block3_minus_block2_across_liquid_refresh,linear_drift_corrected,0.05,25.0,-68.2945831392974,-189.48330458577,29.672508242302058,64,refresh_plus_elapsed_time_plus_block_order; not pure liquid causal effect
block3_minus_block2_across_liquid_refresh,linear_drift_corrected,0.05,30.0,-72.10576599555179,-164.1601269786142,-2.8178701025328223,64,refresh_plus_elapsed_time_plus_block_order; not pure liquid causal effect
block3_minus_block2_across_liquid_refresh,linear_drift_corrected,0.05,35.0,-57.391371091935525,-135.68404436687092,-14.474322107275952,64,refresh_plus_elapsed_time_plus_block_order; not pure liquid causal effect
block3_minus_block2_across_liquid_refresh,linear_drift_corrected,0.05,40.0,-53.44871902214214,-112.14966104705726,-12.659454974729812,64,refresh_plus_elapsed_time_plus_block_order; not pure liquid causal effect
block3_minus_block2_across_liquid_refresh,linear_drift_corrected,0.05,45.0,-45.1461278844248,-94.90950996625435,-11.099387470255522,64,refresh_plus_elapsed_time_plus_block_order; not pure liquid causal effect
block3_minus_block2_across_liquid_refresh,linear_drift_corrected,0.05,50.0,-38.8573201525748,-80.0336397106299,-12.56093842400469,64,refresh_plus_elapsed_time_plus_block_order; not pure liquid causal effect
block3_minus_block2_across_liquid_refresh,linear_drift_corrected,0.05,55.0,-32.03033576881825,-63.96492160565968,-11.501351782983633,64,refresh_plus_elapsed_time_plus_block_order; not pure liquid causal effect
block3_minus_block2_across_liquid_refresh,linear_drift_corrected,0.05,60.0,-26.925038196637615,-53.33338666853034,-6.855946184524754,64,refresh_plus_elapsed_time_plus_block_order; not pure liquid causal effect
block3_minus_block2_across_liquid_refresh,linear_drift_corrected,0.05,65.0,-21.652041615743713,-42.974611079858704,-6.834601885404638,64,refresh_plus_elapsed_time_plus_block_order; not pure liquid causal effect
block3_minus_block2_across_liquid_refresh,linear_drift_corrected,0.05,70.0,-17.909700105251716,-33.01272283259096,-1.0412921232064747,64,refresh_plus_elapsed_time_plus_block_order; not pure liquid causal effect
block3_minus_block2_across_liquid_refresh,linear_drift_corrected,0.05,75.0,-11.532425424808267,-26.251871654590232,-0.6131509237011343,64,refresh_plus_elapsed_time_plus_block_order; not pure liquid causal effect
block3_minus_block2_across_liquid_refresh,linear_drift_corrected,0.05,80.0,-8.930016313182122,-22.269134733322403,2.104439844267098,64,refresh_plus_elapsed_time_plus_block_order; not pure liquid causal effect
block3_minus_block2_across_liquid_refresh,linear_drift_corrected,0.05,85.0,-5.749519278249323,-19.427877011529063,3.853478712008414,64,refresh_plus_elapsed_time_plus_block_order; not pure liquid causal effect
block3_minus_block2_across_liquid_refresh,linear_drift_corrected,0.05,90.0,-4.389789053666696,-16.864556092835894,4.232180698559159,64,refresh_plus_elapsed_time_plus_block_order; not pure liquid causal effect
block3_minus_block2_across_liquid_refresh,linear_drift_corrected,0.05,95.0,-3.0753400665995834,-14.405141795872055,3.2452540173205193,64,refresh_plus_elapsed_time_plus_block_order; not pure liquid causal effect
block3_minus_block2_across_liquid_refresh,linear_drift_corrected,0.05,100.0,-1.593794840835109,-11.769923619326093,2.7190198802824668,64,refresh_plus_elapsed_time_plus_block_order; not pure liquid causal effect
block3_minus_block2_across_liquid_refresh,linear_drift_corrected,0.05,105.0,-0.8726720749366557,-11.698084770936347,4.202402873808142,64,refresh_plus_elapsed_time_plus_block_order; not pure liquid causal effect
block3_minus_block2_across_liquid_refresh,linear_drift_corrected,0.05,110.0,-0.13379829398214937,-10.005609366126844,5.2023070600024415,64,refresh_plus_elapsed_time_plus_block_order; not pure liquid causal effect
block3_minus_block2_across_liquid_refresh,linear_drift_corrected,0.05,115.0,-0.0864690845356968,-9.343176685533386,4.577567812907474,64,refresh_plus_elapsed_time_plus_block_order; not pure liquid causal effect
block3_minus_block2_across_liquid_refresh,linear_drift_corrected,0.05,120.0,-1.107397223211711,-8.457099911554248,5.098039325005906,64,refresh_plus_elapsed_time_plus_block_order; not pure liquid causal effect
block3_minus_block2_across_liquid_refresh,linear_drift_corrected,0.05,125.0,-0.73854377082551,-6.555176517077894,3.4912840886480785,64,refresh_plus_elapsed_time_plus_block_order; not pure liquid causal effect
block3_minus_block2_across_liquid_refresh,linear_drift_corrected,0.05,130.0,-1.3070113518811883,-6.8436564297232625,4.074912904195247,64,refresh_plus_elapsed_time_plus_block_order; not pure liquid causal effect
block3_minus_block2_across_liquid_refresh,linear_drift_corrected,0.05,135.0,-0.6407022177950328,-7.447100012399753,4.0544162816376765,64,refresh_plus_elapsed_time_plus_block_order; not pure liquid causal effect
block3_minus_block2_across_liquid_refresh,linear_drift_corrected,0.05,140.0,-0.7443835482681491,-5.8824434570652535,5.409553757218941,64,refresh_plus_elapsed_time_plus_block_order; not pure liquid causal effect
block3_minus_block2_across_liquid_refresh,linear_drift_corrected,0.05,145.0,-1.1001748058370127,-4.125207156414416,3.277781535653503,64,refresh_plus_elapsed_time_plus_block_order; not pure liquid causal effect
block3_minus_block2_across_liquid_refresh,linear_drift_corrected,0.05,150.0,-1.1502510943211752,-4.808328158342565,4.18425388744639,64,refresh_plus_elapsed_time_plus_block_order; not pure liquid causal effect
block3_minus_block2_across_liquid_refresh,linear_drift_corrected,0.05,155.0,-1.082480874102451,-5.755658414899015,3.975917663230093,64,refresh_plus_elapsed_time_plus_block_order; not pure liquid causal effect
block3_minus_block2_across_liquid_refresh,linear_drift_corrected,0.05,160.0,-1.4320722808467239,-5.092080279415755,3.7556939137230057,64,refresh_plus_elapsed_time_plus_block_order; not pure liquid causal effect
block3_minus_block2_across_liquid_refresh,linear_drift_corrected,0.05,165.0,-0.9003707301018764,-7.148272795280004,3.411501970742329,64,refresh_plus_elapsed_time_plus_block_order; not pure liquid causal effect
block3_minus_block2_across_liquid_refresh,linear_drift_corrected,0.05,170.0,-1.411892086482478,-5.914468436034427,3.0508391076542836,64,refresh_plus_elapsed_time_plus_block_order; not pure liquid causal effect
block3_minus_block2_across_liquid_refresh,linear_drift_corrected,0.05,175.0,-1.3658185893539865,-5.847148601390815,3.642501402939371,64,refresh_plus_elapsed_time_plus_block_order; not pure liquid causal effect
block3_minus_block2_across_liquid_refresh,linear_drift_corrected,0.05,180.0,-0.595280912531378,-6.165189215540966,3.062948192087185,64,refresh_plus_elapsed_time_plus_block_order; not pure liquid causal effect
block3_minus_block2_across_liquid_refresh,linear_drift_corrected,0.05,185.0,0.19624547567235617,-4.057680461296199,2.311887650628517,64,refresh_plus_elapsed_time_plus_block_order; not pure liquid causal effect
block3_minus_block2_across_liquid_refresh,linear_drift_corrected,0.05,190.0,-0.2831799763668862,-4.362945441412352,2.5306081645279885,64,refresh_plus_elapsed_time_plus_block_order; not pure liquid causal effect
block3_minus_block2_across_liquid_refresh,linear_drift_corrected,0.05,195.0,-0.4959512515235644,-5.340057242835972,2.0744353278953307,64,refresh_plus_elapsed_time_plus_block_order; not pure liquid causal effect
block3_minus_block2_across_liquid_refresh,linear_drift_corrected,0.05,200.0,-0.07432070798761503,-5.286391891589242,2.131815932444806,64,refresh_plus_elapsed_time_plus_block_order; not pure liquid causal effect
