source,sha256,timestamp,acquisition_order,block,nominal_speed_um_per_s,grid_i,grid_j,field_u_um,field_v_um,approach_curves,skipped_curves,retract_curves,retract_skipped_curves,valid_contact_curves,map_contact_invOLS_median_nm_per_V,map_contact_invOLS_mad_nm_per_V,global_water_InvOLS_used_nm_per_V,scanner_speed_median_um_per_s,gap_speed_20_200nm_median_um_per_s,terminal_load_median_nN,far_slope_median_pN_per_100nm,far_slope_mad_pN_per_100nm,contact_height_median_um,approach_snap_detected_fraction,approach_snap_distance_median_nm,retract_free_baseline_valid_fraction,retract_snapoff_detected_fraction,retract_detachment_right_censored_fraction,retract_pull_off_censored_fraction,retract_detachment_piezo_travel_median_nm,retract_pull_off_force_median_nN,branch_contact_height_difference_median_nm,map_approach_duration_sum_s,map_retract_duration_per_curve_s,map_protocol_duration_estimate_s,map_protocol_midpoint_estimate,map_protocol_midpoint_epoch_s
27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,a80c764e2770fb1dcba59775291c0f6c8d9ddead827a05f3956e6b8b657d2610,2026-08-27T14:00:12.429000,1,1,0.2,8,8,10.0,10.0,64,0,64,0,63,53.59059385825239,0.20216122772550507,51.82205666711353,0.20000938089375306,0.19375539016608367,21.798554113131313,0.48373607631051585,6.411004202432145,7.11539275243709,0.6875,1.8623395898371162,1.0,0.984375,0.0,0.0,99.6628995568698,-1.7096585119051713,1.7754427823194079,159.5465,0.25,175.5465,2026-08-27T14:01:40.202250,1787832100.20225
27-08-26/0/map1-0.1-data-2026.08.27-14.04.47.122.jpk-force-map,2354fb1a4eeaaf3630b217fd8e83982f1d2750cc48c8e73f896df8cb95de7962,2026-08-27T14:04:47.122000,2,1,0.1,8,8,10.0,10.0,64,0,64,0,63,53.70340972481929,0.18896152947742997,51.82205666711353,0.10000232722346904,0.09748590028658471,21.830211184678017,-1.1140356308468093,6.174092713320904,7.139079207172516,0.71875,1.720558463923496,1.0,0.984375,0.0,0.0,96.6683894674875,-1.6751788391630993,2.1444595970819615,319.0455,0.25,335.0455,2026-08-27T14:07:34.644750,1787832454.64475
27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,32f16aaddb2f8ee024d96d8835ecc23c36e91c3d0c1523416700e44c518a14e8,2026-08-27T14:14:18.398000,3,1,0.05,8,8,10.0,10.0,64,0,64,0,60,53.79407501772651,0.1599962817633901,51.82205666711353,0.050000593286123565,0.04921093444153765,21.826142390875184,-1.1128074077130394,6.663116245454476,7.193465662697081,0.5,2.5636884473381922,1.0,0.984375,0.0,0.0,105.17577449872397,-1.6975456532471842,1.6532445618125289,637.973,0.25,653.973,2026-08-27T14:19:45.384500,1787833185.3845
27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map,5db261eb0d927940237fc1584b4437c66e11a087abeace2111c0b7452b59b9f7,2026-08-27T14:27:55.012000,4,1,0.05,8,8,10.0,10.0,64,0,64,0,63,53.88566114859817,0.18172040270959705,51.82205666711353,0.05000058773285361,0.0495119582967873,21.817614025782298,-2.7546516658292957,5.384179868498935,7.2484412221184105,0.5,2.1381651634136247,1.0,0.96875,0.0,0.0,105.87970123502248,-1.6073841904533803,1.3181252791709313,638.0855,0.25,654.0855,2026-08-27T14:33:22.054750,1787834002.05475
27-08-26/0/map1-0.1-data-2026.08.27-14.40.56.507.jpk-force-map,1f9051f26f0101ca4cf0a11344616689d7a73f0a593ec0897e56684b629cf24b,2026-08-27T14:40:56.507000,5,1,0.1,8,8,10.0,10.0,64,0,64,0,63,54.00659568896804,0.2358841259414097,51.82205666711353,0.1000023218819204,0.09943540425571812,21.80675804435775,-5.622291108273215,7.113389012197699,7.285454568319554,0.296875,7.713763598061164,1.0,1.0,0.0,0.0,84.6587082078597,-1.429036915106572,0.9657056901426183,319.145,0.25,335.145,2026-08-27T14:43:44.079500,1787834624.0795
27-08-26/0/map1-0.2-data-2026.08.27-14.47.23.611.jpk-force-map,e25df5b65a1db7870ac5895d2b3900b868cb1b58be3e27f1fce377c6e5da1e1b,2026-08-27T14:47:23.611000,6,1,0.2,8,8,10.0,10.0,64,0,64,0,60,54.009257658877495,0.15178374889784885,51.82205666711353,0.20000884272035027,0.19917575692941866,21.76809325290354,-6.25278774354264,5.276100461366626,7.302870025470542,0.125,78.89437484662841,1.0,0.96875,0.0,0.0,80.60148033001165,-1.0992774170635915,1.344305745567701,159.593,0.25,175.593,2026-08-27T14:48:51.407500,1787834931.4075
27-08-26/0/map2-0.1-data-2026.08.27-14.58.45.160.jpk-force-map,f540f370be6f0af160d9c47e900c1c3b7efe8f398ed347ef1e256cb7a6c3350b,2026-08-27T14:58:45.160000,7,2,0.1,8,8,10.0,10.0,64,0,64,0,61,54.44319975176716,0.17376765695804244,51.82205666711353,0.10000238264172553,0.09549660650086758,21.798067951805876,-5.978875690284648,5.700495865400695,13.200341738556126,0.359375,5.0845029976430975,1.0,0.890625,0.0,0.0,93.10123424870838,-0.86226421672146,1.0625446280736082,318.96,0.25,334.96,2026-08-27T15:01:32.640000,1787835692.64
27-08-26/0/map2-0.05-data-2026.08.27-15.05.27.190.jpk-force-map,ede3545e6ab0d1fdfc2af77c4e6ca8418e6093338f76ce25d03a03cf2c63484d,2026-08-27T15:05:27.190000,8,2,0.05,8,8,10.0,10.0,64,0,64,0,57,54.367276311588036,0.15637737763589563,51.82205666711353,0.050000581965180174,0.047614987825790156,21.79867527379037,-6.4621501705704105,5.131532910045826,13.229739048186257,0.234375,3.4817451413734046,1.0,1.0,0.0,0.0,101.37872134712828,-1.008840549082445,1.0773572909835591,638.1035,0.25,654.1035,2026-08-27T15:10:54.241750,1787836254.24175
27-08-26/0/map2-0.2-data-2026.08.27-15.16.41.656.jpk-force-map,e0ea0fc2c355f89b980b81ead534274750f8131ece1ad4ddc15a2a8df43a3aef,2026-08-27T15:16:41.656000,9,2,0.2,8,8,10.0,10.0,64,0,64,0,61,54.57903408884764,0.16473445448273688,51.82205666711353,0.20000855346861485,0.19067403820313544,21.77648284437437,-6.361095650400587,6.461005559002599,13.241189372094023,0.0625,140.5340766317012,1.0,0.921875,0.0,0.0,102.53436618087522,-0.5328928221221765,0.7551922572330443,159.562,0.25,175.562,2026-08-27T15:18:09.437000,1787836689.437
27-08-26/0/map2-0.2-data-2026.08.27-15.20.44.298.jpk-force-map,539685256266902f1f76a17f1cdd2ec75a6dacf2c6dbb8e0833be9e52638e350,2026-08-27T15:20:44.298000,10,2,0.2,8,8,10.0,10.0,64,0,64,0,60,54.61278199599605,0.1856557425204914,51.82205666711353,0.2000085505268696,0.1910683257040373,21.776999232029745,-7.312232765393416,5.599552784890344,13.247096724692883,0.046875,132.36211869213244,1.0,0.9375,0.0,0.0,100.61931737823326,-0.3849386392549923,0.6255260661186469,159.5665,0.25,175.5665,2026-08-27T15:22:12.081250,1787836932.08125
