block,metric,metric_label,unit,low_actual_speed_um_per_s,high_actual_speed_um_per_s,high_minus_low_pair_symmetric_value,slope_per_um_per_s,claim_status
1,map_contact_invOLS_median_nm_per_V,InvOLS,nm/V,0.049361446369162475,0.19646557354775118,-0.03994232459740488,-0.2715241602223283,paired_map_QC; diagnostic_not_force_correction
1,terminal_load_median_nN,terminal load,nN,0.049361446369162475,0.19646557354775118,-0.038554525311312204,-0.26209003140004283,paired_map_QC; diagnostic_not_force_correction
1,far_slope_median_pN_per_100nm,far slope,pN/100 nm,0.049361446369162475,0.19646557354775118,-0.9507962968448949,-6.463423665133477,paired_map_QC; diagnostic_not_force_correction
1,contact_height_median_um,contact height,um,0.049361446369162475,0.19646557354775118,-0.011822053453929726,-0.08036520579451457,paired_map_QC; diagnostic_not_force_correction
1,approach_snap_detected_fraction,approach snap-detected fraction,fraction,0.049361446369162475,0.19646557354775118,-0.09375,-0.6373036691634407,paired_map_QC; diagnostic_not_force_correction
1,approach_snap_distance_median_nm,approach snap distance,nm,0.049361446369162475,0.19646557354775118,38.02743041285686,258.5068899303583,paired_map_QC; diagnostic_not_force_correction
1,retract_detachment_piezo_travel_median_nm,retract detachment travel,nm,0.049361446369162475,0.19646557354775118,-15.395547923432503,-104.65748459077466,paired_map_QC; diagnostic_not_force_correction
1,retract_pull_off_force_median_nN,retract pull-off,nN,0.049361446369162475,0.19646557354775118,0.24799695736590088,1.6858599559536853,paired_map_QC; diagnostic_not_force_correction
1,branch_contact_height_difference_median_nm,approach-retract contact-height difference,nm,0.049361446369162475,0.19646557354775118,0.07418934345182437,0.5043321684765265,paired_map_QC; diagnostic_not_force_correction
2,map_contact_invOLS_median_nm_per_V,InvOLS,nm/V,0.04779894881022077,0.19087118195358638,0.10321734328505272,0.7214351870891939,paired_map_QC; diagnostic_not_force_correction
2,terminal_load_median_nN,terminal load,nN,0.04779894881022077,0.19087118195358638,-0.025879690429736257,-0.18088548603140556,paired_map_QC; diagnostic_not_force_correction
2,far_slope_median_pN_per_100nm,far slope,pN/100 nm,0.04779894881022077,0.19087118195358638,0.10374646797757947,0.7251334916511737,paired_map_QC; diagnostic_not_force_correction
2,contact_height_median_um,contact height,um,0.04779894881022077,0.19087118195358638,-0.0051684787298444945,-0.03612496021268794,paired_map_QC; diagnostic_not_force_correction
2,approach_snap_detected_fraction,approach snap-detected fraction,fraction,0.04779894881022077,0.19087118195358638,-0.125,-0.8736845525766254,paired_map_QC; diagnostic_not_force_correction
