block,nominal_speed_um_per_s,actual_gap_speed_um_per_s,pair_midpoint_acquisition_order,pair_center_time_epoch_s,pair_half_span_min,baseline_method,quantity,distance_nm,median_pN,q25_pN,q75_pN,paired_pixel_count,early_source,late_source
1,0.05,0.049361446369162475,3.5,1787833593.719625,6.80558541615804,linear_drift_corrected,F_sym,5.0,5726.0635681277545,5537.2114510861265,5859.392765418076,64,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map
1,0.05,0.049361446369162475,3.5,1787833593.719625,6.80558541615804,linear_drift_corrected,F_history,5.0,-144.29004879210834,-226.22413137141552,-25.44666391640544,64,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map
1,0.05,0.049361446369162475,3.5,1787833593.719625,6.80558541615804,linear_drift_corrected,F_sym,10.0,3815.4131491085122,3654.7799697879964,3920.817947599823,64,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map
1,0.05,0.049361446369162475,3.5,1787833593.719625,6.80558541615804,linear_drift_corrected,F_history,10.0,-114.27894581380917,-180.11695047621419,-58.06607282578244,64,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map
1,0.05,0.049361446369162475,3.5,1787833593.719625,6.80558541615804,linear_drift_corrected,F_sym,15.0,2535.4284569821602,2449.8912203088007,2622.313960869381,64,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map
1,0.05,0.049361446369162475,3.5,1787833593.719625,6.80558541615804,linear_drift_corrected,F_history,15.0,-110.82297301835297,-151.38011386245688,-77.63166245829268,64,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map
1,0.05,0.049361446369162475,3.5,1787833593.719625,6.80558541615804,linear_drift_corrected,F_sym,20.0,1723.6148487913408,1658.5552867438237,1799.2861188307738,64,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map
1,0.05,0.049361446369162475,3.5,1787833593.719625,6.80558541615804,linear_drift_corrected,F_history,20.0,-105.21887221219299,-132.96651264804697,-77.1191415066263,64,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map
1,0.05,0.049361446369162475,3.5,1787833593.719625,6.80558541615804,linear_drift_corrected,F_sym,25.0,1184.298021712565,1131.0421367903832,1242.1028124701556,64,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map
1,0.05,0.049361446369162475,3.5,1787833593.719625,6.80558541615804,linear_drift_corrected,F_history,25.0,-94.21920813923532,-116.2454031945056,-75.27956658353725,64,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map
1,0.05,0.049361446369162475,3.5,1787833593.719625,6.80558541615804,linear_drift_corrected,F_sym,30.0,810.4174224443518,773.6717725799148,861.4710243631359,64,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map
1,0.05,0.049361446369162475,3.5,1787833593.719625,6.80558541615804,linear_drift_corrected,F_history,30.0,-80.91652860427357,-94.78177569546176,-66.20605273697787,64,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map
