group,file,sha256,exported_frequency_hz,detected_peak_hz,candidate_peaks_hz,candidate_prominences_decades,fit_frequency_hz,quality_factor,amplitude_v_per_sqrt_hz,background_v2_per_hz,resonance_area_v2,correction_factor,thermal_factor_n_m_per_v2,fit_log10_rmse,fit_success,fit_nfev,fit_half_width_hz,cantilever,user_temperature_C,file_header_temperature,exact_duplicate_of,used_for_calibration
4,27-08-26/calibration/D4/thermal-noise-data_vDeflection_2026.08.27-11.21.19.tnd,db3fdee6bb790c637a2d8adeb53c4b28b59e2fb4c47d596547ed8d2250963beb,13120.0,13134.765625,"[13134.765625, 82702.63671875]","[2.7473294895904408, 2.0530920655317484]",13136.572181576692,50.45438820619611,1.952358047662965e-06,7.931335489363762e-12,3.96843993944728e-06,0.817,8.491676508922676e-16,0.04953427137292117,True,338,3000.0,D4,25.6,25.0 ℃,,True
4,27-08-26/calibration/D4/thermal-noise-data_vDeflection_2026.08.27-11.21.44.tnd,c55ac9060d5b5e9f8f34c2044a90d2fffcbee65e010bc1498c670c40d414d584,13130.0,13122.55859375,"[13122.55859375, 82739.2578125]","[2.6945353020872584, 1.9997969705477434]",13138.653619907825,49.21705538983321,1.9408976013433855e-06,7.812123384296e-12,3.8264109761836345e-06,0.817,8.806871091637218e-16,0.04659873998038339,True,411,3000.0,D4,25.6,25.0 ℃,,True
4,27-08-26/calibration/D4/thermal-noise-data_vDeflection_2026.08.27-11.22.06.tnd,833b84ae98281497082596280e21059a60b22959caa5a738868bfd97a9138407,13130.0,13110.3515625,"[13110.3515625, 82714.84375]","[2.6604275705176175, 1.9760401444921563]",13141.863423079725,48.45221777216883,1.9532208673950814e-06,7.49073343993292e-12,3.815866725368376e-06,0.817,8.831206809934326e-16,0.045360834704398764,True,386,3000.0,D4,25.6,25.0 ℃,,True
4,27-08-26/calibration/D4/thermal-noise-data_vDeflection_2026.08.27-11.22.31.tnd,42a65e5d8c0085e945d97a4ed699342ac8b13ae1e41ac97146d96f337b6ab901,13130.0,13134.765625,"[13134.765625, 82714.84375]","[2.7216499470720006, 2.0395729379353416]",13140.662808243807,50.30305969901529,1.9229599083966654e-06,8.470250474548583e-12,3.839476465611457e-06,0.817,8.77690188042559e-16,0.05230970181061127,True,361,3000.0,D4,25.6,25.0 ℃,,True
4,27-08-26/calibration/D4/thermal-noise-data_vDeflection_2026.08.27-11.22.42.tnd,42a65e5d8c0085e945d97a4ed699342ac8b13ae1e41ac97146d96f337b6ab901,13130.0,13134.765625,"[13134.765625, 82714.84375]","[2.7216499470720006, 2.0395729379353416]",13140.662808243807,50.30305969901529,1.9229599083966654e-06,8.470250474548583e-12,3.839476465611457e-06,0.817,8.77690188042559e-16,0.05230970181061127,True,361,3000.0,D4,25.6,25.0 ℃,27-08-26/calibration/D4/thermal-noise-data_vDeflection_2026.08.27-11.22.31.tnd,False
5,27-08-26/calibration/D5/thermal-noise-data_vDeflection_2026.08.27-11.05.58.tnd,37fdd791e24fca8644551e708e6ec2adb94e4c62ae2aad56dbbce464cb29ed7a,16560.0,16528.3203125,"[16528.3203125, 103063.96484375]","[2.498081740368592, 1.6980059227403341]",16565.709780988855,70.39963889268003,9.728262702304e-07,1.1545480702103309e-11,1.7336879740593184e-06,0.817,1.9437585491218267e-15,0.027297260705558553,True,330,3000.0,D5,25.6,25.0 ℃,,True
5,27-08-26/calibration/D5/thermal-noise-data_vDeflection_2026.08.27-11.06.39.tnd,29e3bb8d7f0798451a49a14ac9f6e3edf01c9e2d38ebb83ecdfe2dbb6d99320c,16560.0,16552.734375,"[16552.734375, 103051.7578125]","[2.5066300275688462, 1.7053402506852553]",16566.235179623163,69.1070695441856,9.72253963606441e-07,1.1440748651021632e-11,1.6999087971680425e-06,0.817,1.982383305917073e-15,0.027214210492730994,True,359,3000.0,D5,25.6,25.0 ℃,,True
5,27-08-26/calibration/D5/thermal-noise-data_vDeflection_2026.08.27-11.06.59.tnd,fee7f90254c883ae2ab90c2cf1e9945f65427a71c81a8b5a41d7e70d20c2af3c,16560.0,16540.52734375,"[16540.52734375, 103051.7578125]","[2.4769131785102534, 1.6989034910258969]",16562.902004362022,67.83631211827596,9.675538474765914e-07,1.1577499059078964e-11,1.6522236241101615e-06,0.817,2.039597286900199e-15,0.0259679957751016,True,421,3000.0,D5,25.6,25.0 ℃,,True
5,27-08-26/calibration/D5/thermal-noise-data_vDeflection_2026.08.27-11.07.20.tnd,7aed57fac12bad1e190f4bb6e0f663597e4965bf912906197aa5c253b9fb2e3b,16560.0,16540.52734375,"[16540.52734375, 103088.37890625]","[2.520258660366949, 1.6930795915211618]",16565.089412523375,70.63604066170323,9.557991314993293e-07,1.2134920448558007e-11,1.6790872831095265e-06,0.817,2.0069658408982683e-15,0.028926344569692605,True,378,3000.0,D5,25.6,25.0 ℃,,True
5,27-08-26/calibration/D5/thermal-noise-data_vDeflection_2026.08.27-11.07.41.tnd,c3311ba52bf1215a0d44ab9a57922cd4788e0d1b9aef04312752bd40c0d48b8b,16560.0,16552.734375,"[16552.734375, 103015.13671875]","[2.5642064090224004, 1.7602940167011187]",16563.573172190652,71.0878319145984,9.630667610803993e-07,1.1804935071810164e-11,1.7154654069199072e-06,0.817,1.964406164935761e-15,0.03512619637231844,True,360,3000.0,D5,25.6,25.0 ℃,,True
6,27-08-26/calibration/D6/thermal-noise-data_vDeflection_2026.08.27-10.50.25.tnd,b2738bc765f1d4dc6219d3535fdd60e2ceb22249830c6f43926bf367039302f2,13270.0,13269.04296875,"[13269.04296875, 83544.921875]","[2.743826977366437, 2.0279439053009227]",13280.964013386045,52.26914681871881,1.8415612805508596e-06,6.55444724153279e-12,3.698002824802725e-06,0.817,9.11267779052405e-16,0.03227642814450367,True,330,3000.0,D6,25.6,25.0 ℃,,True
6,27-08-26/calibration/D6/thermal-noise-data_vDeflection_2026.08.27-10.53.47.tnd,735a3c8b158da834a2effb3360a123e1387f56a097f2a6a2deb51e3b337797e4,13280.0,13256.8359375,"[13256.8359375, 83593.75]","[2.7412292492234247, 2.086897722103787]",13283.164297087667,51.71018986877838,1.8232094983282953e-06,6.941362756150809e-12,3.5864989105928705e-06,0.817,9.395990086974373e-16,0.034678175248989696,True,325,3000.0,D6,25.6,25.0 ℃,,True
6,27-08-26/calibration/D6/thermal-noise-data_vDeflection_2026.08.27-10.54.08.tnd,be3fbfa2519c9a15d7220b9e7672cc024bd31321cce2eb47e53407d6cb1cca79,13270.0,13281.25,"[13281.25, 83593.75]","[2.8141731345871976, 2.085671421644923]",13279.7020085283,53.333782044845684,1.8163536799974053e-06,7.226971526194409e-12,3.670383339187366e-06,0.817,9.181250320936776e-16,0.03548509588077124,True,345,3000.0,D6,25.6,25.0 ℃,,True
6,27-08-26/calibration/D6/thermal-noise-data_vDeflection_2026.08.27-10.54.31.tnd,1b8b925ac865dd57c1b006126fbbbf090b4944d6657b94b8accff515a12c8ff4,13270.0,13269.04296875,"[13269.04296875, 83605.95703125]","[2.743843228528659, 2.047073282508441]",13278.937994459331,53.35902799427797,1.8478272847312653e-06,7.054323705901904e-12,3.8002649907932312e-06,0.817,8.867462740760362e-16,0.034108473410933794,True,374,3000.0,D6,25.6,25.0 ℃,,True
6,27-08-26/calibration/D6/thermal-noise-data_vDeflection_2026.08.27-10.54.53.tnd,ee9efbbae80e4b046790bcb1eaab4c79bf97287094ec981150df8664aa255c45,13270.0,13220.21484375,"[13220.21484375, 83605.95703125]","[2.757912646010146, 2.1037087518998305]",13282.63438011981,51.72190029086995,1.8513024605583673e-06,6.3324123653648046e-12,3.6985655896989606e-06,0.817,9.111291227261392e-16,0.0387753785714697,True,375,3000.0,D6,25.6,25.0 ℃,,True
