source,timestamp,acquisition_order,block,nominal_speed_um_per_s,physical_row_zero_based,physical_column_zero_based,point_index_in_archive,distance_nm,force_linear_drift_corrected_pN,force_far_constant_referenced_pN
27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,2026-08-27T14:00:12.429000,1,1,0.2,3,3,28,20.0,2440.3455280227845,2465.424144359333
27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,2026-08-27T14:00:12.429000,1,1,0.2,3,3,28,50.0,409.53830682242557,431.15241812132876
27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,2026-08-27T14:00:12.429000,1,1,0.2,3,3,28,100.0,26.475917392716955,43.734758766930014
27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,2026-08-27T14:00:12.429000,1,1,0.2,3,3,28,200.0,-0.3691148348215695,8.735783509447678
27-08-26/0/map1-0.1-data-2026.08.27-14.04.47.122.jpk-force-map,2026-08-27T14:04:47.122000,2,1,0.1,3,3,28,20.0,2352.1435638069497,2356.0653657357598
27-08-26/0/map1-0.1-data-2026.08.27-14.04.47.122.jpk-force-map,2026-08-27T14:04:47.122000,2,1,0.1,3,3,28,50.0,365.89882110386935,369.2733137420581
27-08-26/0/map1-0.1-data-2026.08.27-14.04.47.122.jpk-force-map,2026-08-27T14:04:47.122000,2,1,0.1,3,3,28,100.0,21.7041654476001,24.387229954174355
27-08-26/0/map1-0.1-data-2026.08.27-14.04.47.122.jpk-force-map,2026-08-27T14:04:47.122000,2,1,0.1,3,3,28,200.0,3.522529619343625,4.895165078347006
27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,2026-08-27T14:14:18.398000,3,1,0.05,3,3,28,20.0,2017.0661740548126,2031.6220889428464
27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,2026-08-27T14:14:18.398000,3,1,0.05,3,3,28,50.0,240.79162214337697,253.34492869597722
27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,2026-08-27T14:14:18.398000,3,1,0.05,3,3,28,100.0,16.724998420538654,26.83430303851755
27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,2026-08-27T14:14:18.398000,3,1,0.05,3,3,28,200.0,-6.2220732600958675,-1.0250479699994046
27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map,2026-08-27T14:27:55.012000,4,1,0.05,3,3,28,20.0,1726.9306534234024,1731.4082353639924
27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map,2026-08-27T14:27:55.012000,4,1,0.05,3,3,28,50.0,164.30473391304707,168.19019995077053
27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map,2026-08-27T14:27:55.012000,4,1,0.05,3,3,28,100.0,11.375949890492578,14.46866628897814
27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map,2026-08-27T14:27:55.012000,4,1,0.05,3,3,28,200.0,1.9085242524057384,3.5209790151402087
27-08-26/0/map1-0.1-data-2026.08.27-14.40.56.507.jpk-force-map,2026-08-27T14:40:56.507000,5,1,0.1,3,3,28,20.0,1397.966910555564,1452.9401008699847
27-08-26/0/map1-0.1-data-2026.08.27-14.40.56.507.jpk-force-map,2026-08-27T14:40:56.507000,5,1,0.1,3,3,28,50.0,61.15887641224908,109.30171968258011
27-08-26/0/map1-0.1-data-2026.08.27-14.40.56.507.jpk-force-map,2026-08-27T14:40:56.507000,5,1,0.1,3,3,28,100.0,-29.491260643331884,9.556179746401282
