source,sha256,timestamp,acquisition_order,block,nominal_speed_um_per_s,grid_i,grid_j,field_u_um,field_v_um,approach_curves,skipped_curves,retract_curves,retract_skipped_curves,valid_contact_curves,map_contact_invOLS_median_nm_per_V,map_contact_invOLS_mad_nm_per_V,global_water_InvOLS_used_nm_per_V,scanner_speed_median_um_per_s,gap_speed_20_200nm_median_um_per_s,terminal_load_median_nN,far_slope_median_pN_per_100nm,far_slope_mad_pN_per_100nm,contact_height_median_um,approach_snap_detected_fraction,approach_snap_distance_median_nm,retract_free_baseline_valid_fraction,retract_snapoff_detected_fraction,retract_detachment_right_censored_fraction,retract_pull_off_censored_fraction,retract_detachment_piezo_travel_median_nm,retract_pull_off_force_median_nN,branch_contact_height_difference_median_nm
27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,a80c764e2770fb1dcba59775291c0f6c8d9ddead827a05f3956e6b8b657d2610,2026-08-27T14:00:12.429000,1,1,0.2,8,8,10.0,10.0,64,0,64,0,63,53.59059385825239,0.20216122772550507,54.213718954618635,0.20000938089375306,0.19312579790749435,22.804588669602328,0.5060611904650789,6.706881247113856,7.11539275243709,0.6875,3.958681930678533,1.0,0.984375,0.0,0.0,99.6628995568698,-1.7885617058424845,1.7754427823194079
27-08-26/0/map1-0.1-data-2026.08.27-14.04.47.122.jpk-force-map,2354fb1a4eeaaf3630b217fd8e83982f1d2750cc48c8e73f896df8cb95de7962,2026-08-27T14:04:47.122000,2,1,0.1,8,8,10.0,10.0,64,0,64,0,63,53.70340972481929,0.18896152947742997,54.213718954618635,0.10000232722346904,0.09722911054509605,22.837706760433495,-1.165449974016329,6.4590359527770955,7.139079207172516,0.734375,3.7591747976109007,1.0,0.984375,0.0,0.0,96.6683894674875,-1.7524907467199344,2.1444595970819615
27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,32f16aaddb2f8ee024d96d8835ecc23c36e91c3d0c1523416700e44c518a14e8,2026-08-27T14:14:18.398000,3,1,0.05,8,8,10.0,10.0,64,0,64,0,60,53.79407501772651,0.1599962817633901,54.213718954618635,0.050000593286123565,0.049134825788784676,22.83345018595734,-1.1641650666222536,6.970628622739746,7.193465662697081,0.515625,3.8573945444519264,1.0,0.984375,0.0,0.0,105.17577449872397,-1.7758898213736871,1.6532445618125289
27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map,5db261eb0d927940237fc1584b4437c66e11a087abeace2111c0b7452b59b9f7,2026-08-27T14:27:55.012000,4,1,0.05,8,8,10.0,10.0,64,0,64,0,63,53.88566114859817,0.18172040270959705,54.213718954618635,0.05000058773285361,0.04945045025568472,22.824528224575953,-2.881782793539978,5.6326674965248,7.2484412221184105,0.53125,4.026430004592861,1.0,0.96875,0.0,0.0,105.87970123502248,-1.6815672776769115,1.3181252791709313
27-08-26/0/map1-0.1-data-2026.08.27-14.40.56.507.jpk-force-map,1f9051f26f0101ca4cf0a11344616689d7a73f0a593ec0897e56684b629cf24b,2026-08-27T14:40:56.507000,5,1,0.1,8,8,10.0,10.0,64,0,64,0,63,54.00659568896804,0.2358841259414097,54.213718954618635,0.1000023218819204,0.09936500122595852,22.81317122402872,-5.881767911739519,7.441682123876203,7.285454568319554,0.3125,8.269838506788338,1.0,1.0,0.0,0.0,84.6587082078597,-1.4949890196181235,0.9657056901426183
27-08-26/0/map1-0.2-data-2026.08.27-14.47.23.611.jpk-force-map,e25df5b65a1db7870ac5895d2b3900b868cb1b58be3e27f1fce377c6e5da1e1b,2026-08-27T14:47:23.611000,6,1,0.2,8,8,10.0,10.0,64,0,64,0,60,54.009257658877495,0.15178374889784885,54.213718954618635,0.20000884272035027,0.19908163925873648,22.772721996959206,-6.541362871582576,5.519600069643397,7.302870025470542,0.140625,67.40153932648647,1.0,0.96875,0.0,0.0,80.60148033001165,-1.1500106474867957,1.344305745567701
27-08-26/0/map2-0.1-data-2026.08.27-14.58.45.160.jpk-force-map,f540f370be6f0af160d9c47e900c1c3b7efe8f398ed347ef1e256cb7a6c3350b,2026-08-27T14:58:45.160000,7,2,0.1,8,8,10.0,10.0,64,0,64,0,61,54.44319975176716,0.17376765695804244,54.213718954618635,0.10000238264172553,0.09513813552393308,22.80408007123401,-6.254809383962408,5.96358193064383,13.200341738556126,0.421875,4.738367555324205,1.0,0.890625,0.0,0.0,93.10123424870838,-0.9020589477998686,1.0625446280736082
27-08-26/0/map2-0.05-data-2026.08.27-15.05.27.190.jpk-force-map,ede3545e6ab0d1fdfc2af77c4e6ca8418e6093338f76ce25d03a03cf2c63484d,2026-08-27T15:05:27.190000,8,2,0.05,8,8,10.0,10.0,64,0,64,0,57,54.367276311588036,0.15637737763589563,54.213718954618635,0.050000581965180174,0.047422449701327,22.80471542199968,-6.760387675083733,5.36836051835332,13.229739048186257,0.328125,4.11656687661287,1.0,1.0,0.0,0.0,101.37872134712828,-1.0553999882580345,1.0773572909835591
27-08-26/0/map2-0.2-data-2026.08.27-15.16.41.656.jpk-force-map,e0ea0fc2c355f89b980b81ead534274750f8131ece1ad4ddc15a2a8df43a3aef,2026-08-27T15:16:41.656000,9,2,0.2,8,8,10.0,10.0,64,0,64,0,61,54.57903408884764,0.16473445448273688,54.213718954618635,0.20000855346861485,0.18985979885730386,22.781498780116713,-6.654669343779886,6.759190238049381,13.241189372094023,0.109375,140.54429983741284,1.0,0.921875,0.0,0.0,102.53436618087522,-0.5574865906431503,0.7551922572330443
27-08-26/0/map2-0.2-data-2026.08.27-15.20.44.298.jpk-force-map,539685256266902f1f76a17f1cdd2ec75a6dacf2c6dbb8e0833be9e52638e350,2026-08-27T15:20:44.298000,10,2,0.2,8,8,10.0,10.0,64,0,64,0,60,54.61278199599605,0.1856557425204914,54.213718954618635,0.2000085505268696,0.19028464117626445,22.782038999803476,-7.649702801652104,5.857980182099672,13.247096724692883,0.078125,121.58052638694129,1.0,0.9375,0.0,0.0,100.61931737823326,-0.40270410990050487,0.6255260661186469
