block,nominal_speed_um_per_s,actual_gap_speed_um_per_s,early_source,late_source,quantity,distance_nm,median_pN,q25_pN,q75_pN,paired_pixel_count
1,0.05,0.0492926380222347,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map,F_sym,5.0,6698.794858870243,6487.669571427332,6937.769803064734,64
1,0.05,0.0492926380222347,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map,F_history,5.0,-174.4623473421875,-319.44439962926174,-35.575648931941146,64
1,0.05,0.0492926380222347,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map,F_sym,10.0,4421.152225448543,4232.993034621633,4582.6125064781045,64
1,0.05,0.0492926380222347,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map,F_history,10.0,-130.55326959379386,-218.61883961047909,-52.52998116583092,64
1,0.05,0.0492926380222347,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map,F_sym,15.0,2813.2416752748286,2715.860115741324,2923.6527050470386,64
1,0.05,0.0492926380222347,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map,F_history,15.0,-123.1004264458254,-168.21343002270754,-82.8213315438814,64
1,0.05,0.0492926380222347,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map,F_sym,20.0,1870.188663504157,1808.5150336042482,1954.547215683595,64
1,0.05,0.0492926380222347,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map,F_history,20.0,-114.71599084842433,-144.79171816312885,-85.01898709121681,64
1,0.05,0.0492926380222347,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map,F_sym,25.0,1269.2702797060151,1214.379736003599,1336.6041381103526,64
1,0.05,0.0492926380222347,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map,F_history,25.0,-101.56863849533005,-125.2097017967352,-79.64398887723866,64
1,0.05,0.0492926380222347,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map,F_sym,30.0,863.2176657107248,820.2079430925769,916.6602880372515,64
1,0.05,0.0492926380222347,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map,F_history,30.0,-87.69041986096835,-101.241799389769,-70.09577030930616,64
1,0.05,0.0492926380222347,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map,F_sym,35.0,596.5168145659685,558.4265676867738,634.8214450740552,64
1,0.05,0.0492926380222347,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map,F_history,35.0,-74.11388185992226,-87.07875198020416,-62.8848971746869,64
1,0.05,0.0492926380222347,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map,F_sym,40.0,414.92070204752235,387.38360912063956,448.2992945866854,64
1,0.05,0.0492926380222347,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map,F_history,40.0,-62.2515262095159,-73.71944927935448,-52.43709851104928,64
1,0.05,0.0492926380222347,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map,F_sym,45.0,288.9100109743197,264.2911995870735,314.9420896030485,64
1,0.05,0.0492926380222347,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map,F_history,45.0,-50.294771195520326,-57.701215295179225,-40.093033939692305,64
1,0.05,0.0492926380222347,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map,F_sym,50.0,197.8626145547753,179.69335311384543,219.17773605136682,64
1,0.05,0.0492926380222347,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map,F_history,50.0,-40.084638225377184,-47.28999075262439,-31.497245040278813,64
1,0.05,0.0492926380222347,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map,F_sym,55.0,135.79496603759407,120.44634830342224,154.89277602952353,64
1,0.05,0.0492926380222347,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map,F_history,55.0,-32.612198233954324,-37.99544084930366,-25.337865079242178,64
1,0.05,0.0492926380222347,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map,F_sym,60.0,95.37681760093412,82.09265097899473,109.80711357108729,64
1,0.05,0.0492926380222347,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map,F_history,60.0,-25.394326662344422,-30.031756230397228,-19.67009070130017,64
1,0.05,0.0492926380222347,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map,F_sym,65.0,66.91605329821837,56.36386377538484,81.29696465922315,64
1,0.05,0.0492926380222347,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map,F_history,65.0,-20.148539919955674,-25.59878029375243,-12.330252603495435,64
1,0.05,0.0492926380222347,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map,F_sym,70.0,47.39060230105383,38.6820601280796,57.99343073158795,64
1,0.05,0.0492926380222347,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map,F_history,70.0,-15.81656964441165,-20.386393565986367,-8.558397018954995,64
1,0.05,0.0492926380222347,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map,F_sym,75.0,35.143084638802435,24.738664283688458,46.00964176258781,64
1,0.05,0.0492926380222347,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map,F_history,75.0,-12.368568986566373,-16.57450900647723,-5.343757957899058,64
1,0.05,0.0492926380222347,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map,F_sym,80.0,26.6693593031497,15.994067273324099,36.23761414055813,64
1,0.05,0.0492926380222347,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map,F_history,80.0,-9.885140015230927,-15.920923274080481,-4.018299963528874,64
1,0.05,0.0492926380222347,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map,F_sym,85.0,20.11210170915267,10.411691378227054,28.544402623309857,64
1,0.05,0.0492926380222347,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map,F_history,85.0,-7.855534972741137,-15.028977678455039,-1.2822163651534786,64
1,0.05,0.0492926380222347,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map,F_sym,90.0,16.772793872488947,6.443531786160234,25.611319866864257,64
1,0.05,0.0492926380222347,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map,F_history,90.0,-5.4559511797900875,-11.491164415889248,0.3530279314175014,64
1,0.05,0.0492926380222347,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map,F_sym,95.0,13.882593046145415,3.077444139366979,21.233406878965567,64
1,0.05,0.0492926380222347,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map,F_history,95.0,-4.199368054097272,-12.138741640246227,0.24116105702906232,64
1,0.05,0.0492926380222347,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map,F_sym,100.0,11.853151362277242,2.074365023424953,19.356953845183433,64
1,0.05,0.0492926380222347,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map,F_history,100.0,-4.420082160148538,-10.229348180076022,0.4151999412095758,64
1,0.05,0.0492926380222347,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map,F_sym,105.0,11.300300727065979,1.0799788716774794,17.359235342011583,64
1,0.05,0.0492926380222347,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map,F_history,105.0,-3.4395818575789296,-8.905477646659872,2.444710417010313,64
1,0.05,0.0492926380222347,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map,F_sym,110.0,9.084270081421343,0.521086583344439,17.433192021953264,64
1,0.05,0.0492926380222347,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map,F_history,110.0,-3.6681035714282624,-7.277405688407449,2.4990253108220366,64
1,0.05,0.0492926380222347,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map,F_sym,115.0,8.377122787969817,-0.29601937673434936,16.36639160388958,64
1,0.05,0.0492926380222347,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map,F_history,115.0,-2.3459865768865047,-7.547163066100223,3.7350743993421065,64
1,0.05,0.0492926380222347,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map,F_sym,120.0,9.053593481802807,-0.933344818634148,15.536512948470712,64
1,0.05,0.0492926380222347,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map,F_history,120.0,-2.367489881679411,-7.006431416519071,2.5244495276215297,64
