group,file,sha256,exported_frequency_hz,detected_peak_hz,candidate_peaks_hz,candidate_prominences_decades,fit_frequency_hz,quality_factor,amplitude_v_per_sqrt_hz,background_v2_per_hz,resonance_area_v2,correction_factor,thermal_factor_n_m_per_v2,fit_log10_rmse,fit_success,fit_nfev,fit_half_width_hz
1,calibration/1/thermal-noise-data_vDeflection_2026.08.18-13.58.54.tnd,7248aed77aa5a336044a23690d84374af6fe922b3d50c92eb1bf0459c5f54b04,16110.0,16088.8671875,16088.8672;101098.633,2.61066788;1.43341648,16107.979182304729,71.10972158922222,9.460059079659896e-07,8.38457771799873e-12,1.6101918060663781e-06,0.817,2.0928381379109944e-15,0.031914283745969954,True,374,3000.0
1,calibration/1/thermal-noise-data_vDeflection_2026.08.18-14.00.14.tnd,d3bb4620f43fd3ed6564a8695ff5c67b47cd2b83c372f0892e807b4a2ad286ba,16110.0,16125.48828125,16125.4883;101123.047,2.59516471;1.43304864,16109.121238875414,67.34967037060535,9.478517259727392e-07,8.259157840828358e-12,1.5311157082019374e-06,0.817,2.2009249875993375e-15,0.035429265314286175,True,355,3000.0
1,calibration/1/thermal-noise-data_vDeflection_2026.08.18-14.00.43.tnd,678085c9cf2768d8b5f16a6c8138a5dd6f0e806b9d55d091ef672f0838687c0c,16110.0,16101.07421875,16101.0742;101074.219,2.59386837;1.40818556,16110.286166678843,68.79125609903822,9.371112601056956e-07,8.431193612804028e-12,1.5287577933672084e-06,0.817,2.2043196350058147e-15,0.03343877179160145,True,400,3000.0
1,calibration/1/thermal-noise-data_vDeflection_2026.08.18-14.01.15.tnd,c0c00356a8bd2eb7e482de78d4d7e7210322ed4d71817764101da7ef9100be95,16110.0,16113.28125,16113.2812;101147.461,2.60222047;1.42874931,16111.886899855503,68.41838428349172,9.542227808744198e-07,8.43182459214187e-12,1.5766622041651297e-06,0.817,2.1373448365700537e-15,0.03466547091175958,True,360,3000.0
1,calibration/1/thermal-noise-data_vDeflection_2026.08.18-14.01.42.tnd,26d307b7ac5ae369d330c2c2891ff127b30643194df65b557b9690c52f4bb9d8,16110.0,16125.48828125,16125.4883;101184.082,2.56303921;1.40843144,16111.441989101855,68.85712505125663,9.443874220801689e-07,8.283645080308084e-12,1.5541880427749573e-06,0.817,2.1682516711881876e-15,0.032507107252600594,True,393,3000.0
2,calibration/2/thermal-noise-data_vDeflection_2026.08.18-14.47.16.tnd,30be4bc9336acf64e8cbe98d023ad5c332e0eb3dc87bbbc54e6cc5148d679c93,15080.0,15087.890625,15087.8906;97631.8359,2.69593681;1.9649313,15076.453581954876,63.72622925873317,1.3673004219951855e-06,7.56687019986865e-12,2.821403425252675e-06,0.817,1.1943952399454204e-15,0.031409397624005284,True,368,3000.0
2,calibration/2/thermal-noise-data_vDeflection_2026.08.18-14.47.49.tnd,c8db7222476d79a3e8f63eca26e2dd1ad56133ffc21eb17732be144c48e4688e,97670.0,15039.0625,15039.0625;97668.457,2.70143036;1.94682828,15077.665588208558,64.52167887698715,1.3640999292205895e-06,7.641844459015069e-12,2.843492033963806e-06,0.817,1.1851170254167816e-15,0.025177779689902573,True,350,3000.0
2,calibration/2/thermal-noise-data_vDeflection_2026.08.18-14.48.20.tnd,94b25890c1a7512c781bafffa65331572039a6d15eca8a00157bdd6e40cc409b,15080.0,15075.68359375,15075.6836;97668.457,2.72500524;1.94571317,15077.835586966037,65.88234506253178,1.3632329502552977e-06,7.539844370854641e-12,2.8998002248267234e-06,0.817,1.1621044761070963e-15,0.02879367137345758,True,339,3000.0
2,calibration/2/thermal-noise-data_vDeflection_2026.08.18-14.48.42.tnd,7d1899c21b52a797a54bb14fe0a329b4052fbdfaabec14161e8bc2f10bf9f072,15080.0,15100.09765625,15100.0977;97668.457,2.67327178;1.94947125,15076.825988945819,64.25567464005495,1.3598528773464335e-06,7.648070470605935e-12,2.8140067590248606e-06,0.817,1.1975347288274684e-15,0.025386501956811896,True,404,3000.0
2,calibration/2/thermal-noise-data_vDeflection_2026.08.18-14.49.09.tnd,74c541abcfc235a1b2dabc52741b1a7c47163296c0b765d9cbc53f5697ef5aee,15080.0,15087.890625,15087.8906;97668.457,2.76233656;1.97004564,15078.114759493195,65.38850259547168,1.3638452087850687e-06,7.524572234672545e-12,2.8807029557183255e-06,0.817,1.1698085060794463e-15,0.032678550351475,True,331,3000.0
3,calibration/3/thermal-noise-data_vDeflection_2026.08.18-14.01.42.tnd,bc1304d7cba74e6dcdc14b4df9adc5d78f0cdba4a40765f81a6669c60df37f53,15070.0,15063.4765625,15063.4766;96655.2734,2.66897904;1.22013606,15066.361929975414,67.30921937244509,1.0229629266843533e-06,6.682662779876112e-12,1.6669501642807151e-06,0.817,2.0215786250224165e-15,0.024537475303631803,True,351,3000.0
3,calibration/3/thermal-noise-data_vDeflection_2026.08.18-14.30.13.tnd,daca523b0a0ef674cf2d9f08fd21bb6db6fd544f26c8ccd41b53fb27c27ac95f,15070.0,15075.68359375,15075.6836;96728.5156,2.6850032;1.20812474,15067.32544813959,68.10568758136117,1.0195730271349447e-06,6.938986066433762e-12,1.6756221905116432e-06,0.817,2.011116133559037e-15,0.028630977315806386,True,410,3000.0
3,calibration/3/thermal-noise-data_vDeflection_2026.08.18-14.30.33.tnd,ef251fb5ab00b6fb6228608441114c5c2cdaf994478e7396241dd48d955a03f4,15070.0,15063.4765625,15063.4766;96691.8945,2.60469229;1.18467849,15067.762841234642,67.84651612432361,1.0268876985062431e-06,6.988067064337999e-12,1.693331968315317e-06,0.817,1.990082797787228e-15,0.018247994772264617,True,354,3000.0
3,calibration/3/thermal-noise-data_vDeflection_2026.08.18-14.31.48.tnd,e6ca694de507e2e19fdd8df143be03004b3e80b2ad09af4315c9185dffe25ad0,15070.0,15063.4765625,15063.4766;96643.0664,2.59453194;1.2287489,15069.320989523083,67.1546097982417,1.0284780444646827e-06,7.0035831129827254e-12,1.6814325126631018e-06,0.817,2.0041665637535463e-15,0.02404993798273055,True,362,3000.0
3,calibration/3/thermal-noise-data_vDeflection_2026.08.18-14.32.29.tnd,2c54ec0654f1e4b68bd06d7de97689d0e1e1d9071708119bbc0545f2540e772f,15070.0,15026.85546875,15026.8555;96643.0664,2.62053314;1.23280709,15066.938589358773,67.69767572527095,1.0345512572920082e-06,6.967071708901203e-12,1.714836343212105e-06,0.817,1.9651267798391223e-15,0.026583652052246436,True,387,3000.0
