concentration_wt_percent,source,timestamp,speed_um_per_s,speed_label_um_per_s,grid_i,grid_j,expected_pixels,valid_slope_pixels,coverage_fraction,median_slope_pN_per_100nm,slope_mad_pN_per_100nm,slope_p05_pN_per_100nm,slope_p95_pN_per_100nm,median_far_field_r2,resolved_drift_fraction,correlation_with_acquisition_order,correlation_with_grid_row,correlation_with_grid_column,spatial_plane_gradient_column_pN_per_100nm_per_pixel,spatial_plane_gradient_row_pN_per_100nm_per_pixel,spatial_plane_gradient_magnitude_pN_per_100nm_per_pixel,spatial_plane_r2,spatial_plane_inliers,even_minus_odd_row_median_pN_per_100nm
0,20-08-26/0/map-data-2026.08.20-15.01.47.915.jpk-force-map,2026-08-20T15:01:47.915000,2.00068807156822,2.0,16,16,256,256,1.0,-3.2099907533803287,4.877157892714442,-11.760050773647295,3.9358654352111904,0.04301738172480457,0.08203125,-0.25886745093267394,-0.27406647199222317,0.10231710935022077,0.10753042261573875,-0.2880308459189745,0.3074484672082777,0.08558122193604911,256,4.270771376511814
0,20-08-26/0/map-data-2026.08.20-15.06.26.277.jpk-force-map,2026-08-20T15:06:26.277000,1.000167902191217,1.0,16,16,256,256,1.0,-4.016705170645557,4.121466190024336,-10.468159151494493,3.005728530051195,0.08461589939704289,0.15625,-0.2766519695505299,-0.2830091049003208,-0.008322925997548036,-0.007469727083969341,-0.25399730533547943,0.2541071190273774,0.08016342455364134,256,2.0673645373715748
0,20-08-26/0/map-data-2026.08.20-15.15.57.076.jpk-force-map,2026-08-20T15:15:57.076000,4.002703248567697,4.0,16,16,256,256,1.0,-7.007763131496878,4.405806331390637,-16.50169847815446,0.4085495371411524,0.0749625082919837,0.09375,-0.02657339028450494,-0.04554142919761042,0.0428788433725963,0.055679743354648016,-0.10217951278176823,0.1163653155040582,0.012116588052415667,254,4.276802056316887
10,20-08-26/10/map-data-2026.08.20-15.29.51.296.jpk-force-map,2026-08-20T15:29:51.296000,2.0006929056286227,2.0,16,16,256,256,1.0,-0.9575438008981587,6.953657172936928,-11.562733668063064,13.478929918437142,0.04941042925748662,0.08984375,-0.08244409928385585,-0.08204188457088454,-0.016629433616332737,-0.046604888648225484,-0.13360870615928594,0.14150371729206238,0.00832212580388092,254,5.019917817592045
10,20-08-26/10/map-data-2026.08.20-15.35.17.160.jpk-force-map,2026-08-20T15:35:17.160000,1.0001686690974223,1.0,16,16,256,256,1.0,17.460635881993028,12.973235950145925,-5.933844535887477,39.79114974189069,0.4801867293406398,0.703125,0.4323978636170579,0.43361375463547874,0.10621309048434621,0.3668271116960321,1.3343193499170558,1.3838245038437236,0.25105061669817974,253,3.653101448936072
10,20-08-26/10/map-data-2026.08.20-15.44.18.192.jpk-force-map,2026-08-20T15:44:18.192000,4.002690965732439,4.0,16,16,256,256,1.0,10.813260370932412,11.563738681671383,-6.672510299622754,32.07591122621238,0.12789834535173955,0.30078125,0.3783347323957837,0.37590739316141475,0.060038118418103845,0.13108436289598507,1.0554894164402335,1.0635981470523495,0.1817943854063112,251,12.892938675801666
20,20-08-26/20/map-data-2026.08.20-15.54.06.570.jpk-force-map,2026-08-20T15:54:06.570000,2.000700857790752,2.0,16,16,256,256,1.0,12.055781202209698,7.28638814603472,1.2624368716359233,23.607340526104004,0.2636732718303332,0.5,0.249658614075192,0.25144037762564286,0.08076300388191479,0.07463417853568954,0.7909698114709273,0.7944831673887442,0.3054669705663413,249,3.523690595628498
20,20-08-26/20/map-data-2026.08.20-15.59.55.205.jpk-force-map,2026-08-20T15:59:55.205000,1.0001721232859246,1.0,16,16,256,256,1.0,33.58142909875495,12.335732266823447,9.542742519875922,52.167151877613485,0.7612237827792068,0.94140625,-0.3888764423713009,-0.38976535685513386,-0.014915401037012091,0.027962815003168107,-1.1454897310705179,1.1458309836144722,0.17114441714413242,253,3.965040087829106
20,20-08-26/20/map-data-2026.08.20-16.09.19.936.jpk-force-map,2026-08-20T16:09:19.936000,4.0027419840230305,4.0,16,16,256,256,1.0,4.504055220481488,12.131916084763393,-16.453673099012747,23.377922630759418,0.0668318606537544,0.12109375,0.012704684887142442,0.00914542274309861,-0.0725238751696907,-0.18187882839732752,-0.003210871313479899,0.18190716839579535,0.004882704349368772,254,9.45812310683051
30,20-08-26/30/map-data-2026.08.20-16.20.49.532.jpk-force-map,2026-08-20T16:20:49.532000,2.000701279094644,2.0,16,16,256,149,0.58203125,0.6563158453848801,4.34866489819346,-7.6408384295481735,5.638207058097644,0.01644686039936949,0.013422818791946308,0.02970877613039982,0.004906071966993664,-0.0587171355606774,-0.02305535800125562,0.01741335446222672,0.028892463484327755,0.0007429246331691619,146,-0.8463176483815508
