concentration_wt_percent,variant,model,fit_valid,invalid_reasons,n_points,dmin_nm,dmax_nm,lambda_D_nm,lambda_ci95_low_nm,lambda_ci95_high_nm,zeta_magnitude_mV,zeta_signed_silica_mV,zeta_ci95_low_mV,zeta_ci95_high_mV,baseline_pN,r2,weighted_objective,noise_floor_pN,jacobian_rank,jacobian_condition,optimizer_success,optimizer_status,optimizer_nfev,optimizer_message,map_speed_consistency_pass,map_observed_to_lubrication_slope_ratio,map_positive_speed_slope_fraction,scientific_status,systematic_lambda_min_nm,systematic_lambda_max_nm,systematic_zeta_min_mV,systematic_zeta_max_mV
0,primary,nonlinear_pb_derjaguin,True,,49,10.0,250.0,19.19829473140259,18.23061558019206,20.217338189845012,76.02105751756497,-76.02105751756497,75.70304105558358,76.34040991623634,-4.191557208238684,0.9848880745367822,38.54031108225078,7.66933362779801,3,1.5275436069141783,True,2,23,`ftol` termination condition is satisfied.,False,-3.485328428382998,0.0,operational_fit_speed_trend_not_lubrication_consistent,18.533299505029905,19.563835948688002,75.95782066262046,76.15262363052244
0,dmin15,nonlinear_pb_derjaguin,True,,48,15.0,250.0,19.374158683310405,18.65260352939678,20.12362639320147,75.99505016211879,-75.99505016211879,75.7658204303083,76.22497342921534,-4.329226120910802,0.9973494647190068,21.879054134025647,7.66933362779801,3,1.4259846080619816,True,2,24,`ftol` termination condition is satisfied.,,,,,,,,
0,dmin20,nonlinear_pb_derjaguin,True,,47,20.0,250.0,19.563835948688002,19.203640863141874,19.930787070788664,75.95782066262046,-75.95782066262046,75.84154980665998,76.07426977063382,-4.480684301095014,0.9990830176459656,5.461949969840633,7.66933362779801,3,1.413801092524,True,2,22,`ftol` termination condition is satisfied.,,,,,,,,
0,dmax150,nonlinear_pb_derjaguin,True,,29,10.0,150.0,18.871576032406278,17.510302827080043,20.338676347511186,75.98068614613972,-75.98068614613972,75.5220904563498,76.44206658414598,0.5111921296311307,0.9842478063990816,34.02530792458794,7.66933362779801,3,2.39665613701108,True,2,27,`ftol` termination condition is satisfied.,,,,,,,,
0,dmax350,nonlinear_pb_derjaguin,True,,69,10.0,350.0,18.751051362950065,17.78876459917533,19.765393220858712,76.00144021432806,-76.00144021432806,75.62182763350353,76.38295840516004,0.7693978467927535,0.9873559201139817,53.91495827653174,7.66933362779801,3,2.0867070711659523,True,2,12,`ftol` termination condition is satisfied.,,,,,,,,
0,all_sources,nonlinear_pb_derjaguin,True,,49,10.0,250.0,18.533299505029905,17.81311968135545,19.28259601279483,76.15262363052244,-76.15262363052244,74.31143663165462,78.03942903913254,4.549630442735034,0.9856171366628739,11.020396229459465,6.045120624915267,3,2.264953398412415,True,2,20,`ftol` termination condition is satisfied.,,,,,,,,
0,independent_force_only,nonlinear_pb_derjaguin,False,fewer_than_12_three_speed_bins,0,10.0,250.0,,,,,,,,,,,,,,,,,,,,,,,,,
0,linear_hhf_diagnostic,linear_hhf_equal_potential,True,,49,10.0,250.0,17.3572976128815,15.799751153949424,19.068387690829717,68.6635639644309,-68.6635639644309,68.12575099706547,69.2056226506858,-3.3313568970001,0.9601095051030903,111.39781908768661,7.66933362779801,3,2.557570344014633,True,2,27,`ftol` termination condition is satisfied.,,,,,,,,
10,primary,nonlinear_pb_derjaguin,True,,49,10.0,250.0,15.927545829655726,14.94522302069075,16.97443496189851,11.97337297144319,-11.97337297144319,11.721232236713288,12.230937619702509,-7.613022549267626,0.9879076763341842,0.29197218711815165,3.0,3,1.6424394838991188,True,2,13,`ftol` termination condition is satisfied.,False,-1.71482287201361,0.0,operational_fit_speed_trend_not_lubrication_consistent,5.545979155113679,16.46495473795806,11.839703858213692,15.222777963607516
10,dmin15,nonlinear_pb_derjaguin,True,,48,15.0,250.0,16.46495473795806,15.280355662594436,17.74138904283715,11.839703858213692,-11.839703858213692,11.549982735156183,12.136692379939271,-7.688428021817331,0.984303374028174,0.27433947856494817,3.0,3,1.7542839338924567,True,4,14,Both `ftol` and `xtol` termination conditions are satisfied.,,,,,,,,
