concentration_wt_percent,source,source_type,timestamp,raw_curves,skipped_curves,valid_contact_curves,calculated_anchor_nm_per_V,calculated_anchor_mad_nm_per_V,anchor_used_in_consensus,sensitivity_used_nm_per_V,sensitivity_method,stored_ignored_sensitivity_nm_per_V,stored_ignored_spring_constant_N_per_m,calibrated_spring_constant_used_N_per_m
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2026-08-20T14:59:33.875000,1,1,1,68.63875155125953,0.0,True,66.6088141893779,concentration_consensus_raw_contacts,67.23229909750553,nan,0.2969899086921243
0,20-08-26/0/map-data-2026.08.20-15.01.47.915.jpk-force-map,map,2026-08-20T15:01:47.915000,256,0,254,66.49149015915835,0.6996818395144013,True,66.6088141893779,concentration_consensus_raw_contacts,70.08298399348583,0.297,0.2969899086921243
0,20-08-26/0/map-data-2026.08.20-15.06.26.277.jpk-force-map,map,2026-08-20T15:06:26.277000,256,0,255,66.6483580585742,0.5707845620748706,True,66.6088141893779,concentration_consensus_raw_contacts,70.08298399348583,0.297,0.2969899086921243
0,20-08-26/0/force-save-2026.08.20-15.15.19.592.jpk-force,force,2026-08-20T15:15:19.592000,1,0,1,66.55353882104183,0.0,True,66.6088141893779,concentration_consensus_raw_contacts,70.08298399348583,0.297,0.2969899086921243
0,20-08-26/0/force-save-2026.08.20-15.15.29.074.jpk-force,force,2026-08-20T15:15:29.074000,1,0,1,66.56927032018159,0.0,True,66.6088141893779,concentration_consensus_raw_contacts,70.08298399348583,0.297,0.2969899086921243
0,20-08-26/0/force-save-2026.08.20-15.15.38.488.jpk-force,force,2026-08-20T15:15:38.488000,1,0,1,66.08781419917523,0.0,True,66.6088141893779,concentration_consensus_raw_contacts,70.08298399348583,0.297,0.2969899086921243
0,20-08-26/0/map-data-2026.08.20-15.15.57.076.jpk-force-map,map,2026-08-20T15:15:57.076000,256,0,249,67.09177236030787,0.8191128237514174,True,66.6088141893779,concentration_consensus_raw_contacts,70.08298399348583,0.297,0.2969899086921243
0,20-08-26/0/force-save-2026.08.20-15.18.48.223.jpk-force,force,2026-08-20T15:18:48.223000,1,0,1,67.53290633777235,0.0,True,66.6088141893779,concentration_consensus_raw_contacts,70.08298399348583,0.297,0.2969899086921243
10,20-08-26/10/force-save-2026.08.20-15.29.21.903.jpk-force,force,2026-08-20T15:29:21.903000,1,0,0,nan,nan,False,64.17743997896658,concentration_consensus_raw_contacts,63.55010693567301,0.297,0.2969899086921243
10,20-08-26/10/force-save-2026.08.20-15.29.34.212.jpk-force,force,2026-08-20T15:29:34.212000,1,0,1,64.87403479565249,0.0,True,64.17743997896658,concentration_consensus_raw_contacts,63.55010693567301,0.297,0.2969899086921243
10,20-08-26/10/map-data-2026.08.20-15.29.51.296.jpk-force-map,map,2026-08-20T15:29:51.296000,256,0,61,66.95615462205727,2.563613776054838,True,64.17743997896658,concentration_consensus_raw_contacts,63.55010693567301,0.297,0.2969899086921243
10,20-08-26/10/force-save-2026.08.20-15.34.22.913.jpk-force,force,2026-08-20T15:34:22.913000,1,0,0,nan,nan,False,64.17743997896658,concentration_consensus_raw_contacts,63.55010693567301,0.297,0.2969899086921243
10,20-08-26/10/map-data-2026.08.20-15.35.17.160.jpk-force-map,map,2026-08-20T15:35:17.160000,256,0,94,64.89684728568314,2.4586588602585224,True,64.17743997896658,concentration_consensus_raw_contacts,63.55010693567301,0.297,0.2969899086921243
10,20-08-26/10/force-save-2026.08.20-15.44.02.917.jpk-force,force,2026-08-20T15:44:02.917000,1,0,1,60.002077424622605,0.0,True,64.17743997896658,concentration_consensus_raw_contacts,63.55010693567301,0.297,0.2969899086921243
10,20-08-26/10/map-data-2026.08.20-15.44.18.192.jpk-force-map,map,2026-08-20T15:44:18.192000,256,0,107,63.45154966301939,1.5283937230577638,True,64.17743997896658,concentration_consensus_raw_contacts,63.55010693567301,0.297,0.2969899086921243
10,20-08-26/10/force-save-2026.08.20-15.47.23.227.jpk-force,force,2026-08-20T15:47:23.227000,1,0,1,63.48084516228064,0.0,True,64.17743997896658,concentration_consensus_raw_contacts,63.55010693567301,0.297,0.2969899086921243
